Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000000,   1.000000,  38.101246,  30.165400,  45.739696
1950.000000,   2.000000,  38.096443,  30.660113,  45.511743
1950.000000,   3.000000,  29.018403,  22.191135,  35.965469
1950.000000,   4.000000,  14.466128,   7.180035,  21.414315
1950.000000,   5.000000,   5.837702,  -1.824531,  13.518513
1950.000000,   6.000000,  42.199952,  34.317051,  50.431910
1950.000000,   7.000000,  67.924333,  59.248936,  76.816392
1950.000000,   8.000000, 105.220234,  96.644297, 113.865396
1950.000000,   9.000000, 144.826542, 134.823335, 155.294878
1950.000000,  10.000000, 128.179466, 117.979848, 138.353510
1950.000000,  11.000000, 187.832759, 178.013619, 197.357075
1950.000000,  12.000000,  81.998982,  73.191293,  90.784653
1951.000000,   1.000000,  31.662014,  23.710208,  39.868953
1951.000000,   2.000000,  16.949292,   9.607597,  24.419472
1951.000000,   3.000000,  16.556850,   9.727752,  23.953806
1951.000000,   4.000000,   5.153642,  -2.518369,  12.239786
1951.000000,   5.000000,  14.572251,   6.982130,  22.303665
1951.000000,   6.000000,  33.228285,  25.109619,  41.219856
1951.000000,   7.000000,  77.775032,  69.291357,  86.170335
1951.000000,   8.000000, 122.071277, 113.735198, 130.529577
1951.000000,   9.000000, 173.649699, 163.431873, 183.658327
1951.000000,  10.000000, 153.766369, 143.751573, 163.783694
1951.000000,  11.000000, 163.435336, 153.974326, 172.494274
1951.000000,  12.000000,  76.685832,  67.671889,  85.590637
1952.000000,   1.000000,  31.786778,  24.109519,  39.507631
1952.000000,   2.000000,  22.181776,  14.614309,  29.645097
1952.000000,   3.000000,  19.707116,  12.757482,  26.717505
1952.000000,   4.000000,   7.500657,   0.511815,  14.760252
1952.000000,   5.000000,  29.273770,  21.491738,  37.059993
1952.000000,   6.000000,  34.926226,  26.969212,  42.902584
1952.000000,   7.000000,  99.661037,  90.928332, 108.220121
1952.000000,   8.000000, 118.548521, 109.907661, 127.050738
1952.000000,   9.000000, 168.282617, 158.205098, 178.440272
1952.000000,  10.000000, 231.201263, 221.491656, 241.326244
1952.000000,  11.000000, 110.613356, 101.008973, 119.855687
1952.000000,  12.000000,  75.864281,  67.193752,  84.190497
1953.000000,   1.000000,  33.197719,  25.186399,  41.165260
1953.000000,   2.000000,  33.507786,  25.964796,  41.004550
1953.000000,   3.000000,  20.190762,  13.304936,  27.139551
1953.000000,   4.000000,  24.230249,  17.164429,  31.560996
