Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 349.19, 323.42, 374.08
1950.00,   2.00, 181.36, 157.06, 205.88
1950.00,   3.00, 265.36, 239.97, 290.03
1950.00,   4.00, 219.28, 193.92, 243.84
1950.00,   5.00,  54.34,  31.77,  76.00
1950.00,   6.00,  42.08,  22.18,  64.15
1950.00,   7.00,  27.47,  11.40,  48.04
1950.00,   8.00,  16.89,   7.29,  32.02
1950.00,   9.00,  31.38,  11.96,  54.71
1950.00,  10.00,  45.65,  22.72,  69.65
1950.00,  11.00,  90.41,  66.12, 113.86
1950.00,  12.00, 159.32, 134.33, 184.07
1951.00,   1.00, 179.42, 155.69, 203.61
1951.00,   2.00, 201.93, 176.32, 226.25
1951.00,   3.00, 209.50, 183.91, 234.40
1951.00,   4.00, 160.83, 137.10, 184.80
1951.00,   5.00,  84.75,  61.57, 107.74
1951.00,   6.00,  37.77,  19.94,  60.11
1951.00,   7.00,  27.78,  11.68,  47.61
1951.00,   8.00,  15.20,   6.39,  29.63
1951.00,   9.00,  13.91,   5.15,  29.90
1951.00,  10.00,  25.44,   9.71,  46.36
1951.00,  11.00,  86.23,  64.05, 109.63
1951.00,  12.00,  82.50,  57.99, 107.64
1952.00,   1.00, 275.45, 250.04, 300.24
1952.00,   2.00, 114.12,  87.39, 137.79
1952.00,   3.00, 186.84, 162.52, 209.63
1952.00,   4.00, 146.12, 121.17, 169.70
1952.00,   5.00,  69.51,  47.21,  91.44
1952.00,   6.00,  24.67,  11.14,  41.90
1952.00,   7.00,  15.74,   6.35,  31.03
1952.00,   8.00,  14.91,   6.39,  28.88
1952.00,   9.00,  13.90,   5.17,  29.69
1952.00,  10.00,  11.30,   4.16,  24.17
1952.00,  11.00,  23.02,   9.70,  41.42
1952.00,  12.00,  57.91,  36.32,  81.10
1953.00,   1.00,  83.22,  58.88, 107.28
1953.00,   2.00,  52.70,  31.13,  76.00
1953.00,   3.00, 129.24, 103.94, 153.40
1953.00,   4.00,  69.93,  49.79,  92.09
1953.00,   5.00,  85.03,  61.96, 108.33
1953.00,   6.00,  34.26,  16.67,  54.34
1953.00,   7.00,  19.17,   7.45,  37.07
1953.00,   8.00,  14.26,   5.64,  28.01
1953.00,   9.00,  11.31,   3.99,  25.60
1953.00,  10.00,  11.81,   4.30,  25.13
1953.00,  11.00,  23.79,  10.17,  42.42
1953.00,  12.00,  32.08,  15.05,  52.97
1954.00,   1.00,  71.61,  49.74,  94.27
1954.00,   2.00, 117.45,  94.54, 140.68
1954.00,   3.00, 174.03, 150.73, 197.67
1954.00,   4.00, 169.76, 146.32, 192.64
1954.00,   5.00,  34.90,  19.01,  53.99
1954.00,   6.00,  25.50,  11.25,  43.65
1954.00,   7.00,  19.49,   7.53,  36.96
1954.00,   8.00,  19.47,   8.56,  36.38
1954.00,   9.00,  13.89,   5.05,  29.33
1954.00,  10.00, 154.07, 131.79, 177.20
1954.00,  11.00,  48.21,  27.00,  69.51
1954.00,  12.00,  72.58,  49.60,  96.51
1955.00,   1.00, 113.41,  91.39, 135.29
1955.00,   2.00,  89.88,  68.04, 112.58
1955.00,   3.00, 221.46, 196.63, 247.73
1955.00,   4.00,  98.42,  75.22, 120.91
1955.00,   5.00,  32.98,  17.19,  53.29
1955.00,   6.00,  25.61,  11.70,  43.48
1955.00,   7.00,  19.13,   7.96,  35.46
1955.00,   8.00,  20.15,   8.93,  37.82
1955.00,   9.00,  17.53,   6.35,  35.34
1955.00,  10.00,  42.31,  19.75,  66.53
1955.00,  11.00,  68.44,  46.81,  90.43
1955.00,  12.00,  37.94,  19.32,  59.78
1956.00,   1.00,  13.80,   5.56,  27.24
1956.00,   2.00,  95.87,  72.58, 119.32
1956.00,   3.00, 200.47, 175.58, 225.96
1956.00,   4.00, 124.02, 100.65, 146.11
1956.00,   5.00, 171.51, 147.31, 196.29
1956.00,   6.00,  45.09,  25.20,  66.04
1956.00,   7.00,  27.01,  11.06,  47.71
1956.00,   8.00,  31.80,  13.78,  53.64
1956.00,   9.00,  15.59,   5.67,  32.38
1956.00,  10.00,  18.21,   6.27,  36.53
1956.00,  11.00,  16.73,   6.93,  31.90
1956.00,  12.00,  64.83,  42.12,  89.53
1957.00,   1.00,  74.88,  51.71,  97.39
1957.00,   2.00,  84.45,  61.78, 105.33
1957.00,   3.00,  75.70,  52.31,  98.81
1957.00,   4.00, 219.32, 195.77, 242.32
