# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 18:58:38 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04040500 STURGEON RIVER NEAR SIDNAW, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04040500
#            TS   parameter     statistic     Description
#         70201       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	70201_00060_00003	70201_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04040500	2000-01-01	74.0	A:e
USGS	04040500	2000-01-02	74.0	A:e
USGS	04040500	2000-01-03	74.0	A:e
USGS	04040500	2000-01-04	74.0	A:e
USGS	04040500	2000-01-05	74.0	A:e
USGS	04040500	2000-01-06	74.0	A:e
USGS	04040500	2000-01-07	74.0	A:e
USGS	04040500	2000-01-08	74.0	A:e
USGS	04040500	2000-01-09	74.0	A:e
USGS	04040500	2000-01-10	74.0	A:e
USGS	04040500	2000-01-11	74.0	A:e
USGS	04040500	2000-01-12	70.0	A:e
USGS	04040500	2000-01-13	68.0	A:e
USGS	04040500	2000-01-14	66.0	A:e
USGS	04040500	2000-01-15	64.0	A:e
USGS	04040500	2000-01-16	62.0	A:e
USGS	04040500	2000-01-17	60.0	A:e
USGS	04040500	2000-01-18	58.0	A:e
USGS	04040500	2000-01-19	56.0	A:e
USGS	04040500	2000-01-20	54.0	A:e
USGS	04040500	2000-01-21	52.0	A:e
USGS	04040500	2000-01-22	50.0	A:e
USGS	04040500	2000-01-23	48.0	A:e
USGS	04040500	2000-01-24	48.0	A:e
USGS	04040500	2000-01-25	48.0	A:e
USGS	04040500	2000-01-26	48.0	A:e
USGS	04040500	2000-01-27	48.0	A:e
USGS	04040500	2000-01-28	48.0	A:e
USGS	04040500	2000-01-29	48.0	A:e
USGS	04040500	2000-01-30	48.0	A:e
USGS	04040500	2000-01-31	47.0	A:e
USGS	04040500	2000-02-01	47.0	A:e
USGS	04040500	2000-02-02	47.0	A:e
USGS	04040500	2000-02-03	47.0	A:e
USGS	04040500	2000-02-04	47.0	A:e
USGS	04040500	2000-02-05	46.0	A:e
USGS	04040500	2000-02-06	46.0	A:e
USGS	04040500	2000-02-07	46.0	A:e
USGS	04040500	2000-02-08	45.0	A:e
USGS	04040500	2000-02-09	45.0	A:e
USGS	04040500	2000-02-10	45.0	A:e
USGS	04040500	2000-02-11	45.0	A:e
USGS	04040500	2000-02-12	45.0	A:e
USGS	04040500	2000-02-13	45.0	A:e
USGS	04040500	2000-02-14	45.0	A:e
USGS	04040500	2000-02-15	45.0	A:e
USGS	04040500	2000-02-16	45.0	A:e
USGS	04040500	2000-02-17	45.0	A:e
USGS	04040500	2000-02-18	46.0	A:e
USGS	04040500	2000-02-19	47.0	A:e
USGS	04040500	2000-02-20	48.0	A:e
USGS	04040500	2000-02-21	50.0	A:e
USGS	04040500	2000-02-22	51.0	A:e
USGS	04040500	2000-02-23	56.0	A:e
USGS	04040500	2000-02-24	80.0	A:e
USGS	04040500	2000-02-25	200	A:e
USGS	04040500	2000-02-26	450	A:e
USGS	04040500	2000-02-27	643	A
USGS	04040500	2000-02-28	519	A
USGS	04040500	2000-02-29	495	A
USGS	04040500	2000-03-01	581	A
USGS	04040500	2000-03-02	475	A
USGS	04040500	2000-03-03	416	A
USGS	04040500	2000-03-04	398	A
USGS	04040500	2000-03-05	391	A
USGS	04040500	2000-03-06	413	A
USGS	04040500	2000-03-07	502	A
USGS	04040500	2000-03-08	610	A
USGS	04040500	2000-03-09	742	A
USGS	04040500	2000-03-10	673	A
USGS	04040500	2000-03-11	600	A:e
USGS	04040500	2000-03-12	540	A:e
USGS	04040500	2000-03-13	410	A:e
USGS	04040500	2000-03-14	370	A:e
USGS	04040500	2000-03-15	310	A:e
USGS	04040500	2000-03-16	290	A:e
USGS	04040500	2000-03-17	275	A:e
USGS	04040500	2000-03-18	250	A:e
USGS	04040500	2000-03-19	230	A:e
USGS	04040500	2000-03-20	223	A
USGS	04040500	2000-03-21	227	A
USGS	04040500	2000-03-22	347	A
USGS	04040500	2000-03-23	459	A
USGS	04040500	2000-03-24	501	A
USGS	04040500	2000-03-25	625	A
USGS	04040500	2000-03-26	799	A
USGS	04040500	2000-03-27	1050	A
USGS	04040500	2000-03-28	1010	A
USGS	04040500	2000-03-29	861	A
USGS	04040500	2000-03-30	735	A
USGS	04040500	2000-03-31	737	A
USGS	04040500	2000-04-01	786	A
USGS	04040500	2000-04-02	769	A
USGS	04040500	2000-04-03	770	A
USGS	04040500	2000-04-04	761	A
USGS	04040500	2000-04-05	682	A
USGS	04040500	2000-04-06	652	A
USGS	04040500	2000-04-07	572	A
USGS	04040500	2000-04-08	482	A
USGS	04040500	2000-04-09	425	A
USGS	04040500	2000-04-10	375	A
USGS	04040500	2000-04-11	337	A
USGS	04040500	2000-04-12	313	A
USGS	04040500	2000-04-13	297	A
USGS	04040500	2000-04-14	284	A
USGS	04040500	2000-04-15	295	A
USGS	04040500	2000-04-16	304	A
USGS	04040500	2000-04-17	301	A
USGS	04040500	2000-04-18	335	A
USGS	04040500	2000-04-19	335	A
USGS	04040500	2000-04-20	330	A
USGS	04040500	2000-04-21	324	A
USGS	04040500	2000-04-22	312	A
USGS	04040500	2000-04-23	314	A
USGS	04040500	2000-04-24	322	A
USGS	04040500	2000-04-25	330	A
USGS	04040500	2000-04-26	320	A
USGS	04040500	2000-04-27	298	A
USGS	04040500	2000-04-28	273	A
USGS	04040500	2000-04-29	253	A
USGS	04040500	2000-04-30	234	A
USGS	04040500	2000-05-01	217	A
USGS	04040500	2000-05-02	206	A
USGS	04040500	2000-05-03	192	A
USGS	04040500	2000-05-04	172	A
USGS	04040500	2000-05-05	156	A
USGS	04040500	2000-05-06	143	A
USGS	04040500	2000-05-07	130	A
USGS	04040500	2000-05-08	140	A
USGS	04040500	2000-05-09	154	A
USGS	04040500	2000-05-10	145	A
USGS	04040500	2000-05-11	145	A
USGS	04040500	2000-05-12	152	A
USGS	04040500	2000-05-13	153	A
USGS	04040500	2000-05-14	161	A
USGS	04040500	2000-05-15	157	A
USGS	04040500	2000-05-16	131	A
USGS	04040500	2000-05-17	115	A
USGS	04040500	2000-05-18	101	A
USGS	04040500	2000-05-19	91.0	A
USGS	04040500	2000-05-20	84.0	A
USGS	04040500	2000-05-21	77.0	A
USGS	04040500	2000-05-22	75.0	A
USGS	04040500	2000-05-23	88.0	A
USGS	04040500	2000-05-24	96.0	A
USGS	04040500	2000-05-25	83.0	A
USGS	04040500	2000-05-26	72.0	A
USGS	04040500	2000-05-27	64.0	A
USGS	04040500	2000-05-28	58.0	A
USGS	04040500	2000-05-29	53.0	A
USGS	04040500	2000-05-30	50.0	A
USGS	04040500	2000-05-31	48.0	A
USGS	04040500	2000-06-01	45.0	A
USGS	04040500	2000-06-02	46.0	A
USGS	04040500	2000-06-03	47.0	A
USGS	04040500	2000-06-04	45.0	A
USGS	04040500	2000-06-05	41.0	A
USGS	04040500	2000-06-06	37.0	A
USGS	04040500	2000-06-07	34.0	A
USGS	04040500	2000-06-08	32.0	A
USGS	04040500	2000-06-09	90.0	A
USGS	04040500	2000-06-10	252	A
USGS	04040500	2000-06-11	448	A
USGS	04040500	2000-06-12	343	A
USGS	04040500	2000-06-13	278	A
USGS	04040500	2000-06-14	189	A
USGS	04040500	2000-06-15	151	A
USGS	04040500	2000-06-16	172	A
USGS	04040500	2000-06-17	204	A
USGS	04040500	2000-06-18	176	A
USGS	04040500	2000-06-19	151	A
USGS	04040500	2000-06-20	147	A
USGS	04040500	2000-06-21	241	A
USGS	04040500	2000-06-22	316	A
USGS	04040500	2000-06-23	314	A
USGS	04040500	2000-06-24	275	A
USGS	04040500	2000-06-25	219	A
USGS	04040500	2000-06-26	229	A
USGS	04040500	2000-06-27	254	A
USGS	04040500	2000-06-28	222	A
USGS	04040500	2000-06-29	178	A
USGS	04040500	2000-06-30	147	A
USGS	04040500	2000-07-01	123	A
USGS	04040500	2000-07-02	124	A
USGS	04040500	2000-07-03	160	A
USGS	04040500	2000-07-04	152	A
USGS	04040500	2000-07-05	124	A
USGS	04040500	2000-07-06	123	A
USGS	04040500	2000-07-07	117	A
USGS	04040500	2000-07-08	157	A
USGS	04040500	2000-07-09	336	A
USGS	04040500	2000-07-10	287	A
USGS	04040500	2000-07-11	232	A
USGS	04040500	2000-07-12	178	A
USGS	04040500	2000-07-13	154	A
USGS	04040500	2000-07-14	136	A
USGS	04040500	2000-07-15	120	A
USGS	04040500	2000-07-16	103	A
USGS	04040500	2000-07-17	88.0	A
USGS	04040500	2000-07-18	73.0	A
USGS	04040500	2000-07-19	65.0	A
USGS	04040500	2000-07-20	61.0	A
USGS	04040500	2000-07-21	57.0	A
USGS	04040500	2000-07-22	55.0	A
USGS	04040500	2000-07-23	52.0	A
USGS	04040500	2000-07-24	50.0	A
USGS	04040500	2000-07-25	46.0	A
USGS	04040500	2000-07-26	44.0	A
USGS	04040500	2000-07-27	51.0	A
USGS	04040500	2000-07-28	85.0	A
USGS	04040500	2000-07-29	123	A
USGS	04040500	2000-07-30	108	A
USGS	04040500	2000-07-31	82.0	A
USGS	04040500	2000-08-01	68.0	A
USGS	04040500	2000-08-02	72.0	A
USGS	04040500	2000-08-03	88.0	A
USGS	04040500	2000-08-04	80.0	A
USGS	04040500	2000-08-05	70.0	A
USGS	04040500	2000-08-06	61.0	A
USGS	04040500	2000-08-07	72.0	A
USGS	04040500	2000-08-08	71.0	A
USGS	04040500	2000-08-09	72.0	A
USGS	04040500	2000-08-10	70.0	A
USGS	04040500	2000-08-11	63.0	A
USGS	04040500	2000-08-12	54.0	A
USGS	04040500	2000-08-13	50.0	A
USGS	04040500	2000-08-14	45.0	A
USGS	04040500	2000-08-15	43.0	A
USGS	04040500	2000-08-16	39.0	A
USGS	04040500	2000-08-17	36.0	A
USGS	04040500	2000-08-18	35.0	A
USGS	04040500	2000-08-19	32.0	A
USGS	04040500	2000-08-20	30.0	A
USGS	04040500	2000-08-21	27.0	A
