# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 18:58:49 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04056500 MANISTIQUE RIVER NEAR MANISTIQUE, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04056500
#            TS   parameter     statistic     Description
#         70288       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	70288_00060_00003	70288_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04056500	2000-01-01	620	A:e
USGS	04056500	2000-01-02	620	A:e
USGS	04056500	2000-01-03	620	A:e
USGS	04056500	2000-01-04	620	A:e
USGS	04056500	2000-01-05	620	A:e
USGS	04056500	2000-01-06	620	A:e
USGS	04056500	2000-01-07	620	A:e
USGS	04056500	2000-01-08	620	A:e
USGS	04056500	2000-01-09	620	A:e
USGS	04056500	2000-01-10	640	A:e
USGS	04056500	2000-01-11	650	A:e
USGS	04056500	2000-01-12	660	A:e
USGS	04056500	2000-01-13	680	A:e
USGS	04056500	2000-01-14	680	A:e
USGS	04056500	2000-01-15	680	A:e
USGS	04056500	2000-01-16	680	A:e
USGS	04056500	2000-01-17	680	A:e
USGS	04056500	2000-01-18	680	A:e
USGS	04056500	2000-01-19	680	A:e
USGS	04056500	2000-01-20	680	A:e
USGS	04056500	2000-01-21	680	A:e
USGS	04056500	2000-01-22	680	A:e
USGS	04056500	2000-01-23	680	A:e
USGS	04056500	2000-01-24	660	A:e
USGS	04056500	2000-01-25	660	A:e
USGS	04056500	2000-01-26	660	A:e
USGS	04056500	2000-01-27	640	A:e
USGS	04056500	2000-01-28	640	A:e
USGS	04056500	2000-01-29	620	A:e
USGS	04056500	2000-01-30	620	A:e
USGS	04056500	2000-01-31	610	A:e
USGS	04056500	2000-02-01	600	A:e
USGS	04056500	2000-02-02	600	A:e
USGS	04056500	2000-02-03	600	A:e
USGS	04056500	2000-02-04	600	A:e
USGS	04056500	2000-02-05	600	A:e
USGS	04056500	2000-02-06	600	A:e
USGS	04056500	2000-02-07	600	A:e
USGS	04056500	2000-02-08	600	A:e
USGS	04056500	2000-02-09	600	A:e
USGS	04056500	2000-02-10	600	A:e
USGS	04056500	2000-02-11	600	A:e
USGS	04056500	2000-02-12	600	A:e
USGS	04056500	2000-02-13	600	A:e
USGS	04056500	2000-02-14	600	A:e
USGS	04056500	2000-02-15	600	A:e
USGS	04056500	2000-02-16	600	A:e
USGS	04056500	2000-02-17	600	A:e
USGS	04056500	2000-02-18	600	A:e
USGS	04056500	2000-02-19	600	A:e
USGS	04056500	2000-02-20	600	A:e
USGS	04056500	2000-02-21	620	A:e
USGS	04056500	2000-02-22	660	A:e
USGS	04056500	2000-02-23	700	A:e
USGS	04056500	2000-02-24	800	A:e
USGS	04056500	2000-02-25	950	A:e
USGS	04056500	2000-02-26	1050	A:e
USGS	04056500	2000-02-27	1300	A:e
USGS	04056500	2000-02-28	1400	A:e
USGS	04056500	2000-02-29	1500	A:e
USGS	04056500	2000-03-01	1800	A:e
USGS	04056500	2000-03-02	2000	A:e
USGS	04056500	2000-03-03	2200	A:e
USGS	04056500	2000-03-04	2500	A:e
USGS	04056500	2000-03-05	2800	A:e
USGS	04056500	2000-03-06	3200	A:e
USGS	04056500	2000-03-07	3500	A:e
USGS	04056500	2000-03-08	3820	A
USGS	04056500	2000-03-09	3930	A
USGS	04056500	2000-03-10	4060	A
USGS	04056500	2000-03-11	4120	A
USGS	04056500	2000-03-12	4100	A:e
USGS	04056500	2000-03-13	4100	A:e
USGS	04056500	2000-03-14	3950	A
USGS	04056500	2000-03-15	3720	A
USGS	04056500	2000-03-16	3340	A
USGS	04056500	2000-03-17	2980	A
USGS	04056500	2000-03-18	2780	A
USGS	04056500	2000-03-19	2560	A
USGS	04056500	2000-03-20	2390	A
USGS	04056500	2000-03-21	2290	A
USGS	04056500	2000-03-22	2210	A
USGS	04056500	2000-03-23	2270	A
USGS	04056500	2000-03-24	2390	A
USGS	04056500	2000-03-25	2520	A
USGS	04056500	2000-03-26	2650	A
USGS	04056500	2000-03-27	2840	A
USGS	04056500	2000-03-28	3090	A
USGS	04056500	2000-03-29	3370	A
USGS	04056500	2000-03-30	3570	A
USGS	04056500	2000-03-31	3630	A
USGS	04056500	2000-04-01	3520	A
USGS	04056500	2000-04-02	3300	A
USGS	04056500	2000-04-03	3080	A
USGS	04056500	2000-04-04	2930	A
USGS	04056500	2000-04-05	2830	A
USGS	04056500	2000-04-06	2760	A
USGS	04056500	2000-04-07	2700	A
USGS	04056500	2000-04-08	2630	A
USGS	04056500	2000-04-09	2520	A
USGS	04056500	2000-04-10	2390	A
USGS	04056500	2000-04-11	2240	A
USGS	04056500	2000-04-12	2100	A
USGS	04056500	2000-04-13	1920	A
USGS	04056500	2000-04-14	1710	A
USGS	04056500	2000-04-15	1600	A
USGS	04056500	2000-04-16	1540	A
USGS	04056500	2000-04-17	1500	A
USGS	04056500	2000-04-18	1460	A
USGS	04056500	2000-04-19	1410	A
USGS	04056500	2000-04-20	1370	A
USGS	04056500	2000-04-21	1380	A
USGS	04056500	2000-04-22	1370	A
USGS	04056500	2000-04-23	1350	A
USGS	04056500	2000-04-24	1310	A
USGS	04056500	2000-04-25	1270	A
USGS	04056500	2000-04-26	1230	A
USGS	04056500	2000-04-27	1170	A
USGS	04056500	2000-04-28	1110	A
USGS	04056500	2000-04-29	1060	A
USGS	04056500	2000-04-30	1010	A
USGS	04056500	2000-05-01	989	A
USGS	04056500	2000-05-02	964	A
USGS	04056500	2000-05-03	934	A
USGS	04056500	2000-05-04	915	A
USGS	04056500	2000-05-05	899	A
USGS	04056500	2000-05-06	877	A
USGS	04056500	2000-05-07	866	A
USGS	04056500	2000-05-08	843	A
USGS	04056500	2000-05-09	836	A
USGS	04056500	2000-05-10	833	A
USGS	04056500	2000-05-11	835	A
USGS	04056500	2000-05-12	826	A
USGS	04056500	2000-05-13	828	A
USGS	04056500	2000-05-14	831	A
USGS	04056500	2000-05-15	839	A
USGS	04056500	2000-05-16	827	A
USGS	04056500	2000-05-17	800	A
USGS	04056500	2000-05-18	780	A
USGS	04056500	2000-05-19	757	A
USGS	04056500	2000-05-20	738	A
USGS	04056500	2000-05-21	718	A
USGS	04056500	2000-05-22	707	A
USGS	04056500	2000-05-23	705	A
USGS	04056500	2000-05-24	707	A
USGS	04056500	2000-05-25	705	A
USGS	04056500	2000-05-26	691	A
USGS	04056500	2000-05-27	671	A
USGS	04056500	2000-05-28	656	A
USGS	04056500	2000-05-29	639	A
USGS	04056500	2000-05-30	625	A
USGS	04056500	2000-05-31	616	A
USGS	04056500	2000-06-01	609	A
USGS	04056500	2000-06-02	613	A
USGS	04056500	2000-06-03	617	A
USGS	04056500	2000-06-04	616	A
USGS	04056500	2000-06-05	606	A
USGS	04056500	2000-06-06	586	A
USGS	04056500	2000-06-07	569	A
USGS	04056500	2000-06-08	559	A
