# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:01:39 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04197100 Honey Creek at Melmore OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 04197100
#            TS   parameter     statistic     Description
#        109511       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#        109512       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#        109513       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	109513_00060_00003	109513_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04197100	2000-01-01	12.0	A:e
USGS	04197100	2000-01-02	13.0	A:e
USGS	04197100	2000-01-03	45.0	A
USGS	04197100	2000-01-04	462	A
USGS	04197100	2000-01-05	623	A
USGS	04197100	2000-01-06	395	A
USGS	04197100	2000-01-07	167	A
USGS	04197100	2000-01-08	101	A
USGS	04197100	2000-01-09	71.0	A
USGS	04197100	2000-01-10	59.0	A
USGS	04197100	2000-01-11	65.0	A
USGS	04197100	2000-01-12	58.0	A
USGS	04197100	2000-01-13	45.0	A:e
USGS	04197100	2000-01-14	36.0	A:e
USGS	04197100	2000-01-15	33.0	A:e
USGS	04197100	2000-01-16	30.0	A:e
USGS	04197100	2000-01-17	28.0	A:e
USGS	04197100	2000-01-18	26.0	A:e
USGS	04197100	2000-01-19	24.0	A:e
USGS	04197100	2000-01-20	23.0	A:e
USGS	04197100	2000-01-21	22.0	A:e
USGS	04197100	2000-01-22	21.0	A:e
USGS	04197100	2000-01-23	20.0	A:e
USGS	04197100	2000-01-24	19.0	A:e
USGS	04197100	2000-01-25	18.0	A:e
USGS	04197100	2000-01-26	17.0	A:e
USGS	04197100	2000-01-27	16.0	A:e
USGS	04197100	2000-01-28	16.0	A:e
USGS	04197100	2000-01-29	15.0	A:e
USGS	04197100	2000-01-30	15.0	A:e
USGS	04197100	2000-01-31	14.0	A:e
USGS	04197100	2000-02-01	14.0	A:e
USGS	04197100	2000-02-02	13.0	A:e
USGS	04197100	2000-02-03	13.0	A:e
USGS	04197100	2000-02-04	13.0	A:e
USGS	04197100	2000-02-05	12.0	A:e
USGS	04197100	2000-02-06	12.0	A:e
USGS	04197100	2000-02-07	12.0	A:e
USGS	04197100	2000-02-08	11.0	A:e
USGS	04197100	2000-02-09	11.0	A:e
USGS	04197100	2000-02-10	11.0	A:e
USGS	04197100	2000-02-11	20.0	A:e
USGS	04197100	2000-02-12	230	A:e
USGS	04197100	2000-02-13	150	A:e
USGS	04197100	2000-02-14	100	A:e
USGS	04197100	2000-02-15	70.0	A:e
USGS	04197100	2000-02-16	90.0	A:e
USGS	04197100	2000-02-17	120	A:e
USGS	04197100	2000-02-18	200	A:e
USGS	04197100	2000-02-19	300	A:e
