# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:00:53 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04224775 CANASERAGA CREEK ABOVE DANSVILLE NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 04224775
#            TS   parameter     statistic     Description
#        105602       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	105602_00060_00003	105602_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04224775	2000-01-01	37.0	A
USGS	04224775	2000-01-02	42.0	A
USGS	04224775	2000-01-03	138	A
USGS	04224775	2000-01-04	543	A
USGS	04224775	2000-01-05	253	A
USGS	04224775	2000-01-06	155	A
USGS	04224775	2000-01-07	127	A
USGS	04224775	2000-01-08	103	A
USGS	04224775	2000-01-09	91.0	A
USGS	04224775	2000-01-10	94.0	A
USGS	04224775	2000-01-11	151	A
USGS	04224775	2000-01-12	132	A
USGS	04224775	2000-01-13	99.0	A
USGS	04224775	2000-01-14	78.0	A
USGS	04224775	2000-01-15	81.0	A
USGS	04224775	2000-01-16	62.0	A:e
USGS	04224775	2000-01-17	50.0	A:e
USGS	04224775	2000-01-18	45.0	A:e
USGS	04224775	2000-01-19	50.0	A:e
USGS	04224775	2000-01-20	52.0	A:e
USGS	04224775	2000-01-21	50.0	A:e
USGS	04224775	2000-01-22	50.0	A:e
USGS	04224775	2000-01-23	50.0	A:e
USGS	04224775	2000-01-24	52.0	A:e
USGS	04224775	2000-01-25	50.0	A:e
USGS	04224775	2000-01-26	46.0	A:e
USGS	04224775	2000-01-27	44.0	A:e
USGS	04224775	2000-01-28	41.0	A:e
USGS	04224775	2000-01-29	39.0	A:e
USGS	04224775	2000-01-30	38.0	A:e
USGS	04224775	2000-01-31	40.0	A:e
USGS	04224775	2000-02-01	42.0	A:e
USGS	04224775	2000-02-02	40.0	A:e
USGS	04224775	2000-02-03	38.0	A:e
USGS	04224775	2000-02-04	37.0	A:e
USGS	04224775	2000-02-05	39.0	A:e
USGS	04224775	2000-02-06	40.0	A:e
USGS	04224775	2000-02-07	38.0	A:e
USGS	04224775	2000-02-08	36.0	A:e
USGS	04224775	2000-02-09	38.0	A:e
USGS	04224775	2000-02-10	40.0	A:e
USGS	04224775	2000-02-11	41.0	A:e
USGS	04224775	2000-02-12	45.0	A:e
USGS	04224775	2000-02-13	52.0	A:e
USGS	04224775	2000-02-14	52.0	A:e
USGS	04224775	2000-02-15	50.0	A:e
USGS	04224775	2000-02-16	50.0	A:e
USGS	04224775	2000-02-17	48.0	A:e
USGS	04224775	2000-02-18	46.0	A:e
USGS	04224775	2000-02-19	46.0	A:e
USGS	04224775	2000-02-20	44.0	A:e
USGS	04224775	2000-02-21	42.0	A:e
USGS	04224775	2000-02-22	45.0	A:e
USGS	04224775	2000-02-23	100	A:e
USGS	04224775	2000-02-24	400	A:e
USGS	04224775	2000-02-25	1100	A:e
USGS	04224775	2000-02-26	704	A
USGS	04224775	2000-02-27	461	A
USGS	04224775	2000-02-28	525	A
USGS	04224775	2000-02-29	274	A
USGS	04224775	2000-03-01	217	A
USGS	04224775	2000-03-02	202	A
USGS	04224775	2000-03-03	186	A
USGS	04224775	2000-03-04	157	A
USGS	04224775	2000-03-05	144	A
USGS	04224775	2000-03-06	112	A
USGS	04224775	2000-03-07	94.0	A
USGS	04224775	2000-03-08	87.0	A
USGS	04224775	2000-03-09	80.0	A
USGS	04224775	2000-03-10	80.0	A
USGS	04224775	2000-03-11	71.0	A
USGS	04224775	2000-03-12	78.0	A
USGS	04224775	2000-03-13	68.0	A
USGS	04224775	2000-03-14	83.0	A
USGS	04224775	2000-03-15	124	A
USGS	04224775	2000-03-16	128	A
USGS	04224775	2000-03-17	158	A
USGS	04224775	2000-03-18	115	A
USGS	04224775	2000-03-19	127	A
USGS	04224775	2000-03-20	179	A
USGS	04224775	2000-03-21	166	A
USGS	04224775	2000-03-22	146	A
USGS	04224775	2000-03-23	119	A
USGS	04224775	2000-03-24	101	A
USGS	04224775	2000-03-25	89.0	A
USGS	04224775	2000-03-26	79.0	A
USGS	04224775	2000-03-27	63.0	A
USGS	04224775	2000-03-28	56.0	A
USGS	04224775	2000-03-29	55.0	A
USGS	04224775	2000-03-30	55.0	A
USGS	04224775	2000-03-31	46.0	A
USGS	04224775	2000-04-01	39.0	A
USGS	04224775	2000-04-02	37.0	A
USGS	04224775	2000-04-03	52.0	A
USGS	04224775	2000-04-04	426	A
USGS	04224775	2000-04-05	291	A
USGS	04224775	2000-04-06	201	A
