time,date,hour,precip [mm/day],sub6642 [m3/s],sub6642 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,2.14043,
1,2000-01-02,00:00:00.00,1.18419,12.4453,0.38
2,2000-01-03,00:00:00.00,1.6917,20.2842,0.37
3,2000-01-04,00:00:00.00,0.151086,16.1813,0.37
4,2000-01-05,00:00:00.00,0.141006,13.3853,0.37
5,2000-01-06,00:00:00.00,4.9569,11.3661,0.37
6,2000-01-07,00:00:00.00,4.66518,9.84437,0.36
7,2000-01-08,00:00:00.00,2.30712,8.65968,0.36
8,2000-01-09,00:00:00.00,1.5384,7.71325,0.36
9,2000-01-10,00:00:00.00,0.32881,6.94102,0.36
10,2000-01-11,00:00:00.00,4.32424,6.29996,0.36
11,2000-01-12,00:00:00.00,0.249689,5.75999,0.35
12,2000-01-13,00:00:00.00,0.216692,5.29958,0.35
13,2000-01-14,00:00:00.00,0.125252,4.90282,0.35
14,2000-01-15,00:00:00.00,2.63847,4.55764,0.35
15,2000-01-16,00:00:00.00,2.37726,4.25473,0.34
16,2000-01-17,00:00:00.00,0.271227,3.98697,0.34
17,2000-01-18,00:00:00.00,5.13558,3.74879,0.34
18,2000-01-19,00:00:00.00,3.09843,3.5356,0.34
19,2000-01-20,00:00:00.00,0.25643,3.34378,0.34
20,2000-01-21,00:00:00.00,0.0755205,3.17042,0.34
21,2000-01-22,00:00:00.00,0.22084,3.01302,0.33
22,2000-01-23,00:00:00.00,4.07629,2.86952,0.33
23,2000-01-24,00:00:00.00,0.612958,2.7382,0.33
24,2000-01-25,00:00:00.00,0.209928,2.6176,0.33
25,2000-01-26,00:00:00.00,0.169468,2.50649,0.33
26,2000-01-27,00:00:00.00,0.13391,2.40383,0.33
27,2000-01-28,00:00:00.00,0.147515,2.30867,0.33
28,2000-01-29,00:00:00.00,0.297051,2.2202,0.32
29,2000-01-30,00:00:00.00,0.036493,2.13773,0.32
30,2000-01-31,00:00:00.00,0.0503144,2.0607,0.32
31,2000-02-01,00:00:00.00,0.521033,1.98863,0.32
32,2000-02-02,00:00:00.00,0.0343195,1.92109,0.32
33,2000-02-03,00:00:00.00,3.64655,1.85767,0.32
34,2000-02-04,00:00:00.00,2.53848,1.798,0.32
35,2000-02-05,00:00:00.00,0.0798574,1.74177,0.32
36,2000-02-06,00:00:00.00,0.0510821,1.68869,0.32
37,2000-02-07,00:00:00.00,0.217214,1.63851,0.31
38,2000-02-08,00:00:00.00,0.0492789,1.59099,0.31
39,2000-02-09,00:00:00.00,0.585459,1.54594,0.31
40,2000-02-10,00:00:00.00,0.0710023,1.50315,0.31
41,2000-02-11,00:00:00.00,0.131035,1.46251,0.31
42,2000-02-12,00:00:00.00,0.0570951,1.42392,0.31
43,2000-02-13,00:00:00.00,0.0976386,1.38718,0.31
44,2000-02-14,00:00:00.00,0.0895358,1.35216,0.31
45,2000-02-15,00:00:00.00,0.21365,1.31874,0.31
46,2000-02-16,00:00:00.00,0.43781,1.2868,0.31
47,2000-02-17,00:00:00.00,0.0729334,1.25627,0.3
48,2000-02-18,00:00:00.00,0.0820759,1.22706,0.3
49,2000-02-19,00:00:00.00,0.092289,1.19908,0.3
50,2000-02-20,00:00:00.00,0.168589,1.17222,0.31
