time,date,hour,precip [mm/day],sub6646 [m3/s],sub6646 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,8.02934,
1,2000-01-02,00:00:00.00,2.19712,4.01469,2.35
2,2000-01-03,00:00:00.00,0.454127,0.000107534,2.31
3,2000-01-04,00:00:00.00,0.346077,0.000306675,2.27
4,2000-01-05,00:00:00.00,0.493973,0.000665898,2.23
5,2000-01-06,00:00:00.00,1.62661,0.00121443,2.2
6,2000-01-07,00:00:00.00,5.58217,0.0019749,2.16
7,2000-01-08,00:00:00.00,0.801002,0.00291784,2.11
8,2000-01-09,00:00:00.00,3.15878,0.0038201,2.07
9,2000-01-10,00:00:00.00,0.494956,0.00448407,2.04
10,2000-01-11,00:00:00.00,3.57755,0.00527115,2
11,2000-01-12,00:00:00.00,0.812633,0.00717995,1.96
12,2000-01-13,00:00:00.00,0.306783,0.0104832,1.92
13,2000-01-14,00:00:00.00,0.342003,0.0147136,1.88
14,2000-01-15,00:00:00.00,0.440158,0.0197233,1.86
15,2000-01-16,00:00:00.00,5.29317,0.0254583,1.83
16,2000-01-17,00:00:00.00,0.250791,0.0306095,1.8
17,2000-01-18,00:00:00.00,5.17977,0.0299847,1.77
18,2000-01-19,00:00:00.00,4.38743,0.0242644,1.74
19,2000-01-20,00:00:00.00,0.480241,0.0186082,1.71
20,2000-01-21,00:00:00.00,0.229064,0.0136357,1.68
21,2000-01-22,00:00:00.00,0.215737,0.00947227,1.64
22,2000-01-23,00:00:00.00,2.93382,0.00640225,1.61
23,2000-01-24,00:00:00.00,3.35483,0.00493675,1.58
24,2000-01-25,00:00:00.00,0.542919,0.00463462,1.55
25,2000-01-26,00:00:00.00,0.381629,0.00455131,1.52
26,2000-01-27,00:00:00.00,0.486482,0.00448913,1.5
27,2000-01-28,00:00:00.00,0.275888,0.00444516,1.47
28,2000-01-29,00:00:00.00,0.310668,0.00441299,1.44
29,2000-01-30,00:00:00.00,0.198954,0.00438334,1.42
30,2000-01-31,00:00:00.00,0.343278,0.00434417,1.4
31,2000-02-01,00:00:00.00,0.589382,0.00428133,1.38
32,2000-02-02,00:00:00.00,0.120174,0.004182,1.36
33,2000-02-03,00:00:00.00,1.25394,0.00403651,1.34
34,2000-02-04,00:00:00.00,1.3495,0.00384155,1.31
35,2000-02-05,00:00:00.00,0.199612,0.00360599,1.28
36,2000-02-06,00:00:00.00,0.609771,0.00334949,1.26
37,2000-02-07,00:00:00.00,0.360552,0.00309076,1.22
38,2000-02-08,00:00:00.00,0.171732,0.00283932,1.18
39,2000-02-09,00:00:00.00,2.21762,0.00259674,1.14
40,2000-02-10,00:00:00.00,0.848939,0.00236583,1.1
41,2000-02-11,00:00:00.00,0.160877,0.00215029,1.06
