time,date,hour,precip [mm/day],sub6524 [m3/s],sub6524 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,1.83417,1.39286,
2,2000-01-03,00:00:00.00,15.463,2.74557,
3,2000-01-04,00:00:00.00,0.495041,2.66757,
4,2000-01-05,00:00:00.00,13.2846,2.59409,
5,2000-01-06,00:00:00.00,0.28527,2.52477,
6,2000-01-07,00:00:00.00,1.96761,2.45888,
7,2000-01-08,00:00:00.00,0.380257,2.39586,
8,2000-01-09,00:00:00.00,0.360525,2.33552,
9,2000-01-10,00:00:00.00,0.514209,2.27772,
10,2000-01-11,00:00:00.00,5.54752,2.22573,
11,2000-01-12,00:00:00.00,2.38061,2.18939,
12,2000-01-13,00:00:00.00,0.429252,2.1743,
13,2000-01-14,00:00:00.00,0.295967,2.17964,
14,2000-01-15,00:00:00.00,0.383675,2.1834,
15,2000-01-16,00:00:00.00,4.96314,2.14281,
16,2000-01-17,00:00:00.00,2.81986,2.07001,
17,2000-01-18,00:00:00.00,1.10292,2.00115,
18,2000-01-19,00:00:00.00,0.965134,1.94072,
19,2000-01-20,00:00:00.00,0.279857,1.89176,
20,2000-01-21,00:00:00.00,0.359247,1.85155,
21,2000-01-22,00:00:00.00,0.174734,1.81409,
22,2000-01-23,00:00:00.00,0.275983,1.77804,
23,2000-01-24,00:00:00.00,4.59277,1.7433,
24,2000-01-25,00:00:00.00,0.322115,1.70981,
25,2000-01-26,00:00:00.00,0.655734,1.67748,
26,2000-01-27,00:00:00.00,0.313658,1.64623,
27,2000-01-28,00:00:00.00,0.121149,1.61599,
28,2000-01-29,00:00:00.00,0.190105,1.58674,
29,2000-01-30,00:00:00.00,0.281593,1.55845,
30,2000-01-31,00:00:00.00,0.52926,1.53108,
31,2000-02-01,00:00:00.00,1.0645,1.50458,
32,2000-02-02,00:00:00.00,0.702598,1.47887,
33,2000-02-03,00:00:00.00,0.17278,1.4539,
34,2000-02-04,00:00:00.00,0.686754,1.42964,
35,2000-02-05,00:00:00.00,0.100714,1.40608,
36,2000-02-06,00:00:00.00,1.32996,1.38323,
37,2000-02-07,00:00:00.00,0.16937,1.36106,
38,2000-02-08,00:00:00.00,0.714867,1.33953,
39,2000-02-09,00:00:00.00,0.252375,1.31858,
40,2000-02-10,00:00:00.00,3.24316,1.29819,
41,2000-02-11,00:00:00.00,1.67341,1.27832,
42,2000-02-12,00:00:00.00,1.50491,1.25896,
43,2000-02-13,00:00:00.00,0.114204,1.24012,
44,2000-02-14,00:00:00.00,2.33218,1.22179,
45,2000-02-15,00:00:00.00,0.189913,1.20395,
46,2000-02-16,00:00:00.00,2.56814,1.18661,
47,2000-02-17,00:00:00.00,3.42397,1.16971,
48,2000-02-18,00:00:00.00,0.0701425,1.15323,
49,2000-02-19,00:00:00.00,0.273179,1.13717,
50,2000-02-20,00:00:00.00,0.307482,1.12149,
51,2000-02-21,00:00:00.00,0.335521,1.10619,
52,2000-02-22,00:00:00.00,0.235169,1.09127,
53,2000-02-23,00:00:00.00,0.629219,1.0767,
54,2000-02-24,00:00:00.00,1.00949,1.06247,
55,2000-02-25,00:00:00.00,2.7448,1.05555,
56,2000-02-26,00:00:00.00,2.21083,1.09517,
57,2000-02-27,00:00:00.00,4.96904,1.32814,
58,2000-02-28,00:00:00.00,18.1391,2.08033,
59,2000-02-29,00:00:00.00,0.3236,3.69003,
60,2000-03-01,00:00:00.00,0.213663,6.3635,
61,2000-03-02,00:00:00.00,5.91938,9.41874,
62,2000-03-03,00:00:00.00,1.91588,10.7866,
63,2000-03-04,00:00:00.00,0.0198315,9.96909,
64,2000-03-05,00:00:00.00,0.940646,8.64583,
65,2000-03-06,00:00:00.00,0.0693249,7.62943,
66,2000-03-07,00:00:00.00,0.0710677,6.84956,
67,2000-03-08,00:00:00.00,0.953396,6.35217,
68,2000-03-09,00:00:00.00,0.980635,6.10152,
69,2000-03-10,00:00:00.00,7.66753,5.92323,
70,2000-03-11,00:00:00.00,0.22098,5.70557,
71,2000-03-12,00:00:00.00,0.0771218,5.44678,
72,2000-03-13,00:00:00.00,0.0490582,5.17692,
73,2000-03-14,00:00:00.00,0.381992,4.91481,
74,2000-03-15,00:00:00.00,1.88876,4.68416,
75,2000-03-16,00:00:00.00,3.78735,4.48258,
76,2000-03-17,00:00:00.00,0.0386096,4.30086,
77,2000-03-18,00:00:00.00,0.114758,4.13386,
78,2000-03-19,00:00:00.00,0.252743,3.97796,
79,2000-03-20,00:00:00.00,0.0223137,3.83178,
80,2000-03-21,00:00:00.00,2.02263,3.69581,
81,2000-03-22,00:00:00.00,0.166855,3.5862,
82,2000-03-23,00:00:00.00,0.491432,3.54549,
83,2000-03-24,00:00:00.00,0.35242,3.60253,
84,2000-03-25,00:00:00.00,0.447968,3.75265,
85,2000-03-26,00:00:00.00,1.33795,3.88152,
86,2000-03-27,00:00:00.00,0.261831,3.81471,
87,2000-03-28,00:00:00.00,4.41844,3.61662,
88,2000-03-29,00:00:00.00,3.47081,3.45047,
89,2000-03-30,00:00:00.00,2.67781,3.35617,
90,2000-03-31,00:00:00.00,0.0616536,3.34801,
91,2000-04-01,00:00:00.00,0.200242,3.38934,
92,2000-04-02,00:00:00.00,0.64388,3.3866,
93,2000-04-03,00:00:00.00,0.0973784,3.30241,
94,2000-04-04,00:00:00.00,2.09409,3.1647,
95,2000-04-05,00:00:00.00,2.37962,3.01688,
96,2000-04-06,00:00:00.00,0.0496163,2.89454,
97,2000-04-07,00:00:00.00,8.77547,2.81118,
98,2000-04-08,00:00:00.00,0.168232,2.78865,
99,2000-04-09,00:00:00.00,0.215954,2.83109,
100,2000-04-10,00:00:00.00,0.377955,2.92206,
101,2000-04-11,00:00:00.00,0.15633,2.99653,
102,2000-04-12,00:00:00.00,0.256053,2.93847,
103,2000-04-13,00:00:00.00,1.0125,2.78684,
104,2000-04-14,00:00:00.00,1.40791,2.64592,
105,2000-04-15,00:00:00.00,3.10951,2.52847,
106,2000-04-16,00:00:00.00,4.94954,2.44753,
107,2000-04-17,00:00:00.00,0.441803,2.40716,
108,2000-04-18,00:00:00.00,0.000952182,2.39733,
109,2000-04-19,00:00:00.00,0.0488487,2.40847,
110,2000-04-20,00:00:00.00,0.124648,2.40713,
111,2000-04-21,00:00:00.00,2.05921,2.35249,
112,2000-04-22,00:00:00.00,2.6298,2.26768,
113,2000-04-23,00:00:00.00,0.0729106,2.1942,
114,2000-04-24,00:00:00.00,0.0147326,2.13918,
115,2000-04-25,00:00:00.00,0.00194692,2.10291,
116,2000-04-26,00:00:00.00,0.0108568,2.07059,
117,2000-04-27,00:00:00.00,0.0490657,2.02408,
118,2000-04-28,00:00:00.00,0.646071,1.96903,
119,2000-04-29,00:00:00.00,0.101101,1.91687,
120,2000-04-30,00:00:00.00,0.788103,1.86937,
121,2000-05-01,00:00:00.00,0,1.82724,
122,2000-05-02,00:00:00.00,1.39624,1.78903,
123,2000-05-03,00:00:00.00,0.225511,1.75273,
124,2000-05-04,00:00:00.00,0.0321942,1.71782,
125,2000-05-05,00:00:00.00,3.92577,1.68423,
126,2000-05-06,00:00:00.00,3.45029,1.65194,
127,2000-05-07,00:00:00.00,0.320214,1.62095,
128,2000-05-08,00:00:00.00,1.65214,1.59119,
129,2000-05-09,00:00:00.00,6.87093,1.56279,
130,2000-05-10,00:00:00.00,1.99214,1.53621,
131,2000-05-11,00:00:00.00,10.4612,1.51371,
132,2000-05-12,00:00:00.00,0.0498833,1.50098,
133,2000-05-13,00:00:00.00,9.93022,1.50181,
134,2000-05-14,00:00:00.00,19.0661,1.53265,
135,2000-05-15,00:00:00.00,0.854106,1.62673,
136,2000-05-16,00:00:00.00,0.0438675,1.78427,
137,2000-05-17,00:00:00.00,0.0103194,1.99474,
138,2000-05-18,00:00:00.00,0.0673586,2.16299,
139,2000-05-19,00:00:00.00,4.7096,2.12063,
140,2000-05-20,00:00:00.00,0.0609524,1.9466,
141,2000-05-21,00:00:00.00,0.0309661,1.80015,
142,2000-05-22,00:00:00.00,0.0306157,1.70097,
143,2000-05-23,00:00:00.00,0.0259334,1.65173,
144,2000-05-24,00:00:00.00,5.85085,1.61807,
