time,date,hour,precip [mm/day],sub6535 [m3/s],sub6535 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.412979,9.4442,
2,2000-01-03,00:00:00.00,17.2295,19.1113,
3,2000-01-04,00:00:00.00,9.14627,20.8374,
4,2000-01-05,00:00:00.00,20.2231,24.0917,
5,2000-01-06,00:00:00.00,0.306161,27.545,
6,2000-01-07,00:00:00.00,0.595766,30.4287,
7,2000-01-08,00:00:00.00,1.68242,29.5026,
8,2000-01-09,00:00:00.00,0.254838,25.8638,
9,2000-01-10,00:00:00.00,0.324551,23.8808,
10,2000-01-11,00:00:00.00,9.75178,23.7293,
11,2000-01-12,00:00:00.00,4.53287,26.2884,
12,2000-01-13,00:00:00.00,0.647466,30.8456,
13,2000-01-14,00:00:00.00,0.378157,32.1723,
14,2000-01-15,00:00:00.00,0.239462,29.4581,
15,2000-01-16,00:00:00.00,1.79542,26.9226,
16,2000-01-17,00:00:00.00,2.70275,25.7885,
17,2000-01-18,00:00:00.00,0.218347,25.1682,
18,2000-01-19,00:00:00.00,0.272143,24.6218,
19,2000-01-20,00:00:00.00,0.358835,24.1002,
20,2000-01-21,00:00:00.00,2.13934,23.6016,
21,2000-01-22,00:00:00.00,0.175597,23.1219,
22,2000-01-23,00:00:00.00,0.246898,22.6609,
23,2000-01-24,00:00:00.00,4.41258,22.2194,
24,2000-01-25,00:00:00.00,0.800244,21.7942,
25,2000-01-26,00:00:00.00,0.326797,21.3818,
26,2000-01-27,00:00:00.00,0.15655,20.9822,
27,2000-01-28,00:00:00.00,0.184233,20.5974,
28,2000-01-29,00:00:00.00,0.183873,20.2278,
29,2000-01-30,00:00:00.00,0.513616,19.8727,
30,2000-01-31,00:00:00.00,0.327013,19.5286,
31,2000-02-01,00:00:00.00,2.54869,19.2076,
32,2000-02-02,00:00:00.00,1.15809,18.9572,
33,2000-02-03,00:00:00.00,0.303248,18.7467,
34,2000-02-04,00:00:00.00,1.73735,18.4452,
35,2000-02-05,00:00:00.00,0.261788,18.0789,
36,2000-02-06,00:00:00.00,1.65166,17.7547,
37,2000-02-07,00:00:00.00,0.195782,17.4652,
38,2000-02-08,00:00:00.00,0.404801,17.185,
39,2000-02-09,00:00:00.00,0.289057,16.9106,
40,2000-02-10,00:00:00.00,1.70027,16.6734,
41,2000-02-11,00:00:00.00,5.00012,16.5633,
42,2000-02-12,00:00:00.00,2.32689,16.5186,
43,2000-02-13,00:00:00.00,0.225868,16.2842,
44,2000-02-14,00:00:00.00,4.36194,15.9119,
45,2000-02-15,00:00:00.00,0.924865,15.6134,
46,2000-02-16,00:00:00.00,1.15735,15.3764,
47,2000-02-17,00:00:00.00,7.46113,15.1682,
48,2000-02-18,00:00:00.00,0.193281,15.0276,
49,2000-02-19,00:00:00.00,2.29132,14.9234,
50,2000-02-20,00:00:00.00,0.432286,14.7211,
51,2000-02-21,00:00:00.00,1.4095,14.4456,
52,2000-02-22,00:00:00.00,0.25214,14.2096,
53,2000-02-23,00:00:00.00,0.70401,14.007,
54,2000-02-24,00:00:00.00,1.44709,14.37,
55,2000-02-25,00:00:00.00,8.88126,17.9802,
56,2000-02-26,00:00:00.00,8.88037,27.7311,
57,2000-02-27,00:00:00.00,0.668042,40.1696,
58,2000-02-28,00:00:00.00,5.28277,48.5784,
59,2000-02-29,00:00:00.00,2.05053,51.2809,
60,2000-03-01,00:00:00.00,1.7511,49.3481,
61,2000-03-02,00:00:00.00,4.67555,45.2898,
62,2000-03-03,00:00:00.00,2.69836,43.1556,
63,2000-03-04,00:00:00.00,0.0455186,43.2208,
64,2000-03-05,00:00:00.00,0.122538,42.3798,
65,2000-03-06,00:00:00.00,0.0611804,40.1105,
66,2000-03-07,00:00:00.00,0.0407598,38.1532,
67,2000-03-08,00:00:00.00,0.903637,36.8779,
68,2000-03-09,00:00:00.00,0.290489,35.7636,
69,2000-03-10,00:00:00.00,6.4266,34.9343,
70,2000-03-11,00:00:00.00,0.456336,35.3542,
71,2000-03-12,00:00:00.00,0.149874,36.361,
72,2000-03-13,00:00:00.00,0.301903,35.6025,
73,2000-03-14,00:00:00.00,0.929211,33.6035,
74,2000-03-15,00:00:00.00,2.51128,32.2416,
75,2000-03-16,00:00:00.00,4.26583,31.8472,
76,2000-03-17,00:00:00.00,2.61313,32.5224,
77,2000-03-18,00:00:00.00,0.0452869,33.1598,
78,2000-03-19,00:00:00.00,0.0618888,32.2238,
79,2000-03-20,00:00:00.00,2.63051,30.6014,
80,2000-03-21,00:00:00.00,2.95762,29.9143,
81,2000-03-22,00:00:00.00,0.117454,30.2782,
82,2000-03-23,00:00:00.00,0.512214,30.5349,
83,2000-03-24,00:00:00.00,0.454927,29.6271,
84,2000-03-25,00:00:00.00,0.508142,28.2434,
85,2000-03-26,00:00:00.00,2.56841,27.2914,
86,2000-03-27,00:00:00.00,0.860469,26.7768,
87,2000-03-28,00:00:00.00,2.6573,26.4771,
88,2000-03-29,00:00:00.00,5.51332,26.3778,
89,2000-03-30,00:00:00.00,5.80556,27.216,
90,2000-03-31,00:00:00.00,0.665043,29.0971,
91,2000-04-01,00:00:00.00,0.0261928,30.0482,
92,2000-04-02,00:00:00.00,0.00961894,28.7292,
93,2000-04-03,00:00:00.00,1.67182,26.7628,
94,2000-04-04,00:00:00.00,0.065349,25.6135,
95,2000-04-05,00:00:00.00,3.38398,25.0036,
96,2000-04-06,00:00:00.00,0.0606662,24.7443,
97,2000-04-07,00:00:00.00,4.89232,24.7482,
98,2000-04-08,00:00:00.00,2.75189,24.8751,
99,2000-04-09,00:00:00.00,12.0191,25.486,
100,2000-04-10,00:00:00.00,0.601108,27.0708,
101,2000-04-11,00:00:00.00,0.649361,28.6389,
102,2000-04-12,00:00:00.00,0.806088,27.8824,
103,2000-04-13,00:00:00.00,0.0876324,25.7081,
104,2000-04-14,00:00:00.00,0.527463,24.4105,
105,2000-04-15,00:00:00.00,0.0871486,23.7551,
106,2000-04-16,00:00:00.00,0.303522,23.197,
107,2000-04-17,00:00:00.00,0.0273343,22.6463,
108,2000-04-18,00:00:00.00,0.254971,22.114,
109,2000-04-19,00:00:00.00,0.0182826,21.6072,
110,2000-04-20,00:00:00.00,0.308936,21.1238,
111,2000-04-21,00:00:00.00,16.5708,21.1462,
112,2000-04-22,00:00:00.00,19.9466,23.9936,
113,2000-04-23,00:00:00.00,0.102049,31.2833,
114,2000-04-24,00:00:00.00,0.0111244,37.0332,
115,2000-04-25,00:00:00.00,0.155302,34.9122,
116,2000-04-26,00:00:00.00,0.112003,29.8163,
117,2000-04-27,00:00:00.00,0.0647158,27.2978,
118,2000-04-28,00:00:00.00,0.195781,26.338,
119,2000-04-29,00:00:00.00,0.294906,25.6186,
120,2000-04-30,00:00:00.00,0.115227,24.9276,
121,2000-05-01,00:00:00.00,0.129986,24.2627,
122,2000-05-02,00:00:00.00,0.357113,23.6261,
123,2000-05-03,00:00:00.00,0.0503039,23.0191,
124,2000-05-04,00:00:00.00,0.060564,22.4398,
125,2000-05-05,00:00:00.00,0.107839,21.8852,
126,2000-05-06,00:00:00.00,1.83646,21.3527,
127,2000-05-07,00:00:00.00,0.0530233,20.8426,
128,2000-05-08,00:00:00.00,2.54872,20.3596,
129,2000-05-09,00:00:00.00,7.43653,19.9744,
130,2000-05-10,00:00:00.00,10.0482,19.9861,
131,2000-05-11,00:00:00.00,24.1856,21.1319,
132,2000-05-12,00:00:00.00,0.154966,24.2905,
133,2000-05-13,00:00:00.00,1.53319,27.4156,
134,2000-05-14,00:00:00.00,15.0531,26.927,
135,2000-05-15,00:00:00.00,0.300088,25.7846,
136,2000-05-16,00:00:00.00,0.0461034,26.7832,
137,2000-05-17,00:00:00.00,0.783961,26.2943,
138,2000-05-18,00:00:00.00,0.090543,24.1528,
139,2000-05-19,00:00:00.00,25.0364,23.5359,
140,2000-05-20,00:00:00.00,0.0286833,26.5669,
141,2000-05-21,00:00:00.00,0.0398426,31.1395,
142,2000-05-22,00:00:00.00,0.0616756,30.9645,
143,2000-05-23,00:00:00.00,0.221658,27.3214,
144,2000-05-24,00:00:00.00,5.37249,25.2296,
145,2000-05-25,00:00:00.00,2.80073,24.5317,
146,2000-05-26,00:00:00.00,0.413775,24.1138,
147,2000-05-27,00:00:00.00,0.122788,23.5293,
148,2000-05-28,00:00:00.00,0.0857305,22.824,
149,2000-05-29,00:00:00.00,0.0841617,22.1994,
150,2000-05-30,00:00:00.00,0.244567,21.6466,
151,2000-05-31,00:00:00.00,0.159788,21.1247,
152,2000-06-01,00:00:00.00,2.82408,20.6263,
153,2000-06-02,00:00:00.00,0.176801,20.1506,
154,2000-06-03,00:00:00.00,10.8715,19.7948,
155,2000-06-04,00:00:00.00,0.0470513,19.8531,
156,2000-06-05,00:00:00.00,0.457678,20.1103,
157,2000-06-06,00:00:00.00,0.30782,19.7345,
158,2000-06-07,00:00:00.00,0.0964826,18.9056,
159,2000-06-08,00:00:00.00,0.0346545,18.3091,
160,2000-06-09,00:00:00.00,0.210409,17.9057,
161,2000-06-10,00:00:00.00,19.1533,17.7254,
162,2000-06-11,00:00:00.00,1.72194,18.291,
163,2000-06-12,00:00:00.00,11.4424,19.3429,
164,2000-06-13,00:00:00.00,0.122306,19.7143,
165,2000-06-14,00:00:00.00,22.7789,19.8987,
166,2000-06-15,00:00:00.00,0.546227,21.4358,
167,2000-06-16,00:00:00.00,5.81817,23.6289,
168,2000-06-17,00:00:00.00,0.753981,23.5316,
169,2000-06-18,00:00:00.00,0.0729668,21.6671,
170,2000-06-19,00:00:00.00,0.893079,20.3325,
171,2000-06-20,00:00:00.00,0.0170259,19.4568,
172,2000-06-21,00:00:00.00,0.182754,18.885,
173,2000-06-22,00:00:00.00,14.298,18.6766,
174,2000-06-23,00:00:00.00,0.302704,19.3574,
175,2000-06-24,00:00:00.00,0.109225,20.4555,
176,2000-06-25,00:00:00.00,2.68867,20.1569,
177,2000-06-26,00:00:00.00,38.2899,19.7931,
178,2000-06-27,00:00:00.00,0.151652,23.8711,
179,2000-06-28,00:00:00.00,0.924227,30.3191,
180,2000-06-29,00:00:00.00,0.0453081,30.3685,
181,2000-06-30,00:00:00.00,5.32774,25.7146,
182,2000-07-01,00:00:00.00,0.0932268,23.5187,
183,2000-07-02,00:00:00.00,0.0283676,23.2356,
184,2000-07-03,00:00:00.00,0.0368507,22.7208,
185,2000-07-04,00:00:00.00,0.829503,21.8559,
186,2000-07-05,00:00:00.00,0.144077,21.1766,
187,2000-07-06,00:00:00.00,0.0355777,20.6576,
188,2000-07-07,00:00:00.00,0.0475372,20.1809,
189,2000-07-08,00:00:00.00,0.0287849,19.7241,
190,2000-07-09,00:00:00.00,0.0717285,19.2868,
191,2000-07-10,00:00:00.00,28.8016,19.2731,
192,2000-07-11,00:00:00.00,0.237139,20.926,
193,2000-07-12,00:00:00.00,0.0436014,23.3755,
194,2000-07-13,00:00:00.00,0.152843,23.1237,
195,2000-07-14,00:00:00.00,0.0826544,20.9047,
196,2000-07-15,00:00:00.00,9.08954,19.6849,
197,2000-07-16,00:00:00.00,3.43001,19.5592,
198,2000-07-17,00:00:00.00,2.47184,19.7563,
199,2000-07-18,00:00:00.00,0.220331,19.47,
200,2000-07-19,00:00:00.00,0.015599,18.7526,
201,2000-07-20,00:00:00.00,0.0792138,18.1619,
202,2000-07-21,00:00:00.00,0.290839,17.7414,
203,2000-07-22,00:00:00.00,1.33259,17.3794,
204,2000-07-23,00:00:00.00,0.112032,17.0375,
205,2000-07-24,00:00:00.00,0.0286304,16.7093,
206,2000-07-25,00:00:00.00,0.0368546,16.3933,
207,2000-07-26,00:00:00.00,0.107285,16.0885,
208,2000-07-27,00:00:00.00,0.132173,15.7945,
209,2000-07-28,00:00:00.00,0.105127,15.5109,
210,2000-07-29,00:00:00.00,0.613567,15.2373,
211,2000-07-30,00:00:00.00,0.665105,14.9732,
212,2000-07-31,00:00:00.00,0.265541,14.7181,
213,2000-08-01,00:00:00.00,3.08138,14.4717,
214,2000-08-02,00:00:00.00,6.17044,14.2452,
215,2000-08-03,00:00:00.00,2.91966,14.0722,
216,2000-08-04,00:00:00.00,0.859703,13.9272,
217,2000-08-05,00:00:00.00,0.115389,13.7108,
218,2000-08-06,00:00:00.00,0.0159376,13.4444,
219,2000-08-07,00:00:00.00,0.249281,13.2126,
220,2000-08-08,00:00:00.00,2.82475,13.01,
221,2000-08-09,00:00:00.00,0.669392,12.8167,
222,2000-08-10,00:00:00.00,9.37171,12.6464,
223,2000-08-11,00:00:00.00,0.944586,12.5498,
224,2000-08-12,00:00:00.00,0.237083,12.4907,
225,2000-08-13,00:00:00.00,0.051472,12.3181,
226,2000-08-14,00:00:00.00,0.0513021,12.0635,
227,2000-08-15,00:00:00.00,0.329921,11.8573,
228,2000-08-16,00:00:00.00,2.34312,11.6912,
229,2000-08-17,00:00:00.00,0.319299,11.5348,
230,2000-08-18,00:00:00.00,0.212251,11.3825,
231,2000-08-19,00:00:00.00,0.34325,11.2342,
232,2000-08-20,00:00:00.00,0.343968,11.0897,
233,2000-08-21,00:00:00.00,0.492966,10.9488,
234,2000-08-22,00:00:00.00,1.798,10.8116,
235,2000-08-23,00:00:00.00,0.29164,10.6777,
236,2000-08-24,00:00:00.00,23.6194,10.6179,
237,2000-08-25,00:00:00.00,0.0319888,10.8398,
238,2000-08-26,00:00:00.00,0.070739,11.1993,
239,2000-08-27,00:00:00.00,4.71594,11.0815,
240,2000-08-28,00:00:00.00,0.74806,10.6487,
241,2000-08-29,00:00:00.00,0.0666721,10.4262,
242,2000-08-30,00:00:00.00,0.040094,10.2818,
243,2000-08-31,00:00:00.00,0.924723,10.1059,
244,2000-09-01,00:00:00.00,0.0464993,9.96185,
245,2000-09-02,00:00:00.00,1.66851,9.84451,
246,2000-09-03,00:00:00.00,1.16017,9.73336,
247,2000-09-04,00:00:00.00,5.83334,9.63694,
248,2000-09-05,00:00:00.00,2.42548,9.59114,
249,2000-09-06,00:00:00.00,0.517226,9.57294,
250,2000-09-07,00:00:00.00,0.47254,9.47335,
251,2000-09-08,00:00:00.00,0.0338905,9.30958,
252,2000-09-09,00:00:00.00,0.55418,9.17761,
253,2000-09-10,00:00:00.00,0.0199507,9.07584,
254,2000-09-11,00:00:00.00,1.50084,8.98127,
255,2000-09-12,00:00:00.00,1.36285,8.88885,
256,2000-09-13,00:00:00.00,12.8485,8.83816,
257,2000-09-14,00:00:00.00,0.0243881,8.94477,
258,2000-09-15,00:00:00.00,13.4686,9.21275,
