time,date,hour,precip [mm/day],sub6547 [m3/s],sub6547 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,2.37318,
1,2000-01-02,00:00:00.00,0.444388,152.43,0.74
2,2000-01-03,00:00:00.00,4.58181,163.011,0.85
3,2000-01-04,00:00:00.00,8.48407,19.4235,2.4
4,2000-01-05,00:00:00.00,10.5812,14.1057,2.86
5,2000-01-06,00:00:00.00,0.408433,10.6112,1.88
6,2000-01-07,00:00:00.00,0.343732,7.23237,1.48
7,2000-01-08,00:00:00.00,0.636695,5.53474,1.37
8,2000-01-09,00:00:00.00,0.278605,4.52516,1.13
9,2000-01-10,00:00:00.00,0.217293,3.84016,1.09
10,2000-01-11,00:00:00.00,3.32485,3.64719,1.16
11,2000-01-12,00:00:00.00,0.25172,3.46117,1.95
12,2000-01-13,00:00:00.00,0.757001,3.00204,1.81
13,2000-01-14,00:00:00.00,2.9494,2.69287,1.18
14,2000-01-15,00:00:00.00,0.397061,2.46414,0.86
15,2000-01-16,00:00:00.00,1.15781,2.27737,0.91
16,2000-01-17,00:00:00.00,0.124533,2.12197,1.08
17,2000-01-18,00:00:00.00,0.327098,1.9911,0.85
18,2000-01-19,00:00:00.00,1.06168,1.87972,0.71
19,2000-01-20,00:00:00.00,1.3792,1.78361,1.08
20,2000-01-21,00:00:00.00,2.59373,1.6999,0.91
21,2000-01-22,00:00:00.00,0.267287,1.6266,0.81
22,2000-01-23,00:00:00.00,0.347723,1.562,0.76
23,2000-01-24,00:00:00.00,1.99311,1.50442,0.73
24,2000-01-25,00:00:00.00,0.569553,1.45273,0.73
25,2000-01-26,00:00:00.00,0.623724,1.40628,1.17
26,2000-01-27,00:00:00.00,0.412915,1.36432,0.81
27,2000-01-28,00:00:00.00,0.293693,1.32633,0.78
28,2000-01-29,00:00:00.00,0.262033,1.2917,0.77
29,2000-01-30,00:00:00.00,0.340051,1.25977,0.8
30,2000-01-31,00:00:00.00,0.760656,1.23013,0.79
31,2000-02-01,00:00:00.00,0.670289,1.20267,0.79
32,2000-02-02,00:00:00.00,0.989725,1.17724,0.8
33,2000-02-03,00:00:00.00,0.622334,1.15367,0.78
34,2000-02-04,00:00:00.00,2.60095,1.13169,0.75
35,2000-02-05,00:00:00.00,0.515753,1.11113,0.74
36,2000-02-06,00:00:00.00,0.967542,1.09179,0.73
37,2000-02-07,00:00:00.00,0.326737,1.07355,0.72
38,2000-02-08,00:00:00.00,0.384291,1.05634,0.6
39,2000-02-09,00:00:00.00,0.325174,1.04007,0.51
40,2000-02-10,00:00:00.00,0.893428,1.03187,0.74
41,2000-02-11,00:00:00.00,7.56528,1.0216,0.74
42,2000-02-12,00:00:00.00,2.09196,1.00391,0.71
43,2000-02-13,00:00:00.00,0.503602,0.989728,0.71
44,2000-02-14,00:00:00.00,6.15157,0.977076,0.68
45,2000-02-15,00:00:00.00,2.03701,0.964952,0.67
46,2000-02-16,00:00:00.00,1.1639,0.953285,0.67
47,2000-02-17,00:00:00.00,5.26194,0.941917,0.68
48,2000-02-18,00:00:00.00,0.322664,0.930991,0.68
49,2000-02-19,00:00:00.00,5.55271,0.920557,0.67
50,2000-02-20,00:00:00.00,0.464205,0.910478,0.67
51,2000-02-21,00:00:00.00,0.999623,0.900669,0.68
52,2000-02-22,00:00:00.00,0.481343,0.890975,0.68
53,2000-02-23,00:00:00.00,0.673214,0.881518,0.69
54,2000-02-24,00:00:00.00,0.224598,2.96254,1.99
55,2000-02-25,00:00:00.00,7.47389,8.92306,9.59
56,2000-02-26,00:00:00.00,6.69623,11.5075,17.9
57,2000-02-27,00:00:00.00,0.379239,8.58668,12.1
58,2000-02-28,00:00:00.00,4.36693,6.69396,9.44
59,2000-02-29,00:00:00.00,0.407007,5.77861,6.83
60,2000-03-01,00:00:00.00,0.347867,4.71781,3.72
61,2000-03-02,00:00:00.00,1.63859,4.1156,2.78
62,2000-03-03,00:00:00.00,0.268608,3.69125,2.5
63,2000-03-04,00:00:00.00,0.0478789,3.29119,1.92
64,2000-03-05,00:00:00.00,0.367933,2.99066,1.81
65,2000-03-06,00:00:00.00,0.141578,2.75453,1.7
66,2000-03-07,00:00:00.00,0.11636,2.56145,1.58
67,2000-03-08,00:00:00.00,0.24859,2.39947,1.54
68,2000-03-09,00:00:00.00,0.0472415,2.26023,1.35
69,2000-03-10,00:00:00.00,3.48662,2.24827,1.49
70,2000-03-11,00:00:00.00,0.625965,2.21433,2.17
71,2000-03-12,00:00:00.00,0.451224,2.06867,1.72
72,2000-03-13,00:00:00.00,0.717168,1.96706,1.49
73,2000-03-14,00:00:00.00,0.665587,1.88687,1.34
74,2000-03-15,00:00:00.00,1.31861,1.81649,1.25
75,2000-03-16,00:00:00.00,0.828796,1.7545,1.32
76,2000-03-17,00:00:00.00,2.68847,1.82221,1.71
77,2000-03-18,00:00:00.00,0.264541,1.84914,1.76
78,2000-03-19,00:00:00.00,0.0526565,1.73793,1.32
79,2000-03-20,00:00:00.00,1.79928,1.69516,1.29
80,2000-03-21,00:00:00.00,1.10801,1.66222,1.36
81,2000-03-22,00:00:00.00,0.320081,1.60594,1.4
82,2000-03-23,00:00:00.00,0.160111,1.55968,1.39
83,2000-03-24,00:00:00.00,0.433437,1.51793,1.37
84,2000-03-25,00:00:00.00,0.317848,1.47816,1.37
85,2000-03-26,00:00:00.00,2.40204,1.49414,1.35
86,2000-03-27,00:00:00.00,0.14127,1.49303,1.35
87,2000-03-28,00:00:00.00,2.84224,1.55875,1.32
88,2000-03-29,00:00:00.00,0.344993,1.59619,1.78
89,2000-03-30,00:00:00.00,1.66301,1.53655,1.91
90,2000-03-31,00:00:00.00,0.123746,1.50773,1.95
91,2000-04-01,00:00:00.00,0.155079,1.44969,1.75
92,2000-04-02,00:00:00.00,0.0135051,1.40645,1.64
93,2000-04-03,00:00:00.00,1.05174,1.37028,1.47
94,2000-04-04,00:00:00.00,0.586039,1.33688,1.39
95,2000-04-05,00:00:00.00,2.29528,1.36092,1.37
96,2000-04-06,00:00:00.00,0.437193,1.36582,1.42
97,2000-04-07,00:00:00.00,1.1869,1.30867,1.37
98,2000-04-08,00:00:00.00,4.62851,1.4536,1.22
99,2000-04-09,00:00:00.00,9.54999,2.18436,1.17
100,2000-04-10,00:00:00.00,0.664648,2.46112,1.52
101,2000-04-11,00:00:00.00,0.675316,2.05219,1.71
102,2000-04-12,00:00:00.00,1.18265,1.89261,1.57
103,2000-04-13,00:00:00.00,0.792912,1.81081,1.47
104,2000-04-14,00:00:00.00,0.412657,1.72914,1.45
105,2000-04-15,00:00:00.00,0.0277298,1.65624,1.44
106,2000-04-16,00:00:00.00,0.0769459,1.58943,1.51
107,2000-04-17,00:00:00.00,0.112706,1.52895,1.45
108,2000-04-18,00:00:00.00,0.0231911,1.47445,1.34
109,2000-04-19,00:00:00.00,0.0971746,1.4247,1.25
110,2000-04-20,00:00:00.00,0.185425,1.37838,1.2
111,2000-04-21,00:00:00.00,13.5148,2.20109,1.22
112,2000-04-22,00:00:00.00,8.77274,3.30478,9.9
113,2000-04-23,00:00:00.00,0.731693,3.17764,8.49
114,2000-04-24,00:00:00.00,0.010724,2.62702,4.84
115,2000-04-25,00:00:00.00,0.000294855,2.36937,3.03
116,2000-04-26,00:00:00.00,0.0128407,2.19865,2.19
117,2000-04-27,00:00:00.00,0.015729,2.05397,1.78
118,2000-04-28,00:00:00.00,0.0334091,1.92942,1.53
119,2000-04-29,00:00:00.00,0.511295,1.8205,1.41
120,2000-04-30,00:00:00.00,0.0774417,1.724,1.31
121,2000-05-01,00:00:00.00,0.0102583,1.6379,1.27
122,2000-05-02,00:00:00.00,3.53407,1.61127,1.23
123,2000-05-03,00:00:00.00,0.0370902,1.57376,1.25
124,2000-05-04,00:00:00.00,0.135782,1.48406,1.25
125,2000-05-05,00:00:00.00,0.100643,1.41493,1.21
126,2000-05-06,00:00:00.00,1.97922,1.35639,1.17
127,2000-05-07,00:00:00.00,0.238315,1.30268,1.15
128,2000-05-08,00:00:00.00,4.1883,1.29143,1.11
129,2000-05-09,00:00:00.00,4.94379,1.37024,1.08
130,2000-05-10,00:00:00.00,8.64812,1.72559,1.02
131,2000-05-11,00:00:00.00,21.645,3.26784,1.23
132,2000-05-12,00:00:00.00,1.03245,3.89447,2.29
133,2000-05-13,00:00:00.00,4.66496,3.00098,6.83
134,2000-05-14,00:00:00.00,8.88246,3.09919,36.1
135,2000-05-15,00:00:00.00,0.0190436,3.17772,15.1
136,2000-05-16,00:00:00.00,0.0585919,2.71623,6.46
137,2000-05-17,00:00:00.00,1.85208,2.43727,3.38
138,2000-05-18,00:00:00.00,0.0481652,2.24068,3.14
139,2000-05-19,00:00:00.00,22.8766,3.94445,20.6
140,2000-05-20,00:00:00.00,3.85044,5.11513,18.4
141,2000-05-21,00:00:00.00,0.0802493,4.0314,6.5
142,2000-05-22,00:00:00.00,0.132366,3.3499,4.76
143,2000-05-23,00:00:00.00,0.156808,2.96569,3.65
144,2000-05-24,00:00:00.00,3.73159,2.7842,3.06
145,2000-05-25,00:00:00.00,2.16866,2.62014,3.99
146,2000-05-26,00:00:00.00,0.344582,2.36841,3.83
147,2000-05-27,00:00:00.00,0.0632792,2.18041,3.11
148,2000-05-28,00:00:00.00,0.200587,2.02775,2.52
149,2000-05-29,00:00:00.00,0.0671924,1.89602,2.12
150,2000-05-30,00:00:00.00,0.136144,1.78123,1.92
151,2000-05-31,00:00:00.00,0.0642199,1.6794,1.75
152,2000-06-01,00:00:00.00,5.98428,1.71596,1.45
153,2000-06-02,00:00:00.00,0.141393,1.71338,1.03
154,2000-06-03,00:00:00.00,2.28575,1.57187,1.42
155,2000-06-04,00:00:00.00,0.021144,1.48072,1.59
