time,date,hour,precip [mm/day],sub6555 [m3/s],sub6555 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,6.8784,
1,2000-01-02,00:00:00.00,0.341497,212.217,1
2,2000-01-03,00:00:00.00,6.19414,235.389,1.48
3,2000-01-04,00:00:00.00,18.0721,43.7199,12.1
4,2000-01-05,00:00:00.00,10.8353,31.3627,16.8
5,2000-01-06,00:00:00.00,0.363293,24.8399,13.5
6,2000-01-07,00:00:00.00,0.659764,18.0153,7.66
7,2000-01-08,00:00:00.00,0.499548,13.2705,5.1
8,2000-01-09,00:00:00.00,0.532152,10.6583,3.48
9,2000-01-10,00:00:00.00,1.91057,9.1241,3.3
10,2000-01-11,00:00:00.00,4.491,9.19958,3.12
11,2000-01-12,00:00:00.00,1.08278,9.79211,9.16
12,2000-01-13,00:00:00.00,1.30779,8.85462,9.48
13,2000-01-14,00:00:00.00,5.54088,7.38726,6.35
14,2000-01-15,00:00:00.00,0.464249,6.49955,4.17
15,2000-01-16,00:00:00.00,1.54201,5.84277,3
16,2000-01-17,00:00:00.00,0.130705,5.31277,2.3
17,2000-01-18,00:00:00.00,0.311455,4.87573,1.8
18,2000-01-19,00:00:00.00,1.38892,4.51037,1.53
19,2000-01-20,00:00:00.00,1.42824,4.20035,1.3
20,2000-01-21,00:00:00.00,3.40012,3.93364,1.17
21,2000-01-22,00:00:00.00,0.806175,3.70205,1.08
22,2000-01-23,00:00:00.00,0.360148,3.49947,1
23,2000-01-24,00:00:00.00,1.71969,3.32047,0.92
24,2000-01-25,00:00:00.00,0.300949,3.16069,0.86
25,2000-01-26,00:00:00.00,0.944634,3.0175,0.8
26,2000-01-27,00:00:00.00,0.968553,2.88858,0.75
27,2000-01-28,00:00:00.00,0.202511,2.77185,0.72
28,2000-01-29,00:00:00.00,0.31762,2.66568,0.7
29,2000-01-30,00:00:00.00,0.486228,2.56832,0.68
30,2000-01-31,00:00:00.00,2.12407,2.47856,0.67
31,2000-02-01,00:00:00.00,0.636622,2.39559,0.66
32,2000-02-02,00:00:00.00,1.71484,2.31862,0.65
33,2000-02-03,00:00:00.00,0.445032,2.24714,0.64
34,2000-02-04,00:00:00.00,2.80518,2.18057,0.63
35,2000-02-05,00:00:00.00,1.01664,2.11819,0.62
36,2000-02-06,00:00:00.00,1.11069,2.05956,0.61
37,2000-02-07,00:00:00.00,0.33652,2.00433,0.6
38,2000-02-08,00:00:00.00,0.254864,1.95226,0.59
39,2000-02-09,00:00:00.00,0.447574,1.90308,0.58
40,2000-02-10,00:00:00.00,0.984559,1.86386,0.58
41,2000-02-11,00:00:00.00,6.31533,1.83234,0.57
42,2000-02-12,00:00:00.00,0.889689,1.78959,0.57
43,2000-02-13,00:00:00.00,0.19361,1.74333,0.57
44,2000-02-14,00:00:00.00,6.05389,1.70507,0.56
45,2000-02-15,00:00:00.00,0.841325,1.66881,0.56
46,2000-02-16,00:00:00.00,1.67589,1.63409,0.56
47,2000-02-17,00:00:00.00,3.72697,1.64379,0.56
48,2000-02-18,00:00:00.00,0.372628,1.68581,0.56
49,2000-02-19,00:00:00.00,6.7027,1.64646,0.56
50,2000-02-20,00:00:00.00,0.549756,1.57447,0.55
51,2000-02-21,00:00:00.00,0.715612,1.54205,0.55
52,2000-02-22,00:00:00.00,0.291217,1.5123,0.7
53,2000-02-23,00:00:00.00,0.345161,1.48337,1.2
54,2000-02-24,00:00:00.00,0.480231,5.13862,2.01
55,2000-02-25,00:00:00.00,8.67824,19.4267,8.18
56,2000-02-26,00:00:00.00,2.57049,30.1031,33.1
57,2000-02-27,00:00:00.00,0.0991088,24.7686,40.5
58,2000-02-28,00:00:00.00,10.3479,19.8642,38.8
59,2000-02-29,00:00:00.00,0.589024,19.6895,29.6
60,2000-03-01,00:00:00.00,0.320305,16.4226,19.2
61,2000-03-02,00:00:00.00,5.11552,13.6867,13.1
62,2000-03-03,00:00:00.00,0.798893,13.1471,14.7
63,2000-03-04,00:00:00.00,0.125531,11.5371,10.2
64,2000-03-05,00:00:00.00,0.0295142,9.64177,7.23
65,2000-03-06,00:00:00.00,0.0958837,8.44693,6.09
66,2000-03-07,00:00:00.00,0.0470706,7.55319,5.05
67,2000-03-08,00:00:00.00,0.121111,6.84064,4.4
68,2000-03-09,00:00:00.00,0,6.24981,4.2
69,2000-03-10,00:00:00.00,9.48041,6.93212,3.95
70,2000-03-11,00:00:00.00,0.73506,8.32119,3.45
71,2000-03-12,00:00:00.00,0.622437,7.85277,2.67
72,2000-03-13,00:00:00.00,0.720353,6.62363,2.38
73,2000-03-14,00:00:00.00,1.0648,6.05395,2.07
74,2000-03-15,00:00:00.00,2.5278,5.75636,1.94
75,2000-03-16,00:00:00.00,1.48745,5.65565,2.01
76,2000-03-17,00:00:00.00,8.56962,6.30302,2.81
77,2000-03-18,00:00:00.00,0.18568,7.32239,4.12
78,2000-03-19,00:00:00.00,0.40266,6.92658,3.07
79,2000-03-20,00:00:00.00,5.38461,6.61197,2.52
80,2000-03-21,00:00:00.00,0.281632,7.15783,2.31
81,2000-03-22,00:00:00.00,0.0370282,6.71815,2.04
82,2000-03-23,00:00:00.00,0.479125,5.88898,1.82
83,2000-03-24,00:00:00.00,0.0609485,5.43797,1.74
84,2000-03-25,00:00:00.00,0.27462,5.05638,1.68
85,2000-03-26,00:00:00.00,1.20774,4.7237,1.67
86,2000-03-27,00:00:00.00,0.0706622,4.43728,1.59
87,2000-03-28,00:00:00.00,9.15205,5.14387,1.63
88,2000-03-29,00:00:00.00,0.686729,6.4485,2.05
89,2000-03-30,00:00:00.00,3.5051,6.49335,1.97
90,2000-03-31,00:00:00.00,0.0299178,6.0196,2.28
91,2000-04-01,00:00:00.00,0.246334,5.60012,2.18
92,2000-04-02,00:00:00.00,0,5.03992,1.9
93,2000-04-03,00:00:00.00,0.701872,4.68361,1.75
94,2000-04-04,00:00:00.00,0.659746,4.3807,1.67
95,2000-04-05,00:00:00.00,1.59734,4.11775,1.68
96,2000-04-06,00:00:00.00,0.129874,3.88763,1.76
97,2000-04-07,00:00:00.00,1.13339,3.68343,1.93
98,2000-04-08,00:00:00.00,9.64341,4.30329,2.02
99,2000-04-09,00:00:00.00,12.1044,6.98187,1.98
100,2000-04-10,00:00:00.00,0.721148,9.17004,2.17
101,2000-04-11,00:00:00.00,0.191363,8.23015,2.38
102,2000-04-12,00:00:00.00,2.1588,6.85403,2.14
103,2000-04-13,00:00:00.00,0.138082,6.44276,1.96
104,2000-04-14,00:00:00.00,0.00485378,5.90889,1.8
105,2000-04-15,00:00:00.00,0.0843229,5.34964,1.78
106,2000-04-16,00:00:00.00,0.403701,4.92955,1.76
107,2000-04-17,00:00:00.00,0.151028,4.57032,1.62
108,2000-04-18,00:00:00.00,0.00101529,4.26148,1.44
109,2000-04-19,00:00:00.00,0.0478273,3.99098,1.33
110,2000-04-20,00:00:00.00,0.828189,3.75097,1.24
111,2000-04-21,00:00:00.00,31.4468,7.20617,1.39
112,2000-04-22,00:00:00.00,7.86542,14.5996,13.7
113,2000-04-23,00:00:00.00,0.00865732,16.1062,18.5
114,2000-04-24,00:00:00.00,0.0113342,12.1846,11.2
115,2000-04-25,00:00:00.00,0.0155089,9.77651,6.33
116,2000-04-26,00:00:00.00,0.0246884,8.38881,4.36
117,2000-04-27,00:00:00.00,9.78037e-308,7.35703,3.17
118,2000-04-28,00:00:00.00,0.108783,6.54868,2.44
119,2000-04-29,00:00:00.00,0.642201,5.89684,2.02
120,2000-04-30,00:00:00.00,0.0169757,5.35936,1.71
121,2000-05-01,00:00:00.00,0.157448,4.90788,1.47
122,2000-05-02,00:00:00.00,8.43086,5.12159,1.35
123,2000-05-03,00:00:00.00,0.257486,5.72391,1.42
124,2000-05-04,00:00:00.00,0.0172516,5.37211,1.25
125,2000-05-05,00:00:00.00,0.0424478,4.63438,1.1
126,2000-05-06,00:00:00.00,0.219628,4.26394,1.06
127,2000-05-07,00:00:00.00,0.0988671,3.95325,0.98
128,2000-05-08,00:00:00.00,3.53123,3.74905,0.92
129,2000-05-09,00:00:00.00,1.29987,3.61856,0.89
130,2000-05-10,00:00:00.00,9.57213,3.85785,0.99
131,2000-05-11,00:00:00.00,17.2453,5.60173,3.53
132,2000-05-12,00:00:00.00,4.65871,7.52244,5.59
133,2000-05-13,00:00:00.00,10.3968,7.79644,7.09
134,2000-05-14,00:00:00.00,6.8689,7.94691,72.4
135,2000-05-15,00:00:00.00,0.082163,7.82242,57.5
136,2000-05-16,00:00:00.00,0.166919,6.77813,34.1
137,2000-05-17,00:00:00.00,1.07873,5.91149,20.2
138,2000-05-18,00:00:00.00,0.0389528,5.34949,11.5
139,2000-05-19,00:00:00.00,23.6071,7.35555,51.4
140,2000-05-20,00:00:00.00,4.86859,11.313,45.6
141,2000-05-21,00:00:00.00,0.0574086,11.362,32
142,2000-05-22,00:00:00.00,0.136365,8.86589,19.7
143,2000-05-23,00:00:00.00,0.00821291,7.52227,11
144,2000-05-24,00:00:00.00,3.29992,6.68966,8.27
145,2000-05-25,00:00:00.00,0.543869,6.07085,18.7
146,2000-05-26,00:00:00.00,0.301678,5.50157,16.9
147,2000-05-27,00:00:00.00,0.080503,4.99529,11.5
148,2000-05-28,00:00:00.00,0.108015,4.58459,7.41
149,2000-05-29,00:00:00.00,0.00424876,4.23245,5.49
150,2000-05-30,00:00:00.00,0.144675,3.92738,3.92
151,2000-05-31,00:00:00.00,0.111824,3.65972,2.89
152,2000-06-01,00:00:00.00,9.73431,3.85191,2.37
