time,date,hour,precip [mm/day],sub6483 [m3/s],sub6483 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.343403,675.397,
2,2000-01-03,00:00:00.00,3.4594,710.061,
3,2000-01-04,00:00:00.00,14.3005,55.5428,
4,2000-01-05,00:00:00.00,13.0091,41.6799,
5,2000-01-06,00:00:00.00,0.3821,43.5289,
6,2000-01-07,00:00:00.00,0.421767,40.6495,
7,2000-01-08,00:00:00.00,0.401721,30.1138,
8,2000-01-09,00:00:00.00,0.444716,21.3327,
9,2000-01-10,00:00:00.00,1.53034,16.6542,
10,2000-01-11,00:00:00.00,3.74443,14.3735,
11,2000-01-12,00:00:00.00,0.585232,13.7895,
12,2000-01-13,00:00:00.00,0.859365,13.4564,
13,2000-01-14,00:00:00.00,4.55969,12.1405,
14,2000-01-15,00:00:00.00,0.320613,10.5246,
15,2000-01-16,00:00:00.00,0.823254,9.34034,
16,2000-01-17,00:00:00.00,0.0904724,8.48739,
17,2000-01-18,00:00:00.00,0.454352,7.81143,
18,2000-01-19,00:00:00.00,0.938117,7.25357,
19,2000-01-20,00:00:00.00,1.07313,6.78655,
20,2000-01-21,00:00:00.00,2.41356,6.39017,
21,2000-01-22,00:00:00.00,0.320541,6.04911,
22,2000-01-23,00:00:00.00,0.259467,5.75297,
23,2000-01-24,00:00:00.00,1.09105,5.49402,
24,2000-01-25,00:00:00.00,0.288605,5.26512,
25,2000-01-26,00:00:00.00,0.569115,5.06065,
26,2000-01-27,00:00:00.00,0.379866,4.87727,
27,2000-01-28,00:00:00.00,0.322005,4.71234,
28,2000-01-29,00:00:00.00,0.244397,4.5634,
29,2000-01-30,00:00:00.00,0.431517,4.42808,
30,2000-01-31,00:00:00.00,1.49863,4.3038,
31,2000-02-01,00:00:00.00,0.587666,4.18839,
32,2000-02-02,00:00:00.00,0.920105,4.08071,
33,2000-02-03,00:00:00.00,0.256657,3.98045,
34,2000-02-04,00:00:00.00,2.50671,3.88728,
35,2000-02-05,00:00:00.00,1.00927,3.80029,
36,2000-02-06,00:00:00.00,0.727249,3.71841,
37,2000-02-07,00:00:00.00,0.330741,3.64094,
38,2000-02-08,00:00:00.00,0.104102,3.56755,
39,2000-02-09,00:00:00.00,0.3254,3.49802,
40,2000-02-10,00:00:00.00,0.78099,3.43212,
