time,date,hour,precip [mm/day],sub6634 [m3/s],sub6634 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.173997,188.251,
2,2000-01-03,00:00:00.00,2.03544,192.519,
3,2000-01-04,00:00:00.00,15.1575,8.01325,
4,2000-01-05,00:00:00.00,6.75628,9.27983,
5,2000-01-06,00:00:00.00,0.153817,9.77626,
6,2000-01-07,00:00:00.00,0.162031,6.5705,
7,2000-01-08,00:00:00.00,0.237388,3.92082,
8,2000-01-09,00:00:00.00,0.163434,2.82941,
9,2000-01-10,00:00:00.00,2.70377,2.39303,
10,2000-01-11,00:00:00.00,2.66395,2.59343,
11,2000-01-12,00:00:00.00,0.46642,2.92032,
12,2000-01-13,00:00:00.00,0.980409,2.64252,
13,2000-01-14,00:00:00.00,5.0913,2.11413,
14,2000-01-15,00:00:00.00,0.371465,1.78411,
15,2000-01-16,00:00:00.00,1.20268,1.56881,
16,2000-01-17,00:00:00.00,0.282456,1.40731,
17,2000-01-18,00:00:00.00,0.254693,1.28069,
18,2000-01-19,00:00:00.00,0.970339,1.17947,
19,2000-01-20,00:00:00.00,1.06539,1.097,
20,2000-01-21,00:00:00.00,3.16832,1.02817,
21,2000-01-22,00:00:00.00,0.688932,0.969782,
22,2000-01-23,00:00:00.00,0.699131,0.919877,
23,2000-01-24,00:00:00.00,0.4744,0.876804,
24,2000-01-25,00:00:00.00,0.257571,0.838797,
25,2000-01-26,00:00:00.00,0.828858,0.804984,
26,2000-01-27,00:00:00.00,0.80254,0.774872,
27,2000-01-28,00:00:00.00,0.143632,0.747809,
28,2000-01-29,00:00:00.00,0.0755963,0.72333,
29,2000-01-30,00:00:00.00,0.351581,0.700826,
30,2000-01-31,00:00:00.00,2.56166,0.679809,
31,2000-02-01,00:00:00.00,0.334178,0.66,
32,2000-02-02,00:00:00.00,0.715592,0.641362,
33,2000-02-03,00:00:00.00,0.234592,0.624005,
34,2000-02-04,00:00:00.00,3.06043,0.607794,
