time,date,hour,precip [mm/day],sub6614 [m3/s],sub6614 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,8.45525,
1,2000-01-02,00:00:00.00,0.360986,4.22796,8.9
2,2000-01-03,00:00:00.00,10.5302,0.0450464,8.89
3,2000-01-04,00:00:00.00,5.28129,0.326985,10.2
4,2000-01-05,00:00:00.00,26.6888,1.29753,11.9
5,2000-01-06,00:00:00.00,0.305881,3.28689,12.5
6,2000-01-07,00:00:00.00,0.325717,4.96447,11.3
7,2000-01-08,00:00:00.00,0.903004,3.7799,10.8
8,2000-01-09,00:00:00.00,0.308082,1.25561,9.85
9,2000-01-10,00:00:00.00,0.417561,0.23893,9.24
10,2000-01-11,00:00:00.00,10.3463,0.264934,9.39
11,2000-01-12,00:00:00.00,0.475574,0.85636,13.6
12,2000-01-13,00:00:00.00,0.411785,1.64736,15
13,2000-01-14,00:00:00.00,0.201156,1.43966,13.1
14,2000-01-15,00:00:00.00,0.183439,0.564479,9.9
15,2000-01-16,00:00:00.00,1.82545,0.182318,9.2
16,2000-01-17,00:00:00.00,3.97245,0.141394,9.5
17,2000-01-18,00:00:00.00,0.154421,0.135787,8.1
18,2000-01-19,00:00:00.00,0.193768,0.129836,7.6
19,2000-01-20,00:00:00.00,0.444936,0.125093,7.24
20,2000-01-21,00:00:00.00,4.53719,0.121603,7.02
21,2000-01-22,00:00:00.00,0.378954,0.118065,6.6
22,2000-01-23,00:00:00.00,0.310287,0.114456,6.25
23,2000-01-24,00:00:00.00,2.8626,0.111456,6
24,2000-01-25,00:00:00.00,0.719477,0.108662,5.8
25,2000-01-26,00:00:00.00,0.925527,0.105075,5.58
26,2000-01-27,00:00:00.00,0.456044,0.100728,5.35
27,2000-01-28,00:00:00.00,0.264726,0.0965714,5.17
28,2000-01-29,00:00:00.00,0.17743,0.0933119,4.99
29,2000-01-30,00:00:00.00,0.233031,0.0909488,4.8
30,2000-01-31,00:00:00.00,0.330618,0.0885748,4.64
31,2000-02-01,00:00:00.00,6.31496,0.0850239,4.54
32,2000-02-02,00:00:00.00,0.950629,0.0802683,4.4
33,2000-02-03,00:00:00.00,0.0963293,0.07533,4.3
34,2000-02-04,00:00:00.00,0.470504,0.0711365,4.2
35,2000-02-05,00:00:00.00,0.107018,0.0678352,4.1
36,2000-02-06,00:00:00.00,1.51865,0.0648518,4.01
37,2000-02-07,00:00:00.00,0.209234,0.0616989,3.93
38,2000-02-08,00:00:00.00,0.193419,0.0581484,3.84
39,2000-02-09,00:00:00.00,0.320077,0.0543376,3.79
40,2000-02-10,00:00:00.00,1.38476,0.0508446,3.71
41,2000-02-11,00:00:00.00,5.28733,0.0480696,3.63
42,2000-02-12,00:00:00.00,3.9575,0.045899,3.59
43,2000-02-13,00:00:00.00,0.353535,0.0439781,3.55
44,2000-02-14,00:00:00.00,4.10371,0.0421594,3.48
45,2000-02-15,00:00:00.00,4.98824,0.0403338,3.46
46,2000-02-16,00:00:00.00,0.228003,0.0382865,3.44
47,2000-02-17,00:00:00.00,6.40167,0.0387446,3.43
48,2000-02-18,00:00:00.00,0.205749,0.0491303,3.42
49,2000-02-19,00:00:00.00,3.04701,0.0641635,3.41
50,2000-02-20,00:00:00.00,0.322735,0.058802,3.4
51,2000-02-21,00:00:00.00,0.650326,0.0391892,3.39
52,2000-02-22,00:00:00.00,0.170164,0.0291752,3.4
53,2000-02-23,00:00:00.00,0.534207,0.0258759,3.45
54,2000-02-24,00:00:00.00,0.782558,0.0232599,3.62
55,2000-02-25,00:00:00.00,4.93321,0.418969,4.23
56,2000-02-26,00:00:00.00,10.6213,2.76361,7.18
57,2000-02-27,00:00:00.00,1.00773,8.08058,11.5
58,2000-02-28,00:00:00.00,4.00383,13.1962,17.2
59,2000-02-29,00:00:00.00,1.84968,13.5583,24.5
60,2000-03-01,00:00:00.00,0.693013,8.63965,22.5
61,2000-03-02,00:00:00.00,4.33375,3.29015,19.7
62,2000-03-03,00:00:00.00,1.93364,1.35063,17.2
63,2000-03-04,00:00:00.00,0.123411,1.34956,14.6
64,2000-03-05,00:00:00.00,0.0574841,1.16846,13.5
65,2000-03-06,00:00:00.00,0.163575,0.663541,12.9
66,2000-03-07,00:00:00.00,0.0438296,0.458706,12
67,2000-03-08,00:00:00.00,0.686952,0.551184,11.8
68,2000-03-09,00:00:00.00,0.130328,0.713753,12
69,2000-03-10,00:00:00.00,6.31506,0.718598,12.5
70,2000-03-11,00:00:00.00,0.255152,0.813462,11.5
71,2000-03-12,00:00:00.00,0.550781,1.12203,10.6
72,2000-03-13,00:00:00.00,2.42302,1.00883,10.2
73,2000-03-14,00:00:00.00,0.0311176,0.569546,9.47
74,2000-03-15,00:00:00.00,2.10316,0.377815,8.99
75,2000-03-16,00:00:00.00,4.34785,0.412577,9.33
76,2000-03-17,00:00:00.00,4.26788,0.64728,11.5
77,2000-03-18,00:00:00.00,0.0687056,0.963611,12.7
78,2000-03-19,00:00:00.00,0.11132,0.932255,11.8
79,2000-03-20,00:00:00.00,0.616982,0.610945,10.5
80,2000-03-21,00:00:00.00,1.81236,0.422524,9.72
81,2000-03-22,00:00:00.00,0.40142,0.470338,9.66
82,2000-03-23,00:00:00.00,0.516783,0.806179,9.95
83,2000-03-24,00:00:00.00,0.418467,1.2016,9.46
84,2000-03-25,00:00:00.00,0.090215,1.0604,9.05
85,2000-03-26,00:00:00.00,1.47815,0.600973,8.96
86,2000-03-27,00:00:00.00,0.76128,0.39993,9.11
87,2000-03-28,00:00:00.00,3.1517,0.383024,8.47
88,2000-03-29,00:00:00.00,12.1717,0.559339,8.47
89,2000-03-30,00:00:00.00,4.40276,1.31222,10.1
90,2000-03-31,00:00:00.00,0.791801,2.40823,11.4
91,2000-04-01,00:00:00.00,0.0261991,2.49401,11.3
92,2000-04-02,00:00:00.00,0.0109247,1.49707,10.9
93,2000-04-03,00:00:00.00,1.22976,0.744303,10.4
94,2000-04-04,00:00:00.00,0.453306,0.538983,10.6
95,2000-04-05,00:00:00.00,5.36187,0.556673,12.1
96,2000-04-06,00:00:00.00,0.019198,0.759711,13.8
97,2000-04-07,00:00:00.00,3.80882,1.04272,14
98,2000-04-08,00:00:00.00,1.71058,1.03126,13.3
99,2000-04-09,00:00:00.00,22.9297,0.930537,15.9
100,2000-04-10,00:00:00.00,0.793159,1.20437,22.4
101,2000-04-11,00:00:00.00,0.387053,1.53516,21
102,2000-04-12,00:00:00.00,1.50381,1.31279,19.4
103,2000-04-13,00:00:00.00,0.332123,0.823088,17.3
104,2000-04-14,00:00:00.00,0.0696749,0.621318,16.4
105,2000-04-15,00:00:00.00,0.0627823,0.594569,14.9
106,2000-04-16,00:00:00.00,0.655319,0.77156,13.3
107,2000-04-17,00:00:00.00,0.248676,1.64494,12.4
108,2000-04-18,00:00:00.00,0.236347,2.81055,11.7
109,2000-04-19,00:00:00.00,0.254433,2.54962,10.8
110,2000-04-20,00:00:00.00,0.507469,1.33886,10.1
111,2000-04-21,00:00:00.00,9.47122,0.894434,9.62
112,2000-04-22,00:00:00.00,29.5116,1.73357,13.1
