time,date,hour,precip [mm/day],sub6687 [m3/s],sub6687 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,3.28167,
1,2000-01-02,00:00:00.00,0.606107,1.64095,0.31
2,2000-01-03,00:00:00.00,10.3487,0.161132,0.32
3,2000-01-04,00:00:00.00,1.70339,0.639923,0.34
4,2000-01-05,00:00:00.00,15.5996,1.72543,0.48
5,2000-01-06,00:00:00.00,0.207948,2.51644,0.63
6,2000-01-07,00:00:00.00,0.0580376,1.29069,0.76
7,2000-01-08,00:00:00.00,1.36249,0.0295235,0.64
8,2000-01-09,00:00:00.00,0.212007,0.0156291,0.55
9,2000-01-10,00:00:00.00,0.251595,0.0121994,0.5
10,2000-01-11,00:00:00.00,7.04674,0.201654,0.58
11,2000-01-12,00:00:00.00,1.21846,0.482522,3
12,2000-01-13,00:00:00.00,0.184366,0.307437,2.4
13,2000-01-14,00:00:00.00,0.150338,0.0284673,1.5
14,2000-01-15,00:00:00.00,0.296993,0.0140004,1
15,2000-01-16,00:00:00.00,1.0537,0.0133085,0.65
16,2000-01-17,00:00:00.00,8.80893,0.0123818,0.52
17,2000-01-18,00:00:00.00,0.442551,0.0109952,0.33
18,2000-01-19,00:00:00.00,0.185684,0.0101666,0.25
19,2000-01-20,00:00:00.00,0.288082,0.00992889,0.19
20,2000-01-21,00:00:00.00,3.15067,0.00961869,0.16
21,2000-01-22,00:00:00.00,0.575733,0.00924391,0.14
22,2000-01-23,00:00:00.00,0.135587,0.00896729,0.12
23,2000-01-24,00:00:00.00,1.23248,0.00869983,0.1
24,2000-01-25,00:00:00.00,1.95892,0.00810579,0.09
25,2000-01-26,00:00:00.00,1.14675,0.00715045,0.08
26,2000-01-27,00:00:00.00,0.709662,0.00620234,0.07
27,2000-01-28,00:00:00.00,0.116755,0.00560385,0.07
28,2000-01-29,00:00:00.00,0.182838,0.00537677,0.07
29,2000-01-30,00:00:00.00,0.19118,0.00510782,0.06
30,2000-01-31,00:00:00.00,0.0837035,0.00430053,0.06
31,2000-02-01,00:00:00.00,3.97079,0.00317808,0.06
32,2000-02-02,00:00:00.00,0.954091,0.00230864,0.06
33,2000-02-03,00:00:00.00,0.112176,0.00179562,0.06
34,2000-02-04,00:00:00.00,0.589415,0.00157068,0.05
35,2000-02-05,00:00:00.00,0.211081,0.001536,0.05
36,2000-02-06,00:00:00.00,3.1304,0.00153662,0.05
37,2000-02-07,00:00:00.00,0.115337,0.00153706,0.05
38,2000-02-08,00:00:00.00,0.860236,0.00153734,0.05
39,2000-02-09,00:00:00.00,0.636492,0.00153751,0.05
40,2000-02-10,00:00:00.00,4.4502,0.00432482,0.05
41,2000-02-11,00:00:00.00,3.54031,0.00855098,0.05
42,2000-02-12,00:00:00.00,7.39124,0.00576894,0.05
43,2000-02-13,00:00:00.00,0.137937,0.001548,0.05
44,2000-02-14,00:00:00.00,3.35833,0.00154801,0.05
45,2000-02-15,00:00:00.00,7.25359,0.00154796,0.05
46,2000-02-16,00:00:00.00,0.119839,0.00154785,0.05
47,2000-02-17,00:00:00.00,8.37336,0.00154771,0.06
48,2000-02-18,00:00:00.00,0.179329,0.00154755,0.06
49,2000-02-19,00:00:00.00,0.690752,0.00154737,0.07
50,2000-02-20,00:00:00.00,0.316943,0.00154719,0.06
51,2000-02-21,00:00:00.00,0.23228,0.00154699,0.06
52,2000-02-22,00:00:00.00,0.226964,0.00154678,0.06
53,2000-02-23,00:00:00.00,0.303067,0.00154656,0.06
54,2000-02-24,00:00:00.00,0.487336,0.00154634,0.07
55,2000-02-25,00:00:00.00,4.31602,0.00741589,0.08
56,2000-02-26,00:00:00.00,9.86045,0.124437,0.6
57,2000-02-27,00:00:00.00,0.990741,0.272321,5
58,2000-02-28,00:00:00.00,1.3493,0.157612,20.8
59,2000-02-29,00:00:00.00,1.20672,1.12406,22.4
60,2000-03-01,00:00:00.00,0.50711,3.22246,14.2
61,2000-03-02,00:00:00.00,4.04208,5.12656,10.4
62,2000-03-03,00:00:00.00,1.98097,6.28504,7.64
63,2000-03-04,00:00:00.00,0.0332042,3.34909,4.23
64,2000-03-05,00:00:00.00,0.00461881,0.168156,3.25
65,2000-03-06,00:00:00.00,0.231095,0.15783,2.78
66,2000-03-07,00:00:00.00,0.077087,0.157355,2.12
67,2000-03-08,00:00:00.00,0.208964,0.156842,2.15
68,2000-03-09,00:00:00.00,0.191229,0.81149,2.36
69,2000-03-10,00:00:00.00,3.25709,1.82769,3.2
70,2000-03-11,00:00:00.00,0.022811,1.31246,2.8
71,2000-03-12,00:00:00.00,0.318172,0.347926,2.5
72,2000-03-13,00:00:00.00,3.62203,0.259369,2.2
73,2000-03-14,00:00:00.00,0.0155575,0.258251,2
74,2000-03-15,00:00:00.00,1.59756,0.257068,1.93
75,2000-03-16,00:00:00.00,1.98669,0.257072,1.9
76,2000-03-17,00:00:00.00,5.03761,0.268845,1.95
77,2000-03-18,00:00:00.00,0.0241907,0.269507,1.9
78,2000-03-19,00:00:00.00,0.289668,0.258385,1.8
79,2000-03-20,00:00:00.00,0.0658616,0.257136,1.75
80,2000-03-21,00:00:00.00,1.1765,0.255917,1.7
81,2000-03-22,00:00:00.00,0.435967,0.254708,1.7
82,2000-03-23,00:00:00.00,0.426123,0.253452,1.89
83,2000-03-24,00:00:00.00,0.357764,0.354934,2.33
84,2000-03-25,00:00:00.00,0.0197345,0.511873,2.74
85,2000-03-26,00:00:00.00,0.795922,0.419138,3.06
86,2000-03-27,00:00:00.00,0.504417,0.270869,3.32
87,2000-03-28,00:00:00.00,1.95532,0.269458,3.61
88,2000-03-29,00:00:00.00,20.2463,1.04532,5.56
89,2000-03-30,00:00:00.00,4.65236,2.40593,13.5
90,2000-03-31,00:00:00.00,0.324977,2.03004,15.9
91,2000-04-01,00:00:00.00,0.0219273,0.780583,13.9
92,2000-04-02,00:00:00.00,0.010941,0.489115,10.6
93,2000-04-03,00:00:00.00,1.73825,0.485475,8.08
94,2000-04-04,00:00:00.00,0.200899,0.481904,6.43
95,2000-04-05,00:00:00.00,11.9804,0.770489,7.03
96,2000-04-06,00:00:00.00,0.397944,1.19795,12.1
97,2000-04-07,00:00:00.00,4.28892,0.955606,12.9
98,2000-04-08,00:00:00.00,0.441838,0.590258,10.7
99,2000-04-09,00:00:00.00,38.1725,3.13672,12.3
100,2000-04-10,00:00:00.00,3.29812,6.71629,13.3
101,2000-04-11,00:00:00.00,0.0925227,4.73985,11.1
102,2000-04-12,00:00:00.00,1.14224,1.69899,12.6
103,2000-04-13,00:00:00.00,0.328109,1.66473,11
104,2000-04-14,00:00:00.00,1.12046,1.63131,10.1
105,2000-04-15,00:00:00.00,0.0212459,1.59887,9.24
106,2000-04-16,00:00:00.00,2.50748,1.56748,9.05
107,2000-04-17,00:00:00.00,0.0260086,1.54746,8.68
108,2000-04-18,00:00:00.00,0.134297,1.53032,7.75
109,2000-04-19,00:00:00.00,0.0355257,1.50347,6.52
110,2000-04-20,00:00:00.00,0.15708,1.47528,5.36
111,2000-04-21,00:00:00.00,0.753522,1.448,4.64
112,2000-04-22,00:00:00.00,30.85,3.02656,6.46
113,2000-04-23,00:00:00.00,3.05429,5.42481,12.9
114,2000-04-24,00:00:00.00,0.268629,4.42091,15.2
115,2000-04-25,00:00:00.00,0.0420043,2.54621,13.7
116,2000-04-26,00:00:00.00,0.0139082,2.44789,10.7
117,2000-04-27,00:00:00.00,0.0213624,2.38181,7.97
118,2000-04-28,00:00:00.00,0.0164928,2.3188,5.76
119,2000-04-29,00:00:00.00,0.0427405,2.25866,4.41
120,2000-04-30,00:00:00.00,0.110183,2.20123,3.74
121,2000-05-01,00:00:00.00,0.00570997,2.14632,3.29
122,2000-05-02,00:00:00.00,1.19436,2.09378,2.87
123,2000-05-03,00:00:00.00,0.0571283,2.04348,2.61
124,2000-05-04,00:00:00.00,0.0813338,1.99526,2.36
125,2000-05-05,00:00:00.00,0.00652892,1.94902,2.1
126,2000-05-06,00:00:00.00,1.95657,1.90463,1.95
127,2000-05-07,00:00:00.00,1.13605,1.862,1.9
128,2000-05-08,00:00:00.00,3.01891,1.82102,1.83
129,2000-05-09,00:00:00.00,4.54734,1.78241,2.4
130,2000-05-10,00:00:00.00,14.7759,2.03486,9.4
131,2000-05-11,00:00:00.00,17.1458,3.54807,14
132,2000-05-12,00:00:00.00,0.264517,4.72975,15
133,2000-05-13,00:00:00.00,0.0417997,3.64456,13
134,2000-05-14,00:00:00.00,6.79775,2.60975,9.88
135,2000-05-15,00:00:00.00,0.077117,2.56864,7.51
136,2000-05-16,00:00:00.00,0.0816368,2.50255,5.75
137,2000-05-17,00:00:00.00,0.572565,2.43386,4.26
138,2000-05-18,00:00:00.00,0.0263227,2.36842,3.4
139,2000-05-19,00:00:00.00,18.3993,2.81191,3.13
140,2000-05-20,00:00:00.00,0.00269646,3.49273,4.03
141,2000-05-21,00:00:00.00,0.0193586,3.16204,4.19
142,2000-05-22,00:00:00.00,0.0330655,2.5886,3.49
143,2000-05-23,00:00:00.00,0.229901,2.51572,2.93
144,2000-05-24,00:00:00.00,1.7142,2.44637,2.57
145,2000-05-25,00:00:00.00,13.152,2.44304,2.59
146,2000-05-26,00:00:00.00,0.153701,2.50212,3.17
147,2000-05-27,00:00:00.00,0.10285,2.44938,3.57
148,2000-05-28,00:00:00.00,0.025601,2.33686,3.41
149,2000-05-29,00:00:00.00,0.0313512,2.27591,2.94
150,2000-05-30,00:00:00.00,0.0517201,2.2177,2.42
151,2000-05-31,00:00:00.00,0.111555,2.16208,2.09
152,2000-06-01,00:00:00.00,0.0998176,2.10886,1.81
153,2000-06-02,00:00:00.00,0.00861191,2.05792,1.62
154,2000-06-03,00:00:00.00,6.62167,2.00995,1.45
155,2000-06-04,00:00:00.00,0.177164,1.96413,1.33
156,2000-06-05,00:00:00.00,0.313454,1.91931,1.24
157,2000-06-06,00:00:00.00,0.451434,1.8761,1.19
158,2000-06-07,00:00:00.00,1.24862,1.83458,1.19
159,2000-06-08,00:00:00.00,0.289686,1.79465,1.26
160,2000-06-09,00:00:00.00,0.274432,1.75623,1.18
161,2000-06-10,00:00:00.00,0.281073,1.71923,1.12
162,2000-06-11,00:00:00.00,1.05852,1.68359,1.13
163,2000-06-12,00:00:00.00,9.64764,1.66895,2.13
164,2000-06-13,00:00:00.00,0.0935124,1.65907,3.18
165,2000-06-14,00:00:00.00,2.02833,1.6298,3.16
166,2000-06-15,00:00:00.00,0.415099,1.59734,2.64
167,2000-06-16,00:00:00.00,12.9584,1.625,2.37
168,2000-06-17,00:00:00.00,0,1.71956,2.73
169,2000-06-18,00:00:00.00,0.0416261,1.67962,2.74
170,2000-06-19,00:00:00.00,0.113628,1.57321,2.28
171,2000-06-20,00:00:00.00,0.16756,1.54269,1.76
172,2000-06-21,00:00:00.00,0.0053443,1.5132,1.45
173,2000-06-22,00:00:00.00,13.4631,1.58538,1.69
174,2000-06-23,00:00:00.00,2.88908,1.73922,2.66
175,2000-06-24,00:00:00.00,0.00861248,1.66929,2.86
176,2000-06-25,00:00:00.00,0.0666728,1.51763,2.83
177,2000-06-26,00:00:00.00,19.4766,2.07421,6.61
178,2000-06-27,00:00:00.00,0.132983,2.89151,13.7
179,2000-06-28,00:00:00.00,0.0903087,2.47824,15.3
180,2000-06-29,00:00:00.00,0.078976,1.79916,13.8
181,2000-06-30,00:00:00.00,0.227462,1.76057,10.7
182,2000-07-01,00:00:00.00,0.823709,1.72341,7.57
183,2000-07-02,00:00:00.00,0.0980385,1.68762,5.15
184,2000-07-03,00:00:00.00,0.30423,1.65311,3.75
185,2000-07-04,00:00:00.00,3.43432,1.61984,3.73
186,2000-07-05,00:00:00.00,0.0555396,1.58774,3.56
187,2000-07-06,00:00:00.00,0.0531857,1.55673,3.03
188,2000-07-07,00:00:00.00,0.185388,1.52677,2.5
189,2000-07-08,00:00:00.00,0.131037,1.4978,2.02
190,2000-07-09,00:00:00.00,0.897186,1.46979,1.63
191,2000-07-10,00:00:00.00,3.35045,1.44269,1.45
192,2000-07-11,00:00:00.00,0.148707,1.41646,1.41
193,2000-07-12,00:00:00.00,0.0272414,1.39106,1.32
194,2000-07-13,00:00:00.00,0.125214,1.36645,1.16
195,2000-07-14,00:00:00.00,0.00820689,1.34259,1.05
196,2000-07-15,00:00:00.00,0.186231,1.31946,0.95
197,2000-07-16,00:00:00.00,5.96016,1.29856,0.92
198,2000-07-17,00:00:00.00,3.28742,1.28118,1.02
199,2000-07-18,00:00:00.00,0.0139862,1.26331,1.22
200,2000-07-19,00:00:00.00,0.0208113,1.24306,1.4
201,2000-07-20,00:00:00.00,1.73995,1.22284,1.27
202,2000-07-21,00:00:00.00,6.71908,1.20486,1.1
203,2000-07-22,00:00:00.00,2.21782,1.18775,1.03
204,2000-07-23,00:00:00.00,4.80205,1.17308,1.09
205,2000-07-24,00:00:00.00,0.0527334,1.15924,1.23
206,2000-07-25,00:00:00.00,0.210573,1.14212,1.21
207,2000-07-26,00:00:00.00,0.453658,1.12468,1.18
