time,date,hour,precip [mm/day],sub6620 [m3/s],sub6620 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.15544,510.423,
2,2000-01-03,00:00:00.00,1.62384,541.039,
3,2000-01-04,00:00:00.00,9.96695,53.1119,
4,2000-01-05,00:00:00.00,10.1157,41.668,
5,2000-01-06,00:00:00.00,0.329823,30.9643,
6,2000-01-07,00:00:00.00,0.200074,20.5236,
7,2000-01-08,00:00:00.00,1.03759,15.6996,
8,2000-01-09,00:00:00.00,0.204577,12.7431,
9,2000-01-10,00:00:00.00,1.2003,10.9655,
10,2000-01-11,00:00:00.00,19.5513,19.0465,
11,2000-01-12,00:00:00.00,3.00272,23.8969,
12,2000-01-13,00:00:00.00,0.642081,17.6393,
13,2000-01-14,00:00:00.00,15.6418,13.8782,
14,2000-01-15,00:00:00.00,0.444592,11.6499,
15,2000-01-16,00:00:00.00,0.150817,10.0778,
16,2000-01-17,00:00:00.00,0.287039,8.90977,
17,2000-01-18,00:00:00.00,0.551677,8.01173,
18,2000-01-19,00:00:00.00,0.624229,7.30253,
19,2000-01-20,00:00:00.00,0.414712,6.72681,
20,2000-01-21,00:00:00.00,9.85114,6.25046,
21,2000-01-22,00:00:00.00,0.344274,5.85183,
22,2000-01-23,00:00:00.00,0.158404,5.51399,
23,2000-01-24,00:00:00.00,0.523815,5.22168,
24,2000-01-25,00:00:00.00,0.345746,4.96613,
25,2000-01-26,00:00:00.00,2.72203,4.74241,
26,2000-01-27,00:00:00.00,1.38865,4.545,
27,2000-01-28,00:00:00.00,0.276954,4.37018,
28,2000-01-29,00:00:00.00,0.473508,4.21382,
29,2000-01-30,00:00:00.00,0.461603,4.07193,
30,2000-01-31,00:00:00.00,8.40552,4.25967,
31,2000-02-01,00:00:00.00,4.41729,4.35725,
32,2000-02-02,00:00:00.00,0.54096,4.09749,
33,2000-02-03,00:00:00.00,0.138223,3.9351,
34,2000-02-04,00:00:00.00,1.11689,3.81842,
35,2000-02-05,00:00:00.00,1.78327,3.7117,
36,2000-02-06,00:00:00.00,0.186463,3.61345,
37,2000-02-07,00:00:00.00,0.427249,3.52159,
38,2000-02-08,00:00:00.00,0.322025,3.43629,
39,2000-02-09,00:00:00.00,0.756826,3.35635,
40,2000-02-10,00:00:00.00,0.347073,3.28006,
41,2000-02-11,00:00:00.00,0.386019,3.20734,
42,2000-02-12,00:00:00.00,0.805287,3.13917,
43,2000-02-13,00:00:00.00,0.346585,3.0753,
44,2000-02-14,00:00:00.00,3.25986,3.01584,
45,2000-02-15,00:00:00.00,9.33484,4.06804,
46,2000-02-16,00:00:00.00,0.302673,4.49043,
47,2000-02-17,00:00:00.00,0.779162,3.77217,
48,2000-02-18,00:00:00.00,0.186554,3.65687,
49,2000-02-19,00:00:00.00,10.7494,4.09738,
50,2000-02-20,00:00:00.00,0.655907,4.24209,
51,2000-02-21,00:00:00.00,0.166468,3.82724,
52,2000-02-22,00:00:00.00,0.208721,3.70455,
53,2000-02-23,00:00:00.00,0.573767,3.59117,
54,2000-02-24,00:00:00.00,0.674357,10.7817,
55,2000-02-25,00:00:00.00,1.0453,22.7071,
56,2000-02-26,00:00:00.00,1.05333,53.3276,
57,2000-02-27,00:00:00.00,1.21268,57.7118,
58,2000-02-28,00:00:00.00,4.0515,32.662,
59,2000-02-29,00:00:00.00,3.81665,27.036,
60,2000-03-01,00:00:00.00,0.490753,21.6991,
61,2000-03-02,00:00:00.00,2.38553,17.49,
62,2000-03-03,00:00:00.00,2.16001,15.4606,
63,2000-03-04,00:00:00.00,0.237301,13.3842,
64,2000-03-05,00:00:00.00,0.0984002,11.6405,
65,2000-03-06,00:00:00.00,0.0224812,10.4185,
66,2000-03-07,00:00:00.00,0.26777,9.4748,
67,2000-03-08,00:00:00.00,0.622216,8.71897,
68,2000-03-09,00:00:00.00,1.32201,8.09874,
69,2000-03-10,00:00:00.00,3.6321,8.46883,
70,2000-03-11,00:00:00.00,0.653035,8.50023,
71,2000-03-12,00:00:00.00,11.393,13.2126,
72,2000-03-13,00:00:00.00,5.9558,17.1936,
73,2000-03-14,00:00:00.00,0.116595,14.327,
