time,date,hour,precip [mm/day],sub7059 [m3/s],sub7059 (observed) [m3/s],sub7063 [m3/s]
0,2000-01-01,00:00:00.00,---,23.6402,,6.27476
1,2000-01-02,00:00:00.00,0.412979,12.149,27.2,3.13758
2,2000-01-03,00:00:00.00,17.2295,0.571412,26.1,0.0231002
3,2000-01-04,00:00:00.00,9.14627,0.667841,26.6,0.133422
4,2000-01-05,00:00:00.00,20.2231,1.30592,28.6,0.381479
5,2000-01-06,00:00:00.00,0.306161,2.3234,32.6,0.706147
6,2000-01-07,00:00:00.00,0.595766,2.98014,32.3,0.880742
7,2000-01-08,00:00:00.00,1.68242,2.88026,30.8,0.819692
8,2000-01-09,00:00:00.00,0.254838,2.06564,30.1,0.559297
9,2000-01-10,00:00:00.00,0.324551,1.05581,29,0.260156
10,2000-01-11,00:00:00.00,9.75178,0.635851,28.5,0.121756
11,2000-01-12,00:00:00.00,4.53287,1.23743,32.5,0.171688
12,2000-01-13,00:00:00.00,0.647466,2.89871,36.6,0.377454
13,2000-01-14,00:00:00.00,0.378157,4.55242,35.3,0.580567
14,2000-01-15,00:00:00.00,0.239462,4.38036,33.1,0.55317
15,2000-01-16,00:00:00.00,1.79543,2.73554,31.3,0.334601
16,2000-01-17,00:00:00.00,2.70275,1.36515,29.8,0.153107
17,2000-01-18,00:00:00.00,0.218347,0.722146,29,0.0744988
18,2000-01-19,00:00:00.00,0.272143,0.546668,26.7,0.0604501
19,2000-01-20,00:00:00.00,0.358835,0.442673,24.2,0.0584928
20,2000-01-21,00:00:00.00,2.13934,0.366603,22.6,0.05726
21,2000-01-22,00:00:00.00,0.175596,0.330503,21.3,0.0561712
22,2000-01-23,00:00:00.00,0.246899,0.313615,19.5,0.055077
23,2000-01-24,00:00:00.00,4.41258,0.284391,18.5,0.0540243
24,2000-01-25,00:00:00.00,0.800244,0.253731,17.3,0.0530959
25,2000-01-26,00:00:00.00,0.326797,0.237768,16.2,0.0521764
26,2000-01-27,00:00:00.00,0.15655,0.230002,15.4,0.0511029
27,2000-01-28,00:00:00.00,0.184233,0.232624,14.7,0.049924
28,2000-01-29,00:00:00.00,0.183873,0.233287,14.1,0.048833
29,2000-01-30,00:00:00.00,0.513616,0.215209,13.4,0.0479438
30,2000-01-31,00:00:00.00,0.327012,0.197831,12.9,0.0471654
31,2000-02-01,00:00:00.00,2.54869,0.193416,12.6,0.0462419
32,2000-02-02,00:00:00.00,1.15809,0.187703,12.4,0.044993
33,2000-02-03,00:00:00.00,0.303248,0.181084,11.9,0.0435074
34,2000-02-04,00:00:00.00,1.73735,0.174518,11.5,0.0420172
35,2000-02-05,00:00:00.00,0.261788,0.168589,11.2,0.0406677
36,2000-02-06,00:00:00.00,1.65166,0.163353,11,0.0394769
37,2000-02-07,00:00:00.00,0.195782,0.158329,10.8,0.038322
38,2000-02-08,00:00:00.00,0.4048,0.152979,10.6,0.0370668
39,2000-02-09,00:00:00.00,0.289057,0.147056,10.4,0.0356551
40,2000-02-10,00:00:00.00,1.70027,0.140778,10.3,0.0341502
41,2000-02-11,00:00:00.00,5.00012,0.134804,10.3,0.0327234
42,2000-02-12,00:00:00.00,2.32689,0.129672,10.6,0.0315111
43,2000-02-13,00:00:00.00,0.225868,0.125489,10.5,0.0305379
44,2000-02-14,00:00:00.00,4.36194,0.121876,10.4,0.029698
45,2000-02-15,00:00:00.00,0.924865,0.118407,10.3,0.0288758
46,2000-02-16,00:00:00.00,1.15735,0.114775,10.2,0.0279907
47,2000-02-17,00:00:00.00,7.46113,0.110807,10.6,0.0270023
48,2000-02-18,00:00:00.00,0.193281,0.106538,10.8,0.025933
49,2000-02-19,00:00:00.00,2.29132,0.102107,10.6,0.0248243
50,2000-02-20,00:00:00.00,0.432286,0.0978395,10.3,0.0237611
51,2000-02-21,00:00:00.00,1.4095,0.093915,9.95,0.0227873
52,2000-02-22,00:00:00.00,0.25214,0.0899823,9.75,0.0218035
53,2000-02-23,00:00:00.00,0.70401,0.0856617,9.6,0.0207049
54,2000-02-24,00:00:00.00,1.44709,0.539244,9.55,0.154511
55,2000-02-25,00:00:00.00,8.88126,3.18227,10,1.01272
56,2000-02-26,00:00:00.00,8.88037,9.81671,17.2,3.34304
57,2000-02-27,00:00:00.00,0.668042,18.9887,29.5,6.69036
58,2000-02-28,00:00:00.00,5.28277,23.7416,46.5,8.5465
59,2000-02-29,00:00:00.00,2.05053,19.7526,54.2,7.03189
60,2000-03-01,00:00:00.00,1.7511,12.1434,51,4.01802
61,2000-03-02,00:00:00.00,4.67555,6.92707,49.3,2.04398
62,2000-03-03,00:00:00.00,2.69836,4.69516,48.2,1.30099
63,2000-03-04,00:00:00.00,0.0455186,3.83708,47.5,1.09711
64,2000-03-05,00:00:00.00,0.122538,3.37685,46,0.998815
65,2000-03-06,00:00:00.00,0.0611803,2.75276,42.6,0.821762
66,2000-03-07,00:00:00.00,0.0407598,2.06901,39.3,0.601822
67,2000-03-08,00:00:00.00,0.903637,1.67,37.1,0.477147
68,2000-03-09,00:00:00.00,0.290489,1.59099,35.5,0.486173
69,2000-03-10,00:00:00.00,6.4266,1.70137,36.8,0.622142
70,2000-03-11,00:00:00.00,0.456336,1.96116,41.6,0.818607
71,2000-03-12,00:00:00.00,0.149874,2.37221,42.7,0.953022
72,2000-03-13,00:00:00.00,0.301903,2.6279,40.3,0.969799
73,2000-03-14,00:00:00.00,0.929211,2.31853,37.8,0.821751
74,2000-03-15,00:00:00.00,2.51128,1.69908,35.8,0.602498
75,2000-03-16,00:00:00.00,4.26583,1.39521,34.9,0.501152
76,2000-03-17,00:00:00.00,2.61313,1.6143,34.7,0.565461
77,2000-03-18,00:00:00.00,0.0452869,2.22154,33.9,0.760552
78,2000-03-19,00:00:00.00,0.0618888,2.68608,31.6,0.913317
79,2000-03-20,00:00:00.00,2.63051,2.457,30,0.841421
80,2000-03-21,00:00:00.00,2.95762,1.89082,29.8,0.660196
81,2000-03-22,00:00:00.00,0.117454,1.73443,30.4,0.605638
82,2000-03-23,00:00:00.00,0.512214,2.06219,30,0.703578
83,2000-03-24,00:00:00.00,0.454928,2.41501,29.5,0.817084
84,2000-03-25,00:00:00.00,0.508142,2.23376,28.7,0.765704
85,2000-03-26,00:00:00.00,2.56841,1.74513,27.9,0.615014
86,2000-03-27,00:00:00.00,0.86047,1.43221,27.3,0.515153
87,2000-03-28,00:00:00.00,2.6573,1.35749,26.7,0.487026
88,2000-03-29,00:00:00.00,5.51332,1.4704,26.3,0.523268
89,2000-03-30,00:00:00.00,5.80556,1.80567,28.6,0.650932
90,2000-03-31,00:00:00.00,0.665043,2.48309,31,0.91168
91,2000-04-01,00:00:00.00,0.0261928,3.24364,31.6,1.19859
92,2000-04-02,00:00:00.00,0.00961894,3.44298,30.2,1.26811
93,2000-04-03,00:00:00.00,1.67182,2.85734,29.2,1.05004
94,2000-04-04,00:00:00.00,0.065349,2.09888,28.3,0.778551
95,2000-04-05,00:00:00.00,3.38398,1.70241,27.8,0.641285
