time,date,hour,precip [mm/day],sub7062 [m3/s],sub7062 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,3.20132,
1,2000-01-02,00:00:00.00,0.694384,189.916,1.51
2,2000-01-03,00:00:00.00,5.60825,211.495,1.9
3,2000-01-04,00:00:00.00,8.62042,37.0089,2.33
4,2000-01-05,00:00:00.00,15.2584,24.9775,2.33
5,2000-01-06,00:00:00.00,0.426228,21.5694,2
6,2000-01-07,00:00:00.00,0.483919,18.3194,2.31
7,2000-01-08,00:00:00.00,0.780434,13.9092,1.85
8,2000-01-09,00:00:00.00,0.454254,10.9151,1.7
9,2000-01-10,00:00:00.00,0.185517,9.10795,1.59
10,2000-01-11,00:00:00.00,6.87116,8.06769,1.58
11,2000-01-12,00:00:00.00,0.905869,8.0743,2.67
12,2000-01-13,00:00:00.00,0.41705,8.10712,3.03
13,2000-01-14,00:00:00.00,3.09309,7.28496,2.48
14,2000-01-15,00:00:00.00,0.183286,6.41983,1.96
15,2000-01-16,00:00:00.00,0.891006,5.82131,1.61
16,2000-01-17,00:00:00.00,1.00907,5.38312,1.39
17,2000-01-18,00:00:00.00,0.177363,5.02451,1.23
18,2000-01-19,00:00:00.00,0.309151,4.72439,1.17
19,2000-01-20,00:00:00.00,0.578545,4.47019,1.12
20,2000-01-21,00:00:00.00,4.45015,4.25223,1.07
21,2000-01-22,00:00:00.00,0.150759,4.06337,1.04
22,2000-01-23,00:00:00.00,0.124987,3.89855,1.01
23,2000-01-24,00:00:00.00,2.69422,3.75378,0.98
24,2000-01-25,00:00:00.00,0.412558,3.62548,1.01
25,2000-01-26,00:00:00.00,0.30169,3.5109,1.06
26,2000-01-27,00:00:00.00,0.26771,3.40815,0.99
27,2000-01-28,00:00:00.00,0.147642,3.31566,0.96
28,2000-01-29,00:00:00.00,0.225475,3.23215,0.93
29,2000-01-30,00:00:00.00,0.2762,3.15632,0.95
30,2000-01-31,00:00:00.00,0.719501,3.0869,0.98
31,2000-02-01,00:00:00.00,2.86354,3.02308,1
32,2000-02-02,00:00:00.00,0.550615,2.96473,0.98
33,2000-02-03,00:00:00.00,0.108015,2.91077,0.97
34,2000-02-04,00:00:00.00,2.10184,2.86007,0.95
35,2000-02-05,00:00:00.00,0.323602,2.8128,0.93
36,2000-02-06,00:00:00.00,0.677046,2.76886,0.92
37,2000-02-07,00:00:00.00,0.227469,2.72774,0.91
38,2000-02-08,00:00:00.00,0.168029,2.68903,0.9
39,2000-02-09,00:00:00.00,0.160683,2.65254,0.89
40,2000-02-10,00:00:00.00,0.540822,2.61816,0.93
41,2000-02-11,00:00:00.00,7.10498,2.58578,0.94
42,2000-02-12,00:00:00.00,2.50334,2.55519,0.93
43,2000-02-13,00:00:00.00,0.251579,2.52621,0.9
44,2000-02-14,00:00:00.00,5.257,2.49875,0.88
45,2000-02-15,00:00:00.00,4.675,2.47264,0.87
46,2000-02-16,00:00:00.00,0.568808,2.44767,0.86
47,2000-02-17,00:00:00.00,4.61817,2.42362,0.87
48,2000-02-18,00:00:00.00,0.227401,2.40034,0.9
49,2000-02-19,00:00:00.00,5.85268,2.37794,0.89
50,2000-02-20,00:00:00.00,0.334172,2.35647,0.88
51,2000-02-21,00:00:00.00,1.08175,2.33569,0.87
52,2000-02-22,00:00:00.00,0.334395,2.31545,0.86
53,2000-02-23,00:00:00.00,0.535366,2.29569,0.92
54,2000-02-24,00:00:00.00,0.962108,2.78395,1.58
55,2000-02-25,00:00:00.00,6.00089,6.83212,5.95
56,2000-02-26,00:00:00.00,9.38552,12.7022,13.3
57,2000-02-27,00:00:00.00,0.187052,14.6517,27.3
58,2000-02-28,00:00:00.00,3.07923,12.8247,26.5
59,2000-02-29,00:00:00.00,0.440344,10.5155,13.6
60,2000-03-01,00:00:00.00,0.425411,9.02623,8.05
61,2000-03-02,00:00:00.00,3.24849,7.95181,4.81
62,2000-03-03,00:00:00.00,0.623645,7.34673,3.9
63,2000-03-04,00:00:00.00,0.0753427,6.89847,3.2
64,2000-03-05,00:00:00.00,0.0807393,6.3269,2.93
65,2000-03-06,00:00:00.00,0.0380428,5.8135,2.75
66,2000-03-07,00:00:00.00,0.0813993,5.41744,2.61
67,2000-03-08,00:00:00.00,0.0650642,5.09763,2.54
