time,date,hour,precip [mm/day],sub7064 [m3/s],sub7064 (observed) [m3/s],sub7068 [m3/s],sub7070 [m3/s],sub7071 [m3/s]
0,2000-01-01,00:00:00.00,---,11.0767,,3.91117,2.88549,2.04715
1,2000-01-02,00:00:00.00,0.401334,607.585,4.18,214.537,158.276,112.291
2,2000-01-03,00:00:00.00,4.9413,692.453,4.92,244.359,180.274,127.922
3,2000-01-04,00:00:00.00,8.78486,143.874,8.43,50.461,37.2209,26.458
4,2000-01-05,00:00:00.00,12.0056,95.9663,10.8,33.2704,24.5351,17.4334
5,2000-01-06,00:00:00.00,0.324252,74.031,9.32,25.3776,18.7095,13.2657
6,2000-01-07,00:00:00.00,0.343869,54.0331,7.93,18.5694,13.6908,9.70274
7,2000-01-08,00:00:00.00,0.664282,40.3539,7.38,13.9729,10.3039,7.30612
8,2000-01-09,00:00:00.00,0.234894,32.6271,6.41,11.3322,8.35717,5.92653
9,2000-01-10,00:00:00.00,0.161276,27.3586,6.19,9.52112,7.02191,4.98009
10,2000-01-11,00:00:00.00,3.89368,24.5565,6.42,8.48994,6.26048,4.44253
11,2000-01-12,00:00:00.00,0.423094,23.0677,9.54,7.87003,5.80192,4.12027
12,2000-01-13,00:00:00.00,0.565505,20.5955,9,7.00616,5.1652,3.66817
13,2000-01-14,00:00:00.00,2.58093,18.021,6.5,6.16656,4.5469,3.22811
14,2000-01-15,00:00:00.00,0.27851,16.2743,4.4,5.58925,4.12142,2.9259
15,2000-01-16,00:00:00.00,0.932291,14.8699,3.9,5.11575,3.77242,2.67805
16,2000-01-17,00:00:00.00,0.175792,13.6967,4.2,4.71855,3.47964,2.47014
17,2000-01-18,00:00:00.00,0.231105,12.7031,3.65,4.38108,3.23087,2.2935
18,2000-01-19,00:00:00.00,0.884098,11.8531,3.6,4.09159,3.01746,2.14198
19,2000-01-20,00:00:00.00,1.07386,11.1178,3.48,3.84056,2.8324,2.01059
20,2000-01-21,00:00:00.00,2.52558,10.4749,3.36,3.62066,2.6703,1.8955
21,2000-01-22,00:00:00.00,0.241765,9.90922,3.24,3.42683,2.5274,1.79405
22,2000-01-23,00:00:00.00,0.297773,9.40872,3.15,3.25503,2.40074,1.70414
23,2000-01-24,00:00:00.00,1.93541,8.96212,3.08,3.10149,2.28754,1.6238
24,2000-01-25,00:00:00.00,0.497467,8.56036,3.02,2.96319,2.18558,1.55144
25,2000-01-26,00:00:00.00,0.574282,8.19767,2.95,2.83821,2.09345,1.48605
26,2000-01-27,00:00:00.00,0.328255,7.86919,2.89,2.72492,2.00993,1.42677
27,2000-01-28,00:00:00.00,0.237255,7.57057,2.84,2.62182,1.93392,1.37283
28,2000-01-29,00:00:00.00,0.229757,7.29802,2.87,2.52762,1.86447,1.32354
29,2000-01-30,00:00:00.00,0.477243,7.04721,2.94,2.44084,1.80049,1.27815
30,2000-01-31,00:00:00.00,0.647425,6.81473,3.01,2.36036,1.74115,1.23606
31,2000-02-01,00:00:00.00,0.759331,6.61781,3.06,2.28565,1.68608,1.19699
32,2000-02-02,00:00:00.00,0.740662,6.44683,3.01,2.21635,1.635,1.16075
33,2000-02-03,00:00:00.00,0.374847,6.25572,2.98,2.15198,1.58754,1.12708
34,2000-02-04,00:00:00.00,2.36252,6.066,2.95,2.09195,1.54329,1.0957
35,2000-02-05,00:00:00.00,0.393229,5.90243,2.92,2.03578,1.50188,1.06634
36,2000-02-06,00:00:00.00,0.932362,5.7493,2.88,1.98304,1.46302,1.03877
37,2000-02-07,00:00:00.00,0.259384,5.6051,2.81,1.93337,1.42641,1.01281
38,2000-02-08,00:00:00.00,0.318662,5.46912,2.73,1.88652,1.39189,0.988333
39,2000-02-09,00:00:00.00,0.349466,5.34085,2.68,1.84231,1.35931,0.965237
40,2000-02-10,00:00:00.00,0.819874,5.23077,2.78,1.80139,1.32936,0.946698
41,2000-02-11,00:00:00.00,7.31918,5.13388,2.88,1.7633,1.30162,0.931273
42,2000-02-12,00:00:00.00,2.12191,5.02248,2.93,1.72586,1.274,0.910729
43,2000-02-13,00:00:00.00,0.324753,4.90989,2.9,1.68983,1.24728,0.889163
44,2000-02-14,00:00:00.00,6.14117,4.81189,2.85,1.65619,1.22251,0.871407
45,2000-02-15,00:00:00.00,2.3953,4.71862,2.77,1.62411,1.19887,0.854527
46,2000-02-16,00:00:00.00,1.06071,4.62932,2.69,1.5934,1.17624,0.838369
47,2000-02-17,00:00:00.00,5.14342,4.54328,2.62,1.56382,1.15445,0.822819
48,2000-02-18,00:00:00.00,0.27569,4.46056,2.64,1.53534,1.13347,0.807861
49,2000-02-19,00:00:00.00,5.29848,4.38172,2.7,1.50817,1.11345,0.793593
50,2000-02-20,00:00:00.00,0.429952,4.30615,2.78,1.48215,1.09428,0.779934
51,2000-02-21,00:00:00.00,1.04534,4.23313,2.74,1.45703,1.07576,0.766758
52,2000-02-22,00:00:00.00,0.42584,4.16233,2.66,1.43263,1.05779,0.753964
53,2000-02-23,00:00:00.00,0.580127,4.09369,2.83,1.40898,1.04035,0.741536
54,2000-02-24,00:00:00.00,0.498396,6.3128,4.9,2.32526,1.73634,0.729515
55,2000-02-25,00:00:00.00,7.53814,18.3443,37,6.52792,4.80072,2.4975
56,2000-02-26,00:00:00.00,7.27104,34.9476,86,11.9066,8.70736,6.26648
57,2000-02-27,00:00:00.00,0.286964,35.8264,81.3,12.1289,8.95354,7.05173
58,2000-02-28,00:00:00.00,4.46999,28.0575,64.7,9.63588,7.18306,5.46558
59,2000-02-29,00:00:00.00,0.422314,25.344,43.7,8.74025,6.5035,4.92193
60,2000-03-01,00:00:00.00,0.384641,22.6688,20.8,7.83577,5.82899,4.39557
61,2000-03-02,00:00:00.00,1.89459,20.2012,14.1,6.95496,5.17456,3.88376
62,2000-03-03,00:00:00.00,0.397028,18.8513,12.2,6.45145,4.8056,3.59009
63,2000-03-04,00:00:00.00,0.103204,17.3205,11.4,5.92765,4.41305,3.28359
64,2000-03-05,00:00:00.00,0.225169,15.8435,10.1,5.44315,4.04728,3.00043
65,2000-03-06,00:00:00.00,0.0672373,14.7172,9.6,5.0662,3.76519,2.78372
66,2000-03-07,00:00:00.00,0.101446,13.7629,9.18,4.74348,3.52402,2.59953
67,2000-03-08,00:00:00.00,0.235289,12.934,8.91,4.46243,3.31425,2.44016
68,2000-03-09,00:00:00.00,0.12655,12.2004,9.4,4.21303,3.12823,2.29956
69,2000-03-10,00:00:00.00,3.8373,11.9384,12.3,4.08244,3.0314,2.23471
70,2000-03-11,00:00:00.00,0.577277,11.9366,12,4.0212,2.98655,2.21285
71,2000-03-12,00:00:00.00,0.424787,11.3341,10,3.82521,2.84051,2.10146
72,2000-03-13,00:00:00.00,0.731007,10.5677,8.45,3.59599,2.66948,1.96698
73,2000-03-14,00:00:00.00,0.562679,10.0998,7.55,3.44221,2.55491,1.87988
74,2000-03-15,00:00:00.00,1.29112,9.69641,7.45,3.30627,2.454,1.80262
75,2000-03-16,00:00:00.00,0.923737,9.35366,8.3,3.18405,2.36356,1.73323
76,2000-03-17,00:00:00.00,2.51198,9.31578,9.75,3.17858,2.36105,1.7323
