time,date,hour,precip [mm/day],sub7068 [m3/s],sub7068 (observed) [m3/s],sub7070 [m3/s]
0,2000-01-01,00:00:00.00,---,3.27379,,2.41526
1,2000-01-02,00:00:00.00,0.400045,267.496,1,197.348
2,2000-01-03,00:00:00.00,4.42604,289.847,1.18,213.835
3,2000-01-04,00:00:00.00,8.43243,38.3072,1.33,28.2551
4,2000-01-05,00:00:00.00,10.774,26.0763,1.58,19.228
5,2000-01-06,00:00:00.00,0.302733,21.2221,1.7,15.643
6,2000-01-07,00:00:00.00,0.304688,16.0623,1.34,11.8387
7,2000-01-08,00:00:00.00,0.65083,11.7173,1.22,8.63852
8,2000-01-09,00:00:00.00,0.335834,9.3281,1.16,6.87808
9,2000-01-10,00:00:00.00,0.16115,7.77843,1.11,5.73593
10,2000-01-11,00:00:00.00,3.31131,6.89085,1.48,5.08198
11,2000-01-12,00:00:00.00,0.200395,6.52877,2.01,4.81568
12,2000-01-13,00:00:00.00,0.630225,5.94483,2.24,4.38525
13,2000-01-14,00:00:00.00,2.65759,5.17729,1.89,3.81904
14,2000-01-15,00:00:00.00,0.314193,4.66173,1.56,3.43879
15,2000-01-16,00:00:00.00,1.01811,4.26038,1.33,3.14279
16,2000-01-17,00:00:00.00,0.112973,3.92693,1.19,2.89687
17,2000-01-18,00:00:00.00,0.185423,3.64574,1.07,2.68949
18,2000-01-19,00:00:00.00,0.993329,3.40617,0.98,2.5128
19,2000-01-20,00:00:00.00,1.23801,3.19984,0.9,2.36063
20,2000-01-21,00:00:00.00,2.43508,3.02,0.84,2.228
21,2000-01-22,00:00:00.00,0.302921,2.86212,0.78,2.11157
22,2000-01-23,00:00:00.00,0.231419,2.72282,0.75,2.00884
23,2000-01-24,00:00:00.00,1.72086,2.59888,0.69,1.91743
24,2000-01-25,00:00:00.00,0.375992,2.48753,0.66,1.83532
25,2000-01-26,00:00:00.00,0.635843,2.3871,0.62,1.76126
26,2000-01-27,00:00:00.00,0.310031,2.29629,0.59,1.6943
27,2000-01-28,00:00:00.00,0.367291,2.21385,0.57,1.63351
28,2000-01-29,00:00:00.00,0.172963,2.13874,0.55,1.57813
29,2000-01-30,00:00:00.00,0.398056,2.06971,0.58,1.52722
30,2000-01-31,00:00:00.00,0.715793,2.00565,0.61,1.47999
31,2000-02-01,00:00:00.00,0.531696,1.94612,0.68,1.4361
32,2000-02-02,00:00:00.00,0.753036,1.89095,0.64,1.39541
33,2000-02-03,00:00:00.00,0.378547,1.83974,0.59,1.35764
34,2000-02-04,00:00:00.00,2.32626,1.79201,0.55,1.32244
