time,date,hour,precip [mm/day],sub7156 [m3/s],sub7156 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,7.87801,
1,2000-01-02,00:00:00.00,0.152186,3.952,2.67
2,2000-01-03,00:00:00.00,2.12521,0.08132,2.56
3,2000-01-04,00:00:00.00,17.4442,0.989094,2.95
4,2000-01-05,00:00:00.00,8.95881,2.84877,4.7
5,2000-01-06,00:00:00.00,0.187555,2.89633,6
6,2000-01-07,00:00:00.00,0.318133,1.1063,5.93
7,2000-01-08,00:00:00.00,0.221911,0.258714,5.06
8,2000-01-09,00:00:00.00,0.206055,0.241147,3.7
9,2000-01-10,00:00:00.00,2.76312,0.397094,3.34
10,2000-01-11,00:00:00.00,2.86302,0.8653,3.95
11,2000-01-12,00:00:00.00,0.458374,1.0884,8.67
12,2000-01-13,00:00:00.00,0.929617,0.693675,9.6
13,2000-01-14,00:00:00.00,5.12421,0.367944,7.85
14,2000-01-15,00:00:00.00,0.372499,0.348451,5.6
15,2000-01-16,00:00:00.00,0.991361,0.349244,4.8
16,2000-01-17,00:00:00.00,0.148025,0.349573,3.6
17,2000-01-18,00:00:00.00,0.222448,0.349831,3.3
18,2000-01-19,00:00:00.00,1.05014,0.351276,3
19,2000-01-20,00:00:00.00,1.00351,0.353018,2.7
20,2000-01-21,00:00:00.00,2.74469,0.354324,2.5
21,2000-01-22,00:00:00.00,0.377574,0.355681,2.35
22,2000-01-23,00:00:00.00,0.337284,0.357433,2.25
23,2000-01-24,00:00:00.00,0.390733,0.359063,2.15
24,2000-01-25,00:00:00.00,0.237058,0.359907,2.05
25,2000-01-26,00:00:00.00,0.52266,0.36081,1.95
26,2000-01-27,00:00:00.00,0.456235,0.361984,1.9
27,2000-01-28,00:00:00.00,0.145487,0.363078,1.85
28,2000-01-29,00:00:00.00,0.101357,0.364145,1.8
29,2000-01-30,00:00:00.00,0.565506,0.364751,1.75
30,2000-01-31,00:00:00.00,2.20678,0.364958,1.7
31,2000-02-01,00:00:00.00,0.393713,0.365019,1.65
32,2000-02-02,00:00:00.00,0.683497,0.364909,1.61
33,2000-02-03,00:00:00.00,0.310124,0.364932,1.58
34,2000-02-04,00:00:00.00,2.61747,0.365002,1.54
35,2000-02-05,00:00:00.00,1.43999,0.364616,1.5
36,2000-02-06,00:00:00.00,0.394475,0.363854,1.48
37,2000-02-07,00:00:00.00,0.297674,0.362948,1.46
38,2000-02-08,00:00:00.00,0.20633,0.362214,1.44
39,2000-02-09,00:00:00.00,0.11119,0.361646,1.42
40,2000-02-10,00:00:00.00,0.268142,0.360828,1.4
41,2000-02-11,00:00:00.00,4.38915,0.359522,1.38
42,2000-02-12,00:00:00.00,0.67921,0.358142,1.37
43,2000-02-13,00:00:00.00,0.144507,0.357158,1.36
44,2000-02-14,00:00:00.00,4.39154,0.356389,1.35
45,2000-02-15,00:00:00.00,1.06109,0.35562,1.34
46,2000-02-16,00:00:00.00,1.22927,0.354704,1.35
47,2000-02-17,00:00:00.00,1.96953,0.353598,1.36
48,2000-02-18,00:00:00.00,0.221528,0.352582,1.37
49,2000-02-19,00:00:00.00,7.52944,0.351696,1.38
50,2000-02-20,00:00:00.00,0.517046,0.350624,1.4
51,2000-02-21,00:00:00.00,0.215411,0.349359,1.65
52,2000-02-22,00:00:00.00,0.24037,0.347772,2.4
53,2000-02-23,00:00:00.00,0.629752,0.345909,4.69
54,2000-02-24,00:00:00.00,0.497046,4.21377,6.64
55,2000-02-25,00:00:00.00,7.41771,12.0032,31
56,2000-02-26,00:00:00.00,2.06496,11.8458,60
57,2000-02-27,00:00:00.00,0.255094,6.73996,65
58,2000-02-28,00:00:00.00,8.19684,6.80716,54.3
59,2000-02-29,00:00:00.00,0.27202,8.47887,44.2
60,2000-03-01,00:00:00.00,0.135363,7.86359,26.7
61,2000-03-02,00:00:00.00,4.58999,7.16733,17.6
62,2000-03-03,00:00:00.00,0.0525266,7.82534,13.2
63,2000-03-04,00:00:00.00,0.0742403,7.33301,9.42
64,2000-03-05,00:00:00.00,0.00979572,6.49508,7.4
65,2000-03-06,00:00:00.00,0.0781091,6.14976,6.19
66,2000-03-07,00:00:00.00,0.0382194,5.8381,5.31
67,2000-03-08,00:00:00.00,0.0310468,5.54565,4.59
68,2000-03-09,00:00:00.00,0.0444567,5.26566,4.19
69,2000-03-10,00:00:00.00,7.38584,5.72475,3.95
