time,date,hour,precip [mm/day],sub7130 [m3/s],sub7130 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,3.18901,
1,2000-01-02,00:00:00.00,0.500374,1.59475,1.14
2,2000-01-03,00:00:00.00,5.23941,0.219065,1.21
3,2000-01-04,00:00:00.00,9.67607,1.47271,1.64
4,2000-01-05,00:00:00.00,17.8097,3.76872,1.9
5,2000-01-06,00:00:00.00,0.313241,2.67346,1.58
6,2000-01-07,00:00:00.00,0.362321,0.166,1.44
7,2000-01-08,00:00:00.00,0.738583,0.012661,1.4
8,2000-01-09,00:00:00.00,0.340924,0.0089054,1.31
9,2000-01-10,00:00:00.00,0.158201,0.00668392,1.37
10,2000-01-11,00:00:00.00,7.54106,1.28092,2.53
11,2000-01-12,00:00:00.00,0.928111,1.40233,7.63
12,2000-01-13,00:00:00.00,0.296674,0.133798,5.07
13,2000-01-14,00:00:00.00,3.27829,0.0149003,2.68
14,2000-01-15,00:00:00.00,0.223714,0.0103895,1.6
15,2000-01-16,00:00:00.00,0.857626,0.00783025,1.66
16,2000-01-17,00:00:00.00,0.797468,0.00459663,1.77
17,2000-01-18,00:00:00.00,0.208412,0.00301499,1.2
18,2000-01-19,00:00:00.00,0.49174,0.00254143,1.08
19,2000-01-20,00:00:00.00,0.363678,0.00175912,0.98
20,2000-01-21,00:00:00.00,4.56932,0.00131058,0.94
21,2000-01-22,00:00:00.00,0.0435965,0.00131181,0.89
22,2000-01-23,00:00:00.00,0.0497448,0.00131301,0.84
23,2000-01-24,00:00:00.00,2.11343,0.00131397,0.85
24,2000-01-25,00:00:00.00,0.248041,0.0013146,0.9
25,2000-01-26,00:00:00.00,0.357154,0.00131506,0.95
26,2000-01-27,00:00:00.00,0.237774,0.0013154,0.88
27,2000-01-28,00:00:00.00,0.296088,0.00131569,0.83
28,2000-01-29,00:00:00.00,0.296496,0.00131595,0.84
29,2000-01-30,00:00:00.00,0.624225,0.00131606,0.85
30,2000-01-31,00:00:00.00,0.55767,0.00131602,0.89
31,2000-02-01,00:00:00.00,3.12087,0.0013159,0.94
32,2000-02-02,00:00:00.00,0.602187,0.00131573,1.01
33,2000-02-03,00:00:00.00,0.151834,0.00131552,0.96
34,2000-02-04,00:00:00.00,1.9307,0.00131529,0.93
35,2000-02-05,00:00:00.00,0.212083,0.00131503,0.91
36,2000-02-06,00:00:00.00,0.68755,0.00131476,0.9
37,2000-02-07,00:00:00.00,0.0959489,0.00131448,0.89
38,2000-02-08,00:00:00.00,0.209981,0.00131419,0.88
39,2000-02-09,00:00:00.00,0.255317,0.0013139,0.85
40,2000-02-10,00:00:00.00,0.593172,0.00131361,0.95
41,2000-02-11,00:00:00.00,7.94519,0.00131331,0.9
42,2000-02-12,00:00:00.00,2.69032,0.00131302,0.88
43,2000-02-13,00:00:00.00,0.262581,0.00131272,0.86
44,2000-02-14,00:00:00.00,5.56733,0.00131243,0.87
45,2000-02-15,00:00:00.00,5.19884,0.00131213,0.89
46,2000-02-16,00:00:00.00,0.34539,0.00131184,0.9
47,2000-02-17,00:00:00.00,4.95897,0.00131155,1.01
48,2000-02-18,00:00:00.00,0.072409,0.00131126,0.95
49,2000-02-19,00:00:00.00,6.0397,0.00131096,0.96
50,2000-02-20,00:00:00.00,0.120104,0.00131066,0.99
51,2000-02-21,00:00:00.00,1.06248,0.00131037,1.02
52,2000-02-22,00:00:00.00,0.1961,0.00131007,1.06
53,2000-02-23,00:00:00.00,0.324885,0.00130978,1.11
54,2000-02-24,00:00:00.00,1.2492,6.54276,1.81
55,2000-02-25,00:00:00.00,6.62272,8.92637,3.41
56,2000-02-26,00:00:00.00,10.2878,3.91703,33.4
57,2000-02-27,00:00:00.00,0.199283,1.61458,12.1
58,2000-02-28,00:00:00.00,3.26661,0.279661,8.39
59,2000-02-29,00:00:00.00,0.438941,0.238765,5.21
60,2000-03-01,00:00:00.00,0.436579,0.0817568,2.89
61,2000-03-02,00:00:00.00,3.27115,0.24559,2.35
62,2000-03-03,00:00:00.00,0.361053,0.247865,2.25
63,2000-03-04,00:00:00.00,0.0589839,0.0861264,1.93
64,2000-03-05,00:00:00.00,0.177662,0.085912,1.84
65,2000-03-06,00:00:00.00,0.0370228,0.0856859,1.8
66,2000-03-07,00:00:00.00,0.0146097,0.085457,1.75
67,2000-03-08,00:00:00.00,0.158893,0.0852271,1.74
68,2000-03-09,00:00:00.00,0.107909,0.0849977,1.84
69,2000-03-10,00:00:00.00,9.762,0.377765,2.37
70,2000-03-11,00:00:00.00,0.103405,0.381693,2.47
71,2000-03-12,00:00:00.00,0.366672,0.0926208,1.86
72,2000-03-13,00:00:00.00,3.20578,0.0923833,1.88
73,2000-03-14,00:00:00.00,0.0938022,0.0921386,1.78
74,2000-03-15,00:00:00.00,1.93488,0.0921293,1.91
75,2000-03-16,00:00:00.00,2.1884,0.3391,2.35
76,2000-03-17,00:00:00.00,3.93763,0.569255,3.21
77,2000-03-18,00:00:00.00,0.0160767,0.329451,2.53
78,2000-03-19,00:00:00.00,0.0833509,0.106213,1.97
79,2000-03-20,00:00:00.00,2.8071,0.108611,1.84
80,2000-03-21,00:00:00.00,2.59796,0.274073,1.96
81,2000-03-22,00:00:00.00,0.0736204,0.275069,2.07
82,2000-03-23,00:00:00.00,0.420399,0.112958,2.12
83,2000-03-24,00:00:00.00,0.200952,0.112601,2.2
84,2000-03-25,00:00:00.00,0.172357,0.112239,2.31
85,2000-03-26,00:00:00.00,2.75469,0.112052,2.37
86,2000-03-27,00:00:00.00,0.182118,0.111866,2.4
87,2000-03-28,00:00:00.00,3.76899,0.112325,2.15
88,2000-03-29,00:00:00.00,1.24526,0.112786,2.06
89,2000-03-30,00:00:00.00,4.24788,0.23018,2.13
90,2000-03-31,00:00:00.00,0.26911,0.232474,2.06
91,2000-04-01,00:00:00.00,0.0555911,0.117004,1.88
92,2000-04-02,00:00:00.00,0,0.116621,1.8
93,2000-04-03,00:00:00.00,0.790399,0.116238,1.8
94,2000-04-04,00:00:00.00,0.434039,0.115856,1.87
95,2000-04-05,00:00:00.00,2.60864,0.115564,2.44
96,2000-04-06,00:00:00.00,0.0788159,0.115274,2.7
97,2000-04-07,00:00:00.00,1.24844,0.114898,2.14
98,2000-04-08,00:00:00.00,4.88396,0.11735,2.05
99,2000-04-09,00:00:00.00,15.4077,0.399787,5.08
100,2000-04-10,00:00:00.00,0.106595,0.402646,4.48
101,2000-04-11,00:00:00.00,0.364672,0.209952,3.07
102,2000-04-12,00:00:00.00,2.0446,0.211524,2.41
103,2000-04-13,00:00:00.00,0.144137,0.128636,2.39
104,2000-04-14,00:00:00.00,1.73959,0.867719,2.34
105,2000-04-15,00:00:00.00,0.0238603,0.881305,2.18
106,2000-04-16,00:00:00.00,0.149854,0.155282,2.15
107,2000-04-17,00:00:00.00,0.0115575,0.154669,2.08
108,2000-04-18,00:00:00.00,0.0042454,0.154059,1.9
109,2000-04-19,00:00:00.00,0.217913,0.153452,1.84
110,2000-04-20,00:00:00.00,0.22152,0.15285,1.75
111,2000-04-21,00:00:00.00,18.0663,1.47639,2.26
112,2000-04-22,00:00:00.00,16.4252,3.75517,13.5
113,2000-04-23,00:00:00.00,2.22494,2.66026,10.4
114,2000-04-24,00:00:00.00,0.00457001,0.47869,5.42
115,2000-04-25,00:00:00.00,0.00437806,0.345816,3.77
116,2000-04-26,00:00:00.00,0.021699,0.343508,2.7
117,2000-04-27,00:00:00.00,0.0149917,0.341219,2.38
118,2000-04-28,00:00:00.00,0.026481,0.338956,2.22
119,2000-04-29,00:00:00.00,0.0531974,0.336717,2.07
120,2000-04-30,00:00:00.00,0.0729962,0.334503,1.9
121,2000-05-01,00:00:00.00,0.0107492,0.332314,1.73
122,2000-05-02,00:00:00.00,3.32503,0.330152,1.59
123,2000-05-03,00:00:00.00,0.0754493,0.328013,1.61
124,2000-05-04,00:00:00.00,0.453791,0.325894,1.56
125,2000-05-05,00:00:00.00,0.0429773,0.323797,1.45
126,2000-05-06,00:00:00.00,4.3048,0.321823,1.41
127,2000-05-07,00:00:00.00,0,0.319869,1.41
128,2000-05-08,00:00:00.00,5.11569,0.318305,1.38
129,2000-05-09,00:00:00.00,8.23503,0.420512,1.41
130,2000-05-10,00:00:00.00,4.49731,0.473031,1.36
131,2000-05-11,00:00:00.00,19.4798,2.51891,1.54
132,2000-05-12,00:00:00.00,0.0348377,2.56782,2.01
133,2000-05-13,00:00:00.00,3.31622,0.518362,8.96
134,2000-05-14,00:00:00.00,14.1386,1.6037,41.6
135,2000-05-15,00:00:00.00,0.00904377,1.66478,7.1
136,2000-05-16,00:00:00.00,0.0107295,0.635055,4.07
137,2000-05-17,00:00:00.00,2.71378,0.62869,3.26
138,2000-05-18,00:00:00.00,0.0157504,0.622417,3.1
139,2000-05-19,00:00:00.00,22.7514,2.52684,11.8
140,2000-05-20,00:00:00.00,4.85015,2.93917,6.86
141,2000-05-21,00:00:00.00,0.041557,1.18214,3.47
142,2000-05-22,00:00:00.00,0.00783256,0.914391,2.53
143,2000-05-23,00:00:00.00,0.338333,0.902624,2.21
144,2000-05-24,00:00:00.00,5.00689,0.894526,2.02
145,2000-05-25,00:00:00.00,3.5844,0.887721,6.28
146,2000-05-26,00:00:00.00,0.103178,0.877635,3.47
147,2000-05-27,00:00:00.00,0.0217407,0.866642,2.29
148,2000-05-28,00:00:00.00,0.15265,0.855877,1.88
149,2000-05-29,00:00:00.00,0.030729,0.845335,1.69
150,2000-05-30,00:00:00.00,0.0630852,0.83501,1.58
151,2000-05-31,00:00:00.00,0.0344984,0.824897,1.51
152,2000-06-01,00:00:00.00,1.26452,0.814989,1.42
153,2000-06-02,00:00:00.00,0.0700149,0.80528,1.38
154,2000-06-03,00:00:00.00,0.636902,0.795765,1.63
155,2000-06-04,00:00:00.00,0.0555251,0.786438,1.42
156,2000-06-05,00:00:00.00,0.0212366,0.777294,1.26
157,2000-06-06,00:00:00.00,2.00676,0.768327,1.19
158,2000-06-07,00:00:00.00,1.00816,0.759534,1.84
159,2000-06-08,00:00:00.00,0.00520716,0.75091,1.58
160,2000-06-09,00:00:00.00,0.242449,0.742449,1.3
161,2000-06-10,00:00:00.00,10.4414,0.80793,1.23
162,2000-06-11,00:00:00.00,0.14877,0.818826,1.25
163,2000-06-12,00:00:00.00,14.1697,1.33614,6.66
164,2000-06-13,00:00:00.00,0.568705,1.38163,6.85
165,2000-06-14,00:00:00.00,23.403,3.48347,35.6
166,2000-06-15,00:00:00.00,0.871432,3.7081,12.7
167,2000-06-16,00:00:00.00,9.20225,1.38777,31.8
168,2000-06-17,00:00:00.00,0.0638775,1.40846,6.49
169,2000-06-18,00:00:00.00,0.0853828,1.33047,4.4
170,2000-06-19,00:00:00.00,0.550893,1.30832,3.6
171,2000-06-20,00:00:00.00,0.063236,1.28678,3.05
172,2000-06-21,00:00:00.00,0.0634138,1.26584,2.7
173,2000-06-22,00:00:00.00,21.6124,2.55719,3.15
174,2000-06-23,00:00:00.00,0.171994,2.7,2.83
175,2000-06-24,00:00:00.00,0.0421781,1.52696,2.62
176,2000-06-25,00:00:00.00,1.66518,1.49901,1.44
177,2000-06-26,00:00:00.00,48.1323,7.49919,30.2
178,2000-06-27,00:00:00.00,0.207605,8.35608,8.28
179,2000-06-28,00:00:00.00,0.925784,3.1502,4.32
180,2000-06-29,00:00:00.00,0.0322247,3.05503,2.71
181,2000-06-30,00:00:00.00,7.43098,2.99138,2.69
182,2000-07-01,00:00:00.00,0.00154763,2.93091,3.29
183,2000-07-02,00:00:00.00,0.0049933,2.84669,2.28
184,2000-07-03,00:00:00.00,0.0358648,2.76654,1.79
185,2000-07-04,00:00:00.00,2.04625,2.69017,5.03
186,2000-07-05,00:00:00.00,0.144546,2.61733,4.34
187,2000-07-06,00:00:00.00,0.0688207,2.54781,2.43
188,2000-07-07,00:00:00.00,0.0799983,2.48139,1.77
189,2000-07-08,00:00:00.00,0.0184064,2.41787,1.53
190,2000-07-09,00:00:00.00,0.0153165,2.35708,1.37
191,2000-07-10,00:00:00.00,17.4802,2.95182,1.49
192,2000-07-11,00:00:00.00,0.0374554,3.06493,1.68
193,2000-07-12,00:00:00.00,0.00975441,2.52023,1.38
194,2000-07-13,00:00:00.00,0.00534926,2.45502,1.16
195,2000-07-14,00:00:00.00,0.138162,2.39264,1.06
196,2000-07-15,00:00:00.00,8.73248,2.35467,2.68
197,2000-07-16,00:00:00.00,3.81495,2.33245,3.52
198,2000-07-17,00:00:00.00,3.70588,2.30656,4.64
199,2000-07-18,00:00:00.00,0.00786878,2.26758,5.13
200,2000-07-19,00:00:00.00,0.0722364,2.21306,11.5
201,2000-07-20,00:00:00.00,0.0587051,2.16073,3.39
202,2000-07-21,00:00:00.00,0.50862,2.11048,2.11
203,2000-07-22,00:00:00.00,1.05126,2.06219,1.68
204,2000-07-23,00:00:00.00,0.0617034,2.01576,1.49
205,2000-07-24,00:00:00.00,0.00310054,1.97108,1.36
206,2000-07-25,00:00:00.00,0.00471018,1.92806,1.27
207,2000-07-26,00:00:00.00,0.0208038,1.88662,1.17
208,2000-07-27,00:00:00.00,0.0356361,1.84667,1.08
209,2000-07-28,00:00:00.00,0.00777704,1.80815,1.03
210,2000-07-29,00:00:00.00,0.20407,1.77097,1.04
211,2000-07-30,00:00:00.00,0.271333,1.73508,1.07
212,2000-07-31,00:00:00.00,0.159823,1.70041,1.09
213,2000-08-01,00:00:00.00,7.63835,1.67482,2.35
214,2000-08-02,00:00:00.00,3.41429,1.65133,2.41
215,2000-08-03,00:00:00.00,3.00967,1.62076,4.25
216,2000-08-04,00:00:00.00,1.37887,1.58995,2.09
217,2000-08-05,00:00:00.00,0.0205686,1.56005,1.47
218,2000-08-06,00:00:00.00,1.09911,1.53108,1.21
219,2000-08-07,00:00:00.00,0.3883,1.50301,1.11
220,2000-08-08,00:00:00.00,1.55145,1.47581,1.56
221,2000-08-09,00:00:00.00,0.337982,1.44943,1.45
222,2000-08-10,00:00:00.00,8.2567,1.43421,1.97
223,2000-08-11,00:00:00.00,1.24184,1.41947,1.48
224,2000-08-12,00:00:00.00,1.21873,1.39479,1.47
225,2000-08-13,00:00:00.00,0.170877,1.37081,2.46
226,2000-08-14,00:00:00.00,0.0791068,1.34752,1.57
227,2000-08-15,00:00:00.00,0.811405,1.3249,1.25
228,2000-08-16,00:00:00.00,2.93815,1.30291,1.08
229,2000-08-17,00:00:00.00,0.543545,1.28154,1.08
230,2000-08-18,00:00:00.00,0.0240972,1.26075,1.01
231,2000-08-19,00:00:00.00,0.224795,1.24053,1
232,2000-08-20,00:00:00.00,0.0864411,1.22086,1.06
233,2000-08-21,00:00:00.00,0.312009,1.2017,1.01
234,2000-08-22,00:00:00.00,1.88657,1.18305,0.97
235,2000-08-23,00:00:00.00,0.384753,1.16489,0.95
236,2000-08-24,00:00:00.00,6.75246,1.14962,2.18
237,2000-08-25,00:00:00.00,0.0157071,1.13474,1.6
238,2000-08-26,00:00:00.00,0.060569,1.11781,1.18
239,2000-08-27,00:00:00.00,0.62292,1.1013,1.06
240,2000-08-28,00:00:00.00,2.07149,1.0852,1.12
241,2000-08-29,00:00:00.00,0.0115436,1.0695,1.05
242,2000-08-30,00:00:00.00,0.0079144,1.05417,0.96
243,2000-08-31,00:00:00.00,1.53801,1.03922,0.94
244,2000-09-01,00:00:00.00,0.144065,1.02462,0.94
245,2000-09-02,00:00:00.00,1.71323,1.01036,0.93
246,2000-09-03,00:00:00.00,0.264212,0.996435,1.02
247,2000-09-04,00:00:00.00,2.4185,0.982832,1.1
248,2000-09-05,00:00:00.00,6.75086,0.973704,1.09
249,2000-09-06,00:00:00.00,0.0488993,0.964787,0.97
250,2000-09-07,00:00:00.00,0.0710305,0.951905,0.92
251,2000-09-08,00:00:00.00,0.0200605,0.93931,0.9
252,2000-09-09,00:00:00.00,0.448719,0.926993,0.9
253,2000-09-10,00:00:00.00,0.121103,0.914946,0.93
254,2000-09-11,00:00:00.00,0.270957,0.903162,1.16
255,2000-09-12,00:00:00.00,0.335209,0.891631,2.52
256,2000-09-13,00:00:00.00,7.88967,0.888927,1.66
257,2000-09-14,00:00:00.00,0.0222137,0.886286,1.24
258,2000-09-15,00:00:00.00,14.2626,1.87491,1.77
259,2000-09-16,00:00:00.00,8.95283,2.91999,4.35
260,2000-09-17,00:00:00.00,0.229675,2.10481,1.93
261,2000-09-18,00:00:00.00,1.26296,1.22912,1.41
262,2000-09-19,00:00:00.00,0.014971,1.20986,1.21
