time,date,hour,precip [mm/day],sub7210 [m3/s],sub7210 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,3.28167,
1,2000-01-02,00:00:00.00,0.606095,1.6509,0.31
2,2000-01-03,00:00:00.00,10.3487,0.0440109,0.32
3,2000-01-04,00:00:00.00,1.70338,0.155508,0.34
4,2000-01-05,00:00:00.00,15.5996,0.379105,0.48
5,2000-01-06,00:00:00.00,0.207937,0.659606,0.63
6,2000-01-07,00:00:00.00,0.0580261,0.784587,0.76
7,2000-01-08,00:00:00.00,1.36248,0.546894,0.64
8,2000-01-09,00:00:00.00,0.211996,0.242126,0.55
9,2000-01-10,00:00:00.00,0.251583,0.154094,0.5
10,2000-01-11,00:00:00.00,7.04673,0.168837,0.58
11,2000-01-12,00:00:00.00,1.21845,0.243807,3
12,2000-01-13,00:00:00.00,0.184355,0.327794,2.4
13,2000-01-14,00:00:00.00,0.150327,0.301223,1.5
14,2000-01-15,00:00:00.00,0.296982,0.224361,1
15,2000-01-16,00:00:00.00,1.05368,0.199433,0.65
16,2000-01-17,00:00:00.00,8.80892,0.201531,0.52
17,2000-01-18,00:00:00.00,0.442539,0.205348,0.33
18,2000-01-19,00:00:00.00,0.185672,0.209209,0.25
19,2000-01-20,00:00:00.00,0.288071,0.213173,0.19
20,2000-01-21,00:00:00.00,3.15066,0.217264,0.16
21,2000-01-22,00:00:00.00,0.575722,0.221428,0.14
22,2000-01-23,00:00:00.00,0.135575,0.225645,0.12
23,2000-01-24,00:00:00.00,1.23247,0.229929,0.1
24,2000-01-25,00:00:00.00,1.95891,0.234261,0.09
25,2000-01-26,00:00:00.00,1.14674,0.238591,0.08
26,2000-01-27,00:00:00.00,0.70965,0.242898,0.07
27,2000-01-28,00:00:00.00,0.116744,0.24723,0.07
28,2000-01-29,00:00:00.00,0.182826,0.251657,0.07
29,2000-01-30,00:00:00.00,0.191168,0.256196,0.06
30,2000-01-31,00:00:00.00,0.083692,0.26075,0.06
31,2000-02-01,00:00:00.00,3.97078,0.265191,0.06
32,2000-02-02,00:00:00.00,0.95408,0.269518,0.06
33,2000-02-03,00:00:00.00,0.112165,0.273852,0.06
34,2000-02-04,00:00:00.00,0.589404,0.278287,0.05
35,2000-02-05,00:00:00.00,0.21107,0.282847,0.05
36,2000-02-06,00:00:00.00,3.13039,0.287492,0.05
37,2000-02-07,00:00:00.00,0.115325,0.292135,0.05
38,2000-02-08,00:00:00.00,0.860224,0.296706,0.05
39,2000-02-09,00:00:00.00,0.636481,0.301208,0.05
40,2000-02-10,00:00:00.00,4.45018,0.306672,0.05
41,2000-02-11,00:00:00.00,3.5403,0.315937,0.05
42,2000-02-12,00:00:00.00,7.39123,0.325688,0.05
43,2000-02-13,00:00:00.00,0.137926,0.32864,0.05
44,2000-02-14,00:00:00.00,3.35831,0.328798,0.05
45,2000-02-15,00:00:00.00,7.25358,0.331983,0.05
46,2000-02-16,00:00:00.00,0.119827,0.336514,0.05
47,2000-02-17,00:00:00.00,8.37335,0.340996,0.06
48,2000-02-18,00:00:00.00,0.179317,0.345429,0.06
49,2000-02-19,00:00:00.00,0.690741,0.349904,0.07
