time,date,hour,precip [mm/day],sub7213 [m3/s],sub7213 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,6.2436,
1,2000-01-02,00:00:00.00,0.564767,3.1426,0.84
2,2000-01-03,00:00:00.00,10.2598,0.18513,0.89
3,2000-01-04,00:00:00.00,1.76344,0.52405,1.1
4,2000-01-05,00:00:00.00,25.5234,1.16858,2.68
5,2000-01-06,00:00:00.00,0.145765,2.03221,6.4
6,2000-01-07,00:00:00.00,0.122024,1.39282,5.6
7,2000-01-08,00:00:00.00,1.24941,0.298794,4.4
8,2000-01-09,00:00:00.00,0.125157,0.260584,3.1
9,2000-01-10,00:00:00.00,0.217309,0.264516,2.49
10,2000-01-11,00:00:00.00,12.5865,0.485415,2.38
11,2000-01-12,00:00:00.00,1.40696,0.91315,11.5
12,2000-01-13,00:00:00.00,0.199953,0.77812,16.2
13,2000-01-14,00:00:00.00,0.0920337,0.407749,9.2
14,2000-01-15,00:00:00.00,0.41266,0.384364,4.6
15,2000-01-16,00:00:00.00,0.915584,0.391396,3
16,2000-01-17,00:00:00.00,10.9064,0.399127,1.9
17,2000-01-18,00:00:00.00,0.340785,0.406766,1.5
18,2000-01-19,00:00:00.00,0.240602,0.414639,1.2
19,2000-01-20,00:00:00.00,0.479706,0.42286,1
20,2000-01-21,00:00:00.00,2.91016,0.431204,0.88
21,2000-01-22,00:00:00.00,0.620828,0.439638,0.78
22,2000-01-23,00:00:00.00,0.0772248,0.448225,0.7
23,2000-01-24,00:00:00.00,1.05273,0.456969,0.65
24,2000-01-25,00:00:00.00,1.39956,0.465732,0.6
25,2000-01-26,00:00:00.00,1.37368,0.474401,0.56
26,2000-01-27,00:00:00.00,1.55835,0.483085,0.54
27,2000-01-28,00:00:00.00,0.163582,0.491978,0.52
28,2000-01-29,00:00:00.00,0.229313,0.501161,0.5
29,2000-01-30,00:00:00.00,0.100077,0.510475,0.48
30,2000-01-31,00:00:00.00,0.0373466,0.519582,0.47
31,2000-02-01,00:00:00.00,3.49225,0.528438,0.46
32,2000-02-02,00:00:00.00,1.12348,0.537325,0.45
33,2000-02-03,00:00:00.00,0.0834874,0.546404,0.44
34,2000-02-04,00:00:00.00,0.323412,0.55577,0.44
35,2000-02-05,00:00:00.00,0.192782,0.565401,0.44
36,2000-02-06,00:00:00.00,2.92924,0.575048,0.44
37,2000-02-07,00:00:00.00,0.204715,0.584535,0.44
38,2000-02-08,00:00:00.00,1.02581,0.593902,0.44
39,2000-02-09,00:00:00.00,0.396312,0.6033,0.44
40,2000-02-10,00:00:00.00,5.03942,0.617076,0.44
41,2000-02-11,00:00:00.00,2.60116,0.634646,0.44
42,2000-02-12,00:00:00.00,9.62322,0.642083,0.44
43,2000-02-13,00:00:00.00,0.127592,0.645681,0.44
44,2000-02-14,00:00:00.00,3.04515,0.655277,0.44
45,2000-02-15,00:00:00.00,9.11335,0.664985,0.44
46,2000-02-16,00:00:00.00,0.156101,0.674496,0.44
47,2000-02-17,00:00:00.00,8.80082,0.683858,0.44
48,2000-02-18,00:00:00.00,0.140082,0.693188,0.44
49,2000-02-19,00:00:00.00,0.57287,0.702822,0.44
50,2000-02-20,00:00:00.00,0.189915,0.712563,0.44
51,2000-02-21,00:00:00.00,0.285543,0.721959,0.45
52,2000-02-22,00:00:00.00,0.221405,0.731032,0.45
53,2000-02-23,00:00:00.00,0.434006,0.739808,0.46
54,2000-02-24,00:00:00.00,0.543919,0.748224,0.46
55,2000-02-25,00:00:00.00,2.64538,0.765051,0.5
56,2000-02-26,00:00:00.00,7.87015,0.887808,0.54
57,2000-02-27,00:00:00.00,0.854291,1.07349,0.65
58,2000-02-28,00:00:00.00,2.38674,4.48395,2.44
59,2000-02-29,00:00:00.00,2.50524,13.0982,16.9
60,2000-03-01,00:00:00.00,0.674305,16.3491,28.5
61,2000-03-02,00:00:00.00,3.27697,13.635,24
62,2000-03-03,00:00:00.00,1.80504,12.6701,21
63,2000-03-04,00:00:00.00,0.0214706,11.9388,18.2
64,2000-03-05,00:00:00.00,0.00730713,11.119,14.4
65,2000-03-06,00:00:00.00,0.0745171,10.4869,12.5
66,2000-03-07,00:00:00.00,0.00336871,9.99101,11.2
67,2000-03-08,00:00:00.00,0.271439,9.55116,12.1
68,2000-03-09,00:00:00.00,0.0729923,9.15312,13
69,2000-03-10,00:00:00.00,4.32317,9.11102,19.7
70,2000-03-11,00:00:00.00,0.187437,9.28577,22.5
71,2000-03-12,00:00:00.00,0.61445,8.96919,16
72,2000-03-13,00:00:00.00,3.78128,8.46477,8.39
73,2000-03-14,00:00:00.00,0.0175361,8.16407,5.8
74,2000-03-15,00:00:00.00,2.01535,7.89593,5.11
75,2000-03-16,00:00:00.00,2.06082,7.76393,4.99
76,2000-03-17,00:00:00.00,5.11727,7.81961,6.54
77,2000-03-18,00:00:00.00,0.0605491,7.7633,11.4
78,2000-03-19,00:00:00.00,0.349553,7.47875,14.8
79,2000-03-20,00:00:00.00,0.0959413,7.20631,10.7
80,2000-03-21,00:00:00.00,0.872046,7.00827,12.4
81,2000-03-22,00:00:00.00,0.3603,6.82525,14.7
82,2000-03-23,00:00:00.00,0.563732,7.09276,15
83,2000-03-24,00:00:00.00,0.258081,7.86315,17.4
84,2000-03-25,00:00:00.00,0.0899465,8.03185,20.3
85,2000-03-26,00:00:00.00,1.18541,7.52133,17.9
86,2000-03-27,00:00:00.00,0.578779,7.14216,20.5
87,2000-03-28,00:00:00.00,0.758182,6.92652,16
88,2000-03-29,00:00:00.00,17.285,8.36606,29.2
89,2000-03-30,00:00:00.00,4.73319,11.3152,61.3
90,2000-03-31,00:00:00.00,0.10172,11.7806,50.1
91,2000-04-01,00:00:00.00,0.00603456,10.3074,33.8
92,2000-04-02,00:00:00.00,0.0149681,9.53284,21.6
93,2000-04-03,00:00:00.00,1.50673,9.0795,13.2
94,2000-04-04,00:00:00.00,0.225039,8.68329,11.3
95,2000-04-05,00:00:00.00,10.9034,9.29138,23.4
96,2000-04-06,00:00:00.00,0.697685,10.4937,47.5
97,2000-04-07,00:00:00.00,4.62533,10.2905,36.1
98,2000-04-08,00:00:00.00,0.313228,9.63,26
99,2000-04-09,00:00:00.00,33.9016,12.4156,43.2
100,2000-04-10,00:00:00.00,11.2709,16.809,61.1
101,2000-04-11,00:00:00.00,0.298033,16.2745,38.9
102,2000-04-12,00:00:00.00,1.27859,13.6005,33.1
103,2000-04-13,00:00:00.00,0.885981,12.5775,27.2
104,2000-04-14,00:00:00.00,1.21615,11.7588,25.2
105,2000-04-15,00:00:00.00,0.0205618,11.0495,27
106,2000-04-16,00:00:00.00,2.11921,10.4275,28.8
107,2000-04-17,00:00:00.00,0.148433,13.0993,21.8
108,2000-04-18,00:00:00.00,0.0165877,17.6892,14
