time,date,hour,precip [mm/day],sub6651 [m3/s],sub6651 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,2.51503,94.6338,
2,2000-01-03,00:00:00.00,0.349702,185.754,
3,2000-01-04,00:00:00.00,0.294502,178.913,
4,2000-01-05,00:00:00.00,0.301101,172.391,
5,2000-01-06,00:00:00.00,0.879198,166.125,
6,2000-01-07,00:00:00.00,6.04159,160.049,
7,2000-01-08,00:00:00.00,0.611556,154.096,
8,2000-01-09,00:00:00.00,3.71294,148.436,
9,2000-01-10,00:00:00.00,0.40983,142.972,
10,2000-01-11,00:00:00.00,6.64109,140.571,
11,2000-01-12,00:00:00.00,1.87019,138.354,
12,2000-01-13,00:00:00.00,0.291974,134.332,
13,2000-01-14,00:00:00.00,0.256275,130.932,
14,2000-01-15,00:00:00.00,0.340078,125.608,
15,2000-01-16,00:00:00.00,6.14573,119.334,
16,2000-01-17,00:00:00.00,0.833116,114.25,
17,2000-01-18,00:00:00.00,2.9285,110.104,
18,2000-01-19,00:00:00.00,4.0164,106.278,
19,2000-01-20,00:00:00.00,0.434444,102.519,
20,2000-01-21,00:00:00.00,0.193625,98.8896,
21,2000-01-22,00:00:00.00,0.205831,95.4975,
22,2000-01-23,00:00:00.00,1.55935,92.2545,
23,2000-01-24,00:00:00.00,3.61116,89.138,
24,2000-01-25,00:00:00.00,0.904614,86.1296,
25,2000-01-26,00:00:00.00,0.248744,83.2219,
26,2000-01-27,00:00:00.00,0.31604,80.4409,
27,2000-01-28,00:00:00.00,0.336685,77.7844,
28,2000-01-29,00:00:00.00,0.261539,75.2311,
29,2000-01-30,00:00:00.00,0.22388,72.6711,
30,2000-01-31,00:00:00.00,0.242045,70.0344,
31,2000-02-01,00:00:00.00,1.62285,67.4469,
32,2000-02-02,00:00:00.00,0.322561,65.0014,
33,2000-02-03,00:00:00.00,0.870607,62.7754,
34,2000-02-04,00:00:00.00,1.09951,60.6365,
35,2000-02-05,00:00:00.00,0.213949,58.5099,
36,2000-02-06,00:00:00.00,1.17761,56.4624,
37,2000-02-07,00:00:00.00,0.438121,54.4615,
38,2000-02-08,00:00:00.00,0.188799,52.4566,
39,2000-02-09,00:00:00.00,2.43864,50.6402,
40,2000-02-10,00:00:00.00,2.00496,48.7732,
41,2000-02-11,00:00:00.00,0.225774,46.903,
42,2000-02-12,00:00:00.00,0.131537,45.4401,
43,2000-02-13,00:00:00.00,0.133498,44.1142,
44,2000-02-14,00:00:00.00,0.162231,42.7196,
45,2000-02-15,00:00:00.00,0.345755,41.3952,
46,2000-02-16,00:00:00.00,0.267792,40.24,
47,2000-02-17,00:00:00.00,0.103635,39.0133,
48,2000-02-18,00:00:00.00,0.198501,37.8216,
49,2000-02-19,00:00:00.00,0.161091,36.7478,
