time,date,hour,precip [mm/day],sub6658 [m3/s],sub6658 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,3.76,30.4985,
2,2000-01-03,00:00:00.00,9.85581,59.8605,
3,2000-01-04,00:00:00.00,0.429735,57.665,
4,2000-01-05,00:00:00.00,7.842,55.6084,
5,2000-01-06,00:00:00.00,0.572527,53.6562,
6,2000-01-07,00:00:00.00,10.062,51.7859,
7,2000-01-08,00:00:00.00,2.4157,49.963,
8,2000-01-09,00:00:00.00,2.99003,48.2183,
9,2000-01-10,00:00:00.00,0.433971,46.5198,
10,2000-01-11,00:00:00.00,10.0645,44.8772,
11,2000-01-12,00:00:00.00,4.697,43.3212,
12,2000-01-13,00:00:00.00,0.560922,41.8211,
13,2000-01-14,00:00:00.00,0.207265,40.4578,
14,2000-01-15,00:00:00.00,0.432529,39.2277,
15,2000-01-16,00:00:00.00,6.78051,38.0683,
16,2000-01-17,00:00:00.00,1.50994,36.8696,
17,2000-01-18,00:00:00.00,1.24406,35.7131,
18,2000-01-19,00:00:00.00,5.84216,34.702,
19,2000-01-20,00:00:00.00,0.567662,33.7097,
20,2000-01-21,00:00:00.00,0.339952,32.7396,
21,2000-01-22,00:00:00.00,0.374268,31.8558,
22,2000-01-23,00:00:00.00,1.02227,31.0355,
23,2000-01-24,00:00:00.00,5.9106,30.2525,
24,2000-01-25,00:00:00.00,0.820356,29.4633,
25,2000-01-26,00:00:00.00,0.713702,28.6796,
26,2000-01-27,00:00:00.00,0.289741,27.957,
27,2000-01-28,00:00:00.00,0.212716,27.2974,
28,2000-01-29,00:00:00.00,0.209472,26.6838,
29,2000-01-30,00:00:00.00,0.252152,26.0434,
30,2000-01-31,00:00:00.00,0.431564,25.3615,
31,2000-02-01,00:00:00.00,2.41502,24.7059,
32,2000-02-02,00:00:00.00,0.254004,24.0753,
33,2000-02-03,00:00:00.00,0.763724,23.5083,
34,2000-02-04,00:00:00.00,2.68061,23.0198,
35,2000-02-05,00:00:00.00,0.206586,22.5305,
36,2000-02-06,00:00:00.00,1.51939,22.0542,
37,2000-02-07,00:00:00.00,0.315855,21.586,
38,2000-02-08,00:00:00.00,0.216954,21.0752,
39,2000-02-09,00:00:00.00,0.284116,20.6096,
40,2000-02-10,00:00:00.00,3.90849,20.1513,
41,2000-02-11,00:00:00.00,1.27431,19.6547,
42,2000-02-12,00:00:00.00,0.370212,19.2654,
43,2000-02-13,00:00:00.00,0.67394,18.9813,
44,2000-02-14,00:00:00.00,1.16587,18.6719,
45,2000-02-15,00:00:00.00,0.490704,18.3434,
46,2000-02-16,00:00:00.00,3.70188,18.0884,
47,2000-02-17,00:00:00.00,1.59029,17.7887,
48,2000-02-18,00:00:00.00,0.308549,17.4582,
49,2000-02-19,00:00:00.00,0.42399,17.21,
50,2000-02-20,00:00:00.00,0.347551,16.9331,
51,2000-02-21,00:00:00.00,0.547649,16.6035,
52,2000-02-22,00:00:00.00,0.523116,16.3164,
53,2000-02-23,00:00:00.00,0.694919,15.9729,
54,2000-02-24,00:00:00.00,0.728473,15.5067,
55,2000-02-25,00:00:00.00,1.83638,15.036,
56,2000-02-26,00:00:00.00,0.661725,14.6241,
57,2000-02-27,00:00:00.00,7.96341,24.9498,
58,2000-02-28,00:00:00.00,4.30321,35.1452,
59,2000-02-29,00:00:00.00,1.8672,34.3378,
60,2000-03-01,00:00:00.00,0.874646,33.2348,
61,2000-03-02,00:00:00.00,5.13298,32.1511,
62,2000-03-03,00:00:00.00,0.160892,31.0954,
63,2000-03-04,00:00:00.00,0.151894,29.9395,
64,2000-03-05,00:00:00.00,0.242138,30.1634,
65,2000-03-06,00:00:00.00,0.144105,30.9152,
66,2000-03-07,00:00:00.00,0.131759,31.9543,
67,2000-03-08,00:00:00.00,2.04691,41.4967,
68,2000-03-09,00:00:00.00,3.88291,65.4124,
69,2000-03-10,00:00:00.00,8.40975,87.9463,
70,2000-03-11,00:00:00.00,0.181208,92.4297,
71,2000-03-12,00:00:00.00,0.112574,83.8809,
72,2000-03-13,00:00:00.00,0.104162,72.4254,
73,2000-03-14,00:00:00.00,0.581103,62.8684,
74,2000-03-15,00:00:00.00,2.13556,55.8398,
75,2000-03-16,00:00:00.00,5.47798,50.6651,
76,2000-03-17,00:00:00.00,0.136135,46.7143,
77,2000-03-18,00:00:00.00,0.138951,43.479,
78,2000-03-19,00:00:00.00,0.197117,40.6372,
79,2000-03-20,00:00:00.00,0.673804,38.2164,
80,2000-03-21,00:00:00.00,3.18338,36.1726,
81,2000-03-22,00:00:00.00,0.222244,40.3914,
82,2000-03-23,00:00:00.00,2.55902,48.4798,
83,2000-03-24,00:00:00.00,1.64082,51.5144,
84,2000-03-25,00:00:00.00,0.340654,49.871,
85,2000-03-26,00:00:00.00,5.66423,47.3749,
86,2000-03-27,00:00:00.00,0.501775,45.6092,
87,2000-03-28,00:00:00.00,4.81208,44.3454,
88,2000-03-29,00:00:00.00,0.83707,43.2086,
89,2000-03-30,00:00:00.00,0.220864,40.7414,
90,2000-03-31,00:00:00.00,0.0579394,37.6379,
91,2000-04-01,00:00:00.00,0.152494,34.9781,
92,2000-04-02,00:00:00.00,0.969687,33.0262,
93,2000-04-03,00:00:00.00,0.090444,31.3312,
94,2000-04-04,00:00:00.00,4.76204,30.7642,
95,2000-04-05,00:00:00.00,0.6205,30.5519,
96,2000-04-06,00:00:00.00,0.895295,29.3595,
97,2000-04-07,00:00:00.00,6.11827,27.7402,
98,2000-04-08,00:00:00.00,0.193203,26.0489,
99,2000-04-09,00:00:00.00,0.249857,24.5767,
100,2000-04-10,00:00:00.00,0.990075,23.3309,
101,2000-04-11,00:00:00.00,1.02912,22.2039,
102,2000-04-12,00:00:00.00,0.303543,21.2672,
103,2000-04-13,00:00:00.00,0.594305,20.4964,
104,2000-04-14,00:00:00.00,0.705218,19.6858,
105,2000-04-15,00:00:00.00,3.46023,22.4564,
106,2000-04-16,00:00:00.00,4.23593,25.6158,
107,2000-04-17,00:00:00.00,0.116874,25.0833,
108,2000-04-18,00:00:00.00,0.24469,23.8523,
109,2000-04-19,00:00:00.00,1.16113,22.4914,
110,2000-04-20,00:00:00.00,0.221091,22.4636,
111,2000-04-21,00:00:00.00,0.144661,22.6749,
112,2000-04-22,00:00:00.00,0.0319364,21.6981,
113,2000-04-23,00:00:00.00,0.242255,20.3542,
114,2000-04-24,00:00:00.00,0.0462668,18.7341,
115,2000-04-25,00:00:00.00,0.0295146,17.1128,
116,2000-04-26,00:00:00.00,0.0687222,15.639,
117,2000-04-27,00:00:00.00,0.376291,14.401,
118,2000-04-28,00:00:00.00,0.552927,13.7906,
119,2000-04-29,00:00:00.00,0.705266,13.7266,
120,2000-04-30,00:00:00.00,0.0284118,13.5535,
121,2000-05-01,00:00:00.00,0.0629805,13.3668,
122,2000-05-02,00:00:00.00,3.47456,14.1181,
123,2000-05-03,00:00:00.00,0.914196,14.5262,
124,2000-05-04,00:00:00.00,0.0305775,13.7276,
125,2000-05-05,00:00:00.00,6.49981,14.734,
126,2000-05-06,00:00:00.00,2.44771,16.2441,
127,2000-05-07,00:00:00.00,0.855928,15.6461,
128,2000-05-08,00:00:00.00,1.80573,14.7154,
129,2000-05-09,00:00:00.00,9.58449,16.0347,
130,2000-05-10,00:00:00.00,0.303654,16.9769,
131,2000-05-11,00:00:00.00,0.0353582,15.8351,
132,2000-05-12,00:00:00.00,1.48063,15.0496,
133,2000-05-13,00:00:00.00,13.6618,17.1972,
134,2000-05-14,00:00:00.00,2.07569,19.3301,
135,2000-05-15,00:00:00.00,0.932966,18.7219,
136,2000-05-16,00:00:00.00,0.0724277,18.0908,
137,2000-05-17,00:00:00.00,0.0513024,17.0896,
138,2000-05-18,00:00:00.00,0.520048,15.7061,
139,2000-05-19,00:00:00.00,0.292324,14.4007,
140,2000-05-20,00:00:00.00,0.23223,13.5,
141,2000-05-21,00:00:00.00,0.419309,13.1978,
142,2000-05-22,00:00:00.00,0.015559,13.092,
143,2000-05-23,00:00:00.00,3.14432,13.6651,
144,2000-05-24,00:00:00.00,5.85993,15.1173,
145,2000-05-25,00:00:00.00,1.81876,15.8249,
146,2000-05-26,00:00:00.00,0.985253,15.4457,
147,2000-05-27,00:00:00.00,0.0289825,14.6312,
148,2000-05-28,00:00:00.00,0.0725114,13.5616,
149,2000-05-29,00:00:00.00,0.047596,12.9444,
150,2000-05-30,00:00:00.00,0.0928815,12.8888,
151,2000-05-31,00:00:00.00,11.5573,15.4464,
152,2000-06-01,00:00:00.00,1.07151,17.5037,
153,2000-06-02,00:00:00.00,2.38429,16.7721,
154,2000-06-03,00:00:00.00,5.44764,17.0308,
155,2000-06-04,00:00:00.00,0.494286,17.0903,
156,2000-06-05,00:00:00.00,1.28347,16.164,
157,2000-06-06,00:00:00.00,0.290173,14.9466,
158,2000-06-07,00:00:00.00,0.608359,13.7272,
159,2000-06-08,00:00:00.00,0.0619056,13.0247,
160,2000-06-09,00:00:00.00,0.912807,12.9821,
161,2000-06-10,00:00:00.00,2.50706,13.4541,
162,2000-06-11,00:00:00.00,14.1718,16.3993,
163,2000-06-12,00:00:00.00,4.51147,19.2542,
164,2000-06-13,00:00:00.00,0.224359,19.0167,
165,2000-06-14,00:00:00.00,0.0826309,17.6853,
166,2000-06-15,00:00:00.00,5.36393,17.0608,
167,2000-06-16,00:00:00.00,6.62772,17.8084,
168,2000-06-17,00:00:00.00,5.81156,18.9942,
169,2000-06-18,00:00:00.00,0.877915,19.1334,
170,2000-06-19,00:00:00.00,0.882208,18.2008,
