time,date,hour,precip [mm/day],sub6555 [m3/s],sub6555 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.341473,17.1128,
2,2000-01-03,00:00:00.00,6.19411,34.7034,
3,2000-01-04,00:00:00.00,18.0721,36.5766,
4,2000-01-05,00:00:00.00,10.8353,37.8191,
5,2000-01-06,00:00:00.00,0.363269,38.6164,
6,2000-01-07,00:00:00.00,0.659741,38.3666,
7,2000-01-08,00:00:00.00,0.499524,35.9805,
8,2000-01-09,00:00:00.00,0.532129,34.2617,
9,2000-01-10,00:00:00.00,1.91055,33.4211,
10,2000-01-11,00:00:00.00,4.49098,34.9979,
11,2000-01-12,00:00:00.00,1.08276,42.4823,
12,2000-01-13,00:00:00.00,1.30777,45.5827,
13,2000-01-14,00:00:00.00,5.54086,39.9815,
14,2000-01-15,00:00:00.00,0.464225,35.6382,
15,2000-01-16,00:00:00.00,1.54199,33.7753,
16,2000-01-17,00:00:00.00,0.130681,32.7543,
17,2000-01-18,00:00:00.00,0.311432,32.0377,
18,2000-01-19,00:00:00.00,1.38889,31.4842,
19,2000-01-20,00:00:00.00,1.42822,31.0617,
20,2000-01-21,00:00:00.00,3.4001,30.721,
21,2000-01-22,00:00:00.00,0.806152,30.4157,
22,2000-01-23,00:00:00.00,0.360124,30.1487,
23,2000-01-24,00:00:00.00,1.71966,29.9177,
24,2000-01-25,00:00:00.00,0.300926,29.684,
25,2000-01-26,00:00:00.00,0.94461,29.4513,
26,2000-01-27,00:00:00.00,0.96853,29.2234,
27,2000-01-28,00:00:00.00,0.202487,28.9967,
28,2000-01-29,00:00:00.00,0.317596,28.7734,
29,2000-01-30,00:00:00.00,0.486204,28.5502,
30,2000-01-31,00:00:00.00,2.12405,28.3251,
31,2000-02-01,00:00:00.00,0.636599,28.0986,
32,2000-02-02,00:00:00.00,1.71481,27.8737,
33,2000-02-03,00:00:00.00,0.445008,27.6528,
34,2000-02-04,00:00:00.00,2.80515,27.4359,
35,2000-02-05,00:00:00.00,1.01661,27.2192,
36,2000-02-06,00:00:00.00,1.11067,27.0032,
37,2000-02-07,00:00:00.00,0.336497,26.7878,
