time,date,hour,precip [mm/day],sub6485 [m3/s],sub6485 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.351975,15.537,
2,2000-01-03,00:00:00.00,4.2846,32.5612,
3,2000-01-04,00:00:00.00,13.9911,34.3828,
4,2000-01-05,00:00:00.00,11.4524,35.4389,
5,2000-01-06,00:00:00.00,0.379749,36.4519,
6,2000-01-07,00:00:00.00,0.465817,34.2662,
7,2000-01-08,00:00:00.00,0.539264,31.2009,
8,2000-01-09,00:00:00.00,0.404845,30.3526,
9,2000-01-10,00:00:00.00,1.69494,29.838,
10,2000-01-11,00:00:00.00,3.80803,30.5735,
11,2000-01-12,00:00:00.00,0.749454,31.7141,
12,2000-01-13,00:00:00.00,1.01903,30.5171,
13,2000-01-14,00:00:00.00,4.85967,28.8114,
14,2000-01-15,00:00:00.00,0.299107,28.2826,
15,2000-01-16,00:00:00.00,1.01646,27.9385,
16,2000-01-17,00:00:00.00,0.0894892,27.6013,
17,2000-01-18,00:00:00.00,0.692339,27.2861,
18,2000-01-19,00:00:00.00,1.09996,26.997,
19,2000-01-20,00:00:00.00,1.18635,26.7317,
20,2000-01-21,00:00:00.00,2.71445,26.483,
21,2000-01-22,00:00:00.00,0.453427,26.2426,
22,2000-01-23,00:00:00.00,0.322898,26.0104,
23,2000-01-24,00:00:00.00,1.12865,25.7857,
24,2000-01-25,00:00:00.00,0.224559,25.5625,
25,2000-01-26,00:00:00.00,0.863803,25.3411,
26,2000-01-27,00:00:00.00,0.281437,25.122,
27,2000-01-28,00:00:00.00,0.26237,24.9047,
28,2000-01-29,00:00:00.00,0.267672,24.6895,
29,2000-01-30,00:00:00.00,0.652044,24.4761,
30,2000-01-31,00:00:00.00,1.62733,24.2641,
31,2000-02-01,00:00:00.00,0.568297,24.0537,
32,2000-02-02,00:00:00.00,1.22812,23.8451,
33,2000-02-03,00:00:00.00,0.317857,23.6384,
34,2000-02-04,00:00:00.00,2.57918,23.4338,
35,2000-02-05,00:00:00.00,0.985771,23.2307,
36,2000-02-06,00:00:00.00,1.00665,23.0293,
37,2000-02-07,00:00:00.00,0.335687,22.8295,
38,2000-02-08,00:00:00.00,0.085841,22.6315,
39,2000-02-09,00:00:00.00,0.16634,22.4352,
40,2000-02-10,00:00:00.00,0.778507,22.2406,
41,2000-02-11,00:00:00.00,7.14454,22.0473,
42,2000-02-12,00:00:00.00,0.857409,21.8555,
43,2000-02-13,00:00:00.00,0.0687607,21.6658,
44,2000-02-14,00:00:00.00,4.83045,21.4781,
45,2000-02-15,00:00:00.00,0.932235,21.2919,
46,2000-02-16,00:00:00.00,0.785169,21.1072,
47,2000-02-17,00:00:00.00,3.37821,20.924,
48,2000-02-18,00:00:00.00,0.122044,20.7419,
49,2000-02-19,00:00:00.00,5.49838,20.5616,
50,2000-02-20,00:00:00.00,0.396239,20.3832,
51,2000-02-21,00:00:00.00,0.897808,20.2061,
52,2000-02-22,00:00:00.00,0.315117,20.0305,
53,2000-02-23,00:00:00.00,0.332508,19.856,
54,2000-02-24,00:00:00.00,0.347834,26.5114,
55,2000-02-25,00:00:00.00,7.21171,54.0828,
56,2000-02-26,00:00:00.00,3.08247,75.2383,
