time,date,hour,precip [mm/day],sub6629 [m3/s],sub6629 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.239241,12.2863,
2,2000-01-03,00:00:00.00,1.35378,24.7611,
3,2000-01-04,00:00:00.00,15.534,28.1237,
4,2000-01-05,00:00:00.00,12.2946,33.6409,
5,2000-01-06,00:00:00.00,0.378073,34.1956,
6,2000-01-07,00:00:00.00,0.260112,30.3723,
7,2000-01-08,00:00:00.00,0.39485,27.0703,
8,2000-01-09,00:00:00.00,0.573372,25.1076,
9,2000-01-10,00:00:00.00,2.20243,24.8082,
10,2000-01-11,00:00:00.00,3.47496,26.0142,
11,2000-01-12,00:00:00.00,0.46374,26.3286,
12,2000-01-13,00:00:00.00,0.910568,25.0615,
13,2000-01-14,00:00:00.00,4.82931,23.7718,
14,2000-01-15,00:00:00.00,0.200352,22.9402,
15,2000-01-16,00:00:00.00,0.664862,22.4267,
16,2000-01-17,00:00:00.00,0.147714,22.0864,
17,2000-01-18,00:00:00.00,0.118478,21.831,
18,2000-01-19,00:00:00.00,0.860574,21.6148,
19,2000-01-20,00:00:00.00,0.963692,21.4297,
20,2000-01-21,00:00:00.00,1.99832,21.2653,
21,2000-01-22,00:00:00.00,0.449585,21.104,
22,2000-01-23,00:00:00.00,0.220969,20.944,
23,2000-01-24,00:00:00.00,0.672876,20.7853,
24,2000-01-25,00:00:00.00,0.307022,20.6277,
25,2000-01-26,00:00:00.00,0.281749,20.4712,
26,2000-01-27,00:00:00.00,0.297537,20.3161,
27,2000-01-28,00:00:00.00,0.134289,20.1621,
28,2000-01-29,00:00:00.00,0.13557,20.0093,
29,2000-01-30,00:00:00.00,0.52388,19.8576,
30,2000-01-31,00:00:00.00,1.83151,19.7071,
31,2000-02-01,00:00:00.00,0.513573,19.5576,
32,2000-02-02,00:00:00.00,0.82382,19.4092,
33,2000-02-03,00:00:00.00,0.137315,19.262,
34,2000-02-04,00:00:00.00,2.50726,19.116,
35,2000-02-05,00:00:00.00,1.40887,18.9711,
36,2000-02-06,00:00:00.00,0.58898,18.8273,
37,2000-02-07,00:00:00.00,0.181243,18.6845,
38,2000-02-08,00:00:00.00,0.220518,18.5428,
39,2000-02-09,00:00:00.00,0.185171,18.4022,
40,2000-02-10,00:00:00.00,0.531586,18.2627,
41,2000-02-11,00:00:00.00,6.90805,18.1241,
42,2000-02-12,00:00:00.00,0.891096,17.9865,
43,2000-02-13,00:00:00.00,0.122627,17.8501,
44,2000-02-14,00:00:00.00,4.22615,17.7148,
45,2000-02-15,00:00:00.00,2.57325,17.5805,
46,2000-02-16,00:00:00.00,0.857945,17.4472,
47,2000-02-17,00:00:00.00,2.17984,17.315,
48,2000-02-18,00:00:00.00,0.152872,17.1836,
49,2000-02-19,00:00:00.00,8.06555,17.0533,
50,2000-02-20,00:00:00.00,0.405647,16.924,
51,2000-02-21,00:00:00.00,0.650757,16.7957,
52,2000-02-22,00:00:00.00,0.254173,16.6683,
53,2000-02-23,00:00:00.00,0.382858,16.5743,
54,2000-02-24,00:00:00.00,0.387512,17.607,
55,2000-02-25,00:00:00.00,4.79988,21.5496,
56,2000-02-26,00:00:00.00,2.69897,27.0939,
57,2000-02-27,00:00:00.00,0.121427,34.9969,
58,2000-02-28,00:00:00.00,6.71811,39.3783,
59,2000-02-29,00:00:00.00,0.245764,34.2469,
60,2000-03-01,00:00:00.00,0.179201,26.62,
61,2000-03-02,00:00:00.00,5.24765,23.0433,
62,2000-03-03,00:00:00.00,0.075077,21.6003,
63,2000-03-04,00:00:00.00,0.0736378,19.1886,
64,2000-03-05,00:00:00.00,0.0423706,17.2673,
65,2000-03-06,00:00:00.00,0.0297037,16.1035,
66,2000-03-07,00:00:00.00,0.00509782,15.4491,
67,2000-03-08,00:00:00.00,0.138639,15.1459,
68,2000-03-09,00:00:00.00,0.0278424,14.9777,
69,2000-03-10,00:00:00.00,6.47344,16.7763,
70,2000-03-11,00:00:00.00,0.0639249,18.3443,
71,2000-03-12,00:00:00.00,2.2377,17.2227,
72,2000-03-13,00:00:00.00,2.1583,16.2201,
73,2000-03-14,00:00:00.00,0.213267,15.7112,
74,2000-03-15,00:00:00.00,2.12977,16.7166,
75,2000-03-16,00:00:00.00,0.928298,17.9236,
76,2000-03-17,00:00:00.00,6.55349,19.0271,
77,2000-03-18,00:00:00.00,0.0866828,19.3632,
78,2000-03-19,00:00:00.00,0.254779,17.3864,
79,2000-03-20,00:00:00.00,4.09917,16.9491,
80,2000-03-21,00:00:00.00,0.384651,17.1693,
81,2000-03-22,00:00:00.00,0.381342,16.1109,
82,2000-03-23,00:00:00.00,0.159863,14.9957,
83,2000-03-24,00:00:00.00,0.331541,14.2605,
84,2000-03-25,00:00:00.00,0.444592,13.9106,
85,2000-03-26,00:00:00.00,5.06044,15.0678,
86,2000-03-27,00:00:00.00,0.055546,16.0116,
87,2000-03-28,00:00:00.00,4.67333,16.3636,
88,2000-03-29,00:00:00.00,0.0116742,16.4339,
89,2000-03-30,00:00:00.00,1.21305,15.4225,
90,2000-03-31,00:00:00.00,0.0145747,14.4977,
91,2000-04-01,00:00:00.00,0.0440612,13.5858,
92,2000-04-02,00:00:00.00,0.00293682,12.9519,
93,2000-04-03,00:00:00.00,1.94987,13.0695,
94,2000-04-04,00:00:00.00,0.460424,13.3944,
95,2000-04-05,00:00:00.00,3.51553,13.9958,
96,2000-04-06,00:00:00.00,0.273624,14.3571,
97,2000-04-07,00:00:00.00,1.60063,14.0014,
98,2000-04-08,00:00:00.00,11.4803,16.5078,
99,2000-04-09,00:00:00.00,20.8467,24.0668,
100,2000-04-10,00:00:00.00,0.16332,27.1146,
101,2000-04-11,00:00:00.00,0.161993,22.2199,
102,2000-04-12,00:00:00.00,2.4716,17.7139,
103,2000-04-13,00:00:00.00,0.119526,15.4671,
104,2000-04-14,00:00:00.00,0.0808893,14.0548,
105,2000-04-15,00:00:00.00,0.11461,12.8434,
106,2000-04-16,00:00:00.00,0.248842,12.067,
107,2000-04-17,00:00:00.00,0.00190822,11.5622,
108,2000-04-18,00:00:00.00,0.281467,11.2794,
109,2000-04-19,00:00:00.00,0.100432,11.1685,
110,2000-04-20,00:00:00.00,0.552744,11.1538,
111,2000-04-21,00:00:00.00,29.4914,18.9892,
112,2000-04-22,00:00:00.00,9.97159,28.8115,
113,2000-04-23,00:00:00.00,0.272668,27.5489,
114,2000-04-24,00:00:00.00,0.026421,21.0508,
115,2000-04-25,00:00:00.00,0.00397855,15.9667,
116,2000-04-26,00:00:00.00,0.031023,13.1091,
117,2000-04-27,00:00:00.00,0.00301031,11.6186,
118,2000-04-28,00:00:00.00,0.667877,11.0335,
119,2000-04-29,00:00:00.00,1.46432,11.1658,
120,2000-04-30,00:00:00.00,0.0205843,11.1508,
121,2000-05-01,00:00:00.00,1.16144,11.0119,
122,2000-05-02,00:00:00.00,9.44073,13.4529,
123,2000-05-03,00:00:00.00,0.295642,15.3458,
124,2000-05-04,00:00:00.00,0.0086272,13.7522,
125,2000-05-05,00:00:00.00,0.108489,11.9014,
126,2000-05-06,00:00:00.00,0.105852,10.7734,
127,2000-05-07,00:00:00.00,0.278049,10.2052,
128,2000-05-08,00:00:00.00,4.15373,10.8626,
129,2000-05-09,00:00:00.00,2.38083,12.0113,
130,2000-05-10,00:00:00.00,9.36766,13.9986,
131,2000-05-11,00:00:00.00,20.295,19.9218,
132,2000-05-12,00:00:00.00,3.03572,23.2326,
133,2000-05-13,00:00:00.00,5.76597,21.2108,
134,2000-05-14,00:00:00.00,7.40486,20.0387,
135,2000-05-15,00:00:00.00,0.134447,18.0647,
136,2000-05-16,00:00:00.00,0.111408,14.5,
137,2000-05-17,00:00:00.00,0.419414,11.9062,
138,2000-05-18,00:00:00.00,0.0516547,10.4481,
139,2000-05-19,00:00:00.00,23.5695,15.4073,
140,2000-05-20,00:00:00.00,10.3018,22.9289,
141,2000-05-21,00:00:00.00,0.0578303,22.3186,
142,2000-05-22,00:00:00.00,0.0739599,17.1006,
143,2000-05-23,00:00:00.00,0.00171446,12.9764,
144,2000-05-24,00:00:00.00,5.66675,12.2316,
145,2000-05-25,00:00:00.00,0.694322,12.5857,
146,2000-05-26,00:00:00.00,0.179569,11.3755,
147,2000-05-27,00:00:00.00,0.137225,10.0005,
148,2000-05-28,00:00:00.00,0.0465876,9.06433,
149,2000-05-29,00:00:00.00,0.00711071,8.54226,
150,2000-05-30,00:00:00.00,0.0279826,8.25094,
151,2000-05-31,00:00:00.00,0.00821094,8.0729,
152,2000-06-01,00:00:00.00,4.77274,8.99875,
153,2000-06-02,00:00:00.00,12.5787,12.5781,
154,2000-06-03,00:00:00.00,0.116725,14.3725,
155,2000-06-04,00:00:00.00,0.159388,12.3163,
156,2000-06-05,00:00:00.00,0.0211481,10.2107,
157,2000-06-06,00:00:00.00,8.97533,10.7664,
158,2000-06-07,00:00:00.00,3.20634,12.343,
159,2000-06-08,00:00:00.00,0.0419075,11.6135,
160,2000-06-09,00:00:00.00,0.0716443,9.92871,
161,2000-06-10,00:00:00.00,0.0214974,8.67556,
162,2000-06-11,00:00:00.00,0.057675,7.96492,
163,2000-06-12,00:00:00.00,17.1471,10.5338,
164,2000-06-13,00:00:00.00,0.778194,12.932,
165,2000-06-14,00:00:00.00,27.1884,16.7666,
166,2000-06-15,00:00:00.00,9.84435,21.8655,
167,2000-06-16,00:00:00.00,9.97676,22.5781,
168,2000-06-17,00:00:00.00,0.282297,19.7558,
169,2000-06-18,00:00:00.00,0.0499785,14.7387,
170,2000-06-19,00:00:00.00,4.91814,12.2586,
171,2000-06-20,00:00:00.00,0.0469447,11.2106,
172,2000-06-21,00:00:00.00,0.0060681,9.48541,
173,2000-06-22,00:00:00.00,13.2787,11.1958,
174,2000-06-23,00:00:00.00,0.146757,13.0646,
175,2000-06-24,00:00:00.00,0.00227583,11.1374,
176,2000-06-25,00:00:00.00,1.46395,9.38649,
177,2000-06-26,00:00:00.00,28.2438,14.8994,
178,2000-06-27,00:00:00.00,0.363075,19.7143,
179,2000-06-28,00:00:00.00,3.79415,16.9538,
180,2000-06-29,00:00:00.00,0.0325313,13.5366,
181,2000-06-30,00:00:00.00,11.7087,13.3792,
182,2000-07-01,00:00:00.00,0.00753933,13.954,
183,2000-07-02,00:00:00.00,0.0393697,11.3746,
184,2000-07-03,00:00:00.00,0.00351657,8.98085,
185,2000-07-04,00:00:00.00,32.2559,15.2089,
186,2000-07-05,00:00:00.00,0.0650029,21.081,
187,2000-07-06,00:00:00.00,0.0350941,16.8526,
188,2000-07-07,00:00:00.00,0.0261875,11.9689,
189,2000-07-08,00:00:00.00,2.86777e-308,8.98666,
190,2000-07-09,00:00:00.00,0.310566,7.50078,
191,2000-07-10,00:00:00.00,5.11604,8.03439,
192,2000-07-11,00:00:00.00,0.0374236,8.67918,
193,2000-07-12,00:00:00.00,0.037401,7.74083,
194,2000-07-13,00:00:00.00,0.000306397,6.77827,
195,2000-07-14,00:00:00.00,0.0121144,6.24372,
196,2000-07-15,00:00:00.00,9.0335,7.79049,
197,2000-07-16,00:00:00.00,2.33241,9.69218,
198,2000-07-17,00:00:00.00,0.834669,9.25454,
199,2000-07-18,00:00:00.00,0.0250165,7.96728,
200,2000-07-19,00:00:00.00,0.0130289,6.84367,
201,2000-07-20,00:00:00.00,0.153653,6.18951,
202,2000-07-21,00:00:00.00,0.888527,5.99273,
203,2000-07-22,00:00:00.00,0.212732,5.93715,
204,2000-07-23,00:00:00.00,0.0515456,5.73663,
205,2000-07-24,00:00:00.00,0.713474,5.63625,
206,2000-07-25,00:00:00.00,0.00308643,5.58592,
207,2000-07-26,00:00:00.00,0.0217117,5.43525,
208,2000-07-27,00:00:00.00,0.00565892,5.30475,
209,2000-07-28,00:00:00.00,0.0478636,5.21535,
210,2000-07-29,00:00:00.00,5.52941,5.78968,
211,2000-07-30,00:00:00.00,5.45118,6.92886,
