time,date,hour,precip [mm/day],sub55 [m3/s],sub55 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.88956,0.15467,1.5291
2,2010-01-03,00:00:00.00,0.154444,0.307688,1.8123
3,2010-01-04,00:00:00.00,0.295038,0.304418,1.6424
4,2010-01-05,00:00:00.00,2.70673,0.301203,1.2459
5,2010-01-06,00:00:00.00,0.830735,0.298008,1.1327
6,2010-01-07,00:00:00.00,0.641386,0.294818,0.9061
7,2010-01-08,00:00:00.00,5.59656,0.291633,0.8212
8,2010-01-09,00:00:00.00,1.14473,0.288461,0.7362
9,2010-01-10,00:00:00.00,0.13697,0.285312,0.623
10,2010-01-11,00:00:00.00,0.136437,0.282198,0.6513
11,2010-01-12,00:00:00.00,1.7314,0.279124,0.5663
12,2010-01-13,00:00:00.00,0.126138,0.276082,0.5097
13,2010-01-14,00:00:00.00,0.01676,0.273067,0.4531
14,2010-01-15,00:00:00.00,0.0167965,0.270079,0.4531
15,2010-01-16,00:00:00.00,0.055212,0.26711,0.3964
16,2010-01-17,00:00:00.00,0.00868989,0.294339,0.3964
17,2010-01-18,00:00:00.00,0.450445,0.463192,0.4531
18,2010-01-19,00:00:00.00,0.0450248,0.664449,0.538
19,2010-01-20,00:00:00.00,0.0182497,0.625849,1.699
20,2010-01-21,00:00:00.00,0.00899875,0.451765,2.8317
21,2010-01-22,00:00:00.00,2.19717,0.364012,2.2653
22,2010-01-23,00:00:00.00,0.296454,0.354982,1.699
23,2010-01-24,00:00:00.00,0.101843,0.386358,1.9822
24,2010-01-25,00:00:00.00,12.167,0.742802,12.3461
25,2010-01-26,00:00:00.00,0.810506,2.15074,25.825
26,2010-01-27,00:00:00.00,1.19544,3.32234,30.8654
27,2010-01-28,00:00:00.00,0.431892,2.74094,23.9277
28,2010-01-29,00:00:00.00,0.724375,1.79021,7.5606
29,2010-01-30,00:00:00.00,0.00891214,1.47118,4.2475
30,2010-01-31,00:00:00.00,0,1.404,3.6812
31,2010-02-01,00:00:00.00,0,1.3566,2.8317
32,2010-02-02,00:00:00.00,0,1.31133,1.9822
33,2010-02-03,00:00:00.00,0.528657,1.2673,1.3309
34,2010-02-04,00:00:00.00,0.382524,1.22438,1.1327
35,2010-02-05,00:00:00.00,0.00449074,1.18278,1.0477
36,2010-02-06,00:00:00.00,6.90143,1.18585,0.9628
37,2010-02-07,00:00:00.00,5.10875,1.36912,0.9345
38,2010-02-08,00:00:00.00,0.11835,1.52022,1.1327
39,2010-02-09,00:00:00.00,0.0171634,1.39252,1.1893
