time,date,hour,precip [mm/day],sub724 [m3/s],sub724 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,8.74077,
1,2010-01-02,00:00:00.00,0.88956,6.26151,1.5291
2,2010-01-03,00:00:00.00,0.154444,2.32474,1.8123
3,2010-01-04,00:00:00.00,0.295038,0.584527,1.6424
4,2010-01-05,00:00:00.00,2.70673,0.226451,1.2459
5,2010-01-06,00:00:00.00,0.830735,0.166504,1.1327
6,2010-01-07,00:00:00.00,0.641386,0.153862,0.9061
7,2010-01-08,00:00:00.00,5.59656,0.149183,0.8212
8,2010-01-09,00:00:00.00,1.14473,0.148775,0.7362
9,2010-01-10,00:00:00.00,0.13697,0.14632,0.623
10,2010-01-11,00:00:00.00,0.136437,0.146166,0.6513
11,2010-01-12,00:00:00.00,1.7314,0.143899,0.5663
12,2010-01-13,00:00:00.00,0.126138,0.143675,0.5097
13,2010-01-14,00:00:00.00,0.01676,0.141538,0.4531
14,2010-01-15,00:00:00.00,0.0167965,0.141245,0.4531
15,2010-01-16,00:00:00.00,0.055212,0.139228,0.3964
16,2010-01-17,00:00:00.00,0.00868989,0.225529,0.3964
17,2010-01-18,00:00:00.00,0.450445,0.702601,0.4531
18,2010-01-19,00:00:00.00,0.0450248,1.41133,0.538
19,2010-01-20,00:00:00.00,0.0182497,1.56473,1.699
20,2010-01-21,00:00:00.00,0.00899875,1.13752,2.8317
21,2010-01-22,00:00:00.00,2.19717,0.73104,2.2653
22,2010-01-23,00:00:00.00,0.296454,0.561202,1.699
23,2010-01-24,00:00:00.00,0.101843,0.53952,1.9822
24,2010-01-25,00:00:00.00,12.167,1.05244,12.3461
25,2010-01-26,00:00:00.00,0.810506,3.09261,25.825
26,2010-01-27,00:00:00.00,1.19544,4.8724,30.8654
27,2010-01-28,00:00:00.00,0.431892,4.12763,23.9277
28,2010-01-29,00:00:00.00,0.724375,2.83867,7.5606
29,2010-01-30,00:00:00.00,0.00891214,2.49525,4.2475
30,2010-01-31,00:00:00.00,0,2.38858,3.6812
31,2010-02-01,00:00:00.00,0,2.24811,2.8317
32,2010-02-02,00:00:00.00,0,2.11598,1.9822
33,2010-02-03,00:00:00.00,0.528657,1.99368,1.3309
34,2010-02-04,00:00:00.00,0.382524,1.8812,1.1327
35,2010-02-05,00:00:00.00,0.00449075,1.77804,1.0477
36,2010-02-06,00:00:00.00,6.90143,1.7035,0.9628
37,2010-02-07,00:00:00.00,5.10875,1.70141,0.9345
38,2010-02-08,00:00:00.00,0.11835,1.71096,1.1327
39,2010-02-09,00:00:00.00,0.0171634,1.65739,1.1893
40,2010-02-10,00:00:00.00,11.5208,1.57521,0.7646
41,2010-02-11,00:00:00.00,2.36937,1.49397,0.7079
42,2010-02-12,00:00:00.00,0.273671,1.42349,0.6513
43,2010-02-13,00:00:00.00,0.264468,1.35937,0.623
44,2010-02-14,00:00:00.00,0.277346,1.30068,0.5947
45,2010-02-15,00:00:00.00,0.168175,1.24617,0.5663
46,2010-02-16,00:00:00.00,1.62068,1.19507,0.623
47,2010-02-17,00:00:00.00,3.04662,1.1468,0.5947
48,2010-02-18,00:00:00.00,0.461425,1.10107,0.5663
49,2010-02-19,00:00:00.00,0.117831,1.05774,0.538
50,2010-02-20,00:00:00.00,3.5004e-308,1.01747,0.5097
51,2010-02-21,00:00:00.00,0,0.980383,0.4814
52,2010-02-22,00:00:00.00,1.12672,0.94537,0.5097
53,2010-02-23,00:00:00.00,4.41971,0.965611,0.5663
54,2010-02-24,00:00:00.00,0.268856,1.21403,0.8495
55,2010-02-25,00:00:00.00,0.679062,1.42731,1.9822
56,2010-02-26,00:00:00.00,0.986631,1.3477,4.3891
57,2010-02-27,00:00:00.00,3.91933,1.2016,4.2475
58,2010-02-28,00:00:00.00,1.80154,1.10459,3.5396
59,2010-03-01,00:00:00.00,0.294395,1.05556,3.1149
60,2010-03-02,00:00:00.00,0.13433,1.01411,2.9733
61,2010-03-03,00:00:00.00,0.233897,0.9765,4.2475
62,2010-03-04,00:00:00.00,0.174135,0.943271,6.6545
63,2010-03-05,00:00:00.00,0.0154593,0.911953,7.0792
64,2010-03-06,00:00:00.00,0.0301196,0.882402,6.5129
65,2010-03-07,00:00:00.00,0,0.853223,6.3713
66,2010-03-08,00:00:00.00,0.00201409,0.825499,10.364
67,2010-03-09,00:00:00.00,0.00111878,1.27964,18.7174
68,2010-03-10,00:00:00.00,0.117226,5.67746,29.1664
69,2010-03-11,00:00:00.00,0.217278,16.271,39.0772
70,2010-03-12,00:00:00.00,1.21586,21.0839,43.0416
71,2010-03-13,00:00:00.00,1.71126,15.3733,40.4931
72,2010-03-14,00:00:00.00,9.27971,11.4163,28.3168
73,2010-03-15,00:00:00.00,2.96713,13.0286,27.9204
74,2010-03-16,00:00:00.00,0.190112,14.2721,35.3961
75,2010-03-17,00:00:00.00,0.000233899,12.1402,34.8297
76,2010-03-18,00:00:00.00,0,9.49145,14.838
77,2010-03-19,00:00:00.00,0.000350954,7.94223,7.9004
78,2010-03-20,00:00:00.00,0.00018198,6.79792,5.2953
79,2010-03-21,00:00:00.00,0.0655555,5.84343,4.2192
80,2010-03-22,00:00:00.00,0.00368526,5.13111,3.1432
81,2010-03-23,00:00:00.00,15.1439,5.0733,2.7835
82,2010-03-24,00:00:00.00,0.510559,6.74377,10.1374
83,2010-03-25,00:00:00.00,0.00253841,8.0312,14.5549
84,2010-03-26,00:00:00.00,13.6837,8.00757,7.9004
85,2010-03-27,00:00:00.00,0.0106803,10.8581,5.4935
86,2010-03-28,00:00:00.00,0,13.247,10.7887
87,2010-03-29,00:00:00.00,7.79653,11.3823,15.2628
88,2010-03-30,00:00:00.00,0.7177,10.6093,22.2287
89,2010-03-31,00:00:00.00,0.00383839,10.7843,25.5701
90,2010-04-01,00:00:00.00,0,9.06183,15.376
91,2010-04-02,00:00:00.00,0,7.34626,7.5889
92,2010-04-03,00:00:00.00,0,6.35161,4.9554
93,2010-04-04,00:00:00.00,0.0287479,5.50843,3.6529
94,2010-04-05,00:00:00.00,0.000300014,4.84273,2.86
95,2010-04-06,00:00:00.00,0.0304901,4.32038,2.3022
96,2010-04-07,00:00:00.00,0.00279416,3.89727,1.8746
97,2010-04-08,00:00:00.00,4.77268,3.54768,1.6452
98,2010-04-09,00:00:00.00,16.9065,3.73004,3.398
99,2010-04-10,00:00:00.00,0.0794308,5.66294,5.6917
100,2010-04-11,00:00:00.00,8.97613e-308,7.2379,6.4846
101,2010-04-12,00:00:00.00,0.001125,6.23816,3.7378
102,2010-04-13,00:00:00.00,4.47e-308,4.92377,2.5117
103,2010-04-14,00:00:00.00,8.91e-308,4.40133,1.9171
104,2010-04-15,00:00:00.00,0,3.99148,1.5716
105,2010-04-16,00:00:00.00,7.29683e-308,3.60793,1.3535
106,2010-04-17,00:00:00.00,0.851967,3.29787,1.229
107,2010-04-18,00:00:00.00,0.0239265,3.01077,1.1213
108,2010-04-19,00:00:00.00,0.00869688,2.78002,1.0506
109,2010-04-20,00:00:00.00,0,2.59659,1.0194
110,2010-04-21,00:00:00.00,0,2.4357,0.9345
111,2010-04-22,00:00:00.00,0,2.2752,0.8523
112,2010-04-23,00:00:00.00,0.00156685,2.12557,0.8297
113,2010-04-24,00:00:00.00,0.0520257,1.99387,0.7844
114,2010-04-25,00:00:00.00,10.6103,1.90112,0.9316
115,2010-04-26,00:00:00.00,15.7029,2.48733,1.2233
116,2010-04-27,00:00:00.00,4.44913,5.66077,10.3073
117,2010-04-28,00:00:00.00,0.0134,8.80952,14.2434
118,2010-04-29,00:00:00.00,0.00256355,8.00708,9.8259
119,2010-04-30,00:00:00.00,0.000803343,6.0306,4.9271
120,2010-05-01,00:00:00.00,4.07998e-308,5.13878,3.0865
121,2010-05-02,00:00:00.00,2.32115,4.57446,2.2455
122,2010-05-03,00:00:00.00,9.00001,4.13524,1.8859
123,2010-05-04,00:00:00.00,2.10523,3.92404,1.9255
124,2010-05-05,00:00:00.00,2.57481,3.7424,2.1776
125,2010-05-06,00:00:00.00,2.11466,3.47013,2.1068
126,2010-05-07,00:00:00.00,0.0941652,3.1731,2.1153
127,2010-05-08,00:00:00.00,2.73729,2.90855,1.9539
128,2010-05-09,00:00:00.00,2.10019,2.6928,3.3697
129,2010-05-10,00:00:00.00,0.0196218,2.51963,2.0303
130,2010-05-11,00:00:00.00,0.120018,2.36692,1.2856
131,2010-05-12,00:00:00.00,17.6439,2.52302,3.5962
132,2010-05-13,00:00:00.00,5.58795,4.24526,9.9675
133,2010-05-14,00:00:00.00,1.52493,6.40749,13.7903
134,2010-05-15,00:00:00.00,0.630211,6.3124,7.7588
135,2010-05-16,00:00:00.00,0.0112135,4.97855,4.1909
136,2010-05-17,00:00:00.00,0.0763755,4.22431,2.6561
137,2010-05-18,00:00:00.00,15.3345,4.24052,2.4239
