           YEAR,            DAY,        QOMEAS1,         QOSIM1,        QOMEAS2,         QOSIM2,        QOMEAS3,         QOSIM3,        QOMEAS4,         QOSIM4,        QOMEAS5,         QOSIM5,        QOMEAS6,         QOSIM6,        QOMEAS7,         QOSIM7,        QOMEAS8,         QOSIM8,        QOMEAS9,         QOSIM9,       QOMEAS10,        QOSIM10,       QOMEAS11,        QOSIM11,       QOMEAS12,        QOSIM12,       QOMEAS13,        QOSIM13,       QOMEAS14,        QOSIM14,       QOMEAS15,        QOSIM15,       QOMEAS16,        QOSIM16,       QOMEAS17,        QOSIM17,       QOMEAS18,        QOSIM18,       QOMEAS19,        QOSIM19,       QOMEAS20,        QOSIM20,       QOMEAS21,        QOSIM21,       QOMEAS22,        QOSIM22,       QOMEAS23,        QOSIM23,       QOMEAS24,        QOSIM24,       QOMEAS25,        QOSIM25,       QOMEAS26,        QOSIM26,       QOMEAS27,        QOSIM27,       QOMEAS28,        QOSIM28,       QOMEAS29,        QOSIM29,       QOMEAS30,        QOSIM30,       QOMEAS31,        QOSIM31,       QOMEAS32,        QOSIM32,       QOMEAS33,        QOSIM33,       QOMEAS34,        QOSIM34,       QOMEAS35,        QOSIM35,       QOMEAS36,        QOSIM36,       QOMEAS37,        QOSIM37,       QOMEAS38,        QOSIM38,       QOMEAS39,        QOSIM39,       QOMEAS40,        QOSIM40,       QOMEAS41,        QOSIM41,       QOMEAS42,        QOSIM42,       QOMEAS43,        QOSIM43,       QOMEAS44,        QOSIM44,       QOMEAS45,        QOSIM45,       QOMEAS46,        QOSIM46,       QOMEAS47,        QOSIM47,       QOMEAS48,        QOSIM48,       QOMEAS49,        QOSIM49,       QOMEAS50,        QOSIM50,       QOMEAS51,        QOSIM51,       QOMEAS52,        QOSIM52,       QOMEAS53,        QOSIM53,       QOMEAS54,        QOSIM54,       QOMEAS55,        QOSIM55,       QOMEAS56,        QOSIM56,       QOMEAS57,        QOSIM57,       QOMEAS58,        QOSIM58,       QOMEAS59,        QOSIM59,       QOMEAS60,        QOSIM60,       QOMEAS61,        QOSIM61,       QOMEAS62,        QOSIM62,       QOMEAS63,        QOSIM63,
           2010,              1,   16.00000    ,   18.49882    ,   4.090000    ,   4.549545    ,   2.400000    ,   2.398413    ,   5.600000    ,   6.453554    ,   2.500000    ,   3.666516    ,   1.050000    ,   4.872593    ,   2.020000    ,   4.404069    ,  0.9800000    ,   4.324427    ,   1.950000    ,   3.445665    ,  0.3300000    ,  0.7262867    ,   3.000000    ,   4.020061    ,   5.600000    ,   6.649642    ,  0.7000000    ,  0.7469457    ,   3.850000    ,   3.508002    ,  0.4200000    ,  0.4561613    ,   2.860000    ,   5.295714    ,   1.210000    ,   3.201966    ,   1.730000    ,   3.718302    ,   9.340000    ,   11.02452    ,   11.92000    ,   13.40239    ,   19.03000    ,   21.96932    ,   1.580000    ,   2.007028    ,   1.640000    ,   2.072144    ,   1.530000    ,   2.024210    ,  0.8200000    ,   1.376891    ,   2.160000    ,   2.441931    ,   25.20000    ,   25.77302    ,   6.400000    ,   7.880262    ,   38.00000    ,   51.11119    ,   6.300000    ,   9.185379    ,   4.500000    ,   8.583459    ,   2.760000    ,   3.317020    ,   18.38000    ,   20.17691    ,   24.44000    ,   26.31885    ,   130.8200    ,   139.4443    ,   2.300000    ,   2.805917    ,   9.630000    ,   11.76509    ,   5.800000    ,   9.046351    ,   3.110000    ,   4.309671    ,   4.730000    ,   6.629736    ,   6.480000    ,   7.814754    ,   20.78000    ,   23.06923    ,   21.69000    ,   29.50310    ,  -1.000000    ,   1.062255    ,   4.130000    ,   5.128187    ,   7.420000    ,   9.537944    ,   28.00000    ,   30.98616    ,  0.1380000    ,  0.4322236    ,  0.1080000    ,  0.2243479    ,  0.2110000    ,  0.4227251    ,   1.020000    ,   1.415252    ,  -1.000000    ,  0.2733116    ,   1.670000    ,   2.815024    ,  0.9000000    ,   1.733755    ,  0.3370000    ,   1.390396    ,   2.040000    ,   1.919168    ,   1.700000    ,   1.708100    ,  0.6000000E-01,  0.1051368    ,  0.1000000    ,  0.1945062    ,  0.8000000E-01,  0.6327352    ,   4.390000    ,   5.514309    ,  -1.000000    ,  0.2020500    ,   1.800000    ,   2.338333    ,
           2010,              2,   17.00000    ,   13.65576    ,   2.400000    ,   4.949218    ,   2.000000    ,   1.760233    ,   5.400000    ,   8.769951    ,   2.200000    ,   6.068809    ,   1.000000    ,   6.747043    ,   1.950000    ,   6.256711    ,  0.8500000    ,   7.562858    ,   1.860000    ,   4.881085    ,  0.2000000    ,   1.911506    ,   2.840000    ,   10.78575    ,   4.800000    ,   11.49325    ,  0.6000000    ,   1.414688    ,   3.000000    ,   2.007843    ,  0.3000000    ,  0.5890943    ,   2.020000    ,   8.976044    ,  0.8800000    ,   5.488513    ,   1.420000    ,   5.459861    ,   8.550000    ,   11.05615    ,   10.02000    ,   12.78326    ,   16.11000    ,   27.72981    ,   1.320000    ,   1.480313    ,   1.290000    ,   2.622518    ,   1.810000    ,   6.376041    ,  0.6800000    ,   3.475040    ,   1.850000    ,   2.955429    ,   22.71000    ,   26.30396    ,   5.970000    ,   8.334957    ,   27.00000    ,   54.37195    ,   5.780000    ,   11.37326    ,   4.200000    ,   14.33822    ,   2.270000    ,   3.201393    ,   17.08000    ,   27.23865    ,   21.95000    ,   27.63376    ,   107.6000    ,   144.2828    ,   3.110000    ,   5.058204    ,   8.780000    ,   20.40181    ,   4.110000    ,   13.29079    ,   2.830000    ,   8.330930    ,   5.100000    ,   12.76027    ,   4.640000    ,   10.47496    ,   16.06000    ,   25.98485    ,   20.42000    ,   28.44727    ,  -1.000000    ,   6.815475    ,   3.310000    ,   4.650932    ,   5.690000    ,   8.470881    ,   27.00000    ,   39.14825    ,  0.9100000E-01,  0.8253180    ,  0.6000000E-01,  0.1769782    ,  0.1200000    ,   1.212546    ,  0.9000000    ,   2.177031    ,  -1.000000    ,   1.988625    ,   1.630000    ,   2.943024    ,  0.8700000    ,   3.150337    ,  0.3100000    ,   1.340928    ,   1.900000    ,   1.881449    ,   1.460000    ,   2.037980    ,  0.5000000E-01,  0.1742205    ,  0.8000000E-01,  0.2487682    ,  0.8000000E-01,  0.9483609    ,   3.820000    ,   9.112342    ,  -1.000000    ,  0.4296951    ,   1.990000    ,   2.125126    ,
           2010,              3,   16.00000    ,   11.56556    ,   2.800000    ,   3.415060    ,   1.620000    ,   1.388833    ,   5.200000    ,   9.088151    ,   1.850000    ,   3.583269    ,  0.9500000    ,   2.952232    ,   1.880000    ,   5.170692    ,  0.8000000    ,   3.926020    ,   1.790000    ,   4.914590    ,  0.1300000    ,   1.598640    ,   2.700000    ,   9.420674    ,   4.200000    ,   15.42884    ,  0.5400000    ,  0.9687982    ,   2.200000    ,   1.891360    ,  0.2200000    ,  0.3751236    ,   1.780000    ,   12.80329    ,  0.8100000    ,   5.396384    ,   1.380000    ,   5.230921    ,   7.730000    ,   9.383086    ,   9.830000    ,   10.28689    ,   15.49000    ,   19.19556    ,   1.260000    ,  0.8080338    ,   1.020000    ,   2.107810    ,   1.640000    ,   5.446250    ,  0.7900000    ,   3.251259    ,   2.010000    ,   3.172000    ,   18.86000    ,   29.16151    ,   5.490000    ,   9.440135    ,   22.00000    ,   55.96753    ,   5.200000    ,   10.87573    ,   4.050000    ,   11.99333    ,   2.140000    ,   1.650872    ,   16.03000    ,   33.35495    ,   19.88000    ,   30.96608    ,   97.69000    ,   146.0260    ,   2.270000    ,   9.293474    ,   7.930000    ,   32.40797    ,   3.960000    ,   10.39587    ,   2.800000    ,   8.803708    ,   6.650000    ,   13.19286    ,   4.470000    ,   12.27001    ,   14.33000    ,   28.08495    ,   21.10000    ,   31.36391    ,  -1.000000    ,   10.98081    ,   2.800000    ,   4.921622    ,   5.380000    ,   8.719064    ,   26.00000    ,   57.29930    ,  0.5700000E-01,  0.5300085    ,  0.3000000E-01,  0.7837986E-01,  0.8000000E-01,  0.7083658    ,  0.8350000    ,  0.9843493    ,  -1.000000    ,   2.015666    ,   1.550000    ,   2.550418    ,  0.8450000    ,   2.216190    ,  0.3020000    ,  0.8029276    ,   1.780000    ,   1.235433    ,   1.420000    ,   1.754900    ,  0.4000000E-01,  0.1479269    ,  0.8000000E-01,  0.2036840    ,  0.7000000E-01,  0.6242316    ,   3.820000    ,   10.75099    ,  -1.000000    ,  0.6119589    ,   1.650000    ,   2.270896    ,
           2010,              4,   18.00000    ,   10.40115    ,   3.300000    ,   3.016875    ,   1.320000    ,   1.177208    ,   5.050000    ,   9.274291    ,   1.650000    ,   3.755620    ,  0.8900000    ,   2.575061    ,   1.810000    ,   4.687308    ,  0.7800000    ,   3.159679    ,   1.720000    ,   3.829578    ,  0.1300000    ,   1.540057    ,   2.580000    ,   7.551775    ,   3.800000    ,   12.53494    ,  0.4800000    ,  0.7950140    ,   1.400000    ,   1.251858    ,  0.1800000    ,  0.2354547    ,   1.780000    ,   13.16575    ,  0.8800000    ,   4.569532    ,   1.300000    ,   4.552526    ,   7.310000    ,   9.524749    ,   9.320000    ,   10.11052    ,   12.63000    ,   18.05218    ,   1.350000    ,  0.8188335    ,  0.8900000    ,   2.111016    ,   1.250000    ,   3.836838    ,  0.7100000    ,   2.377809    ,   2.310000    ,   2.548131    ,   18.97000    ,   30.54955    ,   5.350000    ,   12.07288    ,   26.00000    ,   57.62321    ,   5.120000    ,   11.08673    ,   3.920000    ,   11.21649    ,   2.290000    ,   1.553126    ,   16.51000    ,   33.92902    ,   18.07000    ,   32.10747    ,   54.65000    ,   154.1084    ,   1.840000    ,   7.436690    ,   7.360000    ,   31.61832    ,   5.100000    ,   8.520801    ,   2.610000    ,   7.239971    ,   7.700000    ,   9.448314    ,   4.190000    ,   9.518414    ,   14.19000    ,   25.58518    ,   21.10000    ,   25.07059    ,  -1.000000    ,   7.985037    ,   3.060000    ,   3.513889    ,   5.830000    ,   7.170025    ,   25.20000    ,   76.30751    ,  0.5200000E-01,  0.4682084    ,  0.2600000E-01,  0.6083074E-01,  0.5400000E-01,  0.5062952    ,  0.8150000    ,  0.8450650    ,  -1.000000    ,   2.013273    ,   1.540000    ,   2.733031    ,  0.8100000    ,   2.314222    ,  0.2880000    ,  0.8032242    ,   1.740000    ,   1.264365    ,   1.250000    ,   1.748346    ,  0.4000000E-01,  0.1555575    ,  0.8000000E-01,  0.2057764    ,  0.6000000E-01,  0.6881618    ,   3.740000    ,   7.335021    ,  -1.000000    ,  0.2723071    ,   2.150000    ,   2.744776    ,
           2010,              5,   21.00000    ,   9.342031    ,   2.500000    ,   2.738541    ,   1.130000    ,   1.070779    ,   5.000000    ,   8.832217    ,   1.500000    ,   3.555808    ,  0.8600000    ,   2.255298    ,   1.730000    ,   4.219988    ,  0.7500000    ,   2.916036    ,   1.660000    ,   3.525620    ,  0.1300000    ,   1.437418    ,   2.510000    ,   7.124966    ,   3.450000    ,   11.26542    ,  0.4400000    ,  0.7246581    ,   1.100000    ,   1.050685    ,  0.1500000    ,  0.1574228    ,   1.710000    ,   12.71561    ,  0.9000000    ,   4.510617    ,   1.260000    ,   4.570309    ,   6.820000    ,   9.686930    ,   8.660000    ,   10.22928    ,   12.83000    ,   18.66279    ,   1.270000    ,   1.018905    ,  0.7600000    ,   2.032892    ,   1.130000    ,   3.016147    ,  0.6500000    ,   2.017057    ,   2.130000    ,   1.893801    ,   20.39000    ,   27.49272    ,   5.180000    ,   12.37916    ,   31.00000    ,   51.43737    ,   5.080000    ,   10.55192    ,   3.790000    ,   10.09801    ,   2.150000    ,   1.820917    ,   15.23000    ,   32.89899    ,   16.93000    ,   32.53775    ,   32.28000    ,   128.1635    ,   1.420000    ,   5.920241    ,   6.800000    ,   25.11199    ,   4.530000    ,   7.900876    ,   2.270000    ,   5.809161    ,   6.570000    ,   8.140049    ,   4.020000    ,   7.901572    ,   17.47000    ,   17.88593    ,   21.52000    ,   19.83399    ,  -1.000000    ,   6.998252    ,   3.110000    ,   3.154187    ,   5.920000    ,   5.985531    ,   24.40000    ,   65.31104    ,  0.5800000E-01,  0.3810250    ,  0.3100000E-01,  0.5512199E-01,  0.5200000E-01,  0.4011259    ,  0.7800000    ,  0.7639171    ,  -1.000000    ,   1.884955    ,   1.520000    ,   2.612628    ,  0.7800000    ,   2.212437    ,  0.2840000    ,  0.7586865    ,   1.680000    ,   1.555304    ,   1.390000    ,   1.785066    ,  0.3000000E-01,  0.1545364    ,  0.8000000E-01,  0.2315391    ,  0.6000000E-01,  0.6144448    ,   3.680000    ,   5.927869    ,  -1.000000    ,  0.2270210    ,   2.240000    ,   2.516456    ,
           2010,              6,   24.00000    ,   9.492023    ,   1.970000    ,   2.765063    ,  0.9900000    ,   1.036630    ,   4.950000    ,   9.115741    ,   1.380000    ,   3.562524    ,  0.8300000    ,   2.225785    ,   1.690000    ,   4.242548    ,  0.7200000    ,   2.840891    ,   1.600000    ,   3.634174    ,  0.1400000    ,   1.451796    ,   2.440000    ,   7.306211    ,   3.230000    ,   11.39516    ,  0.4100000    ,  0.7351602    ,  0.9500000    ,   1.002508    ,  0.1300000    ,  0.1288382    ,   1.710000    ,   13.57229    ,  0.8600000    ,   5.309138    ,   1.190000    ,   5.476811    ,   6.850000    ,   9.940509    ,   8.070000    ,   10.89356    ,   11.75000    ,   22.22487    ,   1.210000    ,   1.415104    ,  0.7400000    ,   2.186831    ,  0.9100000    ,   2.881576    ,  0.6200000    ,   2.029278    ,   1.980000    ,   1.904575    ,   19.71000    ,   26.51873    ,   4.960000    ,   10.96565    ,   30.50000    ,   51.90394    ,   5.050000    ,   10.89870    ,   3.680000    ,   10.15691    ,   2.040000    ,   2.874730    ,   14.75000    ,   36.49082    ,   16.03000    ,   36.35541    ,   28.88000    ,   110.4992    ,   1.130000    ,   5.511842    ,   6.230000    ,   21.53549    ,   3.540000    ,   7.708006    ,   2.040000    ,   5.731175    ,   5.470000    ,   7.988966    ,   4.020000    ,   7.990006    ,   17.47000    ,   16.85824    ,   21.10000    ,   19.92636    ,  -1.000000    ,   7.161727    ,   3.000000    ,   3.245159    ,   5.720000    ,   6.053899    ,   23.70000    ,   46.63731    ,  0.6400000E-01,  0.3443500    ,  0.3600000E-01,  0.5546203E-01,  0.5300000E-01,  0.3723820    ,  0.7350000    ,  0.7427559    ,  -1.000000    ,   1.898397    ,   1.510000    ,   2.706542    ,  0.7650000    ,   2.281218    ,  0.2770000    ,  0.7849609    ,   1.590000    ,   2.510444    ,   1.240000    ,   2.422687    ,  0.3000000E-01,  0.1894119    ,  0.7000000E-01,  0.3187536    ,  0.6000000E-01,  0.5905528    ,   3.570000    ,   5.991696    ,  -1.000000    ,  0.2321837    ,   2.150000    ,   2.429495    ,
           2010,              7,   21.50000    ,   8.526189    ,   1.820000    ,   2.438386    ,  0.8800000    ,  0.8770171    ,   4.900000    ,   8.259237    ,   1.300000    ,   3.177608    ,  0.8100000    ,   1.926327    ,   1.650000    ,   3.834957    ,  0.7000000    ,   2.496439    ,   1.550000    ,   3.283926    ,  0.1500000    ,   1.271929    ,   2.390000    ,   6.578595    ,   3.080000    ,   10.27858    ,  0.3800000    ,  0.6697809    ,  0.8200000    ,  0.8832653    ,  0.1200000    ,  0.1015877    ,   1.690000    ,   12.98060    ,  0.8000000    ,   5.808650    ,   1.130000    ,   6.186025    ,   7.140000    ,   8.472320    ,   8.180000    ,   9.582574    ,   11.10000    ,   21.49119    ,   1.170000    ,   1.419947    ,  0.6900000    ,   1.960710    ,  0.8200000    ,   2.666548    ,  0.5700000    ,   1.838570    ,   2.040000    ,   1.707618    ,   18.69000    ,   22.01872    ,   4.730000    ,   9.465400    ,   34.00000    ,   46.43913    ,   5.020000    ,   9.908743    ,   3.620000    ,   9.159673    ,   1.910000    ,   2.969372    ,   14.89000    ,   36.61596    ,   15.35000    ,   35.66807    ,   26.59000    ,   90.68139    ,   1.050000    ,   4.772443    ,   5.950000    ,   18.03252    ,   2.970000    ,   6.871360    ,   1.980000    ,   5.525458    ,   4.450000    ,   7.108188    ,   3.990000    ,   7.125304    ,   16.62000    ,   14.88032    ,   21.95000    ,   17.67530    ,  -1.000000    ,   6.418781    ,   3.140000    ,   2.925692    ,   5.950000    ,   5.372564    ,   23.00000    ,   34.87514    ,  0.6400000E-01,  0.2897352    ,  0.3600000E-01,  0.5138117E-01,  0.1050000    ,  0.3170619    ,  0.6700000    ,  0.6425001    ,  -1.000000    ,   1.710665    ,   1.500000    ,   2.489121    ,  0.7500000    ,   2.079446    ,  0.2720000    ,  0.7221447    ,   1.510000    ,   2.248995    ,   1.220000    ,   2.730364    ,  0.3000000E-01,  0.2220114    ,  0.8000000E-01,  0.3268911    ,  0.5000000E-01,  0.5903631    ,   3.450000    ,   5.359238    ,  -1.000000    ,  0.2119426    ,   2.070000    ,   2.163634    ,
           2010,              8,   20.00000    ,   8.841344    ,   1.740000    ,   2.506544    ,  0.8200000    ,  0.8841850    ,   4.810000    ,   8.659369    ,   1.250000    ,   3.291457    ,  0.7800000    ,   1.952464    ,   1.630000    ,   3.972715    ,  0.6700000    ,   2.615409    ,   1.500000    ,   3.430246    ,  0.1400000    ,   1.282785    ,   2.330000    ,   6.809122    ,   2.970000    ,   10.65866    ,  0.3600000    ,  0.6979200    ,  0.7000000    ,  0.9297823    ,  0.1000000    ,  0.9810953E-01,   1.600000    ,   13.67847    ,  0.7300000    ,   5.620356    ,   1.040000    ,   6.334769    ,   7.280000    ,   8.438064    ,   8.500000    ,   9.464904    ,   11.41000    ,   20.70205    ,   1.240000    ,   1.372229    ,  0.6300000    ,   1.978038    ,  0.7400000    ,   2.212487    ,  0.5900000    ,   1.930630    ,   2.100000    ,   1.787564    ,   19.14000    ,   23.34529    ,   4.530000    ,   10.96899    ,   30.00000    ,   48.32629    ,   4.950000    ,   10.24900    ,   3.540000    ,   9.575334    ,   2.010000    ,   2.671823    ,   14.53000    ,   38.31481    ,   15.04000    ,   40.10584    ,   34.55000    ,   96.98769    ,  0.9900000    ,   5.493157    ,   6.230000    ,   19.16212    ,   2.830000    ,   7.221279    ,   1.900000    ,   5.685172    ,   3.960000    ,   7.409393    ,   3.880000    ,   7.340533    ,   16.45000    ,   15.27533    ,   22.80000    ,   18.31217    ,  -1.000000    ,   6.689225    ,   2.970000    ,   3.061547    ,   5.690000    ,   5.544644    ,   22.30000    ,   35.12657    ,  0.6500000E-01,  0.2828822    ,  0.4100000E-01,  0.5041603E-01,  0.1100000    ,  0.3227837    ,  0.6290000    ,  0.6655139    ,  -1.000000    ,   1.788998    ,   1.510000    ,   2.559516    ,  0.7350000    ,   2.130723    ,  0.2680000    ,  0.7776583    ,   1.570000    ,   2.079108    ,   1.240000    ,   2.926440    ,  0.3000000E-01,  0.2038039    ,  0.8000000E-01,  0.3219884    ,  0.5000000E-01,  0.5601879    ,   3.340000    ,   5.580669    ,  -1.000000    ,  0.2228643    ,   2.040000    ,   1.949017    ,
           2010,              9,   18.50000    ,   8.504797    ,   1.680000    ,   2.410083    ,  0.7500000    ,  0.8372772    ,   4.400000    ,   8.385795    ,   1.200000    ,   3.177718    ,  0.7700000    ,   1.875976    ,   1.590000    ,   3.842943    ,  0.6600000    ,   2.483992    ,   1.460000    ,   3.320528    ,  0.1400000    ,   1.225280    ,   2.280000    ,   6.545352    ,   2.820000    ,   10.21304    ,  0.3400000    ,  0.6738988    ,  0.6300000    ,  0.8983035    ,  0.9000000E-01,  0.9119222E-01,   1.510000    ,   12.82852    ,  0.6900000    ,   4.321704    ,   1.080000    ,   4.916298    ,   7.050000    ,   8.001089    ,   8.100000    ,   8.946367    ,   11.02000    ,   18.94256    ,   1.150000    ,   1.175207    ,  0.5700000    ,   1.917872    ,  0.6200000    ,   2.100993    ,  0.5400000    ,   1.869447    ,   2.150000    ,   1.709018    ,   18.86000    ,   22.63086    ,   4.730000    ,   9.649139    ,   26.00000    ,   46.76392    ,   4.900000    ,   9.789887    ,   3.480000    ,   9.131111    ,   1.940000    ,   2.460700    ,   13.59000    ,   36.16927    ,   14.72000    ,   38.97772    ,   35.11000    ,   99.23915    ,  0.9600000    ,   4.932135    ,   5.660000    ,   17.26575    ,   2.690000    ,   6.985248    ,   1.780000    ,   5.202994    ,   3.770000    ,   7.003589    ,   3.960000    ,   7.063704    ,   16.62000    ,   14.31398    ,   22.80000    ,   17.62291    ,  -1.000000    ,   6.481755    ,   2.610000    ,   2.975735    ,   5.070000    ,   5.332874    ,   21.80000    ,   33.54782    ,  0.6700000E-01,  0.2589411    ,  0.4000000E-01,  0.4242409E-01,  0.1050000    ,  0.2846654    ,  0.5820000    ,  0.6477230    ,  -1.000000    ,   1.705697    ,   1.480000    ,   2.419520    ,  0.7250000    ,   2.022345    ,  0.2180000    ,  0.6735846    ,   1.560000    ,   1.760978    ,   1.130000    ,   2.883237    ,  0.4000000E-01,  0.2366779    ,  0.7000000E-01,  0.3062645    ,  0.4000000E-01,  0.5097242    ,   3.260000    ,   5.376195    ,  -1.000000    ,  0.2179087    ,   1.730000    ,   1.842938    ,
           2010,             10,   17.00000    ,   8.808028    ,   1.610000    ,   2.480772    ,  0.7000000    ,  0.8458332    ,   3.900000    ,   8.696189    ,   1.150000    ,   3.290500    ,  0.7500000    ,   1.853574    ,   1.570000    ,   3.963328    ,  0.6500000    ,   2.559485    ,   1.420000    ,   3.436711    ,  0.1200000    ,   1.234817    ,   2.240000    ,   6.725353    ,   2.750000    ,   10.49255    ,  0.3200000    ,  0.6948119    ,  0.5600000    ,  0.9244896    ,  0.8000000E-01,  0.8927630E-01,   1.470000    ,   13.27172    ,  0.6700000    ,   4.430964    ,   1.070000    ,   4.676186    ,   6.800000    ,   8.120729    ,   7.080000    ,   8.881141    ,   10.79000    ,   17.33042    ,   1.040000    ,  0.7232737    ,  0.5100000    ,   1.960268    ,  0.6500000    ,   2.158754    ,  0.5100000    ,   1.915900    ,   1.810000    ,   1.751339    ,   17.36000    ,   23.27318    ,   6.650000    ,   9.073824    ,   25.00000    ,   48.11497    ,   4.800000    ,   10.09517    ,   3.380000    ,   9.419799    ,   1.700000    ,   1.580160    ,   13.65000    ,   33.61693    ,   14.58000    ,   41.44020    ,   33.98000    ,   98.49632    ,  0.9100000    ,   4.616558    ,   5.240000    ,   16.85235    ,   1.760000    ,   7.152531    ,   1.700000    ,   5.409549    ,   4.130000    ,   7.318537    ,   3.960000    ,   7.122092    ,   16.28000    ,   14.27190    ,   21.52000    ,   18.13086    ,  -1.000000    ,   6.690593    ,   2.220000    ,   3.083273    ,   4.420000    ,   5.456706    ,   21.20000    ,   34.25444    ,  0.5900000E-01,  0.2507717    ,  0.3100000E-01,  0.3694483E-01,  0.9800000E-01,  0.2642222    ,  0.5370000    ,  0.6581238    ,  -1.000000    ,   1.746570    ,   1.490000    ,   2.493787    ,  0.7150000    ,   2.081097    ,  0.2400000    ,  0.6920763    ,   1.530000    ,   1.369315    ,   1.160000    ,   2.915205    ,  0.4000000E-01,  0.2276291    ,  0.7000000E-01,  0.2419774    ,  0.4000000E-01,  0.5328754    ,   3.170000    ,   5.518450    ,  -1.000000    ,  0.2432959    ,   2.150000    ,   1.946433    ,
