time,date,hour,precip [mm/day],sub710 [m3/s],sub710 (observed) [m3/s],sub685 [m3/s],sub685 (observed) [m3/s],sub684 [m3/s],sub684 (observed) [m3/s],sub676 [m3/s],sub676 (observed) [m3/s],sub677 [m3/s],sub677 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub701 [m3/s],sub701 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub683 [m3/s],sub683 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub698 [m3/s],sub698 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub682 [m3/s],sub682 (observed) [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub678 [m3/s],sub678 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub691 (observed) [m3/s],sub693 [m3/s],sub693 (observed) [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub689 [m3/s],sub689 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub724 [m3/s],sub724 (observed) [m3/s],sub723 [m3/s],sub723 (observed) [m3/s],sub720 [m3/s],sub720 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,4.35716,,3.91027,,1.96573,,2.86796,,6.81493,,3.40662,,2.78057,,3.36567,,3.14187,,2.59801,,2.09728,,6.31558,,3.72753,,2.13993,,2.45525,,2.51825,,10.4476,,4.14043,,3.31416,,5.95992,,3.91256,,6.63048,,5.79203,,2.02277,,5.88321,,2.89341,,2.011,,17.8187,
1,2010-01-02,00:00:00.00,0,4.19814,6.3996,3.75522,16,1.77104,4.09,2.6513,2.4,6.50524,5.6,3.11235,2.5,2.41991,1.05,3.13504,2.02,2.6284,0.983,2.34416,1.95,1.87046,0.329,6.10843,3,3.3927,5.6,1.8016,0.7,2.18587,3.85,2.31235,0.42,10.1152,2.86,3.8807,1.2148,3.16498,1.7273,5.7926,9.3446,3.59297,11.9214,6.38575,19.0289,5.63416,1.5829,1.90041,1.6424,5.62012,1.5291,2.74884,0.8212,1.8324,2.1634,17.5455,25.202
2,2010-01-03,00:00:00.00,0,3.98503,5.9749,3.42708,17,1.51092,2.4,2.22017,2,6.07426,5.4,2.66517,2.2,1.88215,1,2.77822,1.95,2.09621,0.85,1.98962,1.86,1.52765,0.2,5.62837,2.84,2.81842,4.8,1.46151,0.6,1.84021,3,2.00371,0.3,9.50029,2.0218,3.49441,0.8778,2.89982,1.4187,5.4013,8.5517,3.00719,10.0242,5.77976,16.1123,5.32352,1.3196,1.65633,1.2912,5.25635,1.8123,2.45807,0.6796,1.5872,1.8548,16.9648,22.7101
3,2010-01-04,00:00:00.00,0,3.86274,5.4935,3.14158,16,1.39935,2.8,1.98204,1.62,5.79394,5.2,2.41901,1.85,1.77984,0.947,2.54367,1.88,2.05937,0.803,1.83589,1.79,1.37469,0.131,5.18777,2.7,2.58936,4.2,1.45799,0.54,1.71493,2.2,1.82718,0.22,9.05233,1.7811,3.2779,0.807,2.69256,1.3762,4.98105,7.7305,2.72195,9.8259,5.27025,15.4893,5.0614,1.2573,1.47289,1.0194,5.04467,1.6424,2.21993,0.7929,1.48488,2.0077,16.5232,18.859
4,2010-01-05,00:00:00.00,0,3.72184,5.3519,2.9387,18,1.31878,3.3,1.95422,1.32,5.46966,5.05,2.26312,1.65,1.77051,0.895,2.37658,1.81,2.02371,0.78,1.74345,1.72,1.31516,0.13,4.902,2.58,2.51423,3.8,1.45452,0.48,1.63618,1.4,1.69448,0.18,8.76583,1.7811,3.12338,0.8778,2.53389,1.3026,4.65097,7.3057,2.67274,9.3162,5.01111,12.6293,4.84079,1.3479,1.37034,0.8891,4.82807,1.2459,2.07807,0.7079,1.42833,2.3107,16.2345,18.9723
5,2010-01-06,00:00:00.00,0,3.57792,5.182,2.76903,21,1.2571,2.5,1.94804,1.13,5.12204,5,2.15383,1.5,1.70835,0.86,2.28606,1.73,1.9892,0.749,1.67296,1.66,1.27312,0.132,4.69979,2.51,2.3955,3.45,1.45108,0.44,1.5824,1.1,1.59666,0.15,8.52134,1.7132,3.01044,0.9005,2.41908,1.2573,4.41811,6.8244,2.63167,8.665,4.80198,12.8275,4.60612,1.2686,1.3058,0.7646,4.62968,1.1327,2.00177,0.6513,1.39437,2.1323,15.9359,20.3881
6,2010-01-07,00:00:00.00,0,3.44147,4.9554,2.62454,24,1.2071,1.97,1.94397,0.99,4.83148,4.95,2.06908,1.38,1.68333,0.828,2.23434,1.69,1.9558,0.722,1.61594,1.6,1.23522,0.14,4.55647,2.44,2.31394,3.23,1.44768,0.41,1.5376,0.95,1.52839,0.13,8.28028,1.7132,2.91796,0.8608,2.3389,1.1921,4.25336,6.8527,2.61178,8.0703,4.65072,11.7515,4.37709,1.212,1.26612,0.7362,4.45933,0.9061,1.96071,0.623,1.37212,1.9822,15.6277,19.7085
7,2010-01-08,00:00:00.00,1.06625e-05,3.32039,4.7289,2.50503,21.5,1.16446,1.82,1.93986,0.876,4.65673,4.9,1.9977,1.3,1.63597,0.805,2.19961,1.65,1.92347,0.7,1.56739,1.55,1.19935,0.148,4.45549,2.39,2.22897,3.08,1.44431,0.38,1.49835,0.82,1.47448,0.115,8.05576,1.6933,2.84462,0.8042,2.28337,1.127,4.14142,7.1358,2.5954,8.1836,4.54579,11.1002,4.1949,1.1667,1.23689,0.6853,4.31868,0.8212,1.93676,0.5663,1.35609,2.036,15.2886,18.6891
8,2010-01-09,00:00:00.00,0,3.21815,4.5307,2.40448,20,1.12665,1.74,1.93578,0.815,4.54645,4.81,1.93402,1.25,1.60547,0.78,2.17238,1.63,1.89218,0.668,1.52433,1.5,1.16454,0.144,4.38369,2.33,2.15561,2.97,1.44097,0.36,1.46301,0.7,1.42792,0.1,7.85438,1.5999,2.79511,0.7277,2.24441,1.0364,4.06339,7.2774,2.58107,8.4951,4.46684,11.4117,4.06582,1.2431,1.21144,0.6315,4.20491,0.7362,1.92073,0.5947,1.34352,2.1039,14.9339,19.1422
9,2010-01-10,00:00:00.00,0,3.1339,4.7289,2.31743,18.5,1.0921,1.68,1.93173,0.75,4.47165,4.4,1.87516,1.2,1.56587,0.77,2.14862,1.59,1.86188,0.66,1.48498,1.46,1.13059,0.139,4.33058,2.28,2.08682,2.82,1.43766,0.335,1.43052,0.63,1.38546,0.087,7.67771,1.515,2.75998,0.6853,2.21621,1.076,4.00835,7.0509,2.56751,8.0986,4.41386,11.0153,3.97665,1.1525,1.1877,0.5748,4.11369,0.623,1.9083,0.538,1.333,2.1464,14.579,18.859
