﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Date,Value,SYM
02GC010,1,1960/09/14,0.742,
02GC010,1,1960/09/15,0.841,
02GC010,1,1960/09/16,0.742,
02GC010,1,1960/09/17,0.646,
02GC010,1,1960/09/18,0.725,
02GC010,1,1960/09/19,0.903,
02GC010,1,1960/09/20,1.01,
02GC010,1,1960/09/21,1.01,
02GC010,1,1960/09/22,1.01,
02GC010,1,1960/09/23,0.903,
02GC010,1,1960/09/24,0.903,
02GC010,1,1960/09/25,0.841,
02GC010,1,1960/09/26,0.966,
02GC010,1,1960/09/27,0.861,
02GC010,1,1960/09/28,0.801,
02GC010,1,1960/09/29,0.801,
02GC010,1,1960/09/30,1.05,
02GC010,1,1960/10/01,1.01,
02GC010,1,1960/10/02,0.569,
02GC010,1,1960/10/03,1.36,
02GC010,1,1960/10/04,0.725,
02GC010,1,1960/10/05,0.762,
02GC010,1,1960/10/06,1.12,
02GC010,1,1960/10/07,0.943,
02GC010,1,1960/10/08,0.801,
02GC010,1,1960/10/09,0.801,
02GC010,1,1960/10/10,0.943,
02GC010,1,1960/10/11,1.30,
02GC010,1,1960/10/12,0.725,
02GC010,1,1960/10/13,0.861,
02GC010,1,1960/10/14,0.742,
02GC010,1,1960/10/15,0.821,
02GC010,1,1960/10/16,0.821,
02GC010,1,1960/10/17,1.28,
02GC010,1,1960/10/18,1.10,
02GC010,1,1960/10/19,0.646,
02GC010,1,1960/10/20,1.59,
02GC010,1,1960/10/21,0.943,
02GC010,1,1960/10/22,0.943,
02GC010,1,1960/10/23,1.10,
02GC010,1,1960/10/24,1.25,
02GC010,1,1960/10/25,1.30,
02GC010,1,1960/10/26,0.801,
02GC010,1,1960/10/27,1.28,
02GC010,1,1960/10/28,0.762,
02GC010,1,1960/10/29,0.861,
02GC010,1,1960/10/30,0.821,
02GC010,1,1960/10/31,1.40,
02GC010,1,1960/11/01,1.20,
02GC010,1,1960/11/02,1.01,
02GC010,1,1960/11/03,1.33,
02GC010,1,1960/11/04,1.20,
02GC010,1,1960/11/05,1.25,
02GC010,1,1960/11/06,0.569,
02GC010,1,1960/11/07,1.36,
02GC010,1,1960/11/08,0.903,
02GC010,1,1960/11/09,0.966,
02GC010,1,1960/11/10,1.87,
02GC010,1,1960/11/11,1.18,
02GC010,1,1960/11/12,1.28,
02GC010,1,1960/11/13,1.18,
02GC010,1,1960/11/14,1.25,
02GC010,1,1960/11/15,1.15,
02GC010,1,1960/11/16,1.40,
02GC010,1,1960/11/17,1.28,
02GC010,1,1960/11/18,1.20,
02GC010,1,1960/11/19,1.10,E
02GC010,1,1960/11/20,1.07,E
02GC010,1,1960/11/21,1.18,E
02GC010,1,1960/11/22,1.05,E
02GC010,1,1960/11/23,0.943,
02GC010,1,1960/11/24,1.18,
02GC010,1,1960/11/25,0.943,
02GC010,1,1960/11/26,0.903,
02GC010,1,1960/11/27,1.01,
02GC010,1,1960/11/28,1.25,
02GC010,1,1960/11/29,1.15,
02GC010,1,1960/11/30,1.05,
02GC010,1,1960/12/01,1.15,
02GC010,1,1960/12/02,1.03,
02GC010,1,1960/12/03,1.15,
02GC010,1,1960/12/04,1.01,
02GC010,1,1960/12/05,1.23,
02GC010,1,1960/12/06,1.07,
