# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-09-12 19:31:30 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04166100 RIVER ROUGE AT SOUTHFIELD, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04166100
#            TS   parameter     statistic     Description
#         71158       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	71158_00060_00003	71158_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04166100	1958-04-01	40.0	A
USGS	04166100	1958-04-02	43.0	A
USGS	04166100	1958-04-03	37.0	A
USGS	04166100	1958-04-04	36.0	A
USGS	04166100	1958-04-05	35.0	A
USGS	04166100	1958-04-06	57.0	A
USGS	04166100	1958-04-07	104	A
USGS	04166100	1958-04-08	64.0	A
USGS	04166100	1958-04-09	50.0	A
USGS	04166100	1958-04-10	44.0	A
USGS	04166100	1958-04-11	58.0	A
USGS	04166100	1958-04-12	78.0	A
USGS	04166100	1958-04-13	58.0	A
USGS	04166100	1958-04-14	50.0	A
USGS	04166100	1958-04-15	45.0	A
USGS	04166100	1958-04-16	40.0	A
USGS	04166100	1958-04-17	37.0	A
USGS	04166100	1958-04-18	34.0	A
USGS	04166100	1958-04-19	32.0	A
USGS	04166100	1958-04-20	31.0	A
USGS	04166100	1958-04-21	37.0	A
USGS	04166100	1958-04-22	33.0	A
USGS	04166100	1958-04-23	61.0	A
USGS	04166100	1958-04-24	48.0	A
USGS	04166100	1958-04-25	40.0	A
USGS	04166100	1958-04-26	34.0	A
USGS	04166100	1958-04-27	26.0	A
USGS	04166100	1958-04-28	30.0	A
USGS	04166100	1958-04-29	30.0	A
USGS	04166100	1958-04-30	27.0	A
USGS	04166100	1958-05-01	25.0	A
USGS	04166100	1958-05-02	24.0	A
USGS	04166100	1958-05-03	24.0	A
USGS	04166100	1958-05-04	27.0	A
USGS	04166100	1958-05-05	25.0	A
USGS	04166100	1958-05-06	23.0	A
USGS	04166100	1958-05-07	21.0	A
USGS	04166100	1958-05-08	20.0	A
USGS	04166100	1958-05-09	26.0	A
USGS	04166100	1958-05-10	22.0	A
USGS	04166100	1958-05-11	20.0	A
USGS	04166100	1958-05-12	19.0	A
USGS	04166100	1958-05-13	18.0	A
USGS	04166100	1958-05-14	17.0	A
USGS	04166100	1958-05-15	17.0	A
USGS	04166100	1958-05-16	17.0	A
USGS	04166100	1958-05-17	16.0	A
USGS	04166100	1958-05-18	21.0	A
