# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-08-07 11:38:43 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04177000 Ottawa River at University of Toledo, Toledo OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 04177000
#            TS   parameter     statistic     Description
#        109388       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	109388_00060_00003	109388_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04177000	1945-03-16	39.0	A
USGS	04177000	1945-03-17	34.0	A
USGS	04177000	1945-03-18	31.0	A
USGS	04177000	1945-03-19	162	A
USGS	04177000	1945-03-20	342	A
USGS	04177000	1945-03-21	410	A
USGS	04177000	1945-03-22	299	A
USGS	04177000	1945-03-23	170	A
USGS	04177000	1945-03-24	107	A
USGS	04177000	1945-03-25	80.0	A
USGS	04177000	1945-03-26	56.0	A
USGS	04177000	1945-03-27	44.0	A
USGS	04177000	1945-03-28	35.0	A
USGS	04177000	1945-03-29	30.0	A
USGS	04177000	1945-03-30	31.0	A
USGS	04177000	1945-03-31	251	A
USGS	04177000	1945-04-01	884	A
USGS	04177000	1945-04-02	763	A
USGS	04177000	1945-04-03	914	A
USGS	04177000	1945-04-04	571	A
USGS	04177000	1945-04-05	537	A
USGS	04177000	1945-04-06	333	A
USGS	04177000	1945-04-07	212	A
USGS	04177000	1945-04-08	157	A
USGS	04177000	1945-04-09	119	A
USGS	04177000	1945-04-10	90.0	A
USGS	04177000	1945-04-11	66.0	A
USGS	04177000	1945-04-12	49.0	A
USGS	04177000	1945-04-13	43.0	A
USGS	04177000	1945-04-14	35.0	A
USGS	04177000	1945-04-15	28.0	A
USGS	04177000	1945-04-16	24.0	A
USGS	04177000	1945-04-17	42.0	A
USGS	04177000	1945-04-18	32.0	A
USGS	04177000	1945-04-19	26.0	A
USGS	04177000	1945-04-20	22.0	A
USGS	04177000	1945-04-21	19.0	A
USGS	04177000	1945-04-22	17.0	A
USGS	04177000	1945-04-23	16.0	A
USGS	04177000	1945-04-24	18.0	A
USGS	04177000	1945-04-25	20.0	A
USGS	04177000	1945-04-26	66.0	A
USGS	04177000	1945-04-27	172	A
USGS	04177000	1945-04-28	115	A
