# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-09-12 19:36:47 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04207200 Tinkers Creek at Bedford OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 04207200
#            TS   parameter     statistic     Description
#        109628       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	109628_00060_00003	109628_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04207200	1962-12-01	27.0	A
USGS	04207200	1962-12-02	25.0	A
USGS	04207200	1962-12-03	24.0	A
USGS	04207200	1962-12-04	22.0	A
USGS	04207200	1962-12-05	29.0	A
USGS	04207200	1962-12-06	63.0	A
USGS	04207200	1962-12-07	50.0	A
USGS	04207200	1962-12-08	46.0	A
USGS	04207200	1962-12-09	42.0	A
USGS	04207200	1962-12-10	40.0	A
USGS	04207200	1962-12-11	40.0	A
USGS	04207200	1962-12-12	38.0	A
USGS	04207200	1962-12-13	34.0	A
USGS	04207200	1962-12-14	32.0	A
USGS	04207200	1962-12-15	32.0	A
USGS	04207200	1962-12-16	32.0	A
USGS	04207200	1962-12-17	34.0	A
USGS	04207200	1962-12-18	38.0	A
USGS	04207200	1962-12-19	50.0	A
USGS	04207200	1962-12-20	133	A
USGS	04207200	1962-12-21	133	A
USGS	04207200	1962-12-22	93.0	A
USGS	04207200	1962-12-23	80.0	A
USGS	04207200	1962-12-24	70.0	A
USGS	04207200	1962-12-25	65.0	A
USGS	04207200	1962-12-26	64.0	A
USGS	04207200	1962-12-27	60.0	A
USGS	04207200	1962-12-28	55.0	A
USGS	04207200	1962-12-29	55.0	A
USGS	04207200	1962-12-30	60.0	A
USGS	04207200	1962-12-31	55.0	A
USGS	04207200	1963-01-01	50.0	A
USGS	04207200	1963-01-02	50.0	A
USGS	04207200	1963-01-03	48.0	A
USGS	04207200	1963-01-04	46.0	A
USGS	04207200	1963-01-05	44.0	A
USGS	04207200	1963-01-06	44.0	A
USGS	04207200	1963-01-07	44.0	A
USGS	04207200	1963-01-08	44.0	A
USGS	04207200	1963-01-09	49.0	A
USGS	04207200	1963-01-10	91.0	A
USGS	04207200	1963-01-11	307	A
USGS	04207200	1963-01-12	283	A
USGS	04207200	1963-01-13	214	A
USGS	04207200	1963-01-14	150	A
USGS	04207200	1963-01-15	110	A
USGS	04207200	1963-01-16	85.0	A
USGS	04207200	1963-01-17	65.0	A
USGS	04207200	1963-01-18	60.0	A
USGS	04207200	1963-01-19	55.0	A
USGS	04207200	1963-01-20	50.0	A
USGS	04207200	1963-01-21	48.0	A
USGS	04207200	1963-01-22	44.0	A
USGS	04207200	1963-01-23	42.0	A
USGS	04207200	1963-01-24	38.0	A
USGS	04207200	1963-01-25	34.0	A
USGS	04207200	1963-01-26	34.0	A
USGS	04207200	1963-01-27	32.0	A
USGS	04207200	1963-01-28	32.0	A
USGS	04207200	1963-01-29	30.0	A
USGS	04207200	1963-01-30	30.0	A
USGS	04207200	1963-01-31	30.0	A
USGS	04207200	1963-02-01	30.0	A
USGS	04207200	1963-02-02	30.0	A
USGS	04207200	1963-02-03	32.0	A
USGS	04207200	1963-02-04	34.0	A
USGS	04207200	1963-02-05	38.0	A
USGS	04207200	1963-02-06	42.0	A
USGS	04207200	1963-02-07	46.0	A
USGS	04207200	1963-02-08	55.0	A
USGS	04207200	1963-02-09	50.0	A
USGS	04207200	1963-02-10	44.0	A
USGS	04207200	1963-02-11	40.0	A
USGS	04207200	1963-02-12	38.0	A
USGS	04207200	1963-02-13	36.0	A
USGS	04207200	1963-02-14	34.0	A
USGS	04207200	1963-02-15	32.0	A
USGS	04207200	1963-02-16	32.0	A
USGS	04207200	1963-02-17	32.0	A
USGS	04207200	1963-02-18	32.0	A
USGS	04207200	1963-02-19	60.0	A
USGS	04207200	1963-02-20	55.0	A
USGS	04207200	1963-02-21	50.0	A
USGS	04207200	1963-02-22	44.0	A
USGS	04207200	1963-02-23	40.0	A
USGS	04207200	1963-02-24	36.0	A
USGS	04207200	1963-02-25	34.0	A
USGS	04207200	1963-02-26	32.0	A
USGS	04207200	1963-02-27	32.0	A
USGS	04207200	1963-02-28	32.0	A
USGS	04207200	1963-03-01	32.0	A
USGS	04207200	1963-03-02	34.0	A
USGS	04207200	1963-03-03	40.0	A
USGS	04207200	1963-03-04	55.0	A
USGS	04207200	1963-03-05	320	A
USGS	04207200	1963-03-06	850	A
USGS	04207200	1963-03-07	550	A
USGS	04207200	1963-03-08	380	A
USGS	04207200	1963-03-09	300	A
USGS	04207200	1963-03-10	250	A
USGS	04207200	1963-03-11	220	A
USGS	04207200	1963-03-12	800	A
USGS	04207200	1963-03-13	946	A
USGS	04207200	1963-03-14	869	A
USGS	04207200	1963-03-15	847	A
USGS	04207200	1963-03-16	770	A
USGS	04207200	1963-03-17	1030	A
USGS	04207200	1963-03-18	836	A
USGS	04207200	1963-03-19	754	A
USGS	04207200	1963-03-20	666	A
USGS	04207200	1963-03-21	520	A
USGS	04207200	1963-03-22	367	A
USGS	04207200	1963-03-23	335	A
USGS	04207200	1963-03-24	355	A
USGS	04207200	1963-03-25	299	A
USGS	04207200	1963-03-26	295	A
USGS	04207200	1963-03-27	424	A
USGS	04207200	1963-03-28	363	A
USGS	04207200	1963-03-29	259	A
USGS	04207200	1963-03-30	224	A
USGS	04207200	1963-03-31	190	A
USGS	04207200	1963-04-01	172	A
USGS	04207200	1963-04-02	161	A
USGS	04207200	1963-04-03	215	A
USGS	04207200	1963-04-04	478	A
USGS	04207200	1963-04-05	331	A
USGS	04207200	1963-04-06	175	A
USGS	04207200	1963-04-07	127	A
USGS	04207200	1963-04-08	100	A
USGS	04207200	1963-04-09	85.0	A
USGS	04207200	1963-04-10	73.0	A
USGS	04207200	1963-04-11	63.0	A
USGS	04207200	1963-04-12	56.0	A
USGS	04207200	1963-04-13	49.0	A
USGS	04207200	1963-04-14	44.0	A
USGS	04207200	1963-04-15	41.0	A
USGS	04207200	1963-04-16	38.0	A
USGS	04207200	1963-04-17	41.0	A
USGS	04207200	1963-04-18	70.0	A
USGS	04207200	1963-04-19	163	A
USGS	04207200	1963-04-20	380	A
USGS	04207200	1963-04-21	307	A
USGS	04207200	1963-04-22	156	A
USGS	04207200	1963-04-23	163	A
USGS	04207200	1963-04-24	170	A
USGS	04207200	1963-04-25	133	A
USGS	04207200	1963-04-26	91.0	A
USGS	04207200	1963-04-27	66.0	A
USGS	04207200	1963-04-28	51.0	A
USGS	04207200	1963-04-29	49.0	A
USGS	04207200	1963-04-30	88.0	A
USGS	04207200	1963-05-01	216	A
USGS	04207200	1963-05-02	185	A
USGS	04207200	1963-05-03	119	A
USGS	04207200	1963-05-04	85.0	A
USGS	04207200	1963-05-05	69.0	A
USGS	04207200	1963-05-06	59.0	A
USGS	04207200	1963-05-07	45.0	A
USGS	04207200	1963-05-08	38.0	A
USGS	04207200	1963-05-09	33.0	A
USGS	04207200	1963-05-10	29.0	A
USGS	04207200	1963-05-11	30.0	A
USGS	04207200	1963-05-12	27.0	A
USGS	04207200	1963-05-13	24.0	A
USGS	04207200	1963-05-14	25.0	A
USGS	04207200	1963-05-15	23.0	A
USGS	04207200	1963-05-16	21.0	A
USGS	04207200	1963-05-17	19.0	A
USGS	04207200	1963-05-18	23.0	A
USGS	04207200	1963-05-19	23.0	A
USGS	04207200	1963-05-20	38.0	A
USGS	04207200	1963-05-21	31.0	A
USGS	04207200	1963-05-22	26.0	A
USGS	04207200	1963-05-23	24.0	A
USGS	04207200	1963-05-24	20.0	A
USGS	04207200	1963-05-25	18.0	A
USGS	04207200	1963-05-26	16.0	A
USGS	04207200	1963-05-27	14.0	A
USGS	04207200	1963-05-28	21.0	A
USGS	04207200	1963-05-29	44.0	A
USGS	04207200	1963-05-30	38.0	A
USGS	04207200	1963-05-31	28.0	A
USGS	04207200	1963-06-01	24.0	A
USGS	04207200	1963-06-02	18.0	A
USGS	04207200	1963-06-03	17.0	A
USGS	04207200	1963-06-04	17.0	A
USGS	04207200	1963-06-05	16.0	A
USGS	04207200	1963-06-06	16.0	A
USGS	04207200	1963-06-07	14.0	A
USGS	04207200	1963-06-08	14.0	A
USGS	04207200	1963-06-09	117	A
USGS	04207200	1963-06-10	73.0	A
USGS	04207200	1963-06-11	38.0	A
USGS	04207200	1963-06-12	24.0	A
USGS	04207200	1963-06-13	19.0	A
USGS	04207200	1963-06-14	18.0	A
USGS	04207200	1963-06-15	16.0	A
USGS	04207200	1963-06-16	13.0	A
USGS	04207200	1963-06-17	13.0	A
USGS	04207200	1963-06-18	13.0	A
USGS	04207200	1963-06-19	12.0	A
USGS	04207200	1963-06-20	11.0	A
USGS	04207200	1963-06-21	13.0	A
USGS	04207200	1963-06-22	14.0	A
USGS	04207200	1963-06-23	11.0	A
USGS	04207200	1963-06-24	9.10	A
USGS	04207200	1963-06-25	9.80	A
USGS	04207200	1963-06-26	9.50	A
USGS	04207200	1963-06-27	9.50	A
USGS	04207200	1963-06-28	9.50	A
USGS	04207200	1963-06-29	9.50	A
USGS	04207200	1963-06-30	12.0	A
USGS	04207200	1963-07-01	9.50	A
USGS	04207200	1963-07-02	10.0	A
USGS	04207200	1963-07-03	9.50	A
USGS	04207200	1963-07-04	8.20	A
USGS	04207200	1963-07-05	7.20	A
USGS	04207200	1963-07-06	7.50	A
USGS	04207200	1963-07-07	7.20	A
USGS	04207200	1963-07-08	7.20	A
USGS	04207200	1963-07-09	7.80	A
USGS	04207200	1963-07-10	7.80	A
USGS	04207200	1963-07-11	8.20	A
USGS	04207200	1963-07-12	7.80	A
USGS	04207200	1963-07-13	8.20	A
USGS	04207200	1963-07-14	21.0	A
USGS	04207200	1963-07-15	15.0	A
USGS	04207200	1963-07-16	14.0	A
USGS	04207200	1963-07-17	15.0	A
USGS	04207200	1963-07-18	27.0	A
USGS	04207200	1963-07-19	14.0	A
USGS	04207200	1963-07-20	12.0	A
USGS	04207200	1963-07-21	9.80	A
USGS	04207200	1963-07-22	12.0	A
USGS	04207200	1963-07-23	18.0	A
USGS	04207200	1963-07-24	38.0	A
USGS	04207200	1963-07-25	19.0	A
USGS	04207200	1963-07-26	13.0	A
USGS	04207200	1963-07-27	12.0	A
USGS	04207200	1963-07-28	47.0	A
USGS	04207200	1963-07-29	152	A
USGS	04207200	1963-07-30	54.0	A
USGS	04207200	1963-07-31	26.0	A
USGS	04207200	1963-08-01	26.0	A
USGS	04207200	1963-08-02	13.0	A
USGS	04207200	1963-08-03	15.0	A
USGS	04207200	1963-08-04	22.0	A
USGS	04207200	1963-08-05	14.0	A
USGS	04207200	1963-08-06	11.0	A
USGS	04207200	1963-08-07	14.0	A
USGS	04207200	1963-08-08	13.0	A
USGS	04207200	1963-08-09	12.0	A
USGS	04207200	1963-08-10	11.0	A
USGS	04207200	1963-08-11	8.20	A
USGS	04207200	1963-08-12	7.20	A
USGS	04207200	1963-08-13	8.20	A
USGS	04207200	1963-08-14	16.0	A
USGS	04207200	1963-08-15	9.50	A
USGS	04207200	1963-08-16	8.20	A
USGS	04207200	1963-08-17	6.80	A
USGS	04207200	1963-08-18	6.20	A
USGS	04207200	1963-08-19	6.50	A
USGS	04207200	1963-08-20	12.0	A
USGS	04207200	1963-08-21	13.0	A
USGS	04207200	1963-08-22	9.10	A
USGS	04207200	1963-08-23	7.20	A
USGS	04207200	1963-08-24	19.0	A
USGS	04207200	1963-08-25	11.0	A
USGS	04207200	1963-08-26	8.80	A
USGS	04207200	1963-08-27	8.80	A
USGS	04207200	1963-08-28	8.20	A
USGS	04207200	1963-08-29	8.20	A
USGS	04207200	1963-08-30	8.20	A
USGS	04207200	1963-08-31	8.50	A
USGS	04207200	1963-09-01	8.50	A
USGS	04207200	1963-09-02	8.20	A
USGS	04207200	1963-09-03	8.20	A
USGS	04207200	1963-09-04	7.80	A
USGS	04207200	1963-09-05	7.80	A
USGS	04207200	1963-09-06	7.80	A
USGS	04207200	1963-09-07	7.80	A
USGS	04207200	1963-09-08	7.80	A
USGS	04207200	1963-09-09	7.80	A
USGS	04207200	1963-09-10	7.80	A
USGS	04207200	1963-09-11	7.50	A
USGS	04207200	1963-09-12	14.0	A
USGS	04207200	1963-09-13	25.0	A
USGS	04207200	1963-09-14	19.0	A
USGS	04207200	1963-09-15	12.0	A
USGS	04207200	1963-09-16	8.00	A
USGS	04207200	1963-09-17	8.00	A
USGS	04207200	1963-09-18	8.00	A
USGS	04207200	1963-09-19	7.00	A
USGS	04207200	1963-09-20	7.00	A
USGS	04207200	1963-09-21	8.00	A
USGS	04207200	1963-09-22	8.00	A
USGS	04207200	1963-09-23	8.00	A
USGS	04207200	1963-09-24	8.00	A
USGS	04207200	1963-09-25	8.00	A
USGS	04207200	1963-09-26	8.00	A
USGS	04207200	1963-09-27	8.00	A
USGS	04207200	1963-09-28	9.00	A
USGS	04207200	1963-09-29	8.00	A
USGS	04207200	1963-09-30	8.00	A
USGS	04207200	1963-10-01	7.50	A
USGS	04207200	1963-10-02	9.00	A
USGS	04207200	1963-10-03	7.00	A
USGS	04207200	1963-10-04	6.50	A
USGS	04207200	1963-10-05	6.50	A
USGS	04207200	1963-10-06	7.00	A
USGS	04207200	1963-10-07	7.00	A
USGS	04207200	1963-10-08	6.00	A
USGS	04207200	1963-10-09	6.20	A
