date,hour,02GA010,02GA018,02GA038,02GA047,02GB007,02GC002,02GC010,02GC018,02GD004,02GE007,02GG002,02GG003,02GG006,02GG009,02GG013,04159492,04159900,04160600,04161820,04164000,04165500,04166100,04177000,04196800,04197100,04207200,04208504,04213000,02GB001,02GB007,02GC002,02GC007,02GC018,02GC026,02GE007,02GG003,02GG009,02GG013,04159900,04160600,04165500,04166500,04174500,04176500,04177000,04193500,04195820,04198000,04199000,04199500,04200500,04208504,04209000,04212100,04213000,04213500,04214500,04215000,04215500
2011-01-01,00:00:00,14.3802542,10.9387167,8.5432625,19.5295958,6.3315750,23.7610375,10.6562750,17.5334833,7.0418750,1.1058417,25.1574083,29.7123500,9.5147542,14.8751417,6.9896417,25.1759917,10.7309000,6.0633792,33.5308667,53.2889083,69.6500083,14.4596875,5.8801833,0.8081875,0.7673708,16.5538208,109.9755000,11.5221000,50.8512542,6.3315750,23.7610375,15.9365167,17.5334833,23.5664833,1.1058417,29.7123500,14.8751417,6.9896417,10.7309000,6.0633792,69.6500083,36.6914167,40.4473875,22.7169667,5.8801833,41.6182042,0.1851125,7.9535042,8.7949875,6.9650333,16.4720208,109.9755000,9.9076208,43.1615833,11.5221000,15.4391417,10.8074583,5.8965875,13.3010500
2011-01-02,00:00:00,48.2857792,28.1102417,26.2241083,32.2327750,4.6559417,21.9695500,24.4457792,23.3388042,16.7960167,1.5036750,55.3974083,78.2303958,20.8481333,34.9026625,12.1517042,41.4256333,19.1972583,13.0861333,31.1132958,47.0029167,73.1849583,3.9452292,3.2696583,1.7081042,1.6656958,21.5082417,139.7655042,27.5792750,234.6413375,4.6559417,21.9695500,28.5348917,23.3388042,44.5368750,1.5036750,78.2303958,34.9026625,12.1517042,19.1972583,13.0861333,73.1849583,13.1756583,44.7496250,54.4064708,3.2696583,159.5068125,1.5351125,8.3984667,10.0520625,11.3840333,31.1655167,139.7655042,20.8368542,96.8206208,27.5792750,28.6277917,14.4610875,6.7127125,15.9357083
2011-01-03,00:00:00,48.5805792,30.6745833,18.7641042,31.4004875,5.7661083,14.7972250,22.2790792,19.1465500,13.9860875,1.6510250,32.4291167,62.2738583,11.2217542,24.0078833,0.9040083,39.3195625,13.9647625,9.5453750,13.8443000,21.9170750,35.3348125,3.0231292,1.9783333,4.4949625,3.7928000,12.1734875,112.3811292,38.0715208,272.6425750,5.7661083,14.7972250,29.6199333,19.1465500,42.1362958,1.6510250,62.2738583,24.0078833,0.9040083,13.9647625,9.5453750,35.3348125,7.8867458,41.6013208,33.0362833,1.9783333,117.5384250,1.9230208,14.1082375,13.0352042,11.4104208,26.2883958,112.3811292,14.5155250,115.0993250,38.0715208,21.9113458,10.9784583,5.5146000,10.9481375
2011-01-04,00:00:00,47.7529958,23.3003500,14.1043917,23.0098208,6.2719875,13.8306750,16.7883292,14.7295250,12.7502958,1.6705250,25.8846083,39.7236083,8.3271167,15.5235500,0.4407542,27.8284167,10.9798542,9.0948125,13.6524333,19.9723625,32.9671333,2.6712500,1.9549250,6.8566750,4.4947167,7.9721833,94.8862917,24.6097875,247.7318167,6.2719875,13.8306750,23.7693208,14.7295250,34.5125125,1.6705250,39.7236083,15.5235500,0.4407542,10.9798542,9.0948125,32.9671333,6.9970042,36.1915458,31.0158458,1.9549250,100.4607500,1.7572500,28.2175792,14.2953708,12.1921458,24.0942750,94.8862917,12.6444208,98.3239083,24.6097875,23.3389250,11.0442917,5.5009125,10.7881542
2011-01-05,00:00:00,38.3428917,18.6367250,9.9568250,18.9979417,6.1195417,11.4568667,11.8224792,10.9119667,11.0279833,1.5079458,22.6737792,32.6736333,5.8923000,11.1603083,0.4204625,25.9701708,10.1046500,8.5101917,14.2748792,19.9685083,32.4236167,2.3060625,1.8363583,6.6068833,4.2479500,6.8652583,80.3333792,18.3115375,193.6363125,6.1195417,11.4568667,18.8291042,10.9119667,26.0374833,1.5079458,32.6736333,11.1603083,0.4204625,10.1046500,8.5101917,32.4236167,6.1015542,37.5924875,31.6638250,1.8363583,96.4991167,1.8587292,33.1982625,13.7760042,11.7084708,21.2202250,80.3333792,11.1996333,66.0873958,18.3115375,23.3254958,10.6168958,5.1804875,10.4618542
2011-01-06,00:00:00,29.5454833,13.7408375,7.0417750,15.6845042,5.7565667,9.4062833,8.3747625,8.3408625,9.0681708,1.3189250,19.1119042,26.8623167,3.9032583,7.9230375,1.6872167,23.0652500,8.7783625,7.4309625,13.2957875,18.2103125,29.6203750,1.9704458,1.7008500,5.7649542,3.7204417,5.7422167,62.5570333,14.4031667,146.7178375,5.7565667,9.4062833,14.6488917,8.3408625,19.5897750,1.3189250,26.8623167,7.9230375,1.6872167,8.7783625,7.4309625,29.6203750,5.1850583,36.4418583,31.0938167,1.7008500,100.3983417,2.4146875,31.4741458,12.6876667,10.6519625,18.0925792,62.5570333,9.5478417,46.4997042,14.4031667,22.0159375,9.6930500,4.6619583,9.5731583
2011-01-07,00:00:00,22.1533458,10.7397417,5.4874458,13.2293542,5.3569125,7.8330167,6.2242792,6.7106500,7.4355417,1.1795917,16.2458500,22.4350667,3.0160792,5.9922958,1.3747042,20.0823917,7.5306667,6.4159792,12.7542792,17.1282417,27.4938292,1.7195958,1.7603708,4.7928208,3.1443917,4.8176833,50.6586292,10.9621875,109.0836958,5.3569125,7.8330167,11.8317250,6.7106500,14.9143667,1.1795917,22.4350667,5.9922958,1.3747042,7.5306667,6.4159792,27.4938292,4.5332958,33.8754417,29.5570708,1.7603708,103.3026125,2.6938333,28.1618417,11.4166000,9.5186583,15.4836375,50.6586292,8.1571875,36.3281458,10.9621875,20.2679625,8.6483625,4.1379125,8.5293667
2011-01-08,00:00:00,18.8890917,9.3899042,4.7324500,10.9900500,4.9412083,6.7742875,5.3140333,5.7290000,6.1568167,1.0341000,14.1299458,19.2708000,2.4545250,4.7859417,1.0324292,17.5548667,6.5359125,5.6268417,11.6702458,15.5344208,24.8546167,1.5130042,2.0302875,3.9506208,2.6538167,4.0401917,41.5407542,9.0467708,89.0023958,4.9412083,6.7742875,10.1861917,5.7290000,12.7104667,1.0341000,19.2708000,4.7859417,1.0324292,6.5359125,5.6268417,24.8546167,4.0103208,31.8450167,27.7827792,2.0302875,99.6467833,3.0839208,24.7392750,10.2532292,8.5160583,13.5183958,41.5407542,7.1154458,30.5566667,9.0467708,18.5639125,7.7767500,3.6542625,7.5643000
2011-01-09,00:00:00,16.7220708,8.4183917,4.2097583,9.4916292,4.5600292,6.0581042,4.6861042,5.0979333,5.3088208,0.9192333,12.5163833,16.9089625,2.0477500,3.9565875,0.8188125,15.5480250,5.7801667,5.0150167,10.5725083,14.1206958,22.5619542,1.3157792,1.8543000,3.2373458,2.2939125,3.5210875,35.4118875,7.7283250,76.6795458,4.5600292,6.0581042,8.9809208,5.0979333,11.1789125,0.9192333,16.9089625,3.9565875,0.8188125,5.7801667,5.0150167,22.5619542,3.5172833,28.4388083,26.3555708,1.8543000,95.8823583,3.0460833,21.7626167,9.1875125,7.6348083,11.9676167,35.4118875,6.3066500,26.8259792,7.7283250,17.1348000,7.0651708,3.3028417,6.7738583
2011-01-10,00:00:00,15.0742792,7.6787000,3.8462083,8.3653792,4.2189458,5.4969833,4.2432750,4.6352167,4.7899375,0.8317250,11.2602667,15.1074792,1.7478542,3.3845792,0.7033542,13.9341625,5.1425417,4.5007708,9.6216667,12.7456583,20.3788000,1.2177500,1.6889667,2.5831625,1.9797083,3.1071583,31.4037042,6.8964125,67.7369958,4.2189458,5.4969833,8.0763917,4.6352167,10.0558792,0.8317250,15.1074792,3.3845792,0.7033542,5.1425417,4.5007708,20.3788000,3.2343333,25.8589708,24.1014708,1.6889667,88.5454042,2.8564458,19.1236042,8.3552792,6.9269583,10.8176875,31.4037042,5.6937625,24.2570292,6.8964125,15.8306667,6.4672833,3.0352583,6.1360917
