time,date,hour,precip [mm/day],sub30 [m3/s],sub30 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,4.34799,0.00180816,1.05
2,2010-01-03,00:00:00.00,7.96139,0.0118301,1
3,2010-01-04,00:00:00.00,2.80955,0.0375311,0.947
4,2010-01-05,00:00:00.00,0.622325,0.0724168,0.895
5,2010-01-06,00:00:00.00,2.66887,0.0978108,0.86
6,2010-01-07,00:00:00.00,0.0884514,0.107298,0.828
7,2010-01-08,00:00:00.00,5.29221,0.108494,0.805
8,2010-01-09,00:00:00.00,3.5772,0.107889,0.78
9,2010-01-10,00:00:00.00,0.00147068,0.107268,0.77
10,2010-01-11,00:00:00.00,0.00874255,0.106657,0.75
11,2010-01-12,00:00:00.00,1.75307,0.106083,0.73
12,2010-01-13,00:00:00.00,0.0636627,0.105544,0.72
13,2010-01-14,00:00:00.00,0.000244686,0.105016,0.709
14,2010-01-15,00:00:00.00,0.116079,0.104476,0.697
15,2010-01-16,00:00:00.00,0.216167,0.103909,0.685
16,2010-01-17,00:00:00.00,0.0114714,0.103304,0.678
17,2010-01-18,00:00:00.00,0.0192329,0.102664,0.671
18,2010-01-19,00:00:00.00,0.0645067,0.102,0.664
19,2010-01-20,00:00:00.00,0.422332,0.101325,0.657
20,2010-01-21,00:00:00.00,0.0110441,0.10065,0.65
21,2010-01-22,00:00:00.00,0.000384764,0.0999932,0.644
22,2010-01-23,00:00:00.00,0.0197024,0.0993627,0.638
23,2010-01-24,00:00:00.00,0,0.0987425,0.633
24,2010-01-25,00:00:00.00,12.2282,0.112166,1.65
25,2010-01-26,00:00:00.00,6.25729,0.210195,30
26,2010-01-27,00:00:00.00,1.60485,0.490351,23.9
27,2010-01-28,00:00:00.00,1.57078,0.863527,9.89
28,2010-01-29,00:00:00.00,2.87443,0.970797,5.24
29,2010-01-30,00:00:00.00,0.40215,0.67833,3.75
30,2010-01-31,00:00:00.00,0.0374398,0.322214,2
31,2010-02-01,00:00:00.00,1.13559,0.155489,1.6
32,2010-02-02,00:00:00.00,0.122707,0.122207,1.35
33,2010-02-03,00:00:00.00,2.73218,0.121695,1.15
34,2010-02-04,00:00:00.00,0.549854,0.121145,1.03
35,2010-02-05,00:00:00.00,0.0190807,0.120537,0.92
36,2010-02-06,00:00:00.00,1.79982e-308,0.119877,0.825
37,2010-02-07,00:00:00.00,3.9983e-308,0.119181,0.75
38,2010-02-08,00:00:00.00,1.9992e-308,0.118483,0.7
39,2010-02-09,00:00:00.00,0.0068665,0.117821,0.65
40,2010-02-10,00:00:00.00,4.83026,0.117218,0.608
41,2010-02-11,00:00:00.00,7.24995,0.116656,0.59
42,2010-02-12,00:00:00.00,0.0430281,0.116116,0.565
43,2010-02-13,00:00:00.00,0.0975909,0.115603,0.548
44,2010-02-14,00:00:00.00,0.720582,0.115105,0.53
45,2010-02-15,00:00:00.00,1.59301,0.114579,0.515
46,2010-02-16,00:00:00.00,0.172631,0.114009,0.505
47,2010-02-17,00:00:00.00,0.42292,0.113408,0.497
48,2010-02-18,00:00:00.00,0.259437,0.112788,0.488
49,2010-02-19,00:00:00.00,0.0223836,0.112161,0.481
50,2010-02-20,00:00:00.00,0.009383,0.111525,0.477
51,2010-02-21,00:00:00.00,0.000548468,0.110869,0.473
52,2010-02-22,00:00:00.00,3.2083e-308,0.110196,0.472
53,2010-02-23,00:00:00.00,14.673,0.113576,0.472
54,2010-02-24,00:00:00.00,0.44011,0.131873,0.468
55,2010-02-25,00:00:00.00,0.199774,0.167854,0.455
56,2010-02-26,00:00:00.00,1.43418,0.189396,0.448
57,2010-02-27,00:00:00.00,3.93595,0.168376,0.442
58,2010-02-28,00:00:00.00,4.34349,0.133672,0.438
59,2010-03-01,00:00:00.00,0.114148,0.120544,0.437
60,2010-03-02,00:00:00.00,4.43542e-308,0.127437,0.7
61,2010-03-03,00:00:00.00,0.000289462,0.133802,0.875
62,2010-03-04,00:00:00.00,0.00292991,0.127046,1.2
63,2010-03-05,00:00:00.00,0,0.115658,1.8
64,2010-03-06,00:00:00.00,0,0.109389,2.6
65,2010-03-07,00:00:00.00,0,0.107553,3.5
66,2010-03-08,00:00:00.00,0,0.106938,4.6
67,2010-03-09,00:00:00.00,0,0.106312,6
68,2010-03-10,00:00:00.00,0.0215261,0.180163,8
69,2010-03-11,00:00:00.00,0.0180285,0.533335,9
70,2010-03-12,00:00:00.00,0.0101792,1.2354,9.7
71,2010-03-13,00:00:00.00,1.42021,1.69254,14
72,2010-03-14,00:00:00.00,17.89,1.37166,18.7
73,2010-03-15,00:00:00.00,3.38254,0.829884,36.1
74,2010-03-16,00:00:00.00,0.0387065,0.716529,16.9
75,2010-03-17,00:00:00.00,9.8718e-308,0.806758,9.93
76,2010-03-18,00:00:00.00,0.000143149,0.684606,6.7
77,2010-03-19,00:00:00.00,6.26587e-308,0.431718,5.12
78,2010-03-20,00:00:00.00,0,0.279398,4.02
79,2010-03-21,00:00:00.00,0.0479824,0.237845,3.27
80,2010-03-22,00:00:00.00,0.251929,0.234655,2.73
81,2010-03-23,00:00:00.00,5.04867,0.239754,2.54
82,2010-03-24,00:00:00.00,2.19003,0.264708,2.54
83,2010-03-25,00:00:00.00,0.0208524,0.316896,2.39
84,2010-03-26,00:00:00.00,0.736397,0.357017,2.03
85,2010-03-27,00:00:00.00,0.00419718,0.341069,1.74
86,2010-03-28,00:00:00.00,0.00272449,0.294935,1.48
87,2010-03-29,00:00:00.00,12.2517,0.281979,1.56
88,2010-03-30,00:00:00.00,0.514316,0.356438,2.53
89,2010-03-31,00:00:00.00,2.3976e-308,0.520726,2.61
90,2010-04-01,00:00:00.00,4.00571e-308,0.622552,2.12
