time,date,hour,precip [mm/day],sub681 [m3/s],sub681 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,2.74602,
1,2010-01-02,00:00:00.00,0.320193,2.01783,1.7273
2,2010-01-03,00:00:00.00,0.244218,0.773582,1.4187
3,2010-01-04,00:00:00.00,0.889044,0.212796,1.3762
4,2010-01-05,00:00:00.00,1.60011,0.139868,1.3026
5,2010-01-06,00:00:00.00,0.653907,0.117419,1.2573
6,2010-01-07,00:00:00.00,0.0663672,0.125107,1.1921
7,2010-01-08,00:00:00.00,4.92655,0.127934,1.127
8,2010-01-09,00:00:00.00,2.47154,0.128716,1.0364
9,2010-01-10,00:00:00.00,0.171028,0.128366,1.076
10,2010-01-11,00:00:00.00,0.0125345,0.127785,1.0732
11,2010-01-12,00:00:00.00,2.00246,0.127103,0.9628
12,2010-01-13,00:00:00.00,0.26034,0.126419,0.9628
13,2010-01-14,00:00:00.00,0.0104236,0.125747,1.0052
14,2010-01-15,00:00:00.00,0.05636,0.125077,1.0166
15,2010-01-16,00:00:00.00,0.0969183,0.124387,1.0279
16,2010-01-17,00:00:00.00,0.00516857,0.123656,1.0392
17,2010-01-18,00:00:00.00,0,0.122882,1.0477
18,2010-01-19,00:00:00.00,0.0378706,0.122082,1.0591
19,2010-01-20,00:00:00.00,0.351444,0.121278,1.0704
20,2010-01-21,00:00:00.00,0.0609322,0.120484,1.0647
21,2010-01-22,00:00:00.00,0.001633,0.119707,0.9996
22,2010-01-23,00:00:00.00,0.0259765,0.118949,0.9231
23,2010-01-24,00:00:00.00,0.0574237,0.118207,0.8099
24,2010-01-25,00:00:00.00,5.49161,0.120907,1.0364
25,2010-01-26,00:00:00.00,3.29457,0.144379,3.2564
26,2010-01-27,00:00:00.00,1.03311,0.21717,5.0404
27,2010-01-28,00:00:00.00,0.344532,0.330327,3.6529
28,2010-01-29,00:00:00.00,0.308234,0.40113,2.4466
29,2010-01-30,00:00:00.00,0.00078798,0.362657,1.7471
30,2010-01-31,00:00:00.00,0.0598424,0.260466,1.5319
31,2010-02-01,00:00:00.00,0.279676,0.178628,1.362
32,2010-02-02,00:00:00.00,0.0224489,0.140789,1.1921
33,2010-02-03,00:00:00.00,1.86726,0.127988,1.1298
34,2010-02-04,00:00:00.00,0.482286,0.123575,1.0874
35,2010-02-05,00:00:00.00,0,0.12164,1.0619
36,2010-02-06,00:00:00.00,0,0.12054,1.0534
37,2010-02-07,00:00:00.00,0.0891,0.119672,1.0364
38,2010-02-08,00:00:00.00,0.312588,0.118869,1.0279
39,2010-02-09,00:00:00.00,0,0.118093,0.9798
40,2010-02-10,00:00:00.00,8.46366,0.117347,1.0279
41,2010-02-11,00:00:00.00,6.1695,0.116629,1.0364
42,2010-02-12,00:00:00.00,0.440407,0.115926,1.0364
43,2010-02-13,00:00:00.00,0.18277,0.115226,1.0534
44,2010-02-14,00:00:00.00,0.194728,0.114531,1.0534
45,2010-02-15,00:00:00.00,0.0192032,0.113846,1.0194
46,2010-02-16,00:00:00.00,0.151889,0.113173,1.0534
47,2010-02-17,00:00:00.00,2.38179,0.112503,1.0704
48,2010-02-18,00:00:00.00,0.185844,0.111826,1.0789
49,2010-02-19,00:00:00.00,0.0204763,0.111136,1.0959
50,2010-02-20,00:00:00.00,0,0.110429,1.0789
51,2010-02-21,00:00:00.00,0.00242359,0.109704,1.0959
52,2010-02-22,00:00:00.00,0.0254515,0.108963,1.0959
53,2010-02-23,00:00:00.00,10.7511,0.109289,1.0959
54,2010-02-24,00:00:00.00,0.440227,0.114356,1.0959
55,2010-02-25,00:00:00.00,1.4939,0.127121,1.0789
56,2010-02-26,00:00:00.00,2.41251,0.140001,1.0874
57,2010-02-27,00:00:00.00,6.62248,0.139594,1.0874
58,2010-02-28,00:00:00.00,2.30036,0.126932,1.1044
59,2010-03-01,00:00:00.00,0.11462,0.114502,1.1044
60,2010-03-02,00:00:00.00,0.00318894,0.108054,1.0789
61,2010-03-03,00:00:00.00,0.0413667,0.105548,1.0789
62,2010-03-04,00:00:00.00,0.0495423,0.104363,1.0789
63,2010-03-05,00:00:00.00,0,0.103498,1.0959
64,2010-03-06,00:00:00.00,0,0.102726,1.1213
65,2010-03-07,00:00:00.00,0,0.10198,1.1893
66,2010-03-08,00:00:00.00,0,0.101237,1.4583
67,2010-03-09,00:00:00.00,0.0018749,0.100473,1.7726
68,2010-03-10,00:00:00.00,0.0181287,0.144027,2.9733
