time,date,hour,precip [mm/day],sub683 [m3/s],sub683 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,3.81351,
1,2010-01-02,00:00:00.00,4.8619,4.74016,1.95
2,2010-01-03,00:00:00.00,0.847194,5.26,1.86
3,2010-01-04,00:00:00.00,0.945926,4.20827,1.79
4,2010-01-05,00:00:00.00,0.190817,3.17653,1.72
5,2010-01-06,00:00:00.00,2.53678,2.55324,1.66
6,2010-01-07,00:00:00.00,0.0478634,2.16267,1.6
7,2010-01-08,00:00:00.00,3.78705,1.92322,1.55
8,2010-01-09,00:00:00.00,4.9234,1.76051,1.5
9,2010-01-10,00:00:00.00,0.0102265,1.61809,1.46
10,2010-01-11,00:00:00.00,0.0205032,1.49969,1.42
11,2010-01-12,00:00:00.00,1.15216,1.4028,1.38
12,2010-01-13,00:00:00.00,0.0492422,1.32353,1.35
13,2010-01-14,00:00:00.00,0.00300295,1.25822,1.32
14,2010-01-15,00:00:00.00,0.066205,1.20378,1.29
15,2010-01-16,00:00:00.00,0.157222,1.15783,1.26
16,2010-01-17,00:00:00.00,0.0164859,1.11861,1.24
17,2010-01-18,00:00:00.00,0.00838502,1.08477,1.22
18,2010-01-19,00:00:00.00,0.0477531,1.05527,1.2
19,2010-01-20,00:00:00.00,0.370412,1.02934,1.18
20,2010-01-21,00:00:00.00,0.225892,1.00642,1.17
21,2010-01-22,00:00:00.00,0,0.986001,1.16
22,2010-01-23,00:00:00.00,0.000290867,0.967662,1.15
23,2010-01-24,00:00:00.00,0.00266282,0.951011,1.14
24,2010-01-25,00:00:00.00,8.3836,1.23366,1.28
25,2010-01-26,00:00:00.00,6.83265,3.89716,8.97
26,2010-01-27,00:00:00.00,3.28336,6.30271,9.83
27,2010-01-28,00:00:00.00,1.82275,5.25075,4.45
28,2010-01-29,00:00:00.00,3.15568,3.60003,2.96
29,2010-01-30,00:00:00.00,1.83121,2.75724,2.57
30,2010-01-31,00:00:00.00,0.0383869,2.30856,2.37
31,2010-02-01,00:00:00.00,2.63907,2.03341,2.2
32,2010-02-02,00:00:00.00,0.612645,1.85549,2.04
33,2010-02-03,00:00:00.00,2.66636,1.71514,1.93
34,2010-02-04,00:00:00.00,1.38216,1.59476,1.83
35,2010-02-05,00:00:00.00,0.0339269,1.49472,1.75
36,2010-02-06,00:00:00.00,0,1.4122,1.68
37,2010-02-07,00:00:00.00,0.00105885,1.344,1.61
38,2010-02-08,00:00:00.00,0.000543728,1.28732,1.56
39,2010-02-09,00:00:00.00,0,1.23975,1.51
40,2010-02-10,00:00:00.00,2.14598,1.19936,1.47
41,2010-02-11,00:00:00.00,4.04435,1.1646,1.43
42,2010-02-12,00:00:00.00,0.00193835,1.13436,1.39
43,2010-02-13,00:00:00.00,0.238339,1.10781,1.36
44,2010-02-14,00:00:00.00,0.979686,1.08429,1.33
45,2010-02-15,00:00:00.00,0.971323,1.06325,1.3
46,2010-02-16,00:00:00.00,0.299916,1.04423,1.27
47,2010-02-17,00:00:00.00,0.900009,1.02689,1.24
48,2010-02-18,00:00:00.00,0.311818,1.01097,1.22
49,2010-02-19,00:00:00.00,0.0216432,0.996195,1.2
50,2010-02-20,00:00:00.00,0.00694627,0.982351,1.18
51,2010-02-21,00:00:00.00,0.0068672,0.969317,1.16
52,2010-02-22,00:00:00.00,3.95329e-308,0.956962,1.14
53,2010-02-23,00:00:00.00,16.004,0.994038,1.12
54,2010-02-24,00:00:00.00,0.864966,1.04584,1.11
55,2010-02-25,00:00:00.00,0.0861293,1.03839,1.1
56,2010-02-26,00:00:00.00,1.56083,1.0106,1.09
57,2010-02-27,00:00:00.00,4.63844,0.996952,1.08
58,2010-02-28,00:00:00.00,1.291,0.988557,1.07
59,2010-03-01,00:00:00.00,0.0605585,0.972424,1.06
60,2010-03-02,00:00:00.00,0.000135235,0.954166,1.06
61,2010-03-03,00:00:00.00,0.000233328,0.937836,1.1
62,2010-03-04,00:00:00.00,0.00231504,0.922732,1.18
63,2010-03-05,00:00:00.00,6.13523e-308,0.908609,1.3
64,2010-03-06,00:00:00.00,2.35586e-308,0.895331,1.42
65,2010-03-07,00:00:00.00,0,0.882766,1.53
66,2010-03-08,00:00:00.00,0,0.870759,1.82
67,2010-03-09,00:00:00.00,0,0.859137,2.54
68,2010-03-10,00:00:00.00,0.00897372,6.66343,4.82
69,2010-03-11,00:00:00.00,0.0344018,12.7149,8.19
70,2010-03-12,00:00:00.00,0.0024457,9.84389,12.5
71,2010-03-13,00:00:00.00,1.58147,5.47965,15.7
72,2010-03-14,00:00:00.00,18.9861,6.38299,16.7
73,2010-03-15,00:00:00.00,5.1119,8.6705,31.6
74,2010-03-16,00:00:00.00,0.20646,7.19637,27.9
75,2010-03-17,00:00:00.00,9.7724e-308,4.76381,15.1
76,2010-03-18,00:00:00.00,9.269e-308,3.50322,9.95
77,2010-03-19,00:00:00.00,0,2.82023,7.64
78,2010-03-20,00:00:00.00,4.88534e-308,2.40926,6.03
