time,date,hour,precip [mm/day],sub719 [m3/s],sub719 (observed) [m3/s],sub720 [m3/s]
0,2010-01-01,00:00:00.00,---,44.2628,,4.48883
1,2010-01-02,00:00:00.00,0.982727,30.718,25.202,2.62111
2,2010-01-03,00:00:00.00,0.827042,9.79405,22.7101,0.542575
3,2010-01-04,00:00:00.00,2.15267,4.19027,18.859,0.463213
4,2010-01-05,00:00:00.00,2.78289,5.18811,18.9723,0.513293
5,2010-01-06,00:00:00.00,2.20271,5.14526,20.3881,0.521959
6,2010-01-07,00:00:00.00,2.02598,5.41318,19.7085,0.555804
7,2010-01-08,00:00:00.00,3.51509,5.56453,18.6891,0.570747
8,2010-01-09,00:00:00.00,4.41968,5.87317,19.1422,0.603533
9,2010-01-10,00:00:00.00,0.408404,6.04329,18.859,0.621855
10,2010-01-11,00:00:00.00,0.353491,6.36212,17.3582,0.652851
11,2010-01-12,00:00:00.00,2.25263,6.54325,17.9246,0.672558
12,2010-01-13,00:00:00.00,0.91407,6.8375,18.4343,0.700696
13,2010-01-14,00:00:00.00,0.0535422,7.01822,17.7547,0.720213
14,2010-01-15,00:00:00.00,0.00769279,7.28221,18.944,0.746236
15,2010-01-16,00:00:00.00,0.152421,7.45933,22.2004,0.764815
16,2010-01-17,00:00:00.00,0.0407234,11.6885,26.5612,1.31696
17,2010-01-18,00:00:00.00,0.562771,18.5355,35.6792,2.03143
18,2010-01-19,00:00:00.00,0.0780097,19.6476,36.2456,1.99322
19,2010-01-20,00:00:00.00,0.204327,17.617,31.998,1.76567
20,2010-01-21,00:00:00.00,0.10387,17.2083,30.299,1.74699
21,2010-01-22,00:00:00.00,0.103907,17.0752,26.9576,1.73114
22,2010-01-23,00:00:00.00,1.85532,17.205,25.7683,1.7535
23,2010-01-24,00:00:00.00,0.0575318,18.1939,27.7222,1.87664
24,2010-01-25,00:00:00.00,14.977,28.8408,73.6238,3.24519
25,2010-01-26,00:00:00.00,8.82343,45.5987,125.727,4.99302
26,2010-01-27,00:00:00.00,7.18566,48.3947,76.7387,4.90662
27,2010-01-28,00:00:00.00,1.56058,41.8401,52.103,4.13752
28,2010-01-29,00:00:00.00,1.93914,37.8314,43.6079,3.76818
29,2010-01-30,00:00:00.00,0.155296,34.9937,38.5109,3.48458
30,2010-01-31,00:00:00.00,0.0217045,32.6563,31.998,3.25752
31,2010-02-01,00:00:00.00,0.0327971,30.6883,27.6372,3.06525
32,2010-02-02,00:00:00.00,0.0829971,29.0407,24.8905,2.90652
33,2010-02-03,00:00:00.00,0.225318,27.6315,21.3792,2.76882
34,2010-02-04,00:00:00.00,1.50848,26.4184,20.0483,2.65275
35,2010-02-05,00:00:00.00,0.0355532,25.3842,18.7741,2.55135
36,2010-02-06,00:00:00.00,2.44351,24.5755,20.0766,2.47768
37,2010-02-07,00:00:00.00,2.86966,23.8995,19.7085,2.40961
38,2010-02-08,00:00:00.00,0.269412,23.1749,19.5103,2.33706
39,2010-02-09,00:00:00.00,0.0216082,22.5413,18.3776,2.27369
40,2010-02-10,00:00:00.00,9.75364,22.0813,17.5564,2.23268
41,2010-02-11,00:00:00.00,8.0077,21.6871,19.5386,2.19207
42,2010-02-12,00:00:00.00,1.8405,21.1746,18.406,2.13892
43,2010-02-13,00:00:00.00,0.909948,20.7185,18.4343,2.09405
44,2010-02-14,00:00:00.00,1.846,20.3164,18.6891,2.05436
45,2010-02-15,00:00:00.00,0.916952,19.9394,18.406,2.01657
46,2010-02-16,00:00:00.00,2.50295,19.5911,17.2733,1.98234
47,2010-02-17,00:00:00.00,5.05775,19.2696,19.1139,1.95026
48,2010-02-18,00:00:00.00,1.26673,18.9636,18.8307,1.91984
49,2010-02-19,00:00:00.00,0.360147,18.6701,20.02,1.89054
50,2010-02-20,00:00:00.00,0.0441077,18.3996,21.6624,1.8643
51,2010-02-21,00:00:00.00,0.00174736,18.1525,22.9366,1.83978
52,2010-02-22,00:00:00.00,0.0697058,17.9056,23.7012,1.81478
53,2010-02-23,00:00:00.00,6.60401,26.7124,35.3961,2.98707
54,2010-02-24,00:00:00.00,0.338515,35.6066,56.9169,3.75153
55,2010-02-25,00:00:00.00,1.90359,31.6255,41.9089,3.10295
56,2010-02-26,00:00:00.00,2.09156,28.6257,31.4317,2.89478
57,2010-02-27,00:00:00.00,7.99601,27.6707,34.8297,2.76663
58,2010-02-28,00:00:00.00,3.74844,26.2207,33.4139,2.64639
59,2010-03-01,00:00:00.00,1.35283,25.4888,33.1307,2.55863
60,2010-03-02,00:00:00.00,0.356966,24.2774,32.5644,2.44759
61,2010-03-03,00:00:00.00,0.109022,23.5518,30.5822,2.36975
62,2010-03-04,00:00:00.00,0.137763,22.6783,28.8832,2.28902
63,2010-03-05,00:00:00.00,0.00725296,22.0801,31.1485,2.2263
64,2010-03-06,00:00:00.00,0.00146313,21.3993,29.4495,2.16098
65,2010-03-07,00:00:00.00,0.0136045,20.8829,30.8654,2.10918
66,2010-03-08,00:00:00.00,0.00157086,20.3205,32.5644,2.05271
67,2010-03-09,00:00:00.00,2.1377e-308,37.6947,41.6258,4.36723
68,2010-03-10,00:00:00.00,0.0116883,99.944,58.3327,11.693
