DATE	cout
UNITS	m3/s
2010-01-01	4.255
2010-01-02	4.172
2010-01-03	4.075
2010-01-04	3.965
2010-01-05	3.845
2010-01-06	3.718
2010-01-07	3.587
2010-01-08	3.453
2010-01-09	3.318
2010-01-10	3.183
2010-01-11	3.049
2010-01-12	2.916
2010-01-13	2.787
2010-01-14	2.662
2010-01-15	2.547
2010-01-16	2.442
2010-01-17	2.345
2010-01-18	2.259
2010-01-19	2.18
2010-01-20	2.105
2010-01-21	2.03
2010-01-22	1.957
2010-01-23	1.889
2010-01-24	1.908
2010-01-25	3.153
2010-01-26	5.639
2010-01-27	7.795
2010-01-28	8.905
2010-01-29	9.232
2010-01-30	9.14
2010-01-31	8.858
2010-02-01	8.5
2010-02-02	8.116
2010-02-03	7.729
2010-02-04	7.349
2010-02-05	6.981
2010-02-06	6.628
2010-02-07	6.289
2010-02-08	5.964
2010-02-09	5.653
2010-02-10	5.356
2010-02-11	5.073
2010-02-12	4.803
2010-02-13	4.546
2010-02-14	4.302
2010-02-15	4.069
2010-02-16	3.849
2010-02-17	3.642
2010-02-18	3.45
2010-02-19	3.277
2010-02-20	3.126
2010-02-21	3.004
2010-02-22	2.91
2010-02-23	2.835
2010-02-24	2.776
2010-02-25	2.725
2010-02-26	2.683
2010-02-27	2.661
2010-02-28	2.664
2010-03-01	2.691
2010-03-02	2.736
2010-03-03	2.797
2010-03-04	2.87
2010-03-05	2.951
2010-03-06	3.043
2010-03-07	3.148
2010-03-08	3.47
2010-03-09	5.434
2010-03-10	10.572
2010-03-11	18.113
2010-03-12	25.805
2010-03-13	32.17
2010-03-14	36.935
2010-03-15	39.853
2010-03-16	40.86
2010-03-17	40.414
2010-03-18	38.916
2010-03-19	36.735
2010-03-20	34.245
2010-03-21	31.692
2010-03-22	29.241
2010-03-23	26.96
2010-03-24	24.86
2010-03-25	22.935
2010-03-26	21.174
2010-03-27	19.563
2010-03-28	18.109
2010-03-29	16.868
2010-03-30	15.804
2010-03-31	14.839
2010-04-01	13.948
2010-04-02	13.118
2010-04-03	12.337
2010-04-04	11.602
2010-04-05	10.909
2010-04-06	10.339
2010-04-07	9.862
2010-04-08	10.199
2010-04-09	11.216
2010-04-10	11.928
2010-04-11	12.081
2010-04-12	11.874
2010-04-13	11.49
2010-04-14	11.031
2010-04-15	10.548
2010-04-16	10.062
2010-04-17	9.584
2010-04-18	9.119
2010-04-19	8.67
2010-04-20	8.237
2010-04-21	7.821
2010-04-22	7.422
2010-04-23	7.041
2010-04-24	6.677
2010-04-25	6.358
2010-04-26	6.084
2010-04-27	5.821
2010-04-28	5.561
2010-04-29	5.306
2010-04-30	5.056
2010-05-01	4.815
2010-05-02	4.582
2010-05-03	4.381
2010-05-04	4.217
2010-05-05	4.088
2010-05-06	3.985
2010-05-07	3.987
2010-05-08	5.021
2010-05-09	6.993
2010-05-10	8.559
2010-05-11	9.299
2010-05-12	9.463
2010-05-13	9.784
2010-05-14	10.326
2010-05-15	10.561
2010-05-16	10.449
2010-05-17	10.126
2010-05-18	9.708
2010-05-19	9.256
2010-05-20	8.801
2010-05-21	8.354
2010-05-22	7.922
2010-05-23	7.508
2010-05-24	7.111
2010-05-25	6.732
2010-05-26	6.371
2010-05-27	6.028
2010-05-28	5.702
2010-05-29	5.392
2010-05-30	5.098
2010-05-31	4.819
2010-06-01	4.555
2010-06-02	4.373
2010-06-03	4.311
2010-06-04	4.276
2010-06-05	4.258
2010-06-06	4.782
2010-06-07	5.739
2010-06-08	6.527
2010-06-09	7.299
2010-06-10	8.185
2010-06-11	8.814
2010-06-12	9.027
2010-06-13	8.947
2010-06-14	8.713
2010-06-15	8.407
2010-06-16	8.079
2010-06-17	7.745
2010-06-18	7.41
2010-06-19	7.078
2010-06-20	6.752
2010-06-21	6.434
2010-06-22	6.136
2010-06-23	5.859
2010-06-24	5.596
2010-06-25	5.343
2010-06-26	5.098
2010-06-27	4.86
2010-06-28	5.124
2010-06-29	6.009
2010-06-30	6.843
2010-07-01	7.266
2010-07-02	7.35
2010-07-03	7.242
2010-07-04	7.039
2010-07-05	6.794
2010-07-06	6.531
2010-07-07	6.261
2010-07-08	5.991
2010-07-09	5.818
2010-07-10	5.756
2010-07-11	5.7
2010-07-12	5.775
2010-07-13	5.967
2010-07-14	6.095
2010-07-15	6.109
2010-07-16	6.378
2010-07-17	6.99
2010-07-18	7.459
2010-07-19	7.607
2010-07-20	7.524
2010-07-21	7.319
2010-07-22	7.059
2010-07-23	7.273
2010-07-24	8.613
2010-07-25	10.234
2010-07-26	11.055
2010-07-27	11.139
2010-07-28	10.816
2010-07-29	10.316
2010-07-30	9.758
2010-07-31	9.196
2010-08-01	8.652
2010-08-02	8.135
2010-08-03	7.646
2010-08-04	7.186
2010-08-05	6.754
2010-08-06	6.348
2010-08-07	5.966
2010-08-08	5.609
2010-08-09	5.273
2010-08-10	4.958
2010-08-11	4.662
2010-08-12	4.385
2010-08-13	4.124
2010-08-14	3.88
2010-08-15	3.651
2010-08-16	3.436
2010-08-17	3.234
