DATE	cout
UNITS	m3/s
2010-01-01	9.624
2010-01-02	6.427
2010-01-03	4.939
2010-01-04	4.201
2010-01-05	3.777
2010-01-06	3.542
2010-01-07	3.367
2010-01-08	3.18
2010-01-09	2.996
2010-01-10	2.83
2010-01-11	2.68
2010-01-12	2.54
2010-01-13	2.411
2010-01-14	2.353
2010-01-15	4.629
2010-01-16	5.033
2010-01-17	4.497
2010-01-18	4.102
2010-01-19	3.689
2010-01-20	3.318
2010-01-21	3.01
2010-01-22	2.909
2010-01-23	2.911
2010-01-24	21.927
2010-01-25	58.402
2010-01-26	65.569
2010-01-27	47.695
2010-01-28	27.471
2010-01-29	14.904
2010-01-30	8.821
2010-01-31	6.042
2010-02-01	4.738
2010-02-02	4.061
2010-02-03	3.683
2010-02-04	3.449
2010-02-05	3.302
2010-02-06	3.144
2010-02-07	2.976
2010-02-08	2.822
2010-02-09	2.679
2010-02-10	2.626
2010-02-11	2.547
2010-02-12	2.412
2010-02-13	2.278
2010-02-14	2.178
2010-02-15	2.109
2010-02-16	2.036
2010-02-17	2.006
2010-02-18	2.055
2010-02-19	2.158
2010-02-20	2.235
2010-02-21	3.39
2010-02-22	3.734
2010-02-23	3.6
2010-02-24	3.51
2010-02-25	3.159
2010-02-26	2.984
2010-02-27	3.585
2010-02-28	4.337
2010-03-01	4.581
2010-03-02	4.509
2010-03-03	4.66
2010-03-04	4.802
2010-03-05	4.968
2010-03-06	5.457
2010-03-07	12.402
2010-03-08	32.75
2010-03-09	69.475
2010-03-10	85.699
2010-03-11	74.487
2010-03-12	54.47
2010-03-13	42.973
2010-03-14	38.411
2010-03-15	28.087
2010-03-16	17.301
2010-03-17	10.506
2010-03-18	7.014
2010-03-19	5.311
2010-03-20	4.431
2010-03-21	3.928
2010-03-22	5.001
2010-03-23	4.755
2010-03-24	3.942
2010-03-25	3.452
2010-03-26	3.154
2010-03-27	2.941
2010-03-28	5.377
2010-03-29	6.438
2010-03-30	5.171
2010-03-31	3.946
2010-04-01	3.307
2010-04-02	2.957
2010-04-03	2.732
2010-04-04	2.559
2010-04-05	2.945
2010-04-06	13.623
2010-04-07	21.063
2010-04-08	39.007
2010-04-09	42.017
2010-04-10	27.644
2010-04-11	15.338
2010-04-12	9.042
2010-04-13	6.738
2010-04-14	5.403
2010-04-15	4.435
2010-04-16	3.881
2010-04-17	4.23
2010-04-18	4.458
2010-04-19	3.893
2010-04-20	3.37
2010-04-21	3.058
2010-04-22	2.846
2010-04-23	2.679
2010-04-24	2.534
2010-04-25	9.353
2010-04-26	9.029
2010-04-27	5.864
2010-04-28	4.227
2010-04-29	3.465
2010-04-30	3.064
2010-05-01	4.051
2010-05-02	5.279
2010-05-03	8.562
2010-05-04	7.622
2010-05-05	8.567
2010-05-06	7.627
2010-05-07	8.692
2010-05-08	16.074
2010-05-09	16.13
2010-05-10	11.289
2010-05-11	21.147
2010-05-12	23.776
2010-05-13	31.412
2010-05-14	39.156
2010-05-15	31.434
2010-05-16	18.446
2010-05-17	10.394
2010-05-18	7.57
2010-05-19	5.88
2010-05-20	4.698
2010-05-21	4.052
2010-05-22	7.227
2010-05-23	6.936
2010-05-24	5.159
2010-05-25	4.182
2010-05-26	3.671
2010-05-27	3.36
2010-05-28	3.136
2010-05-29	2.954
2010-05-30	2.795
2010-05-31	3.167
2010-06-01	8.737
2010-06-02	14.218
2010-06-03	17.691
2010-06-04	15.101
2010-06-05	12.98
2010-06-06	33.879
2010-06-07	41.799
2010-06-08	28.476
2010-06-09	19.231
2010-06-10	13.763
2010-06-11	9.227
2010-06-12	6.453
2010-06-13	5.021
2010-06-14	4.27
2010-06-15	3.827
2010-06-16	4.166
2010-06-17	4.135
2010-06-18	3.679
2010-06-19	3.279
2010-06-20	3.012
2010-06-21	2.816
2010-06-22	3.821
2010-06-23	3.703
2010-06-24	3.837
2010-06-25	3.494
2010-06-26	2.915
2010-06-27	3.896
2010-06-28	4.285
2010-06-29	3.548
2010-06-30	2.856
2010-07-01	2.483
2010-07-02	2.266
2010-07-03	2.115
2010-07-04	1.994
2010-07-05	1.889
2010-07-06	1.793
2010-07-07	1.703
2010-07-08	1.637
2010-07-09	6.185
2010-07-10	5.857
2010-07-11	3.961
2010-07-12	10.229
2010-07-13	9.728
2010-07-14	6.021
2010-07-15	4.673
2010-07-16	14.417
2010-07-17	16.832
