DATE	cout
UNITS	m3/s
2010-01-01	11.127
2010-01-02	10.476
2010-01-03	9.989
2010-01-04	9.579
2010-01-05	9.194
2010-01-06	8.823
2010-01-07	8.482
2010-01-08	8.173
2010-01-09	7.84
2010-01-10	7.506
2010-01-11	7.197
2010-01-12	6.89
2010-01-13	6.588
2010-01-14	6.328
2010-01-15	6.501
2010-01-16	6.646
2010-01-17	6.582
2010-01-18	6.414
2010-01-19	6.21
2010-01-20	5.983
2010-01-21	5.745
2010-01-22	5.537
2010-01-23	5.355
2010-01-24	22.772
2010-01-25	37.808
2010-01-26	29.482
2010-01-27	18.812
2010-01-28	13.781
2010-01-29	11.574
2010-01-30	10.469
2010-01-31	9.793
2010-02-01	9.291
2010-02-02	8.878
2010-02-03	8.507
2010-02-04	8.15
2010-02-05	7.819
2010-02-06	7.496
2010-02-07	7.18
2010-02-08	6.868
2010-02-09	6.615
2010-02-10	6.468
2010-02-11	6.23
2010-02-12	5.944
2010-02-13	5.666
2010-02-14	5.404
2010-02-15	5.158
2010-02-16	4.939
2010-02-17	4.734
2010-02-18	4.562
2010-02-19	4.417
2010-02-20	4.286
2010-02-21	4.522
2010-02-22	7.628
2010-02-23	7.828
2010-02-24	6.33
2010-02-25	5.406
2010-02-26	4.924
2010-02-27	5.114
2010-02-28	5.141
2010-03-01	4.93
2010-03-02	4.75
2010-03-03	4.61
2010-03-04	4.497
2010-03-05	4.408
2010-03-06	4.493
2010-03-07	7.746
2010-03-08	37.315
2010-03-09	80.734
2010-03-10	78.713
2010-03-11	53.609
2010-03-12	35.291
2010-03-13	27.199
2010-03-14	24.18
2010-03-15	22.709
2010-03-16	21.63
2010-03-17	20.682
2010-03-18	19.79
2010-03-19	18.93
2010-03-20	18.114
2010-03-21	17.325
2010-03-22	16.563
2010-03-23	15.811
2010-03-24	15.07
2010-03-25	14.362
2010-03-26	13.686
2010-03-27	13.032
2010-03-28	12.894
2010-03-29	12.737
2010-03-30	12.366
2010-03-31	11.875
2010-04-01	11.343
2010-04-02	10.806
2010-04-03	10.293
2010-04-04	9.797
2010-04-05	9.347
2010-04-06	25.711
2010-04-07	27.199
2010-04-08	20.694
2010-04-09	16.995
2010-04-10	15.089
2010-04-11	13.947
2010-04-12	13.115
2010-04-13	12.453
2010-04-14	11.835
2010-04-15	11.238
2010-04-16	10.675
2010-04-17	10.158
2010-04-18	9.667
2010-04-19	9.193
2010-04-20	8.739
2010-04-21	8.303
2010-04-22	7.886
2010-04-23	7.49
2010-04-24	7.119
2010-04-25	7.181
2010-04-26	7.113
2010-04-27	6.878
2010-04-28	6.578
2010-04-29	6.266
2010-04-30	5.944
2010-05-01	5.674
2010-05-02	7.487
2010-05-03	12.102
2010-05-04	11.907
2010-05-05	10.214
2010-05-06	9.214
2010-05-07	26.453
2010-05-08	27.351
2010-05-09	20.137
2010-05-10	16.023
2010-05-11	53.131
2010-05-12	50.453
2010-05-13	37.037
2010-05-14	28.857
2010-05-15	23.458
2010-05-16	20.55
2010-05-17	18.852
2010-05-18	17.719
2010-05-19	16.758
2010-05-20	15.887
2010-05-21	15.093
2010-05-22	14.473
2010-05-23	13.797
2010-05-24	13.119
2010-05-25	12.464
2010-05-26	11.836
2010-05-27	11.245
2010-05-28	10.672
2010-05-29	10.124
2010-05-30	9.594
2010-05-31	9.18
2010-06-01	8.738
2010-06-02	8.897
2010-06-03	9.017
2010-06-04	8.871
2010-06-05	8.607
2010-06-06	75.016
2010-06-07	72.452
2010-06-08	42.084
2010-06-09	26.379
2010-06-10	19.534
2010-06-11	16.28
2010-06-12	14.499
2010-06-13	13.337
2010-06-14	12.472
2010-06-15	11.744
2010-06-16	11.132
2010-06-17	10.531
2010-06-18	9.95
2010-06-19	9.437
2010-06-20	8.932
2010-06-21	8.448
2010-06-22	8.096
2010-06-23	7.689
2010-06-24	7.296
2010-06-25	6.899
2010-06-26	6.519
2010-06-27	6.171
2010-06-28	5.867
2010-06-29	5.553
2010-06-30	5.255
2010-07-01	4.969
2010-07-02	4.697
2010-07-03	4.437
2010-07-04	4.185
2010-07-05	3.948
2010-07-06	3.727
2010-07-07	3.522
2010-07-08	3.378
2010-07-09	3.219
2010-07-10	3.047
2010-07-11	2.925
2010-07-12	2.843
2010-07-13	2.704
2010-07-14	2.552
2010-07-15	2.436
2010-07-16	5.505
2010-07-17	6.701
2010-07-18	5.911
2010-07-19	5.218
2010-07-20	4.821
2010-07-21	4.526
2010-07-22	4.285
2010-07-23	4.501
2010-07-24	4.553
2010-07-25	4.305
2010-07-26	4.061
2010-07-27	3.848
2010-07-28	3.807
2010-07-29	3.713
2010-07-30	3.572
2010-07-31	3.417
2010-08-01	3.259
2010-08-02	3.106
2010-08-03	2.956
2010-08-04	2.814
2010-08-05	2.68
2010-08-06	2.55
2010-08-07	2.424
2010-08-08	2.301
2010-08-09	2.191
2010-08-10	2.081
2010-08-11	1.975
2010-08-12	1.902
2010-08-13	1.809
2010-08-14	1.711
2010-08-15	1.623
2010-08-16	1.538
2010-08-17	1.456
2010-08-18	1.381
2010-08-19	1.309
2010-08-20	1.246
2010-08-21	1.188
2010-08-22	1.13
2010-08-23	1.071
2010-08-24	1.012
2010-08-25	0.958
2010-08-26	0.906
2010-08-27	0.856
2010-08-28	0.808
2010-08-29	0.759
2010-08-30	0.715
2010-08-31	0.674
2010-09-01	0.636
2010-09-02	0.613
2010-09-03	0.589
2010-09-04	0.564
2010-09-05	0.535
2010-09-06	0.508
2010-09-07	0.48
2010-09-08	0.454
2010-09-09	0.429
2010-09-10	0.406
2010-09-11	0.405
2010-09-12	0.394
2010-09-13	0.375
2010-09-14	0.354
2010-09-15	0.334
2010-09-16	0.363
2010-09-17	0.357
2010-09-18	0.349
2010-09-19	0.333
2010-09-20	0.315
2010-09-21	0.295
2010-09-22	0.285
2010-09-23	0.268
2010-09-24	0.252
2010-09-25	0.238
2010-09-26	0.225
2010-09-27	0.216
2010-09-28	27.588
2010-09-29	26.957
2010-09-30	15.078
2010-10-01	9.005
2010-10-02	15.372
2010-10-03	14.85
2010-10-04	10.931
2010-10-05	8.813
2010-10-06	7.787
2010-10-07	7.214
2010-10-08	6.822
2010-10-09	6.509
2010-10-10	6.229
2010-10-11	5.97
2010-10-12	5.725
2010-10-13	5.521
2010-10-14	5.961
2010-10-15	6.319
2010-10-16	6.347
2010-10-17	6.21
2010-10-18	6.012
2010-10-19	5.791
2010-10-20	5.564
2010-10-21	6.356
2010-10-22	6.955
2010-10-23	7.066
2010-10-24	6.965
2010-10-25	6.802
2010-10-26	6.982
2010-10-27	7.101
2010-10-28	7.02
2010-10-29	6.838
2010-10-30	6.615
2010-10-31	6.379
2010-11-01	6.14
2010-11-02	5.904
2010-11-03	5.674
2010-11-04	5.457
2010-11-05	5.25
2010-11-06	5.043
2010-11-07	4.836
2010-11-08	4.633
2010-11-09	4.436
2010-11-10	4.247
2010-11-11	4.065
2010-11-12	3.889
2010-11-13	3.719
2010-11-14	3.627
2010-11-15	3.528
2010-11-16	3.403
2010-11-17	18.863
2010-11-18	18.464
2010-11-19	11.768
2010-11-20	8.303
2010-11-21	6.77
2010-11-22	7.183
2010-11-23	8.81
2010-11-24	9.123
2010-11-25	19.262
2010-11-26	19.55
2010-11-27	14.924
2010-11-28	12.157
2010-11-29	11.157
2010-11-30	33.106
2010-12-01	33.692
2010-12-02	23.939
2010-12-03	18.475
2010-12-04	15.85
2010-12-05	14.437
2010-12-06	13.517
2010-12-07	12.807
2010-12-08	12.199
2010-12-09	11.639
2010-12-10	11.141
2010-12-11	10.684
2010-12-12	26.57
2010-12-13	26.727
2010-12-14	19.348
2010-12-15	15.146
2010-12-16	13.058
2010-12-17	11.882
2010-12-18	11.096
2010-12-19	10.489
2010-12-20	9.962
2010-12-21	9.483
2010-12-22	9.046
2010-12-23	8.627
2010-12-24	8.225
2010-12-25	7.842
2010-12-26	7.484
2010-12-27	7.135
2010-12-28	6.799
2010-12-29	6.478
2010-12-30	6.21
2010-12-31	36.954
2011-01-01	71.085
2011-01-02	55.078
2011-01-03	31.906
2011-01-04	20.856
2011-01-05	16.094
2011-01-06	13.849
2011-01-07	12.589
2011-01-08	11.732
2011-01-09	11.055
2011-01-10	10.465
2011-01-11	9.985
2011-01-12	9.555
2011-01-13	9.092
2011-01-14	8.647
2011-01-15	8.252
2011-01-16	7.85
2011-01-17	7.463
2011-01-18	18.199
2011-01-19	18.193
2011-01-20	12.602
2011-01-21	9.369
2011-01-22	7.779
2011-01-23	6.914
2011-01-24	6.374
2011-01-25	5.978
2011-01-26	5.657
2011-01-27	5.391
2011-01-28	5.139
2011-01-29	4.94
2011-01-30	4.712
2011-01-31	4.482
2011-02-01	4.268
2011-02-02	4.202
2011-02-03	4.026
2011-02-04	3.83
2011-02-05	3.652
2011-02-06	3.48
2011-02-07	3.961
2011-02-08	3.846
2011-02-09	3.38
2011-02-10	3.055
2011-02-11	2.837
2011-02-12	2.679
2011-02-13	8.854
2011-02-14	11.955
