,date,prediction,actual,station
0,2010-01-11,5.8971624,16.0,02GA010
1,2010-01-12,5.715803,15.0,02GA010
2,2010-01-13,5.70392,14.0,02GA010
3,2010-01-14,5.9890122,13.0,02GA010
4,2010-01-15,6.245956,12.0,02GA010
5,2010-01-16,6.0423512,11.5,02GA010
6,2010-01-17,5.2900486,11.0,02GA010
7,2010-01-18,5.0641336,10.5,02GA010
8,2010-01-19,5.3022666,9.80000019,02GA010
9,2010-01-20,6.0208173,9.30000019,02GA010
10,2010-01-21,5.9034734,8.89999962,02GA010
11,2010-01-22,6.1249337,8.5,02GA010
12,2010-01-23,5.726015,8.10000038,02GA010
13,2010-01-24,7.330532,7.69999981,02GA010
14,2010-01-25,16.201849,11.0,02GA010
15,2010-01-26,19.362566,18.0,02GA010
16,2010-01-27,19.76138,36.0,02GA010
17,2010-01-28,18.198027,25.0,02GA010
18,2010-01-29,15.678811,17.0,02GA010
19,2010-01-30,11.137091,14.5,02GA010
20,2010-01-31,10.367352,13.0,02GA010
21,2010-02-01,8.1677265,11.5,02GA010
22,2010-02-02,6.6775646,10.0,02GA010
23,2010-02-03,5.941119,8.69999981,02GA010
24,2010-02-04,6.8718343,8.0,02GA010
25,2010-02-05,7.3543367,7.19999981,02GA010
26,2010-02-06,6.2776756,6.5,02GA010
27,2010-02-07,6.0395136,6.0,02GA010
28,2010-02-08,6.018432,5.5,02GA010
29,2010-02-09,6.2360473,5.19999981,02GA010
30,2010-02-10,6.307258,4.9000001,02GA010
31,2010-02-11,6.3446426,4.69999981,02GA010
32,2010-02-12,6.3544664,4.5,02GA010
33,2010-02-13,5.905724,4.30000019,02GA010
34,2010-02-14,5.7747135,4.1500001,02GA010
35,2010-02-15,6.870026,4.01000023,02GA010
36,2010-02-16,5.8538194,3.95000005,02GA010
37,2010-02-17,5.637084,3.9000001,02GA010
38,2010-02-18,5.5947366,3.8499999,02GA010
39,2010-02-19,5.6835017,3.79999995,02GA010
40,2010-02-20,5.3618617,3.75,02GA010
41,2010-02-21,5.684135,3.73000002,02GA010
42,2010-02-22,4.9845557,3.70000005,02GA010
43,2010-02-23,5.0292015,3.67000008,02GA010
44,2010-02-24,5.26525,3.6400001,02GA010
45,2010-02-25,5.2479615,3.6099999,02GA010
46,2010-02-26,6.501086,3.57999992,02GA010
47,2010-02-27,5.872611,3.54999995,02GA010
48,2010-02-28,6.1048656,3.51999998,02GA010
49,2010-03-01,6.1256137,3.5,02GA010
50,2010-03-02,6.796711,3.48000002,02GA010
51,2010-03-03,6.405496,3.46000004,02GA010
52,2010-03-04,5.459194,3.44000006,02GA010
53,2010-03-05,6.1565814,3.42000008,02GA010
54,2010-03-06,7.341404,3.4000001,02GA010
55,2010-03-07,6.33933,3.38000011,02GA010
56,2010-03-08,8.383469,3.3599999,02GA010
57,2010-03-09,15.354813,5.0,02GA010
58,2010-03-10,14.117571,8.0,02GA010
59,2010-03-11,21.727303,13.0,02GA010
60,2010-03-12,17.055618,22.0,02GA010
61,2010-03-13,54.914642,54.0,02GA010
62,2010-03-14,99.31614,110.0,02GA010
63,2010-03-15,108.629814,161.0,02GA010
64,2010-03-16,63.602867,69.09999847,02GA010
65,2010-03-17,29.351433,41.5,02GA010
66,2010-03-18,21.809774,31.10000038,02GA010
67,2010-03-19,19.964651,25.5,02GA010
68,2010-03-20,19.342056,21.60000038,02GA010
69,2010-03-21,15.215895,18.0,02GA010
70,2010-03-22,14.350634,15.10000038,02GA010
71,2010-03-23,19.887838,14.10000038,02GA010
72,2010-03-24,19.178312,12.80000019,02GA010
73,2010-03-25,11.71334,11.60000038,02GA010
74,2010-03-26,8.147387,10.19999981,02GA010
75,2010-03-27,7.350164,9.15999985,02GA010
76,2010-03-28,6.7821283,8.34000015,02GA010
77,2010-03-29,10.068955,8.97999954,02GA010
78,2010-03-30,11.413667,9.19999981,02GA010
79,2010-03-31,8.13568,8.80000019,02GA010
80,2010-04-01,6.3101864,8.06999969,02GA010
81,2010-04-02,5.3278704,7.78999996,02GA010
82,2010-04-03,4.9897866,7.17000008,02GA010
83,2010-04-04,7.54161,6.69999981,02GA010
84,2010-04-05,6.9328184,6.23000002,02GA010
85,2010-04-06,13.861502,7.98000002,02GA010
86,2010-04-07,13.618251,11.39999962,02GA010
87,2010-04-08,28.533361,24.10000038,02GA010
88,2010-04-09,48.308113,48.79999924,02GA010
89,2010-04-10,30.739342,37.90000153,02GA010
90,2010-04-11,14.950661,23.70000076,02GA010
91,2010-04-12,12.376877,17.70000076,02GA010
92,2010-04-13,12.178914,14.0,02GA010
93,2010-04-14,12.222815,11.39999962,02GA010
94,2010-04-15,9.97594,9.89000034,02GA010
95,2010-04-16,7.807752,8.72000027,02GA010
96,2010-04-17,7.191592,7.94000006,02GA010
97,2010-04-18,6.8079576,7.28000021,02GA010
98,2010-04-19,6.886104,6.67999983,02GA010
99,2010-04-20,5.687862,6.23000002,02GA010
100,2010-04-21,5.523529,5.80999994,02GA010
101,2010-04-22,5.6504188,5.23000002,02GA010
