,date,prediction,actual,station
0,2010-01-09,2.9891386,3.76614046,04200500
1,2010-01-10,3.1910133,4.1342597,04200500
2,2010-01-11,2.8309672,4.98376513,04200500
3,2010-01-12,2.9238534,4.36079407,04200500
4,2010-01-13,2.977767,3.90772486,04200500
5,2010-01-14,3.2457933,3.45465517,04200500
6,2010-01-15,4.117,3.85109115,04200500
7,2010-01-16,15.509827,6.6827755,04200500
8,2010-01-17,19.37222,16.96179008,04200500
9,2010-01-18,23.34666,27.89209366,04200500
10,2010-01-19,17.716364,22.62516022,04200500
11,2010-01-20,11.80564,14.781394,04200500
12,2010-01-21,8.000173,10.19406414,04200500
13,2010-01-22,9.733021,8.46673679,04200500
14,2010-01-23,11.691294,13.0540657,04200500
15,2010-01-24,45.640823,37.66140366,04200500
16,2010-01-25,95.13838,91.18024445,04200500
17,2010-01-26,52.637917,65.69508362,04200500
18,2010-01-27,20.25736,21.97387314,04200500
19,2010-01-28,13.218174,11.24178791,04200500
20,2010-01-29,9.014985,6.20138931,04200500
21,2010-01-30,5.881033,5.26693344,04200500
22,2010-01-31,5.6720767,4.04930878,04200500
23,2010-02-01,7.038793,3.59623957,04200500
24,2010-02-02,4.214936,3.65287304,04200500
25,2010-02-03,2.7621734,2.51170421,04200500
26,2010-02-04,3.2422566,2.11243677,04200500
27,2010-02-05,3.7385833,2.08695149,04200500
28,2010-02-06,4.8412576,2.2880013,04200500
29,2010-02-07,3.7029204,3.19980359,04200500
30,2010-02-08,3.4875283,4.92713118,04200500
31,2010-02-09,4.6303935,3.9926753,04200500
32,2010-02-10,5.1667976,3.79445744,04200500
33,2010-02-11,4.854149,3.59623957,04200500
34,2010-02-12,4.359229,3.14316988,04200500
35,2010-02-13,6.656887,2.94495201,04200500
36,2010-02-14,3.2442782,2.69010043,04200500
37,2010-02-15,2.984667,2.94495201,04200500
38,2010-02-16,3.0397089,2.82885289,04200500
39,2010-02-17,3.4049556,2.86000156,04200500
40,2010-02-18,3.5571177,3.19980359,04200500
41,2010-02-19,2.805951,3.45465517,04200500
42,2010-02-20,3.6389246,3.82277417,04200500
43,2010-02-21,2.815167,4.41742802,04200500
44,2010-02-22,14.742997,6.34297371,04200500
45,2010-02-23,35.27223,13.67703629,04200500
46,2010-02-24,15.568471,20.55803108,04200500
47,2010-02-25,15.558757,19.7085247,04200500
48,2010-02-26,13.132448,12.74258041,04200500
49,2010-02-27,12.375586,11.38337231,04200500
50,2010-02-28,12.05302,11.5532732,04200500
51,2010-03-01,3.9283812,11.27010441,04200500
52,2010-03-02,6.3552527,11.5249567,04200500
53,2010-03-03,4.471154,11.46832275,04200500
54,2010-03-04,8.418502,11.15683746,04200500
55,2010-03-05,5.847421,11.07188702,04200500
56,2010-03-06,8.347157,11.01525307,04200500
57,2010-03-07,7.257837,12.00634289,04200500
58,2010-03-08,12.6961155,18.46258354,04200500
59,2010-03-09,43.658768,37.37823868,04200500
60,2010-03-10,112.87555,81.83568573,04200500
61,2010-03-11,145.99991,138.75254822,04200500
62,2010-03-12,111.26443,143.00007629,04200500
63,2010-03-13,59.577915,63.71290207,04200500
64,2010-03-14,99.8556,85.8000412,04200500
65,2010-03-15,89.543015,82.68518829,04200500
66,2010-03-16,37.182716,31.99803543,04200500
67,2010-03-17,24.979548,17.86792946,04200500
68,2010-03-18,11.438637,12.20456028,04200500
69,2010-03-19,9.733796,9.11802483,04200500
70,2010-03-20,2.1065679,6.99426079,04200500
71,2010-03-21,7.168566,5.66336918,04200500
72,2010-03-22,8.529996,7.67386532,04200500
73,2010-03-23,21.816706,27.15585518,04200500
74,2010-03-24,33.23847,38.51091003,04200500
75,2010-03-25,16.450993,18.54753494,04200500
76,2010-03-26,24.832489,19.56694031,04200500
77,2010-03-27,25.800411,26.6461525,04200500
78,2010-03-28,16.334604,21.52080345,04200500
79,2010-03-29,34.53574,33.69704819,04200500
80,2010-03-30,43.066998,33.98021698,04200500
81,2010-03-31,11.368895,16.79188919,04200500
82,2010-04-01,6.08895,10.64713383,04200500
83,2010-04-02,8.064739,7.75881577,04200500
84,2010-04-03,4.3614745,6.08812189,04200500
85,2010-04-04,4.030038,4.98376513,04200500
86,2010-04-05,5.60665,4.19089317,04200500
87,2010-04-06,5.3674893,3.85109115,04200500
88,2010-04-07,3.08269,3.45465517,04200500
89,2010-04-08,2.8044753,4.58732891,04200500
90,2010-04-09,4.1339235,4.58732891,04200500
91,2010-04-10,3.2148943,3.87940788,04200500
92,2010-04-11,3.347712,3.14316988,04200500
93,2010-04-12,3.8058574,2.54002094,04200500
94,2010-04-13,3.1148922,2.81186295,04200500
95,2010-04-14,3.6692846,2.94495201,04200500
96,2010-04-15,2.0582135,2.658952,04200500
97,2010-04-16,5.7594523,2.25402093,04200500
98,2010-04-17,3.5739892,2.00483274,04200500
99,2010-04-18,4.749322,1.79528809,04200500
100,2010-04-19,3.0931463,1.65370381,04200500
101,2010-04-20,2.8577006,1.57724833,04200500
102,2010-04-21,2.8816295,1.50079286,04200500
103,2010-04-22,2.3103123,1.35637701,04200500
104,2010-04-23,2.45599,1.26009965,04200500
105,2010-04-24,3.1080163,1.20629764,04200500
106,2010-04-25,6.9370766,2.658952,04200500
107,2010-04-26,26.722065,23.1065464,04200500
108,2010-04-27,39.101337,31.14853096,04200500
109,2010-04-28,9.405968,14.38495827,04200500
110,2010-04-29,6.9620385,7.13584518,04200500
111,2010-04-30,5.4667153,4.47406149,04200500
112,2010-05-01,5.2319627,3.34138775,04200500
113,2010-05-02,3.9004176,2.80053616,04200500
114,2010-05-03,5.503754,2.41259527,04200500
115,2010-05-04,2.6360612,2.22570395,04200500
116,2010-05-05,3.19057,2.00766444,04200500
117,2010-05-06,3.8225448,2.31348634,04200500
118,2010-05-07,2.7139032,1.76130784,04200500
119,2010-05-08,4.801976,2.1520803,04200500
120,2010-05-09,4.337057,4.30416059,04200500
121,2010-05-10,4.3303623,4.61564589,04200500
122,2010-05-11,5.2520494,4.30416059,04200500
123,2010-05-12,21.79574,20.35981178,04200500
124,2010-05-13,40.936005,23.1065464,04200500
125,2010-05-14,26.169182,34.82971954,04200500
126,2010-05-15,36.29393,26.90100288,04200500
127,2010-05-16,15.518057,10.70376778,04200500
128,2010-05-17,9.287677,6.5128746,04200500
129,2010-05-18,20.932846,13.28060055,04200500
130,2010-05-19,23.039942,11.04356956,04200500
131,2010-05-20,13.246415,6.85267687,04200500
132,2010-05-21,14.595604,4.41742802,04200500
133,2010-05-22,8.281134,3.2564373,04200500
134,2010-05-23,8.274577,3.45465517,04200500
135,2010-05-24,3.8855486,3.45465517,04200500
136,2010-05-25,7.4076834,2.57683301,04200500
137,2010-05-26,3.2186658,1.90855551,04200500
138,2010-05-27,2.0824628,1.44699085,04200500
139,2010-05-28,1.3745928,1.14116883,04200500
140,2010-05-29,1.4783072,0.9259609,04200500
141,2010-05-30,2.301675,0.84384197,04200500
142,2010-05-31,1.3905494,2.34746647,04200500
143,2010-06-01,15.459144,8.3251524,04200500
144,2010-06-02,16.35088,11.21347141,04200500
145,2010-06-03,8.875423,6.17307234,04200500
146,2010-06-04,6.661565,3.02990246,04200500
147,2010-06-05,7.89285,2.69010043,04200500
148,2010-06-06,33.22874,29.16635132,04200500
149,2010-06-07,21.580898,19.8217926,04200500
