time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.401535,0,0.42
2,2010-01-03,00:00:00.00,0.579451,0,0.3
3,2010-01-04,00:00:00.00,3.43504,0,0.22
4,2010-01-05,00:00:00.00,11.7917,0,0.18
5,2010-01-06,00:00:00.00,3.52092,0,0.15
6,2010-01-07,00:00:00.00,0.0481932,0,0.13
7,2010-01-08,00:00:00.00,4.10251,0,0.115
8,2010-01-09,00:00:00.00,3.65255,0,0.1
9,2010-01-10,00:00:00.00,0.555432,0,0.087
10,2010-01-11,00:00:00.00,0.0665196,0,0.078
11,2010-01-12,00:00:00.00,1.78022,0,0.07
12,2010-01-13,00:00:00.00,0.188404,0,0.064
13,2010-01-14,00:00:00.00,0,0,0.058
14,2010-01-15,00:00:00.00,0.00223734,0,0.055
15,2010-01-16,00:00:00.00,0.0083303,0,0.053
16,2010-01-17,00:00:00.00,0.000798254,0.00128247,0.051
17,2010-01-18,00:00:00.00,0.00131783,0.0033629,0.049
18,2010-01-19,00:00:00.00,0.0350425,0.00374165,0.047
19,2010-01-20,00:00:00.00,0.740319,0.00278176,0.045
20,2010-01-21,00:00:00.00,0.195395,0.00181844,0.044
21,2010-01-22,00:00:00.00,0.000520927,0.0011199,0.043
22,2010-01-23,00:00:00.00,0.00533309,0.000672094,0.042
23,2010-01-24,00:00:00.00,0.0145282,0.000394646,0.041
24,2010-01-25,00:00:00.00,11.8298,0.0140837,0.18
25,2010-01-26,00:00:00.00,4.38303,0.146683,3
26,2010-01-27,00:00:00.00,1.1263,0.398199,15.8
27,2010-01-28,00:00:00.00,0.248941,0.487772,19.1
28,2010-01-29,00:00:00.00,0.240387,0.379726,9.69
29,2010-01-30,00:00:00.00,0.001824,0.260704,3.8
30,2010-01-31,00:00:00.00,0.00961531,0.168609,2.2
31,2010-02-01,00:00:00.00,0.136238,0.105709,1.3
32,2010-02-02,00:00:00.00,0.000115055,0.0650015,0.95
