date,hour,02GA010,02GA018,02GA038,02GA047,02GB007,02GC002,02GC010,02GC018,02GD004,02GE007,02GG002,02GG003,02GG006,02GG009,02GG013,04159492,04159900,04160600,04161820,04164000,04165500,04166100,04177000,04196800,04197100,04207200,04208504,04213000,02GB001,02GB007,02GC002,02GC007,02GC018,02GC026,02GE007,02GG003,02GG009,02GG013,04159900,04160600,04165500,04166500,04174500,04176500,04177000,04193500,04195820,04198000,04199000,04199500,04200500,04208504,04209000,04212100,04213000,04213500,04214500,04215000,04215500
2011-01-01,00:00:00,26.6539125,42.9528625,44.5663167,15.8986542,5.1439375,34.6638167,8.9916208,27.6994000,12.6163375,1.3818792,31.0465750,24.7610000,5.1969458,9.3045000,2.2345333,17.5548125,6.9980458,5.4272667,26.6283417,41.8848583,59.3397042,6.6111958,3.8849500,0.3020417,1.1103500,12.8210583,91.0457542,17.1773458,102.1420292,5.1439375,34.6638167,13.7522875,27.6994000,25.0651333,1.3818792,24.7610000,9.3045000,2.2345333,6.9980458,5.4272667,59.3397042,16.4573250,36.4539583,15.9496542,3.8849500,19.2476625,1.1213542,6.8995833,10.5135167,8.6656708,15.1644708,91.0457542,8.7122625,43.5900417,17.1773458,41.3367042,17.3260292,7.7900917,19.9123042
2011-01-02,00:00:00,80.4275458,36.8854125,10.8435625,16.0139625,4.2833458,8.2295583,8.1827292,8.4742417,13.0468042,1.1224958,22.1805625,41.9313375,3.2040042,6.5096500,1.8361458,16.3043167,5.4930750,4.3566167,12.5596500,15.2574000,25.0900417,0.5146333,1.3802833,0.7645500,1.0912417,6.2645625,61.0323625,51.2750000,267.5249542,4.2833458,8.2295583,13.4342125,8.4742417,18.4814875,1.1224958,41.9313375,6.5096500,1.8361458,5.4930750,4.3566167,25.0900417,1.8084375,28.4143208,24.2829208,1.3802833,29.7853625,2.4835958,8.8308292,9.7823208,8.4849833,13.2711542,61.0323625,7.4925333,70.0959333,51.2750000,64.2690542,23.8865208,10.5728792,23.2983500
2011-01-03,00:00:00,20.4689000,11.6424167,7.2789458,11.9812417,3.9777750,8.7874292,9.3916083,9.2836917,12.2928625,0.9579417,12.5539167,17.9778958,3.1510208,5.6635042,1.7846042,14.4948125,4.4195458,3.9035875,7.1477167,8.2700583,15.7785208,0.2452125,1.0619750,0.6119750,0.9915083,4.2855583,42.6787333,17.1918000,110.5312958,3.9777750,8.7874292,13.1880583,9.2836917,18.8666208,0.9579417,17.9778958,5.6635042,1.7846042,4.4195458,3.9035875,15.7785208,0.9202208,17.7671292,16.1585958,1.0619750,32.9669458,1.6248875,8.5975208,9.4987875,7.8026250,12.3692583,42.6787333,6.7111750,50.5454375,17.1918000,30.6990542,11.6351667,5.6566042,10.8736750
2011-01-04,00:00:00,22.1926667,13.2792417,8.4443000,12.0307875,4.0050167,9.7773125,10.2730875,10.1540542,13.6518417,0.9863375,14.2172000,20.3921708,3.4862667,6.2567333,2.0927917,14.8415417,4.4018792,4.0299250,7.5817750,8.4588000,15.8371875,0.2914333,1.0080375,0.3945500,0.9750000,4.4286542,41.3715250,17.5788542,114.6685042,4.0050167,9.7773125,13.6790625,10.1540542,20.2263792,0.9863375,20.3921708,6.2567333,2.0927917,4.4018792,4.0299250,15.8371875,0.8012000,16.7263875,13.5275667,1.0080375,30.7515542,0.8997625,7.6084542,9.6714625,7.7595958,12.5431500,41.3715250,6.7349083,53.4698042,17.5788542,29.1063208,11.6035500,5.8736917,10.9702250
2011-01-05,00:00:00,23.6749708,14.1803542,8.9434500,11.8909375,4.0182792,10.0615958,10.3908875,10.2569875,14.0759167,1.0014750,15.2383958,22.0587417,3.7052458,6.6885250,2.3154458,15.2731833,4.5211833,4.1836042,8.0589292,9.2545000,16.7375417,0.4062250,1.0889833,0.2794500,0.9731750,4.5455125,42.9942000,17.4428833,121.8425083,4.0182792,10.0615958,13.6602083,10.2569875,20.4701000,1.0014750,22.0587417,6.6885250,2.3154458,4.5211833,4.1836042,16.7375417,0.9961833,17.2506875,13.1920417,1.0889833,24.6308875,0.5940625,7.2083042,9.7946417,7.7898667,12.7996125,42.9942000,6.8279167,54.1283125,17.4428833,29.1507333,11.8480125,6.0159375,11.2053375
2011-01-06,00:00:00,24.1183000,14.4152292,8.9810708,11.6335250,4.0302167,9.9476375,10.0597875,9.9708792,13.7774292,1.0129208,15.9491875,22.7463042,3.8701875,6.9727042,2.4239750,15.5038375,4.5886000,4.2860958,7.7727167,8.8604083,16.2614250,0.4163125,1.1194625,0.2196458,0.9733583,4.5835458,43.9839833,16.9133500,122.3979625,4.0302167,9.9476375,13.3454667,9.9708792,19.9816583,1.0129208,22.7463042,6.9727042,2.4239750,4.5886000,4.2860958,16.2614250,0.8909458,18.0437542,13.3155625,1.1194625,19.8526792,0.4323917,7.0912250,9.8610917,7.7994167,12.9144792,43.9839833,6.8674125,53.0894125,16.9133500,29.0221208,11.8990167,6.0583750,11.2446208
2011-01-07,00:00:00,23.9711958,14.2043667,8.7251167,11.5821375,4.0488583,9.5714917,9.5155083,9.4646958,13.0887917,1.0344250,16.3367125,23.2714792,4.0512208,7.6743958,2.4838875,15.6594875,5.0678250,4.3611958,7.7864542,8.9757500,16.4210125,0.4013708,1.1130167,0.1842542,0.9753875,4.5895917,44.1127542,15.9760792,121.3134000,4.0488583,9.5714917,12.8476083,9.4646958,19.1211208,1.0344250,23.2714792,7.6743958,2.4838875,5.0678250,4.3611958,16.4210125,0.9170458,18.5024333,14.1541125,1.1130167,17.5437458,0.3495917,7.0736500,9.8143042,7.7691875,12.8334708,44.1127542,6.8148292,50.4943958,15.9760792,28.7055042,11.7699583,5.9732792,11.1053375
2011-01-08,00:00:00,23.3636333,13.7375125,8.3100792,11.1118250,4.0243042,9.0733458,8.8761875,8.8524958,12.1982125,1.0049917,16.1236667,22.9984125,4.0042333,7.6469958,2.5018750,15.8958208,5.2175958,4.3881042,7.5742917,8.6981208,16.0699917,0.3795500,1.1116292,0.1604792,0.9702375,4.4484125,42.8317542,15.0250500,115.4108583,4.0243042,9.0733458,12.2470750,8.8524958,18.0518333,1.0049917,22.9984125,7.6469958,2.5018750,5.2175958,4.3881042,16.0699917,0.8512125,19.4198292,14.8875958,1.1116292,16.1195583,0.2974958,7.0196500,9.7033667,7.6800958,12.6225208,42.8317542,6.6946208,47.2102250,15.0250500,28.0803083,11.5001125,5.7976583,10.8304958
2011-01-09,00:00:00,22.5836667,13.1553583,7.8299542,10.6075542,3.9696750,8.5483208,8.2258250,8.2300667,11.2447417,0.9918500,15.7259500,22.4363583,3.9085917,7.5173750,2.4958583,15.7707500,5.2162833,4.3868292,7.2343583,8.4062458,15.6854417,0.3358042,1.0894000,0.1432208,0.9558333,4.2968667,41.1861625,13.7916375,110.0194833,3.9696750,8.5483208,11.5916583,8.2300667,16.9265125,0.9918500,22.4363583,7.5173750,2.4958583,5.2162833,4.3868292,15.6854417,0.7775333,18.7435792,15.2911292,1.0894000,15.2714542,0.2507125,6.9208292,9.5116417,7.5467042,12.3327458,41.1861625,6.5462000,44.0322667,13.7916375,27.3300417,11.1483958,5.5789167,10.4797375
2011-01-10,00:00:00,21.6196708,12.4830375,7.3139417,10.2039292,3.9198000,8.0459000,7.6064958,7.6296750,10.3494583,0.9700042,15.1907833,21.7181583,3.7569458,7.2957792,2.4660083,15.5265375,5.1472125,4.3457375,7.0762750,8.1631458,15.3159500,0.3383000,1.0918167,0.1307583,0.9393417,4.0973708,39.2200292,12.7913458,103.5674958,3.9198000,8.0459000,10.9652417,7.6296750,15.8333125,0.9700042,21.7181583,7.2957792,2.4660083,5.1472125,4.3457375,15.3159500,0.7698000,18.5701583,14.5467500,1.0918167,15.0154083,0.2201042,6.9218667,9.3978375,7.4179917,12.0454250,39.2200292,6.3855250,40.8598542,12.7913458,26.4096708,10.7354167,5.3317208,10.0684458
2011-01-11,00:00:00,20.6314083,11.7997667,6.8219875,9.9452708,3.8781958,7.5747583,7.0361458,7.0660000,9.5548833,1.0131458,14.5836292,20.9078375,3.6047958,7.0575167,2.4206375,15.2325625,5.0909042,4.2981833,7.3279417,8.5161208,15.7281792,0.5470208,1.1390875,0.1212208,0.9210792,3.9363500,38.0296000,12.5019000,97.6090250,3.8781958,7.5747583,10.3656833,7.0660000,14.8000292,1.0131458,20.9078375,7.0575167,2.4206375,5.0909042,4.2981833,15.7281792,0.7922167,18.9565250,15.0542292,1.1390875,16.4210417,0.2045750,6.8356875,9.2608333,7.2867958,11.7283000,38.0296000,6.2061042,38.4386375,12.5019000,25.4826958,10.2977792,5.0900417,9.6379333
