date,hour,02GA003,02GA014,02GA015,02GA034,02GA048,02GB001,02GC002,02GC010,02GC018,02GC026,02GD001,02GD003,02GD016,02GE002,02GE003,02GE006,02GG003,02GG009,04197137,04183000,02GA010,02GA018,02GA038,02GA047,02GB007,02GC002,02GC010,02GC018,02GD004,02GE007,02GG002,02GG003,02GG006,02GG009,02GG013,04159492,04159900,04160600,04161820,04164000,04165500,04166100,04177000,04196800,04197100,04207200,04208504,04213000
2011-01-01,00:00:00,59.8788000,10.5077167,15.3648000,43.4034417,48.1569167,50.3893958,23.7610375,21.8261167,17.9450792,23.5664833,22.7382833,13.7954167,16.5737792,42.7011458,44.3429958,71.8908292,29.7123500,13.6894375,5.1021500,55.3769208,14.3802542,10.9387167,8.5432625,19.5295958,6.3315750,23.7610375,10.6562750,17.5334833,7.0418750,1.1058417,25.1574083,29.7123500,9.5147542,14.8751417,6.9896417,25.1759917,10.7309000,6.0633792,33.5308667,53.2889083,69.6500083,14.4596875,5.8801833,0.8081875,0.7673708,16.5538208,109.9755000,11.5221000
2011-01-02,00:00:00,177.8955375,31.7436458,29.8382333,73.2958958,145.4775000,234.0337000,21.9695500,34.1244667,22.7816583,44.5368750,62.1892375,60.9937292,37.3892875,129.8275208,156.1919542,149.1865625,78.2303958,34.8785125,6.6715250,56.5809708,48.2857792,28.1102417,26.2241083,32.2327750,4.6559417,21.9695500,24.4457792,23.3388042,16.7960167,1.5036750,55.3974083,78.2303958,20.8481333,34.9026625,12.1517042,41.4256333,19.1972583,13.0861333,31.1132958,47.0029167,73.1849583,3.9452292,3.2696583,1.7081042,1.6656958,21.5082417,139.7655042,27.5792750
2011-01-03,00:00:00,187.4539542,34.0380500,22.8761583,66.2672833,146.7701958,272.7823167,14.7972250,19.1248000,18.6104042,42.1362958,84.5318875,71.8760958,28.9909958,169.1667792,192.2882958,185.1207042,62.2738583,24.8278500,15.3489542,52.1747792,48.5805792,30.6745833,18.7641042,31.4004875,5.7661083,14.7972250,22.2790792,19.1465500,13.9860875,1.6510250,32.4291167,62.2738583,11.2217542,24.0078833,0.9040083,39.3195625,13.9647625,9.5453750,13.8443000,21.9170750,35.3348125,3.0231292,1.9783333,4.4949625,3.7928000,12.1734875,112.3811292,38.0715208
2011-01-04,00:00:00,166.9472833,30.4635125,17.6304333,58.0133542,129.3947292,247.8925125,13.8306750,18.2014292,14.2171125,34.5125125,70.3415292,48.5188917,20.6020083,143.0031917,213.6103750,188.0963333,39.7236083,15.6766792,26.4068708,44.9163125,47.7529958,23.3003500,14.1043917,23.0098208,6.2719875,13.8306750,16.7883292,14.7295250,12.7502958,1.6705250,25.8846083,39.7236083,8.3271167,15.5235500,0.4407542,27.8284167,10.9798542,9.0948125,13.6524333,19.9723625,32.9671333,2.6712500,1.9549250,6.8566750,4.4947167,7.9721833,94.8862917,24.6097875
2011-01-05,00:00:00,127.8289875,23.8315417,14.5598667,47.6407625,97.6786792,193.8840083,11.4568667,16.6746042,10.5090750,26.0374833,53.5696958,38.1623542,16.4554542,105.8137583,163.7630875,135.8770542,32.6736333,11.2473167,28.6112667,48.6169167,38.3428917,18.6367250,9.9568250,18.9979417,6.1195417,11.4568667,11.8224792,10.9119667,11.0279833,1.5079458,22.6737792,32.6736333,5.8923000,11.1603083,0.4204625,25.9701708,10.1046500,8.5101917,14.2748792,19.9685083,32.4236167,2.3060625,1.8363583,6.6068833,4.2479500,6.8652583,80.3333792,18.3115375
2011-01-06,00:00:00,93.7692583,17.1509667,12.0980458,33.6853250,68.0518292,146.9759708,9.4062833,14.6849250,8.0528167,19.5897750,39.9488750,32.3408042,12.7894875,84.6466792,132.8209042,112.1241292,26.8623167,7.9942125,26.4375333,49.2669917,29.5454833,13.7408375,7.0417750,15.6845042,5.7565667,9.4062833,8.3747625,8.3408625,9.0681708,1.3189250,19.1119042,26.8623167,3.9032583,7.9230375,1.6872167,23.0652500,8.7783625,7.4309625,13.2957875,18.2103125,29.6203750,1.9704458,1.7008500,5.7649542,3.7204417,5.7422167,62.5570333,14.4031667
2011-01-07,00:00:00,69.1860208,13.4558750,9.9736875,25.2520625,48.3570292,109.2081167,7.8330167,12.8689917,6.5084875,14.9143667,31.6732333,24.9873875,10.1378792,66.6267833,108.6392333,89.4340208,22.4350667,6.0384875,23.1986167,46.9304167,22.1533458,10.7397417,5.4874458,13.2293542,5.3569125,7.8330167,6.2242792,6.7106500,7.4355417,1.1795917,16.2458500,22.4350667,3.0160792,5.9922958,1.3747042,20.0823917,7.5306667,6.4159792,12.7542792,17.1282417,27.4938292,1.7195958,1.7603708,4.7928208,3.1443917,4.8176833,50.6586292,10.9621875
2011-01-08,00:00:00,56.7236792,11.1148417,8.2689708,20.7844583,39.4096708,89.0999417,6.7742875,11.3433958,5.5657875,12.7104667,26.2274167,20.1923875,8.3397542,54.5501083,89.4995042,73.7193125,19.2708000,4.8212625,20.0181458,42.8542292,18.8890917,9.3899042,4.7324500,10.9900500,4.9412083,6.7742875,5.3140333,5.7290000,6.1568167,1.0341000,14.1299458,19.2708000,2.4545250,4.7859417,1.0324292,17.5548667,6.5359125,5.6268417,11.6702458,15.5344208,24.8546167,1.5130042,2.0302875,3.9506208,2.6538167,4.0401917,41.5407542,9.0467708
2011-01-09,00:00:00,48.5102125,9.6934125,7.0953000,17.7873792,33.6095042,76.7769917,6.0581042,10.0855917,4.9566917,11.1789125,22.5325333,17.0788917,7.2226458,46.4206833,76.0083792,62.8788208,16.9089625,3.9826125,17.3093083,38.0652083,16.7220708,8.4183917,4.2097583,9.4916292,4.5600292,6.0581042,4.6861042,5.0979333,5.3088208,0.9192333,12.5163833,16.9089625,2.0477500,3.9565875,0.8188125,15.5480250,5.7801667,5.0150167,10.5725083,14.1206958,22.5619542,1.3157792,1.8543000,3.2373458,2.2939125,3.5210875,35.4118875,7.7283250
2011-01-10,00:00:00,42.8204583,8.6030167,6.2752792,15.6816167,29.7453917,67.8313167,5.4969833,9.1164000,4.5072083,10.0558792,20.1142208,14.9917625,6.4790000,41.0477500,66.6549083,55.3200292,15.1074792,3.4068000,14.8263667,34.5170708,15.0742792,7.6787000,3.8462083,8.3653792,4.2189458,5.4969833,4.2432750,4.6352167,4.7899375,0.8317250,11.2602667,15.1074792,1.7478542,3.3845792,0.7033542,13.9341625,5.1425417,4.5007708,9.6216667,12.7456583,20.3788000,1.2177500,1.6889667,2.5831625,1.9797083,3.1071583,31.4037042,6.8964125
