time,date,hour,precip [mm/day],sub24 [m3/s],sub24 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.265411,6.03761,11.9214
2,2010-01-03,00:00:00.00,0.120012,11.9502,10.0242
3,2010-01-04,00:00:00.00,0.460098,11.723,9.8259
4,2010-01-05,00:00:00.00,0.887305,11.5357,9.3162
5,2010-01-06,00:00:00.00,0.494694,11.3787,8.665
6,2010-01-07,00:00:00.00,0.122487,11.2449,8.0703
7,2010-01-08,00:00:00.00,3.96116,11.1291,8.1836
8,2010-01-09,00:00:00.00,1.47362,11.0278,8.4951
9,2010-01-10,00:00:00.00,0.0703865,10.9385,8.0986
10,2010-01-11,00:00:00.00,0.010962,10.8592,7.0792
11,2010-01-12,00:00:00.00,1.89975,10.7876,7.8154
12,2010-01-13,00:00:00.00,0.321384,10.7218,8.042
13,2010-01-14,00:00:00.00,0.00496673,10.6605,7.9004
14,2010-01-15,00:00:00.00,0.0508848,10.6022,8.0137
15,2010-01-16,00:00:00.00,0.107456,10.546,9.2879
16,2010-01-17,00:00:00.00,0.0106818,10.4918,8.7216
17,2010-01-18,00:00:00.00,9.87993e-308,10.4394,7.8154
18,2010-01-19,00:00:00.00,0.0396667,10.3884,7.6172
19,2010-01-20,00:00:00.00,0.204314,10.3387,7.4473
20,2010-01-21,00:00:00.00,0.0588304,10.2903,7.3057
21,2010-01-22,00:00:00.00,0.0140241,10.243,7.1358
22,2010-01-23,00:00:00.00,0.0779557,10.1962,7.0509
23,2010-01-24,00:00:00.00,0.121975,10.1496,6.9376
24,2010-01-25,00:00:00.00,6.75695,12.9547,11.4966
25,2010-01-26,00:00:00.00,3.14595,20.1477,17.0467
26,2010-01-27,00:00:00.00,0.873029,21.4038,12.6859
27,2010-01-28,00:00:00.00,0.412088,17.229,10.0242
28,2010-01-29,00:00:00.00,0.210763,15.4373,8.665
29,2010-01-30,00:00:00.00,0.00414805,14.1942,6.9376
30,2010-01-31,00:00:00.00,0.0819866,13.2933,7.0509
31,2010-02-01,00:00:00.00,0.224683,12.6181,6.6545
32,2010-02-02,00:00:00.00,0.0328911,12.0986,6.5978
33,2010-02-03,00:00:00.00,1.92981,11.69,6.6261
34,2010-02-04,00:00:00.00,0.460219,11.3622,7.1925
35,2010-02-05,00:00:00.00,5.54e-308,11.095,7.0792
36,2010-02-06,00:00:00.00,0.0145184,10.8736,6.796
37,2010-02-07,00:00:00.00,0.0845703,10.6882,6.5695
38,2010-02-08,00:00:00.00,0.293015,10.5314,6.258
39,2010-02-09,00:00:00.00,0,10.3966,6.1164
40,2010-02-10,00:00:00.00,10.5721,10.2794,6.0598
41,2010-02-11,00:00:00.00,6.82385,10.1762,6.258
42,2010-02-12,00:00:00.00,0.261597,10.0841,6.5412
43,2010-02-13,00:00:00.00,0.162682,10.0015,6.4562
44,2010-02-14,00:00:00.00,0.245556,9.92639,6.1448
45,2010-02-15,00:00:00.00,0.0235599,9.85704,6.2014
46,2010-02-16,00:00:00.00,0.132107,9.79238,6.2297
47,2010-02-17,00:00:00.00,1.98329,9.73157,6.1448
48,2010-02-18,00:00:00.00,0.195988,9.67362,6.258
49,2010-02-19,00:00:00.00,0.00317603,9.61767,6.2863
50,2010-02-20,00:00:00.00,8.7303e-308,9.56343,6.6261
51,2010-02-21,00:00:00.00,0.000250392,9.51068,6.5412
52,2010-02-22,00:00:00.00,0.0674694,9.45857,5.9465
53,2010-02-23,00:00:00.00,13.1311,10.233,6.258
54,2010-02-24,00:00:00.00,0.787977,10.6395,7.5889
55,2010-02-25,00:00:00.00,1.86583,10.1473,7.504
56,2010-02-26,00:00:00.00,2.13639,9.96563,7.1358
57,2010-02-27,00:00:00.00,7.72954,9.81011,6.9093
58,2010-02-28,00:00:00.00,1.66213,9.67701,7.1925
59,2010-03-01,00:00:00.00,0.123254,9.5608,7.9854
60,2010-03-02,00:00:00.00,0.00216167,9.4562,10.0242
61,2010-03-03,00:00:00.00,0.0430356,9.36204,10.2507
62,2010-03-04,00:00:00.00,0.0421773,9.27655,8.8632
63,2010-03-05,00:00:00.00,0.000634281,9.19793,9.4295
