DATE	cout
UNITS	m3/s
2010-01-01	1.331
2010-01-02	1.211
2010-01-03	1.073
2010-01-04	0.935
2010-01-05	0.805
2010-01-06	0.688
2010-01-07	0.585
2010-01-08	0.495
2010-01-09	0.418
2010-01-10	0.353
2010-01-11	0.297
2010-01-12	0.249
2010-01-13	0.21
2010-01-14	0.191
2010-01-15	0.24
2010-01-16	0.275
2010-01-17	0.276
2010-01-18	0.267
2010-01-19	0.254
2010-01-20	0.235
2010-01-21	0.212
2010-01-22	0.189
2010-01-23	0.168
2010-01-24	0.777
2010-01-25	9.896
2010-01-26	14.713
2010-01-27	13.991
2010-01-28	12.298
2010-01-29	10.599
2010-01-30	9.055
2010-01-31	7.694
2010-02-01	6.511
2010-02-02	5.496
2010-02-03	4.631
2010-02-04	3.899
2010-02-05	3.295
2010-02-06	2.783
2010-02-07	2.343
2010-02-08	1.971
2010-02-09	1.656
2010-02-10	1.391
2010-02-11	1.169
2010-02-12	0.983
2010-02-13	0.827
2010-02-14	0.697
2010-02-15	0.597
2010-02-16	0.514
2010-02-17	0.452
2010-02-18	0.423
2010-02-19	0.408
2010-02-20	0.39
2010-02-21	0.416
2010-02-22	0.467
2010-02-23	0.5
2010-02-24	0.492
2010-02-25	0.457
2010-02-26	0.459
2010-02-27	0.555
2010-02-28	0.755
2010-03-01	0.943
2010-03-02	1.051
2010-03-03	1.161
2010-03-04	1.241
2010-03-05	1.273
2010-03-06	1.359
2010-03-07	1.533
2010-03-08	3.029
2010-03-09	14.129
2010-03-10	41.146
2010-03-11	62.704
2010-03-12	66.702
2010-03-13	60.499
2010-03-14	52.602
2010-03-15	42.919
2010-03-16	33.598
2010-03-17	26.349
2010-03-18	20.601
2010-03-19	16.183
2010-03-20	12.892
2010-03-21	10.394
2010-03-22	8.474
2010-03-23	6.964
2010-03-24	5.754
2010-03-25	4.772
2010-03-26	3.969
2010-03-27	3.308
2010-03-28	2.947
2010-03-29	3.762
2010-03-30	4.089
2010-03-31	3.773
2010-04-01	3.345
2010-04-02	2.913
2010-04-03	2.507
2010-04-04	2.142
2010-04-05	1.82
2010-04-06	4.169
2010-04-07	4.947
2010-04-08	9.293
2010-04-09	10.932
2010-04-10	9.685
2010-04-11	8.262
2010-04-12	6.997
2010-04-13	5.907
2010-04-14	4.977
2010-04-15	4.187
2010-04-16	3.518
2010-04-17	2.955
2010-04-18	2.48
2010-04-19	2.081
2010-04-20	1.745
2010-04-21	1.463
2010-04-22	1.227
2010-04-23	1.029
2010-04-24	0.863
2010-04-25	4.051
2010-04-26	5.216
2010-04-27	4.412
2010-04-28	3.59
2010-04-29	2.931
2010-04-30	2.408
2010-05-01	2.013
2010-05-02	1.683
2010-05-03	4.869
2010-05-04	5.971
2010-05-05	7.055
2010-05-06	6.9
2010-05-07	8.493
2010-05-08	13.234
2010-05-09	13.907
2010-05-10	11.912
2010-05-11	10.36
2010-05-12	8.874
2010-05-13	10.4
2010-05-14	10.65
2010-05-15	9.345
2010-05-16	7.992
2010-05-17	6.787
2010-05-18	5.741
2010-05-19	4.844
2010-05-20	4.08
2010-05-21	3.431
2010-05-22	2.925
2010-05-23	2.479
2010-05-24	2.082
2010-05-25	1.745
2010-05-26	1.463
2010-05-27	1.226
2010-05-28	1.028
2010-05-29	0.861
2010-05-30	0.722
2010-05-31	0.605
2010-06-01	0.97
2010-06-02	5.777
2010-06-03	8.738
2010-06-04	8.083
2010-06-05	7.664
2010-06-06	12.237
2010-06-07	13.11
2010-06-08	10.942
2010-06-09	11.846
2010-06-10	11.998
2010-06-11	10.344
2010-06-12	8.526
2010-06-13	7.023
2010-06-14	5.808
2010-06-15	4.82
2010-06-16	6.032
2010-06-17	6.144
2010-06-18	5.163
2010-06-19	4.255
2010-06-20	3.515
2010-06-21	2.914
2010-06-22	4.834
2010-06-23	5.359
2010-06-24	6.685
2010-06-25	6.708
2010-06-26	6.886
2010-06-27	6.373
2010-06-28	12.764
2010-06-29	14.694
2010-06-30	12.339
2010-07-01	10.057
2010-07-02	8.229
2010-07-03	6.772
2010-07-04	5.599
2010-07-05	4.647
2010-07-06	3.866
2010-07-07	3.223
2010-07-08	3.028
2010-07-09	8.977
2010-07-10	10.943
2010-07-11	9.228
2010-07-12	11.499
2010-07-13	11.655
2010-07-14	9.714
2010-07-15	7.95
2010-07-16	11.648
2010-07-17	12.483
2010-07-18	10.48
2010-07-19	9.679
2010-07-20	8.572
2010-07-21	7.112
2010-07-22	5.874
2010-07-23	12.406
2010-07-24	15.706
2010-07-25	13.906
2010-07-26	11.42
2010-07-27	9.352
2010-07-28	7.848
2010-07-29	6.573
2010-07-30	5.458
2010-07-31	4.538
2010-08-01	3.78
2010-08-02	3.154
2010-08-03	2.635
2010-08-04	2.203
2010-08-05	1.843
2010-08-06	1.543
2010-08-07	1.292
2010-08-08	1.541
2010-08-09	1.652
2010-08-10	1.45
2010-08-11	1.202
2010-08-12	0.993
2010-08-13	0.823
2010-08-14	0.684
2010-08-15	0.569
2010-08-16	0.475
2010-08-17	0.397
2010-08-18	0.332
2010-08-19	0.278
2010-08-20	0.232
2010-08-21	0.194
2010-08-22	0.868
2010-08-23	1.138
2010-08-24	0.975
2010-08-25	0.795
2010-08-26	0.649
2010-08-27	0.533
2010-08-28	0.441
2010-08-29	0.365
2010-08-30	0.304
2010-08-31	0.253
2010-09-01	0.211
2010-09-02	1.243
2010-09-03	3.645
2010-09-04	5.799
2010-09-05	7.189
2010-09-06	6.747
2010-09-07	5.557
2010-09-08	4.873
