DATE	cout
UNITS	m3/s
2010-01-01	4.594
2010-01-02	3.499
2010-01-03	2.884
2010-01-04	2.511
2010-01-05	2.254
2010-01-06	2.06
2010-01-07	1.921
2010-01-08	1.8
2010-01-09	1.682
2010-01-10	1.571
2010-01-11	1.469
2010-01-12	1.377
2010-01-13	1.294
2010-01-14	1.292
2010-01-15	1.545
2010-01-16	1.716
2010-01-17	1.702
2010-01-18	1.614
2010-01-19	1.492
2010-01-20	1.367
2010-01-21	1.254
2010-01-22	1.159
2010-01-23	1.079
2010-01-24	4.106
2010-01-25	15.81
2010-01-26	20.853
2010-01-27	16.909
2010-01-28	11.538
2010-01-29	7.397
2010-01-30	4.843
2010-01-31	3.521
2010-02-01	2.842
2010-02-02	2.454
2010-02-03	2.226
2010-02-04	2.075
2010-02-05	1.955
2010-02-06	1.835
2010-02-07	1.713
2010-02-08	1.597
2010-02-09	1.492
2010-02-10	1.445
2010-02-11	1.4
2010-02-12	1.327
2010-02-13	1.246
2010-02-14	1.177
2010-02-15	1.124
2010-02-16	1.071
2010-02-17	1.02
2010-02-18	0.977
2010-02-19	0.935
2010-02-20	0.895
2010-02-21	0.873
2010-02-22	0.957
2010-02-23	1.05
2010-02-24	1.064
2010-02-25	1.024
2010-02-26	1.016
2010-02-27	1.049
2010-02-28	1.236
2010-03-01	1.339
2010-03-02	1.297
2010-03-03	1.247
2010-03-04	1.217
2010-03-05	1.196
2010-03-06	1.194
2010-03-07	1.266
2010-03-08	1.966
2010-03-09	6.882
2010-03-10	13.01
2010-03-11	14.359
2010-03-12	11.932
2010-03-13	14.413
2010-03-14	17.77
2010-03-15	17.256
2010-03-16	13.69
2010-03-17	9.228
2010-03-18	5.906
2010-03-19	4.089
2010-03-20	3.168
2010-03-21	2.663
2010-03-22	2.347
2010-03-23	2.472
2010-03-24	2.436
2010-03-25	2.197
2010-03-26	2.002
2010-03-27	1.846
2010-03-28	2.293
2010-03-29	2.962
2010-03-30	2.953
2010-03-31	2.601
2010-04-01	2.321
2010-04-02	2.113
2010-04-03	1.948
2010-04-04	1.809
2010-04-05	1.688
2010-04-06	4.298
2010-04-07	6.286
2010-04-08	16.781
2010-04-09	21.772
2010-04-10	17.176
2010-04-11	11.126
2010-04-12	6.897
2010-04-13	4.634
2010-04-14	3.5
2010-04-15	2.884
2010-04-16	2.505
2010-04-17	2.241
2010-04-18	2.039
2010-04-19	1.874
2010-04-20	1.734
2010-04-21	1.611
2010-04-22	1.503
2010-04-23	1.405
2010-04-24	1.317
2010-04-25	2.545
2010-04-26	2.754
2010-04-27	2.063
2010-04-28	1.654
2010-04-29	1.435
2010-04-30	1.303
2010-05-01	1.21
2010-05-02	1.136
2010-05-03	1.54
2010-05-04	1.575
2010-05-05	1.651
2010-05-06	1.838
2010-05-07	1.775
2010-05-08	4.562
2010-05-09	5.328
2010-05-10	3.967
2010-05-11	4.681
2010-05-12	5.448
2010-05-13	6.546
2010-05-14	10.084
2010-05-15	10.713
2010-05-16	7.988
2010-05-17	5.377
2010-05-18	3.845
2010-05-19	3.042
2010-05-20	2.583
2010-05-21	2.285
2010-05-22	3.101
2010-05-23	3.155
2010-05-24	2.528
2010-05-25	2.133
2010-05-26	1.897
2010-05-27	1.736
2010-05-28	1.612
2010-05-29	1.508
2010-05-30	1.418
2010-05-31	1.336
2010-06-01	2.848
2010-06-02	3.578
2010-06-03	2.925
2010-06-04	2.207
2010-06-05	2.189
2010-06-06	10.027
2010-06-07	12.322
2010-06-08	8.506
