DATE	cout
UNITS	m3/s
2010-01-01	0.436
2010-01-02	0.367
2010-01-03	0.304
2010-01-04	0.25
2010-01-05	0.204
2010-01-06	0.166
2010-01-07	0.137
2010-01-08	0.113
2010-01-09	0.093
2010-01-10	0.076
2010-01-11	0.062
2010-01-12	0.05
2010-01-13	0.041
2010-01-14	0.039
2010-01-15	0.073
2010-01-16	0.108
2010-01-17	0.116
2010-01-18	0.112
2010-01-19	0.101
2010-01-20	0.087
2010-01-21	0.073
2010-01-22	0.062
2010-01-23	0.053
2010-01-24	0.216
2010-01-25	3.918
2010-01-26	5.1
2010-01-27	3.009
2010-01-28	1.728
2010-01-29	1.066
2010-01-30	0.71
2010-01-31	0.506
2010-02-01	0.378
2010-02-02	0.292
2010-02-03	0.234
2010-02-04	0.193
2010-02-05	0.165
2010-02-06	0.142
2010-02-07	0.119
2010-02-08	0.098
2010-02-09	0.081
2010-02-10	0.071
2010-02-11	0.064
2010-02-12	0.056
2010-02-13	0.047
2010-02-14	0.041
2010-02-15	0.038
2010-02-16	0.036
2010-02-17	0.034
2010-02-18	0.036
2010-02-19	0.039
2010-02-20	0.041
2010-02-21	0.043
2010-02-22	0.062
2010-02-23	0.083
2010-02-24	0.089
2010-02-25	0.085
2010-02-26	0.082
2010-02-27	0.086
2010-02-28	0.097
2010-03-01	0.104
2010-03-02	0.104
2010-03-03	0.102
2010-03-04	0.1
2010-03-05	0.097
2010-03-06	0.095
2010-03-07	0.095
2010-03-08	0.15
2010-03-09	4.181
2010-03-10	8.877
2010-03-11	8.453
2010-03-12	5.545
2010-03-13	4.124
2010-03-14	3.318
2010-03-15	2.411
2010-03-16	1.82
2010-03-17	1.423
2010-03-18	1.132
2010-03-19	0.909
2010-03-20	0.733
2010-03-21	0.593
2010-03-22	0.497
2010-03-23	0.424
2010-03-24	0.355
2010-03-25	0.293
2010-03-26	0.24
2010-03-27	0.196
2010-03-28	0.197
2010-03-29	0.231
2010-03-30	0.241
2010-03-31	0.223
2010-04-01	0.193
2010-04-02	0.162
2010-04-03	0.134
2010-04-04	0.11
2010-04-05	0.09
2010-04-06	2.208
2010-04-07	2.955
2010-04-08	5.739
2010-04-09	6.371
2010-04-10	3.751
2010-04-11	2.178
2010-04-12	1.36
2010-04-13	0.917
2010-04-14	0.659
2010-04-15	0.496
2010-04-16	0.384
2010-04-17	0.304
2010-04-18	0.243
2010-04-19	0.195
2010-04-20	0.158
2010-04-21	0.128
2010-04-22	0.104
2010-04-23	0.084
2010-04-24	0.068
2010-04-25	0.21
2010-04-26	0.25
2010-04-27	0.151
2010-04-28	0.09
2010-04-29	0.058
2010-04-30	0.04
2010-05-01	0.029
2010-05-02	0.022
2010-05-03	0.017
2010-05-04	0.014
2010-05-05	0.056
2010-05-06	0.104
2010-05-07	0.172
2010-05-08	0.817
2010-05-09	1.089
2010-05-10	0.808
2010-05-11	0.655
2010-05-12	0.588
2010-05-13	0.608
2010-05-14	0.686
2010-05-15	0.698
2010-05-16	0.635
2010-05-17	0.547
2010-05-18	0.459
2010-05-19	0.379
2010-05-20	0.311
2010-05-21	0.254
2010-05-22	0.206
2010-05-23	0.168
2010-05-24	0.136
2010-05-25	0.111
2010-05-26	0.09
2010-05-27	0.073
2010-05-28	0.059
2010-05-29	0.048
2010-05-30	0.039
2010-05-31	0.032
2010-06-01	0.089
2010-06-02	0.153
2010-06-03	0.595
2010-06-04	0.804
2010-06-05	0.7
2010-06-06	3.813
2010-06-07	4.832
2010-06-08	2.964
2010-06-09	1.837
2010-06-10	1.257
2010-06-11	0.916
2010-06-12	0.696
2010-06-13	0.544
2010-06-14	0.431
2010-06-15	0.346
2010-06-16	0.293
2010-06-17	0.255
2010-06-18	0.216
2010-06-19	0.18
2010-06-20	0.148
2010-06-21	0.121
2010-06-22	0.121
2010-06-23	0.127
2010-06-24	0.118
2010-06-25	0.103
2010-06-26	0.087
2010-06-27	0.072
2010-06-28	0.121
2010-06-29	0.17
2010-06-30	0.168
2010-07-01	0.15
2010-07-02	0.128
2010-07-03	0.106
2010-07-04	0.088
2010-07-05	0.072
2010-07-06	0.058
2010-07-07	0.048
2010-07-08	0.039
2010-07-09	0.482
2010-07-10	0.624
2010-07-11	0.358
2010-07-12	0.494
2010-07-13	0.532
2010-07-14	0.342
2010-07-15	0.221
2010-07-16	0.354
2010-07-17	0.423
2010-07-18	0.329
2010-07-19	0.292
2010-07-20	0.281
2010-07-21	0.251
2010-07-22	0.214
2010-07-23	0.239
2010-07-24	0.337
2010-07-25	0.397
2010-07-26	0.384
2010-07-27	0.34
2010-07-28	1.011
2010-07-29	1.252
2010-07-30	0.848
2010-07-31	0.575
2010-08-01	0.413
2010-08-02	0.311
2010-08-03	0.241
2010-08-04	0.19
2010-08-05	0.152
2010-08-06	0.122
2010-08-07	0.099
2010-08-08	0.08
2010-08-09	0.065
2010-08-10	0.053
2010-08-11	0.043
2010-08-12	0.035
2010-08-13	0.028
2010-08-14	0.023
2010-08-15	0.018
2010-08-16	0.015
2010-08-17	0.012
2010-08-18	0.01
2010-08-19	0.008
2010-08-20	0.007
2010-08-21	0.005
2010-08-22	0.004
2010-08-23	0.003
2010-08-24	0.003
2010-08-25	0.002
2010-08-26	0.002
2010-08-27	0.002
2010-08-28	0.001
2010-08-29	0.001
2010-08-30	0.001
2010-08-31	0.001
2010-09-01	0.001
2010-09-02	0
2010-09-03	0.049
2010-09-04	0.083
2010-09-05	0.073
2010-09-06	0.061
2010-09-07	0.05
2010-09-08	0.041
2010-09-09	0.033
2010-09-10	0.027
2010-09-11	0.022
2010-09-12	0.018
2010-09-13	0.015
2010-09-14	0.012
2010-09-15	0.01
2010-09-16	0.944
2010-09-17	1.316
2010-09-18	0.844
2010-09-19	0.536
2010-09-20	0.364
2010-09-21	0.263
2010-09-22	0.199
2010-09-23	0.155
2010-09-24	0.122
2010-09-25	0.098
