DATE	cout
UNITS	m3/s
2010-01-01	18.345
2010-01-02	14.528
2010-01-03	11.758
2010-01-04	9.651
2010-01-05	7.988
2010-01-06	6.702
2010-01-07	5.657
2010-01-08	4.771
2010-01-09	4.019
2010-01-10	3.382
2010-01-11	2.844
2010-01-12	2.392
2010-01-13	2.012
2010-01-14	1.782
2010-01-15	5.058
2010-01-16	6.361
2010-01-17	6.35
2010-01-18	6.064
2010-01-19	5.661
2010-01-20	5.14
2010-01-21	4.544
2010-01-22	4.172
2010-01-23	4.011
2010-01-24	26.756
2010-01-25	73.691
2010-01-26	82.898
2010-01-27	61.799
2010-01-28	41.504
2010-01-29	28.615
2010-01-30	20.74
2010-01-31	15.696
2010-02-01	12.262
2010-02-02	9.798
2010-02-03	7.978
2010-02-04	6.626
2010-02-05	5.633
2010-02-06	4.805
2010-02-07	4.077
2010-02-08	3.452
2010-02-09	2.916
2010-02-10	2.594
2010-02-11	2.286
2010-02-12	1.969
2010-02-13	1.681
2010-02-14	1.474
2010-02-15	1.346
2010-02-16	1.235
2010-02-17	1.214
2010-02-18	1.315
2010-02-19	1.56
2010-02-20	1.865
2010-02-21	3.513
2010-02-22	4.648
2010-02-23	5.074
2010-02-24	5.187
2010-02-25	5.019
2010-02-26	4.804
2010-02-27	5.052
2010-02-28	5.568
2010-03-01	5.934
2010-03-02	6.094
2010-03-03	6.258
2010-03-04	6.389
2010-03-05	6.542
2010-03-06	6.87
2010-03-07	14.1
2010-03-08	44.525
2010-03-09	84.674
2010-03-10	97.385
2010-03-11	84.541
2010-03-12	65.994
2010-03-13	57.578
2010-03-14	55.6
2010-03-15	44.604
2010-03-16	33.065
2010-03-17	24.942
2010-03-18	19.4
2010-03-19	15.46
2010-03-20	12.529
2010-03-21	10.269
2010-03-22	9.355
2010-03-23	8.047
2010-03-24	6.659
2010-03-25	5.511
2010-03-26	4.582
2010-03-27	3.824
2010-03-28	6.253
2010-03-29	6.634
2010-03-30	5.601
2010-03-31	4.572
2010-04-01	3.759
2010-04-02	3.119
2010-04-03	2.601
2010-04-04	2.175
2010-04-05	1.822
2010-04-06	16.631
2010-04-07	30.267
2010-04-08	56.885
2010-04-09	58.376
2010-04-10	43.31
2010-04-11	30.066
