time,date,hour,precip [mm/day],sub676 [m3/s],sub684 [m3/s],sub685 [m3/s],sub685 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,4.0049,6.7499,12.2103,
1,2010-01-02,00:00:00.00,3.91213,2.30774,4.85909,9.87463,16
2,2010-01-03,00:00:00.00,0.204762,0.305795,1.72378,5.56086,17
3,2010-01-04,00:00:00.00,0.506234,0.0328485,0.249154,2.53854,16
4,2010-01-05,00:00:00.00,0.200704,0.0732682,0.0773775,0.825502,18
5,2010-01-06,00:00:00.00,1.58189,0.0979816,0.152148,0.184529,21
6,2010-01-07,00:00:00.00,0.0658387,0.11134,0.178004,0.255804,24
7,2010-01-08,00:00:00.00,1.17282,0.111515,0.188423,0.323628,21.5
8,2010-01-09,00:00:00.00,3.30464,0.11197,0.188526,0.340479,20
9,2010-01-10,00:00:00.00,0.0115072,0.110677,0.187377,0.338418,18.5
10,2010-01-11,00:00:00.00,0.0140461,0.110572,0.186447,0.33979,17
11,2010-01-12,00:00:00.00,3.46456,0.109689,0.185441,0.336174,16
12,2010-01-13,00:00:00.00,0.148186,0.109379,0.184564,0.335249,15
13,2010-01-14,00:00:00.00,0.00427045,0.108705,0.183648,0.333286,14
14,2010-01-15,00:00:00.00,0.0339483,0.108276,0.182777,0.33179,13
15,2010-01-16,00:00:00.00,0.144671,0.107648,0.181839,0.330092,12
16,2010-01-17,00:00:00.00,0.0387864,0.107094,0.180863,0.328406,11.5
17,2010-01-18,00:00:00.00,0.0134062,0.106415,0.179796,0.32656,11
18,2010-01-19,00:00:00.00,0.0132446,0.105765,0.178683,0.324627,10.5
19,2010-01-20,00:00:00.00,0.785529,0.105072,0.17754,0.322595,9.8
20,2010-01-21,00:00:00.00,0.14596,0.10441,0.176403,0.320541,9.3
21,2010-01-22,00:00:00.00,0.00133503,0.103752,0.175288,0.318493,8.9
22,2010-01-23,00:00:00.00,0.00238078,0.103137,0.174222,0.316506,8.5
23,2010-01-24,00:00:00.00,0.00805726,0.102531,0.173192,0.314584,8.1
24,2010-01-25,00:00:00.00,6.83802,0.107816,0.178178,0.318014,7.7
25,2010-01-26,00:00:00.00,8.21335,0.143663,0.217811,0.355246,11
26,2010-01-27,00:00:00.00,2.73415,0.238863,0.337057,0.483226,18
27,2010-01-28,00:00:00.00,2.62292,0.354724,0.516771,0.719601,36
28,2010-01-29,00:00:00.00,3.54594,0.378903,0.621043,0.952952,25
29,2010-01-30,00:00:00.00,1.0423,0.282105,0.544393,1.01428,17
30,2010-01-31,00:00:00.00,0.0142473,0.170007,0.366013,0.863285,14.5
31,2010-02-01,00:00:00.00,4.04126,0.117793,0.233227,0.621294,13
32,2010-02-02,00:00:00.00,0.559255,0.107165,0.185924,0.431508,11.5
33,2010-02-03,00:00:00.00,2.52139,0.106635,0.17946,0.344265,10
34,2010-02-04,00:00:00.00,1.31329,0.106203,0.179249,0.324081,8.7
35,2010-02-05,00:00:00.00,0.0508273,0.105629,0.178402,0.323122,8
36,2010-02-06,00:00:00.00,0.00181451,0.105068,0.177407,0.322173,7.2
37,2010-02-07,00:00:00.00,0.00179054,0.104437,0.176406,0.320285,6.5
38,2010-02-08,00:00:00.00,0.00147919,0.103828,0.175358,0.31843,6
39,2010-02-09,00:00:00.00,0.000200131,0.103229,0.174342,0.316585,5.5
40,2010-02-10,00:00:00.00,1.372,0.102696,0.173397,0.314791,5.2
41,2010-02-11,00:00:00.00,2.47189,0.10219,0.172523,0.313112,4.9
42,2010-02-12,00:00:00.00,0.00115622,0.101687,0.171673,0.311522,4.7
43,2010-02-13,00:00:00.00,0.390219,0.101152,0.170794,0.309948,4.5
44,2010-02-14,00:00:00.00,0.333218,0.100596,0.169871,0.30833,4.3
45,2010-02-15,00:00:00.00,0.494319,0.10003,0.168923,0.306654,4.15
46,2010-02-16,00:00:00.00,0.601599,0.0994657,0.167969,0.30494,4.01
47,2010-02-17,00:00:00.00,0.696602,0.0988912,0.167006,0.303205,3.95
48,2010-02-18,00:00:00.00,0.0971295,0.0983007,0.166021,0.301444,3.9
49,2010-02-19,00:00:00.00,0.0677529,0.0976947,0.16501,0.299645,3.85
50,2010-02-20,00:00:00.00,0.0257584,0.097076,0.163974,0.297802,3.8
51,2010-02-21,00:00:00.00,0.00270048,0.0964396,0.162913,0.295912,3.75
52,2010-02-22,00:00:00.00,0.000371851,0.0957854,0.161821,0.293972,3.73
53,2010-02-23,00:00:00.00,13.4309,0.0951548,0.16074,0.292011,3.7
54,2010-02-24,00:00:00.00,1.08254,0.094663,0.159804,0.290158,3.67
55,2010-02-25,00:00:00.00,0.248762,0.0943919,0.159169,0.288623,3.64
56,2010-02-26,00:00:00.00,3.2591,0.0941243,0.158694,0.287436,3.61
57,2010-02-27,00:00:00.00,6.23551,0.0944566,0.158874,0.287074,3.58
58,2010-02-28,00:00:00.00,0.934995,0.0982345,0.162905,0.290579,3.55
59,2010-03-01,00:00:00.00,0.0248572,0.106935,0.174094,0.302639,3.52
60,2010-03-02,00:00:00.00,0.000535209,0.113152,0.186139,0.32063,3.5
61,2010-03-03,00:00:00.00,0.000800682,0.108339,0.185842,0.331131,3.48
62,2010-03-04,00:00:00.00,0.000526127,0.0981212,0.172609,0.324533,3.46
63,2010-03-05,00:00:00.00,0.000278414,0.0919596,0.159153,0.305961,3.44
64,2010-03-06,00:00:00.00,0.000158112,0.0900343,0.152798,0.287563,3.42
65,2010-03-07,00:00:00.00,0,0.0893645,0.150924,0.276664,3.4
66,2010-03-08,00:00:00.00,0,0.0887393,0.149906,0.272315,3.38
67,2010-03-09,00:00:00.00,0,0.0880839,0.148829,0.270333,3.36
68,2010-03-10,00:00:00.00,0.000275858,0.146988,0.208486,0.322131,5
69,2010-03-11,00:00:00.00,0.0581357,0.460287,0.562837,0.666433,8
70,2010-03-12,00:00:00.00,0.0268277,1.15864,1.47068,1.67689,13
71,2010-03-13,00:00:00.00,2.31843,1.78078,2.56242,3.25725,22
72,2010-03-14,00:00:00.00,15.4321,1.65306,2.87518,4.48327,54
73,2010-03-15,00:00:00.00,6.21609,1.04778,2.2039,4.50876,110
74,2010-03-16,00:00:00.00,0.370147,0.726444,1.45076,3.60722,161
