time,date,hour,precip [mm/day],sub676 [m3/s],sub684 [m3/s],sub684 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,4.10732,6.92253,
1,2010-01-02,00:00:00.00,5.00881,2.36672,4.96661,4.09
2,2010-01-03,00:00:00.00,0.29418,0.313562,1.74911,2.4
3,2010-01-04,00:00:00.00,0.857821,0.0328505,0.253277,2.8
4,2010-01-05,00:00:00.00,0.250144,0.0732738,0.0773833,3.3
5,2010-01-06,00:00:00.00,1.42004,0.0979918,0.152163,2.5
6,2010-01-07,00:00:00.00,0.0510851,0.111356,0.178027,1.97
7,2010-01-08,00:00:00.00,0.894369,0.111537,0.188456,1.82
8,2010-01-09,00:00:00.00,2.45391,0.111999,0.18857,1.74
9,2010-01-10,00:00:00.00,0.0180693,0.110714,0.187433,1.68
10,2010-01-11,00:00:00.00,0.0174976,0.110616,0.186517,1.61
11,2010-01-12,00:00:00.00,4.12541,0.109738,0.185521,1.8
12,2010-01-13,00:00:00.00,0.14023,0.109429,0.184648,1.78
13,2010-01-14,00:00:00.00,0.00663201,0.108755,0.183732,1.7
14,2010-01-15,00:00:00.00,0.0380911,0.108327,0.182861,1.61
15,2010-01-16,00:00:00.00,0.179826,0.107701,0.181927,1.49
16,2010-01-17,00:00:00.00,0.0626437,0.107151,0.180957,1.49
17,2010-01-18,00:00:00.00,0.0204424,0.106477,0.179898,1.47
18,2010-01-19,00:00:00.00,0.0139741,0.105836,0.178797,1.48
19,2010-01-20,00:00:00.00,1.21601,0.105151,0.177667,1.41
20,2010-01-21,00:00:00.00,0.224754,0.1045,0.176547,1.36
21,2010-01-22,00:00:00.00,0.00189164,0.103857,0.175455,1.26
22,2010-01-23,00:00:00.00,0.00271505,0.10326,0.174416,1.33
23,2010-01-24,00:00:00.00,0.0108594,0.102669,0.173414,1.3
24,2010-01-25,00:00:00.00,6.01053,0.106967,0.177404,1.35
25,2010-01-26,00:00:00.00,7.36091,0.136627,0.210141,3.99
26,2010-01-27,00:00:00.00,3.48927,0.215576,0.308974,15.8
27,2010-01-28,00:00:00.00,3.59732,0.311864,0.458191,11.4
28,2010-01-29,00:00:00.00,5.12778,0.332455,0.54531,5.83
29,2010-01-30,00:00:00.00,1.54906,0.252639,0.48255,4.61
30,2010-01-31,00:00:00.00,0.0129428,0.159366,0.334657,4.48
31,2010-02-01,00:00:00.00,6.33797,0.115294,0.223613,4.19
32,2010-02-02,00:00:00.00,0.716551,0.105986,0.183362,3.64
33,2010-02-03,00:00:00.00,2.18865,0.105375,0.177479,2.9
34,2010-02-04,00:00:00.00,1.69108,0.10494,0.177118,2.38
35,2010-02-05,00:00:00.00,0.0621202,0.104382,0.176286,2.05
36,2010-02-06,00:00:00.00,0.00263077,0.103827,0.175315,1.89
37,2010-02-07,00:00:00.00,0.00282632,0.10321,0.174329,1.71
38,2010-02-08,00:00:00.00,0.00259372,0.10261,0.173301,1.52
39,2010-02-09,00:00:00.00,0.000310029,0.102023,0.172302,1.41
40,2010-02-10,00:00:00.00,1.54237,0.101499,0.171374,1.33
41,2010-02-11,00:00:00.00,3.08461,0.101004,0.170518,1.36
42,2010-02-12,00:00:00.00,0.00178057,0.100511,0.169686,1.32
43,2010-02-13,00:00:00.00,0.633081,0.0999879,0.168825,1.28
44,2010-02-14,00:00:00.00,0.284671,0.0994432,0.167921,1.22
45,2010-02-15,00:00:00.00,0.704905,0.0988891,0.166993,1.18
46,2010-02-16,00:00:00.00,0.875793,0.098334,0.166056,1.15
47,2010-02-17,00:00:00.00,0.727349,0.0977684,0.165109,1.19
48,2010-02-18,00:00:00.00,0.145491,0.0971865,0.164139,1.26
49,2010-02-19,00:00:00.00,0.118984,0.096589,0.163142,1.21
50,2010-02-20,00:00:00.00,0.0445114,0.0959789,0.162121,1.19
51,2010-02-21,00:00:00.00,0.00468696,0.095352,0.161074,1.16
52,2010-02-22,00:00:00.00,0.000619595,0.0947085,0.16,1.18
53,2010-02-23,00:00:00.00,13.4331,0.0940601,0.15891,1.23
54,2010-02-24,00:00:00.00,0.963598,0.0934323,0.157836,1.21
