time,date,hour,precip [mm/day],02GC010 [m3/s],02GC010 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,1.42202,0.0138072,2.02
2,2010-01-03,00:00:00.00,0.439265,0.0465853,1.95
3,2010-01-04,00:00:00.00,0.828626,0.0655641,1.88
4,2010-01-05,00:00:00.00,0.294093,0.065471,1.81
5,2010-01-06,00:00:00.00,3.05565,0.0652694,1.73
6,2010-01-07,00:00:00.00,0.461294,0.0650689,1.69
7,2010-01-08,00:00:00.00,1.1881,0.0648694,1.65
8,2010-01-09,00:00:00.00,7.81371,0.0646709,1.63
9,2010-01-10,00:00:00.00,0.00812962,0.0644735,1.59
10,2010-01-11,00:00:00.00,0.0681538,0.064277,1.57
11,2010-01-12,00:00:00.00,1.7117,0.0640815,1.54
12,2010-01-13,00:00:00.00,0.486707,0.063887,1.53
13,2010-01-14,00:00:00.00,0.000482161,0.0636935,1.52
14,2010-01-15,00:00:00.00,5.32972e-05,0.0635009,1.53
15,2010-01-16,00:00:00.00,0.573313,0.0633093,1.58
16,2010-01-17,00:00:00.00,0.022528,0.0631187,1.59
17,2010-01-18,00:00:00.00,0.00190511,0.062929,1.6
18,2010-01-19,00:00:00.00,0.00101286,0.0627403,1.62
19,2010-01-20,00:00:00.00,0.0299277,0.0625525,1.6
20,2010-01-21,00:00:00.00,0.0325081,0.0623656,1.57
21,2010-01-22,00:00:00.00,0.00115586,0.0621796,1.53
22,2010-01-23,00:00:00.00,0.00101042,0.0619946,1.5
23,2010-01-24,00:00:00.00,0,0.0618104,1.53
24,2010-01-25,00:00:00.00,8.16569,0.182784,1.8
25,2010-01-26,00:00:00.00,12.7814,0.619046,14.2
26,2010-01-27,00:00:00.00,1.06539,0.872912,14
27,2010-01-28,00:00:00.00,0.648064,0.446748,7.53
28,2010-01-29,00:00:00.00,2.98964,0.0796758,4.46
29,2010-01-30,00:00:00.00,0.449854,0.0773003,3.5
30,2010-01-31,00:00:00.00,0.0101517,0.0770251,3.05
31,2010-02-01,00:00:00.00,0.467159,0.0767517,2.63
32,2010-02-02,00:00:00.00,0.708624,0.0764799,2.33
33,2010-02-03,00:00:00.00,1.11102,0.0762097,2.05
34,2010-02-04,00:00:00.00,1.72593,0.0759412,1.86
35,2010-02-05,00:00:00.00,0.0812019,0.0756742,1.77
36,2010-02-06,00:00:00.00,0.00310245,0.0754089,1.7
37,2010-02-07,00:00:00.00,0.00292399,0.0751452,1.62
38,2010-02-08,00:00:00.00,3.36683e-05,0.0748831,1.55
39,2010-02-09,00:00:00.00,0,0.0746226,1.54
40,2010-02-10,00:00:00.00,1.01627,0.0743636,1.53
41,2010-02-11,00:00:00.00,5.73354,0.0741063,1.52
42,2010-02-12,00:00:00.00,0.0414249,0.0738504,1.48
43,2010-02-13,00:00:00.00,0.238094,0.0735961,1.45
44,2010-02-14,00:00:00.00,0.516735,0.0733434,1.42
45,2010-02-15,00:00:00.00,1.07587,0.0730921,1.41
46,2010-02-16,00:00:00.00,0.69151,0.0728424,1.4
47,2010-02-17,00:00:00.00,0.472371,0.0725941,1.4
48,2010-02-18,00:00:00.00,0.35112,0.0723474,1.39
49,2010-02-19,00:00:00.00,0.0252352,0.0721021,1.39
50,2010-02-20,00:00:00.00,0.0120353,0.0718583,1.38
51,2010-02-21,00:00:00.00,0.00108535,0.071616,1.38
52,2010-02-22,00:00:00.00,2.29297e-05,0.071375,1.38
53,2010-02-23,00:00:00.00,11.0342,0.0947129,1.37
54,2010-02-24,00:00:00.00,3.11479,0.134127,1.37
55,2010-02-25,00:00:00.00,0.300293,0.120799,1.36
56,2010-02-26,00:00:00.00,0.855457,0.0816279,1.36
57,2010-02-27,00:00:00.00,4.08858,0.0715646,1.37
58,2010-02-28,00:00:00.00,1.4893,0.0712693,1.38
59,2010-03-01,00:00:00.00,0.327734,0.0710308,1.39
60,2010-03-02,00:00:00.00,0.00062588,0.0707937,1.43
61,2010-03-03,00:00:00.00,0.000283247,0.070558,1.47
62,2010-03-04,00:00:00.00,0.00106574,0.0703238,1.6
63,2010-03-05,00:00:00.00,0,0.070091,2.56
64,2010-03-06,00:00:00.00,0,0.0698595,2.88
65,2010-03-07,00:00:00.00,0.000140919,0.0696294,3.3
66,2010-03-08,00:00:00.00,0.00016654,0.0694007,4.16
67,2010-03-09,00:00:00.00,0,0.0691733,4.8
68,2010-03-10,00:00:00.00,0.0462906,0.0689473,5.12
69,2010-03-11,00:00:00.00,0.0258368,0.0687229,5.2
70,2010-03-12,00:00:00.00,0.0135577,0.0685,5.93
71,2010-03-13,00:00:00.00,0.06095,0.0682786,6.31
72,2010-03-14,00:00:00.00,18.6948,0.466591,7.37
73,2010-03-15,00:00:00.00,12.4613,1.21994,19.8
74,2010-03-16,00:00:00.00,0.130084,1.11376,20.3
75,2010-03-17,00:00:00.00,0.000378884,0.37506,13.7
76,2010-03-18,00:00:00.00,0,1.70818,9.28
77,2010-03-19,00:00:00.00,0,3.9355,7.2
78,2010-03-20,00:00:00.00,5.54507e-06,2.37864,6.02
79,2010-03-21,00:00:00.00,0.0137795,0.19221,5.06
80,2010-03-22,00:00:00.00,0.361739,0.178882,4.3
81,2010-03-23,00:00:00.00,2.43303,0.192145,3.89
82,2010-03-24,00:00:00.00,5.04644,0.323241,3.84
83,2010-03-25,00:00:00.00,0.0228965,0.464467,4.44
84,2010-03-26,00:00:00.00,0.553542,0.336869,4.17
85,2010-03-27,00:00:00.00,4.96316e-15,0.184281,3.56
86,2010-03-28,00:00:00.00,0.000114948,0.182749,3.04
87,2010-03-29,00:00:00.00,7.62369,0.374614,2.96
88,2010-03-30,00:00:00.00,4.70877,0.735654,3.92
89,2010-03-31,00:00:00.00,0.00154585,0.682793,4.62
90,2010-04-01,00:00:00.00,3.15435e-05,0.331364,4.05
91,2010-04-02,00:00:00.00,0,0.200659,3.62
92,2010-04-03,00:00:00.00,0,0.199439,3.22
93,2010-04-04,00:00:00.00,0.0514359,0.198987,2.94
94,2010-04-05,00:00:00.00,0.10705,0.198566,2.72
95,2010-04-06,00:00:00.00,0.0255883,0.198175,2.52
96,2010-04-07,00:00:00.00,17.6575,0.700976,2.86
97,2010-04-08,00:00:00.00,10.1082,1.65021,5.83
98,2010-04-09,00:00:00.00,32.9057,2.66259,24.3
99,2010-04-10,00:00:00.00,0.208868,3.32204,27.8
100,2010-04-11,00:00:00.00,0.00636935,1.91388,12.5
101,2010-04-12,00:00:00.00,0.00161387,0.4047,8.28
102,2010-04-13,00:00:00.00,0,0.39796,6.24
103,2010-04-14,00:00:00.00,0.172719,0.399973,5.02
104,2010-04-15,00:00:00.00,0,0.402077,4.2
105,2010-04-16,00:00:00.00,5.11878e-05,0.404271,3.66
106,2010-04-17,00:00:00.00,0.17262,0.406552,3.08
107,2010-04-18,00:00:00.00,1.03164,0.408916,2.89
108,2010-04-19,00:00:00.00,0.0654476,0.411362,2.65
109,2010-04-20,00:00:00.00,2.41559e-05,0.413885,2.48
110,2010-04-21,00:00:00.00,0.00071495,0.416483,2.35
111,2010-04-22,00:00:00.00,0.00480503,0.419153,2.25
112,2010-04-23,00:00:00.00,1.30718e-05,0.421892,2.17
113,2010-04-24,00:00:00.00,0,0.424697,2.1
114,2010-04-25,00:00:00.00,0.00541359,0.427566,2.02
115,2010-04-26,00:00:00.00,14.0812,0.878412,2.23
116,2010-04-27,00:00:00.00,0.920648,1.49761,2.27
117,2010-04-28,00:00:00.00,0.00178308,1.09776,2.17
118,2010-04-29,00:00:00.00,0.000550064,0.526957,2.04
119,2010-04-30,00:00:00.00,0.000254737,0.527976,1.92
120,2010-05-01,00:00:00.00,0.000902303,0.532341,1.84
121,2010-05-02,00:00:00.00,3.6551,0.542029,1.89
122,2010-05-03,00:00:00.00,0.103071,0.553721,1.89
123,2010-05-04,00:00:00.00,7.85185,0.726987,2.06
124,2010-05-05,00:00:00.00,0.972825,0.962826,2.11
125,2010-05-06,00:00:00.00,6.7228,0.947979,2.12
126,2010-05-07,00:00:00.00,6.1869,1.04575,2.53
127,2010-05-08,00:00:00.00,4.44392,1.1837,2.81
128,2010-05-09,00:00:00.00,18.5001,1.69824,4.24
129,2010-05-10,00:00:00.00,0.175708,2.41798,4.37
130,2010-05-11,00:00:00.00,4.99084e-06,1.75034,3.36
131,2010-05-12,00:00:00.00,12.9029,1.38616,3.13
132,2010-05-13,00:00:00.00,2.98282,2.04955,4.06
133,2010-05-14,00:00:00.00,9.84704,2.03929,4.64
134,2010-05-15,00:00:00.00,15.3564,2.52675,9.87
135,2010-05-16,00:00:00.00,0.0189782,3.0497,9.74
136,2010-05-17,00:00:00.00,0,2.20411,6.39
137,2010-05-18,00:00:00.00,0.005744,1.53106,4.37
138,2010-05-19,00:00:00.00,0.140633,1.53798,3.58
139,2010-05-20,00:00:00.00,0.000845827,1.54842,3.06
140,2010-05-21,00:00:00.00,0.000674716,1.55846,2.7
141,2010-05-22,00:00:00.00,0.00258457,1.56809,2.41
142,2010-05-23,00:00:00.00,12.4856,2.01841,2.48
143,2010-05-24,00:00:00.00,0.0448218,2.62261,2.49
144,2010-05-25,00:00:00.00,9.80079e-07,2.30277,2.4
145,2010-05-26,00:00:00.00,6.11137e-05,1.82535,2.25
146,2010-05-27,00:00:00.00,0.000101611,1.82987,2.07
147,2010-05-28,00:00:00.00,0.000601261,1.83668,1.97
148,2010-05-29,00:00:00.00,0.0204723,1.84338,1.86
149,2010-05-30,00:00:00.00,0.0229571,1.85186,1.73
150,2010-05-31,00:00:00.00,0.040824,1.86166,1.65
151,2010-06-01,00:00:00.00,0.00063305,1.87085,1.61
152,2010-06-02,00:00:00.00,14.2187,2.39257,2.09
153,2010-06-03,00:00:00.00,8.97236,3.35165,2.79
154,2010-06-04,00:00:00.00,2.05898,3.33036,2.69
155,2010-06-05,00:00:00.00,2.41959,2.61782,2.57
156,2010-06-06,00:00:00.00,6.63166,2.48049,2.95
157,2010-06-07,00:00:00.00,36.2406,4.58689,10.8
158,2010-06-08,00:00:00.00,0.0246845,7.09271,13.1
159,2010-06-09,00:00:00.00,0.000287343,5.75306,9.15
160,2010-06-10,00:00:00.00,9.02674,4.17478,5.27
161,2010-06-11,00:00:00.00,0.189123,4.5445,4.19
162,2010-06-12,00:00:00.00,0.049517,4.37658,3.55
163,2010-06-13,00:00:00.00,1.89616,4.09375,3.02
164,2010-06-14,00:00:00.00,5.43903,4.09173,3.1
165,2010-06-15,00:00:00.00,0.035742,4.09556,2.86
166,2010-06-16,00:00:00.00,0.0534402,4.0642,2.57
167,2010-06-17,00:00:00.00,10.474,4.35894,2.54
168,2010-06-18,00:00:00.00,0.411964,4.78364,2.49
169,2010-06-19,00:00:00.00,0.00280555,4.58822,2.26
170,2010-06-20,00:00:00.00,0.0150359,4.25853,2.03
171,2010-06-21,00:00:00.00,0.0416375,4.21198,1.87
172,2010-06-22,00:00:00.00,0.0117562,4.16617,1.72
173,2010-06-23,00:00:00.00,4.97326,4.13617,1.67
174,2010-06-24,00:00:00.00,0.000930525,4.10928,1.66
175,2010-06-25,00:00:00.00,3.17641,4.0675,1.69
176,2010-06-26,00:00:00.00,0.0448564,4.02353,1.57
177,2010-06-27,00:00:00.00,0.173709,3.98029,1.49
178,2010-06-28,00:00:00.00,0.144484,3.93777,1.52
179,2010-06-29,00:00:00.00,15.2691,4.49906,2.14
180,2010-06-30,00:00:00.00,0.0297305,5.27934,2.06
181,2010-07-01,00:00:00.00,0.000111517,4.92665,1.7
182,2010-07-02,00:00:00.00,1.78357e-05,4.34743,1.49
183,2010-07-03,00:00:00.00,0,4.29091,1.33
184,2010-07-04,00:00:00.00,0,4.23577,1.25
185,2010-07-05,00:00:00.00,0,4.18196,1.23
186,2010-07-06,00:00:00.00,0.000381416,4.12944,1.14
187,2010-07-07,00:00:00.00,0.000581506,4.07815,1.09
188,2010-07-08,00:00:00.00,0.0209049,4.02806,1.03
189,2010-07-09,00:00:00.00,0.00496778,3.97911,0.908
190,2010-07-10,00:00:00.00,26.676,5.26853,1.42
191,2010-07-11,00:00:00.00,0.00112296,7.00918,1.4
192,2010-07-12,00:00:00.00,0.0303975,6.24967,1.34
193,2010-07-13,00:00:00.00,8.01083,5.1453,1.28
194,2010-07-14,00:00:00.00,0.149266,5.26464,1.2
195,2010-07-15,00:00:00.00,0.0055547,5.17358,1.22
196,2010-07-16,00:00:00.00,0.00680902,5.00148,1.32
197,2010-07-17,00:00:00.00,18.566,5.76762,1.99
198,2010-07-18,00:00:00.00,0.00254827,6.83288,1.45
199,2010-07-19,00:00:00.00,0.0437324,6.35438,1.34
200,2010-07-20,00:00:00.00,11.6328,5.94824,1.59
201,2010-07-21,00:00:00.00,0.741393,6.37973,1.55
202,2010-07-22,00:00:00.00,0.220244,6.14221,1.35
203,2010-07-23,00:00:00.00,0.0602815,5.73932,1.23
204,2010-07-24,00:00:00.00,13.5339,6.13709,1.41
205,2010-07-25,00:00:00.00,7.64697,6.97786,1.83
206,2010-07-26,00:00:00.00,0.134908,6.81453,1.62
207,2010-07-27,00:00:00.00,7.62419e-05,6.17572,1.38
208,2010-07-28,00:00:00.00,0.0411758,6.013,1.18
209,2010-07-29,00:00:00.00,11.6119,6.26738,1.13
210,2010-07-30,00:00:00.00,0.438569,6.68919,1.18
211,2010-07-31,00:00:00.00,0.00299339,6.44412,1.78
212,2010-08-01,00:00:00.00,0.257305,6.03088,1.57
213,2010-08-02,00:00:00.00,0.232339,5.89522,1.3
214,2010-08-03,00:00:00.00,0.0447493,5.76615,1.17
215,2010-08-04,00:00:00.00,0.0832595,5.64316,1.09
216,2010-08-05,00:00:00.00,0.0244541,5.52583,1.06
217,2010-08-06,00:00:00.00,6.20297,5.47536,1.31
218,2010-08-07,00:00:00.00,0.442914,5.43867,1.15
219,2010-08-08,00:00:00.00,0.875339,5.34185,1.08
220,2010-08-09,00:00:00.00,1.229,5.23754,1.07
221,2010-08-10,00:00:00.00,2.3258,5.1376,1.07
222,2010-08-11,00:00:00.00,1.63072,5.04176,1.08
223,2010-08-12,00:00:00.00,0.00784611,4.94975,1.05
224,2010-08-13,00:00:00.00,0.00954412,4.86134,1.03
225,2010-08-14,00:00:00.00,0.00460182,4.77631,0.991
226,2010-08-15,00:00:00.00,0.0733046,4.69445,0.956
227,2010-08-16,00:00:00.00,1.23834,4.61559,0.976
228,2010-08-17,00:00:00.00,0.106152,4.53955,0.966
229,2010-08-18,00:00:00.00,0.0190994,4.46617,0.886
230,2010-08-19,00:00:00.00,0.172047,4.3953,0.841
231,2010-08-20,00:00:00.00,0.0587563,4.32682,0.84
232,2010-08-21,00:00:00.00,0.0026419,4.2606,0.841
233,2010-08-22,00:00:00.00,0.0391606,4.19651,1.13
234,2010-08-23,00:00:00.00,54.6766,7.6086,2.32
235,2010-08-24,00:00:00.00,1.31846,12.1366,2.16
236,2010-08-25,00:00:00.00,0.720498,10.3278,1.65
237,2010-08-26,00:00:00.00,0.010144,7.32514,1.41
238,2010-08-27,00:00:00.00,0.0956731,7.11304,1.27
239,2010-08-28,00:00:00.00,0.000130551,6.91408,1.19
240,2010-08-29,00:00:00.00,0,6.72704,1.13
241,2010-08-30,00:00:00.00,0,6.55086,1.08
242,2010-08-31,00:00:00.00,3.90096e-05,6.3846,1.05
243,2010-09-01,00:00:00.00,7.1579e-05,6.22741,1.08
244,2010-09-02,00:00:00.00,0.0156153,6.07855,1.03
245,2010-09-03,00:00:00.00,0.373293,5.93737,0.958
246,2010-09-04,00:00:00.00,10.384,6.15665,1.01
247,2010-09-05,00:00:00.00,0.501334,6.53472,0.922
248,2010-09-06,00:00:00.00,0.225107,6.30802,0.965
249,2010-09-07,00:00:00.00,0.241774,5.92285,0.97
250,2010-09-08,00:00:00.00,0.0022096,5.78936,0.973
251,2010-09-09,00:00:00.00,0.419221,5.66236,1.03
252,2010-09-10,00:00:00.00,0.622946,5.54137,0.931
253,2010-09-11,00:00:00.00,0.0206366,5.42596,0.94
254,2010-09-12,00:00:00.00,0.725391,5.31573,0.932
255,2010-09-13,00:00:00.00,3.5208,5.23639,0.923
256,2010-09-14,00:00:00.00,0.467136,5.16533,0.986
257,2010-09-15,00:00:00.00,0.000415159,5.07117,0.933
258,2010-09-16,00:00:00.00,1.03903e-06,4.97599,0.922
259,2010-09-17,00:00:00.00,23.9288,6.236,1.38
260,2010-09-18,00:00:00.00,0.0444307,7.94762,1.25
261,2010-09-19,00:00:00.00,0.037631,7.21018,1.21
262,2010-09-20,00:00:00.00,0.11758,5.9969,1.17
263,2010-09-21,00:00:00.00,0.0140332,5.85881,1.46
264,2010-09-22,00:00:00.00,0.00288853,5.72758,1.05
265,2010-09-23,00:00:00.00,11.1981,6.05005,1.27
266,2010-09-24,00:00:00.00,0.101331,6.55774,1.15
267,2010-09-25,00:00:00.00,0.119278,6.28551,1.11
268,2010-09-26,00:00:00.00,0.192707,5.82559,1.01
269,2010-09-27,00:00:00.00,0.512209,5.69592,1.05
270,2010-09-28,00:00:00.00,2.38863,5.58419,1.01
271,2010-09-29,00:00:00.00,24.7052,7.02658,1.48
272,2010-09-30,00:00:00.00,0.710661,8.9313,1.52
273,2010-10-01,00:00:00.00,0.0414156,8.09772,1.5
274,2010-10-02,00:00:00.00,0.00400691,6.75825,1.37
275,2010-10-03,00:00:00.00,8.56751,6.93064,1.27
276,2010-10-04,00:00:00.00,8.85707,7.85887,1.49
277,2010-10-05,00:00:00.00,0.850596,8.17901,1.48
278,2010-10-06,00:00:00.00,11.8952,8.13139,1.67
279,2010-10-07,00:00:00.00,4.60312,8.80185,1.91
280,2010-10-08,00:00:00.00,0.341373,8.53466,1.97
281,2010-10-09,00:00:00.00,0.0402775,7.76921,1.81
282,2010-10-10,00:00:00.00,0.0473181,7.52986,1.58
283,2010-10-11,00:00:00.00,0.0948904,7.30623,1.45
284,2010-10-12,00:00:00.00,1.8434,7.09678,1.41
285,2010-10-13,00:00:00.00,5.55645,7.05101,1.49
286,2010-10-14,00:00:00.00,0.357167,7.08624,1.43
287,2010-10-15,00:00:00.00,24.4637,8.66609,2.08
288,2010-10-16,00:00:00.00,0.0589644,10.711,2.39
289,2010-10-17,00:00:00.00,0.000277189,9.80862,2.48
290,2010-10-18,00:00:00.00,0.000327464,8.31908,1.97
291,2010-10-19,00:00:00.00,0.000490365,8.04435,1.7
292,2010-10-20,00:00:00.00,0.00125752,7.78887,1.56
293,2010-10-21,00:00:00.00,0.00191248,7.55066,1.47
294,2010-10-22,00:00:00.00,8.13714,7.69754,1.47
295,2010-10-23,00:00:00.00,5.58589,8.39865,1.47
296,2010-10-24,00:00:00.00,0.954191,8.40437,1.45
297,2010-10-25,00:00:00.00,1.496,7.78495,1.53
298,2010-10-26,00:00:00.00,3.56896,7.56487,1.58
299,2010-10-27,00:00:00.00,7.98918,7.88588,1.68
300,2010-10-28,00:00:00.00,1.88659,8.20294,1.88
301,2010-10-29,00:00:00.00,0.050985,7.84663,1.92
302,2010-10-30,00:00:00.00,2.91471,7.4905,2.02
303,2010-10-31,00:00:00.00,0.000142645,7.35843,1.8
304,2010-11-01,00:00:00.00,0.0361591,7.1625,1.64
305,2010-11-02,00:00:00.00,0.0172986,6.96503,1.55
306,2010-11-03,00:00:00.00,0.00339959,6.77925,1.48
307,2010-11-04,00:00:00.00,0.0607257,6.60412,1.44
308,2010-11-05,00:00:00.00,1.26336,6.4475,1.42
309,2010-11-06,00:00:00.00,2.32541,6.34571,1.41
310,2010-11-07,00:00:00.00,0.141421,6.24889,1.39
311,2010-11-08,00:00:00.00,0.056056,6.11065,1.39
312,2010-11-09,00:00:00.00,8.72116e-05,5.971,1.37
313,2010-11-10,00:00:00.00,0.0413761,5.83824,1.33
314,2010-11-11,00:00:00.00,0.00210176,5.71184,1.32
315,2010-11-12,00:00:00.00,0.0378808,5.59134,1.3
316,2010-11-13,00:00:00.00,0.0379059,5.47632,1.34
317,2010-11-14,00:00:00.00,0.828384,5.3664,1.28
318,2010-11-15,00:00:00.00,0.264218,5.26122,1.3
319,2010-11-16,00:00:00.00,0.00114779,5.16047,1.25
320,2010-11-17,00:00:00.00,2.21871,5.09964,1.37
321,2010-11-18,00:00:00.00,18.4847,6.2173,1.82
322,2010-11-19,00:00:00.00,1.4857,7.64573,1.85
323,2010-11-20,00:00:00.00,0.357865,6.99302,1.92
324,2010-11-21,00:00:00.00,0.000229141,5.97206,1.81
325,2010-11-22,00:00:00.00,0.794019,5.83745,1.67
326,2010-11-23,00:00:00.00,18.7291,6.87949,2.07
327,2010-11-24,00:00:00.00,12.1232,9.23359,5.65
328,2010-11-25,00:00:00.00,0.00848129,9.58391,6.64
329,2010-11-26,00:00:00.00,2.8948,8.15668,5
330,2010-11-27,00:00:00.00,14.0515,7.93268,6.07
331,2010-11-28,00:00:00.00,0.371075,8.16666,6.24
332,2010-11-29,00:00:00.00,0.0677788,7.81296,4.49
333,2010-11-30,00:00:00.00,0.577857,7.42125,3.2
334,2010-12-01,00:00:00.00,19.1495,8.5758,4.37
335,2010-12-02,00:00:00.00,11.9506,11.6845,11.4
336,2010-12-03,00:00:00.00,0.193198,12.6171,10.6
337,2010-12-04,00:00:00.00,0.357385,10.7324,7.03
338,2010-12-05,00:00:00.00,0.239366,9.56732,4.7
339,2010-12-06,00:00:00.00,0.398742,9.2011,3.69
340,2010-12-07,00:00:00.00,13.5982,8.88668,3.21
341,2010-12-08,00:00:00.00,3.72924,8.60074,2.7
342,2010-12-09,00:00:00.00,6.40716,8.31367,2.48
343,2010-12-10,00:00:00.00,2.82028,8.04306,2.3
