time,date,hour,precip [mm/day],02GA018 [m3/s],02GA018 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,3.84926,0.0530311,4.09
2,2010-01-03,00:00:00.00,0.63295,0.125475,2.4
3,2010-01-04,00:00:00.00,0.395528,0.145106,2.8
4,2010-01-05,00:00:00.00,0.17789,0.145587,3.3
5,2010-01-06,00:00:00.00,1.44921,0.146162,2.5
6,2010-01-07,00:00:00.00,0.275696,0.146832,1.97
7,2010-01-08,00:00:00.00,0.271647,0.147601,1.82
8,2010-01-09,00:00:00.00,4.23004,0.148469,1.74
9,2010-01-10,00:00:00.00,0.0165472,0.14944,1.68
10,2010-01-11,00:00:00.00,0.0186162,0.150514,1.61
11,2010-01-12,00:00:00.00,2.89596,0.151692,1.8
12,2010-01-13,00:00:00.00,0.518273,0.152976,1.78
13,2010-01-14,00:00:00.00,0.0027746,0.154367,1.7
14,2010-01-15,00:00:00.00,0.00135369,0.155866,1.61
15,2010-01-16,00:00:00.00,0.158832,0.157472,1.49
16,2010-01-17,00:00:00.00,0.0380131,0.159186,1.49
17,2010-01-18,00:00:00.00,0.0203715,0.161008,1.47
18,2010-01-19,00:00:00.00,0.00284587,0.162937,1.48
19,2010-01-20,00:00:00.00,0.688211,0.164973,1.41
20,2010-01-21,00:00:00.00,0.174852,0.167115,1.36
21,2010-01-22,00:00:00.00,0.00131258,0.169361,1.26
22,2010-01-23,00:00:00.00,0.00310198,0.171711,1.33
23,2010-01-24,00:00:00.00,0.0122845,0.174162,1.3
24,2010-01-25,00:00:00.00,4.40436,0.297523,1.35
25,2010-01-26,00:00:00.00,9.7671,2.11292,3.99
26,2010-01-27,00:00:00.00,2.23745,2.73094,15.8
27,2010-01-28,00:00:00.00,2.661,1.21978,11.4
28,2010-01-29,00:00:00.00,4.28097,0.789128,5.83
29,2010-01-30,00:00:00.00,1.21691,0.799451,4.61
30,2010-01-31,00:00:00.00,0.00492726,0.809407,4.48
31,2010-02-01,00:00:00.00,2.79116,0.818995,4.19
32,2010-02-02,00:00:00.00,1.82172,0.828218,3.64
33,2010-02-03,00:00:00.00,1.09584,0.837076,2.9
34,2010-02-04,00:00:00.00,2.85486,0.845573,2.38
35,2010-02-05,00:00:00.00,0.199639,0.853712,2.05
36,2010-02-06,00:00:00.00,0.00448507,0.861496,1.89
37,2010-02-07,00:00:00.00,0.000864452,0.868932,1.71
38,2010-02-08,00:00:00.00,0.00236984,0.876022,1.52
39,2010-02-09,00:00:00.00,0,0.882774,1.41
40,2010-02-10,00:00:00.00,0.489473,0.889194,1.33
41,2010-02-11,00:00:00.00,3.84171,0.895287,1.36
42,2010-02-12,00:00:00.00,0.152628,0.901061,1.32
43,2010-02-13,00:00:00.00,0.306569,0.906522,1.28
44,2010-02-14,00:00:00.00,0.338722,0.911678,1.22
45,2010-02-15,00:00:00.00,0.325552,0.916536,1.18
46,2010-02-16,00:00:00.00,0.834338,0.921103,1.15
47,2010-02-17,00:00:00.00,0.793852,0.925389,1.19
48,2010-02-18,00:00:00.00,0.0891843,0.929399,1.26
49,2010-02-19,00:00:00.00,0.0265711,0.933143,1.21
50,2010-02-20,00:00:00.00,0.04069,0.936627,1.19
51,2010-02-21,00:00:00.00,0.00342129,0.939861,1.16
52,2010-02-22,00:00:00.00,0.000269575,0.942851,1.18
53,2010-02-23,00:00:00.00,11.9226,0.945606,1.23
54,2010-02-24,00:00:00.00,3.58782,0.949777,1.21
55,2010-02-25,00:00:00.00,0.091066,0.953687,1.18
56,2010-02-26,00:00:00.00,1.89973,0.955698,1.15
57,2010-02-27,00:00:00.00,7.18604,0.957506,1.12
58,2010-02-28,00:00:00.00,1.28724,0.959119,1.09
59,2010-03-01,00:00:00.00,0.0604757,0.960543,1.21
60,2010-03-02,00:00:00.00,0.0031916,0.961786,1.4
61,2010-03-03,00:00:00.00,0.000245919,0.962855,1.43
62,2010-03-04,00:00:00.00,0.00251346,0.963755,1.5
63,2010-03-05,00:00:00.00,0.00032852,0.964494,1.57
64,2010-03-06,00:00:00.00,0.000388251,0.965079,1.59
65,2010-03-07,00:00:00.00,0,0.965515,1.59
66,2010-03-08,00:00:00.00,0,0.965808,1.79
67,2010-03-09,00:00:00.00,0,0.965964,2.14
68,2010-03-10,00:00:00.00,0,5.00748,3.25
69,2010-03-11,00:00:00.00,0.00132026,7.61853,6.09
70,2010-03-12,00:00:00.00,0.0738134,5.38525,15.9
71,2010-03-13,00:00:00.00,0.723765,4.40961,56.2
72,2010-03-14,00:00:00.00,11.0649,4.82201,90.4
73,2010-03-15,00:00:00.00,10.6025,6.15892,105
74,2010-03-16,00:00:00.00,0.252342,6.44538,52.9
75,2010-03-17,00:00:00.00,0.00133645,5.69457,29.1
76,2010-03-18,00:00:00.00,0.000448166,5.17719,18.6
77,2010-03-19,00:00:00.00,3.26522e-308,4.75398,13.4
78,2010-03-20,00:00:00.00,6.5304e-308,4.40221,9.64
79,2010-03-21,00:00:00.00,0.164696,4.10583,7.16
80,2010-03-22,00:00:00.00,0.360615,3.85319,5.65
81,2010-03-23,00:00:00.00,4.78898,3.84298,4.61
82,2010-03-24,00:00:00.00,0.0962158,3.83547,4.32
83,2010-03-25,00:00:00.00,0.0335106,3.62281,3.96
84,2010-03-26,00:00:00.00,0.00174601,3.4378,3.45
85,2010-03-27,00:00:00.00,0.000265486,3.27558,3
86,2010-03-28,00:00:00.00,0.00148146,3.13236,2.55
87,2010-03-29,00:00:00.00,4.30174,3.12625,2.35
88,2010-03-30,00:00:00.00,4.13248,3.29905,2.71
89,2010-03-31,00:00:00.00,4.0266e-308,3.3327,2.8
90,2010-04-01,00:00:00.00,3.92117e-308,3.18573,2.65
91,2010-04-02,00:00:00.00,0.0104885,3.05533,2.44
92,2010-04-03,00:00:00.00,0.0020977,2.93896,2.22
93,2010-04-04,00:00:00.00,0.193951,2.83456,2.01
94,2010-04-05,00:00:00.00,0.363996,2.74046,1.84
95,2010-04-06,00:00:00.00,0.108895,2.65526,1.69
96,2010-04-07,00:00:00.00,16.5198,4.01252,2.17
97,2010-04-08,00:00:00.00,2.26587,4.763,3.64
