time,date,hour,precip [mm/day],02GB007 [m3/s],02GB007 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,1.78874,0.000308251,2.5
2,2010-01-03,00:00:00.00,0.159852,0.000927718,2.2
3,2010-01-04,00:00:00.00,0.115594,0.00123623,1.85
4,2010-01-05,00:00:00.00,0.0644201,0.00123083,1.65
5,2010-01-06,00:00:00.00,2.46143,0.00122546,1.5
6,2010-01-07,00:00:00.00,0.865784,0.00122011,1.38
7,2010-01-08,00:00:00.00,0.495045,0.0012148,1.3
8,2010-01-09,00:00:00.00,5.10285,0.00120951,1.25
9,2010-01-10,00:00:00.00,0.00325152,0.00120425,1.2
10,2010-01-11,00:00:00.00,0.0255741,0.00119902,1.15
11,2010-01-12,00:00:00.00,2.49769,0.00119381,1.12
12,2010-01-13,00:00:00.00,1.34577,0.00118864,1.15
13,2010-01-14,00:00:00.00,0.0282488,0.00118349,1.12
14,2010-01-15,00:00:00.00,0.0070885,0.00117836,1.11
15,2010-01-16,00:00:00.00,0.0733917,0.00117326,1.18
16,2010-01-17,00:00:00.00,0.00711728,0.00116819,1.27
17,2010-01-18,00:00:00.00,0.0218338,0.00116314,1.24
18,2010-01-19,00:00:00.00,0.0249258,0.00115812,1.22
19,2010-01-20,00:00:00.00,0.291963,0.00115313,1.21
20,2010-01-21,00:00:00.00,0.117313,0.00114816,1.18
21,2010-01-22,00:00:00.00,0.0302938,0.00114321,1.13
22,2010-01-23,00:00:00.00,0.00714415,0.00113829,1.1
23,2010-01-24,00:00:00.00,0.00560313,0.0011334,1.12
24,2010-01-25,00:00:00.00,5.79995,0.181138,1.21
25,2010-01-26,00:00:00.00,14.4316,3.34248,9
26,2010-01-27,00:00:00.00,0.900495,4.98471,14.3
27,2010-01-28,00:00:00.00,1.02885,1.84287,9.5
28,2010-01-29,00:00:00.00,1.09688,0.0390966,5.2
29,2010-01-30,00:00:00.00,0.662128,0.0371067,4.1
30,2010-01-31,00:00:00.00,0.00301484,0.0352598,3.1
31,2010-02-01,00:00:00.00,0.303274,0.0335413,2.7
32,2010-02-02,00:00:00.00,0.771612,0.0319385,2.35
33,2010-02-03,00:00:00.00,1.01536,0.0304405,2
34,2010-02-04,00:00:00.00,1.81026,0.0290373,1.8
35,2010-02-05,00:00:00.00,0.0052812,0.0277204,1.61
36,2010-02-06,00:00:00.00,0.0156148,0.0264825,1.45
37,2010-02-07,00:00:00.00,0.0227863,0.0253172,1.3
38,2010-02-08,00:00:00.00,0.00515638,0.0242182,1.22
39,2010-02-09,00:00:00.00,0,0.0231802,1.1
40,2010-02-10,00:00:00.00,0.302981,0.0221982,1.01
41,2010-02-11,00:00:00.00,2.87774,0.021268,0.98
42,2010-02-12,00:00:00.00,0.0998096,0.0203856,0.94
43,2010-02-13,00:00:00.00,0.0514753,0.0195477,0.89
44,2010-02-14,00:00:00.00,0.0949173,0.0187509,0.87
45,2010-02-15,00:00:00.00,0.255496,0.0179922,0.84
46,2010-02-16,00:00:00.00,0.149335,0.0172691,0.836
47,2010-02-17,00:00:00.00,0.265344,0.0165794,0.82
48,2010-02-18,00:00:00.00,0.147173,0.015921,0.81
49,2010-02-19,00:00:00.00,0.0155043,0.0152917,0.8
50,2010-02-20,00:00:00.00,0.0115555,0.0146896,0.81
51,2010-02-21,00:00:00.00,0.00027273,0.0141125,0.815
52,2010-02-22,00:00:00.00,2.22875e-308,0.0135584,0.83
53,2010-02-23,00:00:00.00,8.69476,0.0413728,0.855
54,2010-02-24,00:00:00.00,3.8319,0.124381,0.875
55,2010-02-25,00:00:00.00,0.332247,0.135847,0.89
56,2010-02-26,00:00:00.00,2.20611,0.0530372,0.915
57,2010-02-27,00:00:00.00,7.82192,0.178339,0.925
58,2010-02-28,00:00:00.00,1.55612,0.276778,0.95
59,2010-03-01,00:00:00.00,0.279008,0.668096,0.98
60,2010-03-02,00:00:00.00,0.010217,0.902129,1.05
61,2010-03-03,00:00:00.00,0.000478429,0.350948,1.19
62,2010-03-04,00:00:00.00,8.59914e-308,0.022643,1.3
63,2010-03-05,00:00:00.00,0.000101626,0.0214248,1.45
64,2010-03-06,00:00:00.00,0,0.0202768,1.62
65,2010-03-07,00:00:00.00,0,0.0191933,1.85
66,2010-03-08,00:00:00.00,0,0.0181685,2.19
67,2010-03-09,00:00:00.00,0,2.20981,2.48
68,2010-03-10,00:00:00.00,0.00192949,4.05502,2.9
69,2010-03-11,00:00:00.00,0.000193048,2.20809,3.28
70,2010-03-12,00:00:00.00,0.12139,0.376443,4
71,2010-03-13,00:00:00.00,2.95781,0.313358,5.2
72,2010-03-14,00:00:00.00,24.4692,3.3915,11.3
73,2010-03-15,00:00:00.00,25.5194,8.18263,40
74,2010-03-16,00:00:00.00,0.790553,7.22259,62.5
75,2010-03-17,00:00:00.00,0.00616292,2.40048,53
76,2010-03-18,00:00:00.00,0.000387571,0.518562,31.1
77,2010-03-19,00:00:00.00,0.000604746,0.515709,21.7
78,2010-03-20,00:00:00.00,0.000738626,0.512801,19.9
79,2010-03-21,00:00:00.00,0.0428356,0.509846,18.2
80,2010-03-22,00:00:00.00,0.222011,0.506851,16.6
81,2010-03-23,00:00:00.00,2.80231,0.512494,15.1
82,2010-03-24,00:00:00.00,1.14469,0.518032,13.6
83,2010-03-25,00:00:00.00,0.115455,0.514797,12.1
84,2010-03-26,00:00:00.00,0.040052,0.51154,10.8
85,2010-03-27,00:00:00.00,0.000335343,0.508266,9.55
86,2010-03-28,00:00:00.00,4e-308,0.504979,8.35
87,2010-03-29,00:00:00.00,2.52084,0.508942,7.19
88,2010-03-30,00:00:00.00,2.93398,0.544535,6.13
89,2010-03-31,00:00:00.00,1.9159e-308,0.553342,5.38
90,2010-04-01,00:00:00.00,2.92212e-308,0.530355,5.07
91,2010-04-02,00:00:00.00,0.0205091,0.526729,4.67
92,2010-04-03,00:00:00.00,0.0395137,0.523101,4.2
93,2010-04-04,00:00:00.00,0.0448938,0.519474,3.94
94,2010-04-05,00:00:00.00,0.127497,0.51585,3.8
95,2010-04-06,00:00:00.00,0.0889472,0.512234,3.52
96,2010-04-07,00:00:00.00,17.2578,2.32293,4.46
97,2010-04-08,00:00:00.00,5.60221,3.76241,8.6
98,2010-04-09,00:00:00.00,24.7243,5.5673,18.2
99,2010-04-10,00:00:00.00,0.0909205,6.23911,23.1
100,2010-04-11,00:00:00.00,0.0550061,3.36667,20.6
101,2010-04-12,00:00:00.00,0.00639822,1.97916,12.6
102,2010-04-13,00:00:00.00,1.6438e-308,1.93745,8.72
103,2010-04-14,00:00:00.00,4.2523e-308,1.89707,6.7
104,2010-04-15,00:00:00.00,3.1117e-308,1.85797,5.38
105,2010-04-16,00:00:00.00,0,1.82011,4.52
106,2010-04-17,00:00:00.00,0.0188652,1.78345,3.96
107,2010-04-18,00:00:00.00,0.0952378,1.74792,3.66
108,2010-04-19,00:00:00.00,0.0346563,1.7135,3.49
109,2010-04-20,00:00:00.00,0.000387038,1.68014,3.32
110,2010-04-21,00:00:00.00,0.101135,1.64779,3.15
111,2010-04-22,00:00:00.00,0.00261088,1.61643,2.98
112,2010-04-23,00:00:00.00,0.00308447,1.586,2.81
113,2010-04-24,00:00:00.00,3.223e-308,1.55648,2.65
114,2010-04-25,00:00:00.00,0.000609196,1.52784,2.48
115,2010-04-26,00:00:00.00,9.51134,2.058,2.31
116,2010-04-27,00:00:00.00,0.384766,2.24494,2.15
117,2010-04-28,00:00:00.00,0,1.82283,2
118,2010-04-29,00:00:00.00,0,1.74083,1.85
119,2010-04-30,00:00:00.00,0,1.70692,1.71
120,2010-05-01,00:00:00.00,2e-308,1.67403,1.57
121,2010-05-02,00:00:00.00,0.890973,1.64212,1.49
122,2010-05-03,00:00:00.00,0.11394,1.61115,1.64
123,2010-05-04,00:00:00.00,7.79191,1.75587,1.76
124,2010-05-05,00:00:00.00,0.0314123,1.83033,1.74
125,2010-05-06,00:00:00.00,6.91359,1.82349,1.58
126,2010-05-07,00:00:00.00,3.94231,1.90963,2.39
127,2010-05-08,00:00:00.00,4.35889,1.95064,1.72
128,2010-05-09,00:00:00.00,19.5732,4.43345,3.52
129,2010-05-10,00:00:00.00,0.00975481,5.74289,3.85
130,2010-05-11,00:00:00.00,0.00154577,3.84439,3.7
131,2010-05-12,00:00:00.00,2.88959,3.05508,3.19
132,2010-05-13,00:00:00.00,3.74001,3.03279,3.17
133,2010-05-14,00:00:00.00,6.42507,3.16324,2.83
134,2010-05-15,00:00:00.00,7.38957,3.57252,4.08
135,2010-05-16,00:00:00.00,0.00671911,3.66886,4.5
136,2010-05-17,00:00:00.00,0,3.42074,3.81
137,2010-05-18,00:00:00.00,0,3.30926,3.18
138,2010-05-19,00:00:00.00,1.35e-308,3.20375,2.65
139,2010-05-20,00:00:00.00,1.79e-308,3.10376,2.24
140,2010-05-21,00:00:00.00,3.6e-308,3.00889,1.91
141,2010-05-22,00:00:00.00,0.0359586,2.9188,1.67
142,2010-05-23,00:00:00.00,6.35333,2.93412,1.55
143,2010-05-24,00:00:00.00,0.211897,2.94887,1.88
144,2010-05-25,00:00:00.00,0,2.8621,1.57
145,2010-05-26,00:00:00.00,0,2.77952,1.43
146,2010-05-27,00:00:00.00,0,2.70084,1.29
147,2010-05-28,00:00:00.00,0.00214959,2.62583,1.16
148,2010-05-29,00:00:00.00,0.0476629,2.55424,1.05
149,2010-05-30,00:00:00.00,0.0371268,2.48587,0.95
150,2010-05-31,00:00:00.00,0.022625,2.42052,0.872
151,2010-06-01,00:00:00.00,0.0070544,2.358,0.852
152,2010-06-02,00:00:00.00,15.4896,3.46985,2.38
153,2010-06-03,00:00:00.00,14.2574,5.73209,1.82
154,2010-06-04,00:00:00.00,20.715,8.5481,3.28
155,2010-06-05,00:00:00.00,2.65692,8.3484,5.42
156,2010-06-06,00:00:00.00,12.7326,6.66904,6.23
157,2010-06-07,00:00:00.00,27.0071,11.3793,15.2
158,2010-06-08,00:00:00.00,0.0234541,13.4752,15.3
159,2010-06-09,00:00:00.00,0.0729515,10.3931,10.1
160,2010-06-10,00:00:00.00,9.18107,9.98167,7.77
161,2010-06-11,00:00:00.00,4.08764,9.91965,6.81
162,2010-06-12,00:00:00.00,1.41306e-308,9.25189,6.36
163,2010-06-13,00:00:00.00,4.98509,8.70068,5.83
164,2010-06-14,00:00:00.00,0.969476,8.21185,5.38
165,2010-06-15,00:00:00.00,0.114683,7.69924,4.35
166,2010-06-16,00:00:00.00,0.00491072,7.23973,3.64
167,2010-06-17,00:00:00.00,11.0916,7.41874,3.65
168,2010-06-18,00:00:00.00,0.51867,7.58068,3.56
169,2010-06-19,00:00:00.00,0.00036593,7.13488,2.89
170,2010-06-20,00:00:00.00,0.142803,6.73263,2.46
171,2010-06-21,00:00:00.00,0.0472811,6.36809,2.06
172,2010-06-22,00:00:00.00,4.9751e-308,6.0364,1.71
173,2010-06-23,00:00:00.00,11.2588,6.23615,2
174,2010-06-24,00:00:00.00,0.10531,6.41905,2.72
175,2010-06-25,00:00:00.00,2.50331,6.0844,2.13
176,2010-06-26,00:00:00.00,0.00504194,5.77878,1.89
177,2010-06-27,00:00:00.00,1.55454,5.49873,1.57
178,2010-06-28,00:00:00.00,0.109259,5.2413,1.32
179,2010-06-29,00:00:00.00,11.7838,5.50321,2.06
180,2010-06-30,00:00:00.00,0.0707811,5.7447,1.71
181,2010-07-01,00:00:00.00,0.060422,5.46874,1.44
182,2010-07-02,00:00:00.00,0.0018162,5.21483,1.22
183,2010-07-03,00:00:00.00,0.0500757,4.98055,1.06
184,2010-07-04,00:00:00.00,0,4.7638,0.924
185,2010-07-05,00:00:00.00,0.00107288,4.56275,0.828
186,2010-07-06,00:00:00.00,0.00169383,4.37584,0.768
187,2010-07-07,00:00:00.00,0.0017001,4.20168,0.713
188,2010-07-08,00:00:00.00,0.0402726,4.03909,0.684
189,2010-07-09,00:00:00.00,0.0527753,3.887,0.644
190,2010-07-10,00:00:00.00,34.7033,8.65102,1.83
191,2010-07-11,00:00:00.00,0.0494325,11.6322,1.49
192,2010-07-12,00:00:00.00,2.69499,8.41528,0.777
193,2010-07-13,00:00:00.00,5.55249,6.96551,0.699
194,2010-07-14,00:00:00.00,0.51395,6.68804,0.768
195,2010-07-15,00:00:00.00,0.0133556,6.32875,0.676
196,2010-07-16,00:00:00.00,0.00491966,6.00158,0.618
197,2010-07-17,00:00:00.00,9.7918,6.08641,0.746
198,2010-07-18,00:00:00.00,2.35625,6.16433,3.64
199,2010-07-19,00:00:00.00,0.0684929,5.85227,9.46
200,2010-07-20,00:00:00.00,5.38595,5.64514,2.91
201,2010-07-21,00:00:00.00,0.0494566,5.45513,1.48
202,2010-07-22,00:00:00.00,0.0313231,5.20167,1.04
203,2010-07-23,00:00:00.00,0.0145972,4.96784,0.86
204,2010-07-24,00:00:00.00,14.4529,5.66494,1.89
205,2010-07-25,00:00:00.00,14.5803,7.84904,2.13
206,2010-07-26,00:00:00.00,0.359813,8.08183,1.48
207,2010-07-27,00:00:00.00,7.7363e-308,6.74905,1.48
208,2010-07-28,00:00:00.00,0,6.38474,1.47
209,2010-07-29,00:00:00.00,25.9531,9.51189,2.05
210,2010-07-30,00:00:00.00,0.328636,11.3119,8.01
211,2010-07-31,00:00:00.00,0.0328629,9.22152,4.03
212,2010-08-01,00:00:00.00,0.0912172,8.3534,2.17
213,2010-08-02,00:00:00.00,0.0145148,7.8266,1.54
214,2010-08-03,00:00:00.00,0.00500216,7.35491,1.28
215,2010-08-04,00:00:00.00,0.00364771,6.93044,1.08
216,2010-08-05,00:00:00.00,0.00199361,6.54669,0.907
217,2010-08-06,00:00:00.00,0.116182,6.1983,0.969
218,2010-08-07,00:00:00.00,0.0169814,5.8808,1.19
219,2010-08-08,00:00:00.00,0.0752704,5.59042,0.749
220,2010-08-09,00:00:00.00,0.612051,5.32395,0.639
221,2010-08-10,00:00:00.00,13.396,5.77614,0.618
222,2010-08-11,00:00:00.00,0.302633,6.12911,1.57
223,2010-08-12,00:00:00.00,0.0174086,5.75755,1.23
224,2010-08-13,00:00:00.00,0.189489,5.47992,0.81
225,2010-08-14,00:00:00.00,0.166721,5.22458,0.65
226,2010-08-15,00:00:00.00,0.00248587,4.98906,0.563
227,2010-08-16,00:00:00.00,0.374373,4.77124,0.522
228,2010-08-17,00:00:00.00,0.0553437,4.56928,0.53
229,2010-08-18,00:00:00.00,0.0478227,4.38159,0.487
230,2010-08-19,00:00:00.00,0.00243588,4.20676,0.448
231,2010-08-20,00:00:00.00,7.243e-308,4.04358,0.444
232,2010-08-21,00:00:00.00,0.00260106,3.89096,0.433
233,2010-08-22,00:00:00.00,5.07196,3.81447,0.452
234,2010-08-23,00:00:00.00,29.3275,7.83651,4.32
235,2010-08-24,00:00:00.00,2.73448,10.1839,2.18
236,2010-08-25,00:00:00.00,0.305778,7.45098,1.14
237,2010-08-26,00:00:00.00,0.00729737,6.22947,0.85
238,2010-08-27,00:00:00.00,0.00123305,5.91192,0.705
239,2010-08-28,00:00:00.00,0,5.6213,0.618
240,2010-08-29,00:00:00.00,0,5.35446,0.548
241,2010-08-30,00:00:00.00,0,5.1087,0.507
242,2010-08-31,00:00:00.00,0.000974616,4.88173,0.478
243,2010-09-01,00:00:00.00,0.00187157,4.67158,0.45
244,2010-09-02,00:00:00.00,0.000861006,4.47651,0.428
245,2010-09-03,00:00:00.00,0.818325,4.29503,0.405
246,2010-09-04,00:00:00.00,11.1323,4.60738,0.42
247,2010-09-05,00:00:00.00,4.42313,4.9721,0.47
248,2010-09-06,00:00:00.00,1.96839,4.83093,0.51
249,2010-09-07,00:00:00.00,0.290998,4.62647,0.55
250,2010-09-08,00:00:00.00,0.0207138,4.43639,0.53
251,2010-09-09,00:00:00.00,1.85304,4.25931,0.5
252,2010-09-10,00:00:00.00,0.576929,4.094,0.449
253,2010-09-11,00:00:00.00,0.0897876,3.93937,0.452
254,2010-09-12,00:00:00.00,0.0624749,3.79447,0.448
255,2010-09-13,00:00:00.00,4.88012,3.76552,0.552
256,2010-09-14,00:00:00.00,2.22467,3.73867,0.517
257,2010-09-15,00:00:00.00,0.00316372,3.60666,0.469
258,2010-09-16,00:00:00.00,0.00293718,3.48239,0.421
259,2010-09-17,00:00:00.00,23.4262,6.36283,0.938
260,2010-09-18,00:00:00.00,0.399167,8.04955,1.85
261,2010-09-19,00:00:00.00,0.107116,6.02484,0.966
262,2010-09-20,00:00:00.00,0.163721,5.13614,0.768
263,2010-09-21,00:00:00.00,0.0957075,4.90897,0.634
264,2010-09-22,00:00:00.00,0.32473,4.69851,0.55
265,2010-09-23,00:00:00.00,5.07512,4.6366,0.568
266,2010-09-24,00:00:00.00,0.419792,4.57922,0.705
267,2010-09-25,00:00:00.00,0.0878365,4.3924,0.567
268,2010-09-26,00:00:00.00,0.369492,4.21826,0.499
269,2010-09-27,00:00:00.00,0.056646,4.05562,0.475
270,2010-09-28,00:00:00.00,4.86634,4.04848,0.509
271,2010-09-29,00:00:00.00,26.9131,8.16967,1.42
272,2010-09-30,00:00:00.00,0.175582,10.4458,3.06
273,2010-10-01,00:00:00.00,0.00011839,7.68958,2.15
274,2010-10-02,00:00:00.00,2e-308,6.52685,1.65
275,2010-10-03,00:00:00.00,6.04586,6.52348,1.19
276,2010-10-04,00:00:00.00,2.59712,6.60525,1.77
277,2010-10-05,00:00:00.00,0.698998,6.33899,2.36
278,2010-10-06,00:00:00.00,8.07249,6.50721,2.29
279,2010-10-07,00:00:00.00,7.14407,7.11477,4.49
280,2010-10-08,00:00:00.00,0.119965,7.17068,3.96
281,2010-10-09,00:00:00.00,0.0375456,6.76652,3.13
282,2010-10-10,00:00:00.00,2.47432e-308,6.40021,2.38
283,2010-10-11,00:00:00.00,0.0346736,6.06688,1.96
284,2010-10-12,00:00:00.00,3.34269,5.87364,1.82
285,2010-10-13,00:00:00.00,1.61696,5.70499,2.18
286,2010-10-14,00:00:00.00,0.174423,5.43913,2.01
287,2010-10-15,00:00:00.00,31.808,10.4509,5.07
288,2010-10-16,00:00:00.00,0.0545352,13.5908,7.63
289,2010-10-17,00:00:00.00,5.53865e-308,10.3398,5.71
290,2010-10-18,00:00:00.00,0.00315418,8.788,4.18
291,2010-10-19,00:00:00.00,0.000109814,8.2133,3.36
292,2010-10-20,00:00:00.00,0.00566151,7.70087,2.81
293,2010-10-21,00:00:00.00,0.062347,7.24151,2.39
294,2010-10-22,00:00:00.00,5.87203,7.20045,2.44
295,2010-10-23,00:00:00.00,0.418193,7.16413,2.71
296,2010-10-24,00:00:00.00,1.66238,6.78718,2.73
297,2010-10-25,00:00:00.00,2.59546,6.52669,2.66
298,2010-10-26,00:00:00.00,3.08774,6.37153,2.83
299,2010-10-27,00:00:00.00,6.04824,6.48668,2.99
300,2010-10-28,00:00:00.00,2.13758,6.53777,3.65
301,2010-10-29,00:00:00.00,0.373332,6.24767,3.59
302,2010-10-30,00:00:00.00,0.698111,5.92792,3.31
303,2010-10-31,00:00:00.00,0,5.63542,2.81
304,2010-11-01,00:00:00.00,0.0033139,5.36696,2.46
305,2010-11-02,00:00:00.00,1.91448e-308,5.11982,2.21
306,2010-11-03,00:00:00.00,0.129147,4.89166,1.99
307,2010-11-04,00:00:00.00,0.410277,4.68047,1.87
308,2010-11-05,00:00:00.00,1.89231,4.53238,1.74
309,2010-11-06,00:00:00.00,8.39209,4.78713,1.97
310,2010-11-07,00:00:00.00,0.0687259,4.97658,2.06
311,2010-11-08,00:00:00.00,2.75108e-308,4.76115,1.86
312,2010-11-09,00:00:00.00,0.0325038,4.56125,1.83
313,2010-11-10,00:00:00.00,0.0290903,4.37532,1.72
314,2010-11-11,00:00:00.00,0.0023377,4.20201,1.61
315,2010-11-12,00:00:00.00,0.000143884,4.04014,1.59
316,2010-11-13,00:00:00.00,0.00121188,3.88866,1.46
317,2010-11-14,00:00:00.00,0.00743407,3.74665,1.44
318,2010-11-15,00:00:00.00,0.746605,3.61328,1.41
319,2010-11-16,00:00:00.00,0.012648,3.48784,1.39
320,2010-11-17,00:00:00.00,2.44835,3.43525,1.41
321,2010-11-18,00:00:00.00,19.9325,6.09537,3.95
322,2010-11-19,00:00:00.00,0.283673,7.50979,4.46
