time,date,hour,precip [mm/day],02GD004 [m3/s],02GD004 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,4.15091,0.0225528,1.95
2,2010-01-03,00:00:00.00,1.51868,0.0449844,1.86
3,2010-01-04,00:00:00.00,1.06458,0.0447426,1.79
4,2010-01-05,00:00:00.00,0.296104,0.0445018,1.72
5,2010-01-06,00:00:00.00,2.27437,0.0442621,1.66
6,2010-01-07,00:00:00.00,0.384787,0.0440236,1.6
7,2010-01-08,00:00:00.00,1.39801,0.0437862,1.55
8,2010-01-09,00:00:00.00,7.51857,0.0435501,1.5
9,2010-01-10,00:00:00.00,0.0230053,0.0433152,1.46
10,2010-01-11,00:00:00.00,0.0172368,0.0430817,1.42
11,2010-01-12,00:00:00.00,0.989202,0.0428496,1.38
12,2010-01-13,00:00:00.00,0.25355,0.0426188,1.35
13,2010-01-14,00:00:00.00,0.0138556,0.0423896,1.32
14,2010-01-15,00:00:00.00,5.22688e-08,0.0421618,1.29
15,2010-01-16,00:00:00.00,0.231413,0.0419356,1.26
16,2010-01-17,00:00:00.00,0.0218233,0.0417111,1.24
17,2010-01-18,00:00:00.00,0.00860489,0.0414882,1.22
18,2010-01-19,00:00:00.00,0.00808715,0.041267,1.2
19,2010-01-20,00:00:00.00,0.301916,0.0410476,1.18
20,2010-01-21,00:00:00.00,0.365033,0.04083,1.17
21,2010-01-22,00:00:00.00,0,0.0406143,1.16
22,2010-01-23,00:00:00.00,0.000246556,0.0404004,1.15
23,2010-01-24,00:00:00.00,0.00212088,0.0401885,1.14
24,2010-01-25,00:00:00.00,5.76841,0.186769,1.28
25,2010-01-26,00:00:00.00,9.25695,1.43913,8.97
26,2010-01-27,00:00:00.00,1.99544,1.30609,9.83
27,2010-01-28,00:00:00.00,2.56945,0.0673852,4.45
28,2010-01-29,00:00:00.00,3.06739,0.067392,2.96
29,2010-01-30,00:00:00.00,2.58057,0.0674155,2.57
30,2010-01-31,00:00:00.00,0.0387864,0.0674554,2.37
31,2010-02-01,00:00:00.00,1.40869,0.0675117,2.2
32,2010-02-02,00:00:00.00,1.83711,0.0675844,2.04
33,2010-02-03,00:00:00.00,1.29543,0.0676733,1.93
34,2010-02-04,00:00:00.00,2.57572,0.0677784,1.83
35,2010-02-05,00:00:00.00,0.179338,0.0678996,1.75
36,2010-02-06,00:00:00.00,0.00212426,0.0680366,1.68
37,2010-02-07,00:00:00.00,0.000651208,0.0681895,1.61
38,2010-02-08,00:00:00.00,0.000773554,0.068358,1.56
39,2010-02-09,00:00:00.00,0,0.0685419,1.51
40,2010-02-10,00:00:00.00,0.817937,0.0687411,1.47
41,2010-02-11,00:00:00.00,5.25361,0.0689554,1.43
42,2010-02-12,00:00:00.00,0.161439,0.0691845,1.39
43,2010-02-13,00:00:00.00,0.179391,0.0694283,1.36
44,2010-02-14,00:00:00.00,0.706179,0.0696864,1.33
45,2010-02-15,00:00:00.00,1.01374,0.0703878,1.3
46,2010-02-16,00:00:00.00,0.723786,0.0717899,1.27
47,2010-02-17,00:00:00.00,0.884646,0.0734628,1.24
48,2010-02-18,00:00:00.00,0.320918,0.0751475,1.22
49,2010-02-19,00:00:00.00,0.0493946,0.0768436,1.2
50,2010-02-20,00:00:00.00,0.0180798,0.0785503,1.18
51,2010-02-21,00:00:00.00,0.0063939,0.080267,1.16
52,2010-02-22,00:00:00.00,0.000207044,0.0819932,1.14
53,2010-02-23,00:00:00.00,13.8473,0.126441,1.12
54,2010-02-24,00:00:00.00,2.93101,0.130022,1.11
55,2010-02-25,00:00:00.00,0.0688415,0.0909316,1.1
56,2010-02-26,00:00:00.00,0.606285,0.092758,1.09
57,2010-02-27,00:00:00.00,5.05413,0.0945901,1.08
58,2010-02-28,00:00:00.00,1.88504,0.0964274,1.07
59,2010-03-01,00:00:00.00,0.230147,0.0982691,1.06
60,2010-03-02,00:00:00.00,0.00149959,0.100114,1.06
61,2010-03-03,00:00:00.00,5.14207e-06,0.101963,1.1
62,2010-03-04,00:00:00.00,0.00242249,0.103814,1.18
63,2010-03-05,00:00:00.00,5.06388e-05,0.105666,1.3
64,2010-03-06,00:00:00.00,3.49232e-05,0.107519,1.42
65,2010-03-07,00:00:00.00,0,0.109373,1.53
66,2010-03-08,00:00:00.00,0,0.111226,1.82
67,2010-03-09,00:00:00.00,0,0.113078,2.54
68,2010-03-10,00:00:00.00,0.00992406,2.48524,4.82
69,2010-03-11,00:00:00.00,0.0256471,2.81013,8.19
70,2010-03-12,00:00:00.00,0.0126613,0.695043,12.5
71,2010-03-13,00:00:00.00,0.120388,0.62686,15.7
72,2010-03-14,00:00:00.00,14.5132,1.51441,16.7
73,2010-03-15,00:00:00.00,10.9639,2.26642,31.6
74,2010-03-16,00:00:00.00,0.229488,1.73017,27.9
75,2010-03-17,00:00:00.00,0.000570164,1.31786,15.1
76,2010-03-18,00:00:00.00,8.45007e-06,1.2963,9.95
77,2010-03-19,00:00:00.00,0,1.27569,7.64
78,2010-03-20,00:00:00.00,8.97277e-07,1.25597,6.03
79,2010-03-21,00:00:00.00,0.178438,1.23708,4.79
80,2010-03-22,00:00:00.00,0.287468,1.21895,3.9
81,2010-03-23,00:00:00.00,4.32629,1.24762,3.5
82,2010-03-24,00:00:00.00,0.311588,1.27491,3.59
83,2010-03-25,00:00:00.00,0.0152254,1.25483,3.15
84,2010-03-26,00:00:00.00,0.044158,1.23561,2.76
85,2010-03-27,00:00:00.00,0.00291833,1.21718,2.39
86,2010-03-28,00:00:00.00,0.000485009,1.1995,2.02
87,2010-03-29,00:00:00.00,6.2057,1.34186,2.01
88,2010-03-30,00:00:00.00,2.81534,1.43606,2.54
89,2010-03-31,00:00:00.00,2.53316e-05,1.36643,2.39
90,2010-04-01,00:00:00.00,3.07392e-07,1.34145,2.22
91,2010-04-02,00:00:00.00,0.000278259,1.31768,2
92,2010-04-03,00:00:00.00,5.56518e-05,1.29504,1.84
93,2010-04-04,00:00:00.00,0.190165,1.27344,1.72
94,2010-04-05,00:00:00.00,0.518074,1.25281,1.76
95,2010-04-06,00:00:00.00,0.037381,1.23307,1.58
96,2010-04-07,00:00:00.00,22.9086,2.8479,2.98
97,2010-04-08,00:00:00.00,4.26393,3.40251,5.88
