time,date,hour,precip [mm/day],02GG006 [m3/s],02GG006 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,1.28159,0.000206871,0.7
2,2010-01-03,00:00:00.00,7.0876,0.000413897,0.6
3,2010-01-04,00:00:00.00,10.7272,0.000414207,0.54
4,2010-01-05,00:00:00.00,10.7105,0.000414515,0.48
5,2010-01-06,00:00:00.00,11.7913,0.000414822,0.44
6,2010-01-07,00:00:00.00,0.992188,0.000415129,0.41
7,2010-01-08,00:00:00.00,1.50597,0.000415434,0.38
8,2010-01-09,00:00:00.00,9.57848,0.000415737,0.36
9,2010-01-10,00:00:00.00,1.35118,0.00041604,0.335
10,2010-01-11,00:00:00.00,0.204598,0.000416341,0.32
11,2010-01-12,00:00:00.00,1.72427,0.000416642,0.305
12,2010-01-13,00:00:00.00,0.503716,0.000416941,0.29
13,2010-01-14,00:00:00.00,0.000161275,0.000417239,0.281
14,2010-01-15,00:00:00.00,8.31537e-308,0.000417536,0.275
15,2010-01-16,00:00:00.00,0.0213876,0.000417831,0.265
16,2010-01-17,00:00:00.00,0.00178804,0.000418126,0.26
17,2010-01-18,00:00:00.00,0.00173814,0.000418419,0.255
18,2010-01-19,00:00:00.00,0.00487813,0.000418712,0.252
19,2010-01-20,00:00:00.00,1.05868,0.000419003,0.249
20,2010-01-21,00:00:00.00,1.06253,0.000419293,0.246
21,2010-01-22,00:00:00.00,0.000432624,0.000419582,0.243
22,2010-01-23,00:00:00.00,0.00256908,0.00041987,0.24
23,2010-01-24,00:00:00.00,0.00136887,0.000420157,0.28
24,2010-01-25,00:00:00.00,4.62866,0.0837679,0.4
25,2010-01-26,00:00:00.00,8.8251,1.93486,5.81
26,2010-01-27,00:00:00.00,1.72506,3.26332,17
27,2010-01-28,00:00:00.00,0.306669,1.42868,18.6
28,2010-01-29,00:00:00.00,0.765637,0.0334395,9.51
29,2010-01-30,00:00:00.00,0.0915738,0.0336933,4.72
30,2010-01-31,00:00:00.00,0.0503197,0.0339325,2.37
31,2010-02-01,00:00:00.00,0.209766,0.0341579,1.6
32,2010-02-02,00:00:00.00,0.0711747,0.0343702,1.09
33,2010-02-03,00:00:00.00,1.06612,0.0345703,0.862
34,2010-02-04,00:00:00.00,1.24369,0.0347588,0.73
35,2010-02-05,00:00:00.00,0.00689487,0.0349362,0.645
36,2010-02-06,00:00:00.00,4.2381e-308,0.0351033,0.544
37,2010-02-07,00:00:00.00,0.00030223,0.0352604,0.48
38,2010-02-08,00:00:00.00,0.00105991,0.0354081,0.42
39,2010-02-09,00:00:00.00,0.00633702,0.035547,0.38
40,2010-02-10,00:00:00.00,2.61821,0.0356773,0.355
41,2010-02-11,00:00:00.00,10.5,0.0357996,0.33
42,2010-02-12,00:00:00.00,1.00875,0.0359141,0.31
43,2010-02-13,00:00:00.00,0.0235134,0.0360213,0.3
44,2010-02-14,00:00:00.00,0.0267014,0.0361214,0.29
45,2010-02-15,00:00:00.00,0.0838197,0.0362149,0.28
46,2010-02-16,00:00:00.00,0.106304,0.0363019,0.27
47,2010-02-17,00:00:00.00,2.49916,0.0363828,0.26
48,2010-02-18,00:00:00.00,1.33855,0.0364578,0.257
49,2010-02-19,00:00:00.00,0.021533,0.0365272,0.255
50,2010-02-20,00:00:00.00,1.561e-308,0.0365912,0.253
51,2010-02-21,00:00:00.00,5.0816e-308,0.03665,0.251
52,2010-02-22,00:00:00.00,1.48338e-308,0.0367039,0.249
53,2010-02-23,00:00:00.00,14.47,0.187374,0.247
54,2010-02-24,00:00:00.00,0.806751,0.303558,0.245
55,2010-02-25,00:00:00.00,0.237502,0.158211,0.243
56,2010-02-26,00:00:00.00,2.697,0.0473692,0.241
57,2010-02-27,00:00:00.00,8.14709,0.0474527,0.25
58,2010-02-28,00:00:00.00,3.812,0.0673818,0.26
59,2010-03-01,00:00:00.00,0.500014,0.0786992,0.27
60,2010-03-02,00:00:00.00,0.00716124,0.060348,0.3
61,2010-03-03,00:00:00.00,0.00282536,0.0505987,0.32
62,2010-03-04,00:00:00.00,0.00139478,0.0506542,0.34
63,2010-03-05,00:00:00.00,0.000258723,0.0507016,0.37
64,2010-03-06,00:00:00.00,0.000305764,0.0507413,0.41
65,2010-03-07,00:00:00.00,0,0.0507735,0.46
66,2010-03-08,00:00:00.00,0,0.0507986,0.52
67,2010-03-09,00:00:00.00,0,1.86359,0.65
68,2010-03-10,00:00:00.00,0.00110523,9.951,1.1
69,2010-03-11,00:00:00.00,0.0124214,14.563,3.63
70,2010-03-12,00:00:00.00,0.000907514,9.65127,14.4
71,2010-03-13,00:00:00.00,2.01101,6.0749,53.4
72,2010-03-14,00:00:00.00,5.8606,5.92856,63.2
73,2010-03-15,00:00:00.00,4.83807,6.16794,50.4
74,2010-03-16,00:00:00.00,0.08161,5.86073,29.3
75,2010-03-17,00:00:00.00,1.7e-308,5.19879,12.4
76,2010-03-18,00:00:00.00,0,4.65781,6.92
77,2010-03-19,00:00:00.00,0,4.20841,4.58
78,2010-03-20,00:00:00.00,0.000877061,3.82987,3.32
79,2010-03-21,00:00:00.00,0.0956011,3.50717,2.44
80,2010-03-22,00:00:00.00,0.0508506,3.22922,1.82
81,2010-03-23,00:00:00.00,2.79637,3.05121,1.47
82,2010-03-24,00:00:00.00,0.0789413,2.89575,1.28
83,2010-03-25,00:00:00.00,1.61601e-308,2.69539,1.11
84,2010-03-26,00:00:00.00,0.194737,2.51804,0.913
85,2010-03-27,00:00:00.00,0.000167843,2.36008,0.797
86,2010-03-28,00:00:00.00,0.0126855,2.21862,0.947
87,2010-03-29,00:00:00.00,4.73171,2.23835,0.916
88,2010-03-30,00:00:00.00,3.49195,2.35392,0.929
89,2010-03-31,00:00:00.00,5.29419e-308,2.31177,0.935
90,2010-04-01,00:00:00.00,0.000563537,2.1767,0.773
91,2010-04-02,00:00:00.00,0,2.05478,0.684
92,2010-04-03,00:00:00.00,0,1.94426,0.631
93,2010-04-04,00:00:00.00,0.141671,1.84366,0.586
94,2010-04-05,00:00:00.00,0.169776,1.75176,0.538
95,2010-04-06,00:00:00.00,1.83571,1.66751,0.497
96,2010-04-07,00:00:00.00,28.0977,4.527,1.67
97,2010-04-08,00:00:00.00,7.36946,7.55364,8.74
98,2010-04-09,00:00:00.00,16.0135,8.30938,17.3
99,2010-04-10,00:00:00.00,0.0754956,8.09216,20.7
100,2010-04-11,00:00:00.00,0.000363049,6.77436,8.67
101,2010-04-12,00:00:00.00,0.325921,5.92912,4.05
102,2010-04-13,00:00:00.00,0,5.25326,2.68
103,2010-04-14,00:00:00.00,1.48301,4.70196,2
104,2010-04-15,00:00:00.00,0.0887774,4.24471,1.61
105,2010-04-16,00:00:00.00,8.21722e-308,3.86007,1.34
106,2010-04-17,00:00:00.00,0.253598,3.53258,1.28
107,2010-04-18,00:00:00.00,0.78984,3.25079,1.3
108,2010-04-19,00:00:00.00,1.47641,3.00608,1.08
109,2010-04-20,00:00:00.00,1.37341e-308,2.79183,0.924
110,2010-04-21,00:00:00.00,1.44835e-308,2.60289,0.819
111,2010-04-22,00:00:00.00,0.000249025,2.43518,0.713
112,2010-04-23,00:00:00.00,0.0240583,2.28544,0.578
113,2010-04-24,00:00:00.00,0.0604496,2.15104,0.513
114,2010-04-25,00:00:00.00,0.112216,2.02981,0.461
115,2010-04-26,00:00:00.00,17.3106,3.27275,0.563
116,2010-04-27,00:00:00.00,0.0930227,4.23705,0.894
117,2010-04-28,00:00:00.00,0.000231298,3.49828,0.927
118,2010-04-29,00:00:00.00,0.00110166,2.98453,0.675
119,2010-04-30,00:00:00.00,0.000458823,2.7754,0.532
120,2010-05-01,00:00:00.00,0.0942043,2.59057,0.463
121,2010-05-02,00:00:00.00,3.45732,2.42619,0.454
122,2010-05-03,00:00:00.00,4.47068,2.32563,0.532
123,2010-05-04,00:00:00.00,16.9228,3.59651,6.85
124,2010-05-05,00:00:00.00,0.837893,4.48951,11.6
125,2010-05-06,00:00:00.00,4.01272,3.77626,4.99
126,2010-05-07,00:00:00.00,0.0754042,3.32915,2.92
127,2010-05-08,00:00:00.00,7.79353,3.45996,2.65
128,2010-05-09,00:00:00.00,15.5728,5.33242,8.46
129,2010-05-10,00:00:00.00,1.4246,6.14328,10.7
130,2010-05-11,00:00:00.00,0.0101383,5.05428,5.44
131,2010-05-12,00:00:00.00,16.8268,6.31016,3.78
132,2010-05-13,00:00:00.00,0.836025,7.2572,10.2
133,2010-05-14,00:00:00.00,12.5986,7.5969,9.36
134,2010-05-15,00:00:00.00,7.83957,8.58557,22.1
135,2010-05-16,00:00:00.00,0.00431598,8.00106,22.4
136,2010-05-17,00:00:00.00,0.00190507,6.88396,6.87
137,2010-05-18,00:00:00.00,0.0275822,6.01507,3.35
138,2010-05-19,00:00:00.00,1.55317,5.32215,2.22
139,2010-05-20,00:00:00.00,0.017976,4.75816,1.66
140,2010-05-21,00:00:00.00,0.0184705,4.29126,1.27
141,2010-05-22,00:00:00.00,0.0013907,3.89913,1
142,2010-05-23,00:00:00.00,5.40857,3.68582,0.868
143,2010-05-24,00:00:00.00,0.00666672,3.50351,0.801
144,2010-05-25,00:00:00.00,0.00822704,3.22607,0.748
145,2010-05-26,00:00:00.00,0.0351412,2.9849,0.629
146,2010-05-27,00:00:00.00,0.00078551,2.77354,0.551
147,2010-05-28,00:00:00.00,0.00372346,2.58699,0.495
148,2010-05-29,00:00:00.00,0.000932627,2.42128,0.452
149,2010-05-30,00:00:00.00,0,2.27321,0.403
150,2010-05-31,00:00:00.00,6.3436e-308,2.14022,0.353
151,2010-06-01,00:00:00.00,1.35677,2.02019,0.328
152,2010-06-02,00:00:00.00,8.49744,2.12082,0.707
153,2010-06-03,00:00:00.00,15.5796,3.46289,0.764
154,2010-06-04,00:00:00.00,4.87418,4.24569,1.27
155,2010-06-05,00:00:00.00,0.833371,3.53765,2.68
156,2010-06-06,00:00:00.00,2.79078,3.11164,4.43
157,2010-06-07,00:00:00.00,27.7348,6.23769,9.9
158,2010-06-08,00:00:00.00,0.355191,8.65581,20.7
159,2010-06-09,00:00:00.00,0.0261336,6.86316,11.3
160,2010-06-10,00:00:00.00,4.96816,5.69195,3.32
161,2010-06-11,00:00:00.00,0.155059,5.19024,2.02
162,2010-06-12,00:00:00.00,0.000759463,4.65062,1.44
163,2010-06-13,00:00:00.00,0.0520501,4.20225,1.03
164,2010-06-14,00:00:00.00,0.128835,3.82452,0.831
165,2010-06-15,00:00:00.00,0.000296597,3.50248,0.71
166,2010-06-16,00:00:00.00,0.0437865,3.22505,0.603
167,2010-06-17,00:00:00.00,1.44016,2.98389,0.51
168,2010-06-18,00:00:00.00,0.187982,2.77256,0.43
169,2010-06-19,00:00:00.00,0.0434626,2.58604,0.375
170,2010-06-20,00:00:00.00,0.0167501,2.42036,0.321
171,2010-06-21,00:00:00.00,0.0181431,2.27234,0.279
172,2010-06-22,00:00:00.00,0,2.13939,0.253
173,2010-06-23,00:00:00.00,3.30576,2.01941,0.226
174,2010-06-24,00:00:00.00,0.00251131,1.91066,0.201
175,2010-06-25,00:00:00.00,1.55892,1.81169,0.19
176,2010-06-26,00:00:00.00,0.305722,1.7213,0.177
177,2010-06-27,00:00:00.00,0.0803361,1.63845,0.165
178,2010-06-28,00:00:00.00,3.09748,1.56229,0.147
179,2010-06-29,00:00:00.00,1.49577,1.49206,0.135
180,2010-06-30,00:00:00.00,0.0221199,1.42712,0.113
181,2010-07-01,00:00:00.00,0.0358172,1.36693,0.103
182,2010-07-02,00:00:00.00,0.0522955,1.31099,0.101
183,2010-07-03,00:00:00.00,0.0564589,1.2589,0.102
184,2010-07-04,00:00:00.00,0.043888,1.21029,0.086
185,2010-07-05,00:00:00.00,0.123587,1.16483,0.074
186,2010-07-06,00:00:00.00,0.0313305,1.12223,0.063
187,2010-07-07,00:00:00.00,0.0549755,1.08226,0.051
188,2010-07-08,00:00:00.00,0.100569,1.04467,0.043
189,2010-07-09,00:00:00.00,8.23811,1.09043,0.037
190,2010-07-10,00:00:00.00,7.49238,1.3046,0.036
191,2010-07-11,00:00:00.00,0.0436853,1.3527,0.034
192,2010-07-12,00:00:00.00,3.27194,1.22754,0.034
193,2010-07-13,00:00:00.00,22.9866,3.02271,0.245
194,2010-07-14,00:00:00.00,2.15616,4.45859,0.893
195,2010-07-15,00:00:00.00,0.00602185,3.35342,0.634
196,2010-07-16,00:00:00.00,4.0146,2.54696,0.328
197,2010-07-17,00:00:00.00,23.6746,4.6993,1.09
198,2010-07-18,00:00:00.00,9.96728,7.308,0.975
199,2010-07-19,00:00:00.00,0.449085,6.58214,1.16
200,2010-07-20,00:00:00.00,4.97564,5.27712,3.28
201,2010-07-21,00:00:00.00,0.148426,4.81212,1.82
202,2010-07-22,00:00:00.00,0.0467147,4.33794,0.733
203,2010-07-23,00:00:00.00,0.0956289,3.94003,0.379
204,2010-07-24,00:00:00.00,8.07708,3.89898,0.267
205,2010-07-25,00:00:00.00,2.46034,3.86443,0.207
206,2010-07-26,00:00:00.00,2.37363,3.538,0.194
207,2010-07-27,00:00:00.00,0.0538749,3.25695,0.189
208,2010-07-28,00:00:00.00,0.0913933,3.01275,0.191
209,2010-07-29,00:00:00.00,1.00321,2.79884,0.146
210,2010-07-30,00:00:00.00,0.249362,2.61011,0.107
211,2010-07-31,00:00:00.00,0.0269562,2.44251,0.085
212,2010-08-01,00:00:00.00,3.71032,2.29282,0.069
213,2010-08-02,00:00:00.00,0.887803,2.1584,0.06
214,2010-08-03,00:00:00.00,0.0363522,2.03713,0.053
215,2010-08-04,00:00:00.00,0.0133769,1.92723,0.051
216,2010-08-05,00:00:00.00,0.621242,1.82724,0.052
217,2010-08-06,00:00:00.00,1.88783,1.73593,0.066
218,2010-08-07,00:00:00.00,0.8704,1.65225,0.055
219,2010-08-08,00:00:00.00,0.083497,1.57533,0.045
220,2010-08-09,00:00:00.00,0.0628989,1.5044,0.04
221,2010-08-10,00:00:00.00,2.4432,1.43883,0.038
222,2010-08-11,00:00:00.00,0,1.37805,0.034
223,2010-08-12,00:00:00.00,0.0164723,1.32157,0.029
224,2010-08-13,00:00:00.00,4.35581,1.27915,0.03
225,2010-08-14,00:00:00.00,0.00954878,1.23964,0.026
226,2010-08-15,00:00:00.00,0.0333008,1.19261,0.024
227,2010-08-16,00:00:00.00,0.336368,1.14857,0.023
228,2010-08-17,00:00:00.00,0.0698541,1.10727,0.02
229,2010-08-18,00:00:00.00,0.0310864,1.06845,0.021
230,2010-08-19,00:00:00.00,0.0688588,1.03193,0.021
231,2010-08-20,00:00:00.00,0.325493,0.997495,0.026
232,2010-08-21,00:00:00.00,0.00177176,0.964992,0.028
233,2010-08-22,00:00:00.00,1.29275,0.934267,0.03
234,2010-08-23,00:00:00.00,3.03645,0.905185,0.037
235,2010-08-24,00:00:00.00,0.805857,0.877623,0.037
236,2010-08-25,00:00:00.00,0.176516,0.851471,0.035
237,2010-08-26,00:00:00.00,1.13082,0.826628,0.038
238,2010-08-27,00:00:00.00,0.23076,0.803002,0.036
239,2010-08-28,00:00:00.00,0.0555458,0.780511,0.031
240,2010-08-29,00:00:00.00,0.0385243,0.759077,0.026
241,2010-08-30,00:00:00.00,0.0494752,0.738632,0.021
242,2010-08-31,00:00:00.00,0.182315,0.719112,0.014
243,2010-09-01,00:00:00.00,0.000915295,0.700456,0.01
244,2010-09-02,00:00:00.00,0.00141519,0.68261,0.008
245,2010-09-03,00:00:00.00,4.12753,0.675268,0.006
246,2010-09-04,00:00:00.00,4.2932,0.684306,0.008
247,2010-09-05,00:00:00.00,0.171949,0.683442,0.006
248,2010-09-06,00:00:00.00,0.506556,0.666754,0.005
249,2010-09-07,00:00:00.00,0.620588,0.650744,0.005
250,2010-09-08,00:00:00.00,0.0362578,0.635374,0.004
251,2010-09-09,00:00:00.00,5.2696e-308,0.620606,0.003
252,2010-09-10,00:00:00.00,0.00606218,0.606409,0.002
