time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub678 [m3/s],sub679 [m3/s],sub680 [m3/s],sub681 [m3/s],sub682 [m3/s],sub683 [m3/s],sub684 [m3/s],sub685 [m3/s],sub686 [m3/s],sub687 [m3/s],sub688 [m3/s],sub689 [m3/s],sub690 [m3/s],sub691 [m3/s],sub692 [m3/s],sub693 [m3/s],sub694 [m3/s],sub695 [m3/s],sub696 [m3/s],sub697 [m3/s],sub698 [m3/s],sub699 [m3/s],sub700 [m3/s],sub701 [m3/s],sub702 [m3/s],sub703 [m3/s],sub704 [m3/s],sub705 [m3/s],sub706 [m3/s],sub707 [m3/s],sub708 [m3/s],sub709 [m3/s],sub710 [m3/s],sub711 [m3/s],sub712 [m3/s],sub713 [m3/s],sub714 [m3/s],sub715 [m3/s],sub716 [m3/s],sub717 [m3/s],sub718 [m3/s],sub719 [m3/s],sub720 [m3/s],sub721 [m3/s],sub722 [m3/s],sub723 [m3/s],sub724 [m3/s]
0,2010-01-01,00:00:00.00,---,3.07281,7.30171,11.1939,11.6357,4.43617,3.55089,2.29278,2.78359,5.17895,9.36853,3.64995,48.855,2.22779,6.20575,8.79712,6.38563,17.6817,10.5777,4.9234,2.69813,10.7605,2.24708,6.76669,2.97918,3.36629,3.60607,6.21429,6.42994,11.0641,3.62024,3.63608,15.6474,2.66052,26.6655,4.66838,3.44679,2.16725,155.774,13.0585,29.7082,8.64104,6.36934,9.1573,21.2461,2.15464,17.1827,5.93042,3.10008,6.30344
1,2010-01-02,00:00:00.00,0,2.99791,6.42061,10.7344,11.4148,3.8079,3.26129,1.14639,2.17411,4.6638,9.21878,3.09922,48.5828,2.19259,5.98044,8.71936,6.15862,17.6652,10.4693,4.18993,2.22329,10.7507,1.80085,6.65425,2.96792,1.68314,3.05498,6.15497,5.95094,10.8288,3.07066,3.21535,14.9136,2.4587,26.4292,4.20513,3.30218,2.03064,155.539,12.5355,29.4011,8.30922,5.70617,9.1113,21.2086,1.69848,16.9797,5.92278,2.9097,5.56571
2,2010-01-03,00:00:00.00,0,1.46151,4.59824,8.91136,10.7344,1.58982,2.20226,0,0.782317,3.61073,8.45229,1.27425,47.4728,1.0787,5.05586,7.42368,5.85875,17.5493,9.07129,2.87462,0.874225,9.34425,0.677314,6.03129,1.47833,0,1.87091,4.90557,4.72846,9.69401,1.89343,1.39731,12.9439,1.12844,24.8691,3.39359,2.3396,0.947021,154.444,10.9688,27.9438,6.22352,3.92066,7.65299,19.9648,0.683298,16.2154,4.36432,2.00179,4.17105
3,2010-01-04,00:00:00.00,0,0,1.82848,7.25591,8.91136,0,0.716414,0,0,2.99791,7.24549,0,44.7151,0,3.73004,5.98044,4.21064,16.2831,6.85666,1.14639,0,7.35713,0,4.51596,0,0,0.618963,3.66078,3.36066,7.32612,0.632886,0,11.4619,0,19.9427,2.14022,0.760818,0,153.047,9.15282,25.6013,3.14559,2.25734,4.75292,18.0436,0.0621411,15.0185,1.40675,0.642131,1.80894
4,2010-01-05,00:00:00.00,0,0,0,4.57019,7.25591,0,0,0,0,1.46151,6.02271,0,41.9462,0,2.56188,5.05586,1.3177,12.3688,5.85875,0,0,6.65425,0,2.36981,0,0,0,3.05498,2.18932,5.00817,0,0,9.95084,0,15.3041,0.617571,0,0,150.149,6.37885,23.8255,0.910777,0.858178,1.63259,15.6993,0,13.6212,0,0,0.0518861
5,2010-01-06,00:00:00.00,0,0,0,1.09687,4.57019,0,0,0,0,0,5.28447,0,39.6287,0,1.46571,3.73004,0,7.77652,4.21064,0,0,6.03129,0,0.614229,0,0,0,1.87091,0.821146,2.99339,0,0,7.36302,0,11.5954,0,0,0,146.469,2.18856,22.6769,0,0,0,12.8579,0,11.7016,0,0,0
6,2010-01-07,00:00:00.00,0,0,0,0.00872053,1.09687,0,0,0,0,0,4.6638,0,35.683,0,0.455569,2.56188,0,5.85875,1.3177,0,0,4.51596,0,0,0,0,0,0.618963,0,0.914076,0,0,5.68989,0,6.03173,0,0,0,142.529,0,20.6499,0,0,0,10.9404,0,9.38758,0,0,0
7,2010-01-08,00:00:00.00,0,0,0,0,0.00872053,0,0,0,0,0,3.61073,0,30.3756,0,0,1.46571,0,4.21064,0,0,0,2.36981,0,0,0,0,0,0,0,0,0,0,3.71209,0,2.11357,0,0,0,138.899,0,17.1376,0,0,0,7.105,0,6.70944,0,0,0
8,2010-01-09,00:00:00.00,0,0,0,0,0,0,0,0,0,0,2.99791,0,23.7291,0,0,0.455569,0,1.3177,0,0,0,0.614229,0,0,0,0,0,0,0,0,0,0,1.0423,0,0.543216,0,0,0,136.377,0,12.9705,0,0,0,2.83195,0,4.41897,0,0,0
9,2010-01-10,00:00:00.00,0,0,0,0,0,0,0,0,0,0,1.46151,0,16.9057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.763,0,8.70476,0,0,0,0.927343,0,3.23161,0,0,0
